name,amenity,leisure,tourism,longitude,latitude
Dom Kultury Staroniwa,community_centre,,,21.9721387,50.0344939
Zamek Lubomirskich,,,attraction,22.0006286,50.0324722
Pomnik Czynu Rewolucyjnego,,,attraction,21.9994803,50.0405955
,,,,21.9950624,50.0205341
Calypso Fitness Club,,sports_centre,,21.9943052,50.0216136
,,,,21.9898372,50.0299269
,,,,21.9980619,50.0203011
,,,,21.9950713,50.0210806
,,,,21.995074,50.0211883
,,,,21.9950886,50.0217488
,,,,21.9950913,50.0218563
,,,,21.980468,50.0228727
,,,,22.0093191,50.0259959
Osielowy Dom Kultury,community_centre,,,22.0019576,50.0447345
Teatr Maska,theatre,,,22.0065254,50.0376871
,,,,21.9968229,50.0230866
,,,,22.0046496,50.033452
Klub Vinyl,nightclub,,,22.0072914,50.0400287
,,,,22.0040507,50.0393975
,,,,22.0039231,50.0395008
,,,,21.9984527,50.0225855
,,,,21.9984001,50.0228752
RDK filia Budziwój,community_centre,,,21.9799117,49.9666866
Mienta Klub,nightclub,,,22.0061733,50.0369616
Studnia,,,attraction,22.0049042,50.0374929
Centrum Edukacyjno-kulturalne w Kielnarowej,arts_centre,,,22.0664912,49.9650164
,,,,21.9853606,50.0390923
,,,,21.9826832,50.0418177
,,,,21.9827412,50.0418345
,,,,21.9988254,50.0217965
,,,,22.0046212,50.0163723
Kitsch,nightclub,,,22.0003433,50.0384349
OFF Centrum,nightclub,,,22.0003386,50.0383949
,,,,21.9997865,50.0391519
,,,,21.9898182,50.0300483
Teatr Przedmieście,theatre,,,21.9956506,50.0324747
,,,,21.9961493,50.0324269
,,,,21.9963511,50.0324771
,,,,21.9963704,50.0325216
,,,,21.9799989,50.0499478
,,,,21.9805212,50.0501884
,,,,21.9797228,50.0502374
Siemacha Spot Rzeszów Millenium Hall,community_centre,,,22.0142043,50.0270783
Grawitacja Rzeszów Park Trampolin,,trampoline_park,,22.0159103,50.0023548
,,,,21.9906073,50.0193279
Rzeszówski inkubator kultury,community_centre,,attraction,21.9957504,50.0349803
RDK filia Wilkowyja,community_centre,,,22.061071,50.0312836
,community_centre,,,22.00249,49.9614923
,community_centre,,,22.0028846,49.9614886
Jana Pawła 156,,,attraction,21.990253,49.9823179
Titum Stowarzyszenie na Rzecz Wspomagania Rozwoju Dzieci i Młodzieży,community_centre,,,21.9869458,50.0396883
Runway club,nightclub,,,22.0121366,50.0214175
LUKR club,nightclub,,,22.0139347,50.0279612
