name,power,man_made,longitude,latitude
,,,19.1436355,50.8319841
,,,19.1678366,50.7767872
,,,19.1682086,50.7768244
,,,19.091047,50.8103789
,,,19.1646351,50.8176192
,,,19.1617503,50.8214843
,,,19.1082904,50.8011401
,,,19.1082584,50.8010893
,,,19.1082118,50.8011201
,,,19.2300475,50.7741288
"Stacja elektroenergetyczna ""Sikorskiego"" 110 kV",substation,,19.103349852334766,50.81962625423869
"Stacja elektroenergetyczna ""Kawodrza"" 110 kV",substation,,19.077660220909806,50.80367026238596
"Stacja elektroenergetyczna ""Zawodzie"" 110kV",substation,,19.13525694762578,50.81264002555714
"Stacja elektroenergetyczna ""Aniołów"" 220/110 kV",substation,,19.142317347034822,50.832052893286786
"Stacja elektroenergetyczna ""Wrzosowa"" 220/110 kV",substation,,19.166524225683837,50.7539500941737
,substation,,19.106298756455963,50.81350958021708
,substation,,19.111256752870677,50.81320935229576
"Stacja elektroenergetyczna ""Odlewnia"" 110 kV",substation,,19.16807086540758,50.77715863303825
"Stacja elektroenergetyczna ""Huta Częstochowa"" 220/110 kV",substation,,19.168297593935826,50.776014771536886
"Stacja elektroenergetyczna ""HCZ Raków"" 110 kV",substation,,19.159860772987596,50.783354854826506
"Stacja elektroenergetyczna ""Guardian"" 110kV",substation,,19.18808631999107,50.78438401152125
"Stacja elektroenergetyczna ""Raków"" 110 kV",substation,,19.158358505731023,50.78347894162326
"Stacja elektroenergetyczna ""Ceba"" 110kV",substation,,19.140641066943502,50.79780497471067
"Stacja elektroenergetyczna ""EC Fortum"" 110kV",substation,,19.142412061614742,50.795233677783706
"Stacja elektroenergetyczna ""Kiedrzyn"" 110 kV",substation,,19.12723783264615,50.845831779477074
,substation,,19.095882958436842,50.77408837535207
"Stacja elektroenergetyczna ""Błeszno"" 110kV",substation,,19.138382032844586,50.776090635562454
"Stacja elektroenergetyczna ""Stradom"" 110kV",substation,,19.117037282995962,50.798656510427236
Oczyszczalnia Ścieków „WARTA” Spółka Akcyjna,,wastewater_plant,19.164230294594898,50.81960745023774
,substation,,19.1042682,50.80329089999999
,substation,,19.108258504987248,50.801119304398924
,substation,,19.10975383336146,50.80041160879191
,substation,,19.11003066729645,50.80151015199436
,substation,,19.106958549999995,50.802641349999995
,substation,,19.108849052436867,50.802666085514595
,substation,,19.104710063706964,50.80227257468471
,substation,,19.10753710503985,50.8010889869546
,substation,,19.1155668,50.80187815000001
,substation,,19.102998629622586,50.801767059868844
"Stacja elektroenergetyczna ""Rędziny"" 110kV",substation,,19.2150584,50.869534650000006
"Stacja elektroenergetyczna ""Walcownia"" 110kV",substation,,19.19459059999533,50.783720845693196
"Stacja elektroenergetyczna ""Mirów"" 110 kV",substation,,19.18494003878313,50.79005415353056
,substation,,19.14940472922368,50.779136789326095
,substation,,19.138923236194778,50.78669096529634
Zbiorniki wodociągowe,,water_works,19.089981166128535,50.81079231374826
,substation,,19.116679137888998,50.804501670131245
,substation,,19.149357249999998,50.78041605
,substation,,19.14959498576637,50.78167812385766
,substation,,19.145808326866216,50.78173307752279
,substation,,19.087256364446304,50.81944037427588
TN-C-S,substation,,19.1449527,50.77991055
,substation,,19.058091014060835,50.76132902073127
,substation,,19.09630861051926,50.81423322414263
,substation,,19.096321935075675,50.814112776052625
