name,power,man_made,longitude,latitude
,,,18.5157035,54.4829464
,,,18.5402282,54.4889332
,,,18.4270681,54.5517855
,,,18.5103933,54.5498076
,,,18.5475732,54.4743385
,,,18.4528928,54.4595238
,substation,,18.4177016,54.5037901
,substation,,18.4716867,54.5592694
,,,18.4403665,54.4952889
,substation,,18.4893785,54.4716559
,,,18.435961,54.5771912
,,,18.5404654,54.4890503
,,,18.5505709,54.4614128
,,,18.5140529,54.4828349
,,,18.4533251,54.4541047
,,,18.4984717,54.4718692
,,,18.4914279,54.4984461
,,,18.5354421,54.5246012
,,,18.5353159,54.524303
,,,18.4210797,54.5610964
,,,18.4596364,54.5529662
,,,18.5391943,54.554039
,,,18.5105689,54.5351386
Gniewska Pewex,substation,,18.4631139,54.5418519
,,,18.4482012,54.4934901
,,,18.4949271,54.5328168
,,,18.4934523,54.5335783
,,,18.4951017,54.5330004
,,,18.5474579,54.4751946
,,,18.5365348,54.5251269
"Stacja elektroenergetyczna ""Chylonia"" 110/15kV",substation,,18.45918181656326,54.55347398252963
"Grupowa Oczyszczalnia Ścieków ""Dębogórze""",,wastewater_plant,18.431318103499667,54.5794281854682
T-2834,substation,,18.556634065213004,54.45900812958726
,substation,,18.541445550000002,54.49788125
,substation,,18.497618651236387,54.47029166857916
,substation,,18.532025526707518,54.49688470913808
Stacja elektroenergetyczna 110kV Gdynia Grabówek,substation,,18.49413649893603,54.53307927663365
,substation,,18.48781665,54.536084949999996
,substation,,18.51070155308231,54.54948918011085
Stacja elektroenergetyczna 110kV Kontenery,substation,,18.510299364561874,54.54948420026795
Stacja elektroenergetyczna 110kV Gdynia Port,substation,,18.535998901500434,54.52463869654584
,substation,,18.497289193699984,54.56218784842919
Stacja elektroenergetyczna 110kV Oksywie,substation,,18.539759257616186,54.55443897318164
,substation,,18.416166361553117,54.56509302084933
Stacja elektroenergetyczna 110/15kV Rumia,substation,,18.420783735324278,54.56078387952583
,substation,,18.40653955,54.58634865
,substation,,18.453813926397025,54.45964606523271
Stacja elektroenergetyczna 110/15kV Wielki Kack,substation,,18.4532909155385,54.459811142029544
,,water_works,18.438855851428027,54.49493941438273
"Ujęcie wody ""Wiczlino""",,water_works,18.440852984512958,54.4953299441897
,substation,,18.45472134753089,54.54606683023836
,substation,,18.45507321526505,54.54497939249818
,substation,,18.45845282091476,54.53580404151771
T-4043,substation,,18.485010510807427,54.46777462022728
Stacja prostownikowa,substation,,18.510381636637543,54.46930628361387
Hydrofornia Suchy Dwór,,water_works,18.463244661460934,54.57294549993606
Hydrofornia Kosakowo,,water_works,18.489870833359163,54.589110250174585
Hydrofornia Dębogórze,,water_works,18.4528703,54.592965950000014
,substation,,18.54027783828343,54.543149373762475
Ramułta I,substation,,18.482118218465946,54.53634943502581
,substation,,18.52714385,54.5535684
,substation,,18.482328499999998,54.46636654999999
,substation,,18.500700950000002,54.469846999999994
,substation,,18.460020519928797,54.465729817469615
,substation,,18.495645193366816,54.47156562019549
Stacja elektroenergetyczna 110kV Chwarzno,substation,,18.448337742316404,54.493279284368974
,substation,,18.489066016172792,54.45965380813525
,substation,,18.419382859823383,54.50126907001685
,substation,,18.521117406137947,54.54763641924582
,substation,,18.539833970117595,54.57842739615596
,substation,,18.510540319570318,54.5572334858096
,substation,,18.47709904056051,54.56031165480984
Stacja elektroenergetyczna 110/15kV Redłowo,substation,,18.540143436596935,54.48929940763415
Stacja elektroenergetyczna 110kV Gdynia Południe,substation,,18.532042769973614,54.51010648067298
Stacja elektroenergetyczna 110kV Tlenownia,substation,,18.505003681668757,54.539053831862816
,substation,,18.51257115,54.549226250000004
,substation,,18.517284349999997,54.494141
T-2270,substation,,18.514940400000004,54.494046950000005
,substation,,18.513891138231827,54.49342567907417
Ujęcie wody - Kolibki,,water_works,18.548250235457758,54.474645674358136
,substation,,18.48164128303275,54.53595307511948
Stacja prostownikowa,substation,,18.510316463771503,54.46922734521854
T-2409,substation,,18.51502130961075,54.47016770262487
,substation,,18.512623557768848,54.490861903152776
,substation,,18.52154184345197,54.47716389772617
,substation,,18.480207219784898,54.537060463754074
,substation,,18.49303655,54.56090309999999
"Podstacja trakcyjna ""Gdynia Redłowo""",substation,,18.539935579225848,54.488765782840304
"Podstacja trakcyjna ""Gdynia Orłowo""",substation,,18.540082976071023,54.48837403931653
,substation,,18.545445334308322,54.4868407272961
,substation,,18.50727469905414,54.47013182822802
,substation,,18.533978901064387,54.508369243783996
,substation,,18.482116897484733,54.473673359056015
,substation,,18.4600830447129,54.55247805364506
,substation,,18.554095180040065,54.4919473333489
Kartuska I,substation,,18.459003205340878,54.54027247462116
,substation,,18.54465381515812,54.54995528072184
,substation,,18.46315058941945,54.54524972989319
,substation,,18.49380695,54.52801635
,substation,,18.536515900000005,54.581417249999994
,substation,,18.462880300000002,54.4683315
,substation,,18.489071550633355,54.55622922289697
,substation,,18.5400241827957,54.512262760027745
,substation,,18.486533805658272,54.468686644420366
,substation,,18.504788000000005,54.47108179999999
T-2134,substation,,18.539429528305632,54.520032908840975
,substation,,18.554769071547216,54.49014389096161
T-2789,substation,,18.543286679956427,54.49618167747398
,substation,,18.512646158956517,54.47315289522456
,substation,,18.5197553,54.47336080000001
T-4601,substation,,18.518924864918432,54.46895750910849
T-2046,substation,,18.511367697480154,54.466257119003565
,substation,,18.495868333776006,54.467489610011974
,substation,,18.534706132201467,54.52039680854126
Admiralska,substation,,18.5088333060784,54.526009209153145
T-2273,substation,,18.509123246614354,54.50004536509748
,substation,,18.495354306493343,54.49904899979122
,substation,,18.51498967808911,54.50049759510737
4113,substation,,18.499415587364172,54.56449563003186
,substation,,18.4799379153559,54.58970919812486
T-2539,substation,,18.41851088731577,54.56570696599387
T-2536,substation,,18.4197477,54.5642097
,substation,,18.419301821135576,54.56755679134417
,substation,,18.547192349999996,54.48578795
,substation,,18.551294881711524,54.48385228668312
,substation,,18.539285607460513,54.58084675255965
,substation,,18.497008460152614,54.53156636643263
,substation,,18.48396589584686,54.47343054903516
,substation,,18.547761150000003,54.5149672
,substation,,18.463533592291885,54.542000130303514
,substation,,18.458902518831483,54.46741105495027
,substation,,18.523808600000002,54.51384830000001
T-4557,substation,,18.40240370925606,54.57962149604554
T-2716,substation,,18.45940216266583,54.53916844273228
,substation,,18.545735015665976,54.523118126421
