name,amenity,longitude,latitude
Zespół Szkół Integracyjnych nr 1,school,19.3947207,51.7420046
Zespół Szkół Ogólnokształcących nr 1,school,19.5410487,51.7555866
Clark University,school,19.4503023,51.7608897
Szkoła językowa,school,19.4770755,51.7023678
LVI Liceum Ogólnokształcące Specjalne,school,19.4683088,51.8076764
Technikum Specjalne nr 23,school,19.4677028,51.8077051
Zaoczne Liceum Ogólnokształcące „Cosinus II”,school,19.4494211,51.7750273
Liceum Ogólnokształcące dla dorosłych Profesja,school,19.4558735,51.7743369
,,19.4787046,51.7502695
,,19.4876351,51.7952551
,,19.4226922,51.7748868
SP 5,school,19.4164848,51.8469667
,,19.5202784,51.7560164
,,19.45975,51.7752174
,,19.4318413,51.788085
,,19.4730193,51.8103514
,,19.48381,51.731618
,,19.3880778,51.7474948
,,19.3893818,51.7473397
,,19.3879155,51.7949155
XLVII Liceum Ogólnokształcące,school,19.527096,51.7573866
,,19.3900252,51.7848062
,,19.3890996,51.7848937
,,19.4043828,51.764301
,,19.404445,51.7646156
AP Edukacja - Liceum Ogólnokształcące dla Dorosłych,school,19.4582627,51.7617375
,,19.4458604,51.77188
,,19.4636172,51.7640671
,,19.4722156,51.7887079
,,19.4731348,51.7891466
,,19.4721743,51.7894164
,,19.4845635,51.765924
,,19.4844402,51.766486
Prywatne Gim. i Liceum Marcina Gortata,school,19.5006063,51.7305873
,,19.4420537,51.7632165
,,19.3905294,51.8000241
,,19.5003622,51.744784
,,19.4652622,51.7432948
,,19.4660928,51.7434588
,,19.4365867,51.7962548
,,19.4364501,51.7955684
,,19.4859956,51.7943947
,,19.4723098,51.7559381
,,19.5028446,51.7414157
,,19.5024386,51.7413034
,,19.5452901,51.760193
,,19.5440233,51.7608353
,,19.5455582,51.761212
,,19.544138,51.761467
,,19.4579704,51.7970704
,,19.4317713,51.826197
,,19.4306603,51.8266377
,,19.4976111,51.7430037
,,19.4746508,51.7450148
,,19.3983923,51.7923819
,,19.3995921,51.7931781
,,19.3986153,51.7933557
,,19.3983903,51.7907974
,,19.3995134,51.792698
,,19.4041534,51.7931491
,,19.4041898,51.7932415
,,19.4052327,51.7908975
,,19.4064652,51.7917726
,,19.4052227,51.7918777
,,19.3860295,51.7928221
,,19.4046329,51.7930223
,,19.3740826,51.7920247
,,19.374341,51.7928186
,,19.3786887,51.794001
,,19.3780651,51.7950605
,,19.3797712,51.7985685
,,19.3801756,51.7986075
,,19.3726365,51.797319
,,19.3726153,51.7975184
,,19.3726261,51.7975416
,,19.4351344,51.7949873
,,19.4355287,51.7949562
,,19.4120645,51.7450626
,,19.4101561,51.7443281
,,19.4773703,51.7500137
,,19.4268553,51.7495246
,,19.4275108,51.7500333
,,19.4268404,51.7505137
,,19.4148865,51.7901564
,,19.4276561,51.7813631
,,19.4618551,51.7562811
,,19.4320329,51.7834816
,,19.4227996,51.7876069
,,19.4234051,51.7879759
,,19.3953118,51.7994935
,,19.3967367,51.7448945
,,19.4659332,51.7741215
,,19.4659809,51.7741998
,,19.4696871,51.7759224
,,19.4741197,51.7763068
,,19.4694094,51.7754598
,,19.4586054,51.7771939
,,19.4581251,51.7771536
,,19.4583673,51.7771739
,,19.4600104,51.7752391
,,19.4710599,51.7796176
,,19.4776377,51.7784828
,,19.4774876,51.7778212
,,19.4742525,51.7763178
,,19.4816441,51.7766205
,,19.4814604,51.7774516
,,19.48157,51.7769088
,,19.49082,51.7779554
,,19.5106927,51.7632974
,,19.473628,51.7510051
,,19.4620777,51.7966827
,,19.4609673,51.7962803
,,19.4107341,51.7440096
,,19.4821362,51.7154671
,,19.4912978,51.7426307
,,19.4925509,51.7428234
,,19.4396898,51.7974944
,,19.4402483,51.7974411
,,19.4403469,51.7970738
,,19.4584944,51.7456704
Bartolini Air,school,19.410115,51.721506
,,19.4511688,51.7733886
,,19.4524938,51.7555638
,,19.4614604,51.7562431
Nauka jazdy,school,19.4672276,51.7862239
,,19.4475791,51.7720331
,,19.4645432,51.7563155
,,19.4639855,51.7558725
,,19.4640746,51.7554728
,,19.3739052,51.8112807
,,19.3732509,51.810726
,,19.4312427,51.7929003
,,19.4293461,51.791967
,,19.4294275,51.7922416
,,19.4295759,51.7927317
Szkoła Językowa WONDERLAND,school,19.449066,51.7914256
Grupa Szkół Pro Europa,school,19.4363417,51.7874703
,,19.4354716,51.7963762
,,19.4352249,51.7957588
,,19.4351914,51.7956428
,,19.4351088,51.7953721
,,19.4339823,51.7698605
,,19.433155,51.7696033
,,19.4490257,51.7751807
,,19.4569721,51.782683
,,19.4763513,51.7781236
,,19.4764597,51.7776337
,,19.4576887,51.7905144
,,19.4784708,51.7630034
,,19.4816841,51.766418
,,19.4839132,51.7548613
,,19.4845808,51.7547055
,,19.4850084,51.7548183
,,19.4524853,51.7408607
,,19.4540935,51.7404629
,,19.4284391,51.7814753
,,19.3871008,51.7412618
,,19.4584633,51.7900686
,,19.502793,51.7360837
,,19.4470165,51.788817
,,19.4244289,51.8175766
,,19.4253206,51.817116
,,19.4248031,51.8170117
,,19.466589,51.7458686
,,19.4670723,51.7895954
,,19.4658977,51.7922762
,,19.4667977,51.7913863
,,19.4656236,51.78984
,,19.4745365,51.7894614
,,19.4733323,51.7892802
,,19.4736414,51.7931149
,,19.4736181,51.7928543
,,19.4706271,51.7469885
,,19.4459389,51.7113867
,,19.4811118,51.805659
,,19.4811636,51.8062183
,,19.4811364,51.8059239
,,19.4754765,51.7930885
,,19.4754907,51.7935514
,,19.3992514,51.790629
,,19.4483147,51.7371739
,,19.4471883,51.7366605
,,19.4632857,51.7573619
,,19.4623695,51.7563232
,,19.4461374,51.7118103
,,19.464156,51.7550739
,,19.4694488,51.7573089
,,19.504079,51.7659075
,,19.5041622,51.7656476
,,19.5042554,51.7653219
,,19.5044041,51.7647953
,,19.5043167,51.7651011
,,19.4343481,51.7964079
,,19.4729563,51.8097622
,,19.4484743,51.7559168
,,19.4573825,51.7385722
,,19.4350848,51.7962549
,,19.5241053,51.7915384
,,19.439717,51.7804784
,,19.4405686,51.7806301
,,19.4914717,51.7203635
,,19.4910494,51.7203044
,,19.4906001,51.7202414
Bernardyńskie Liceum Ogólnokształcące im. o. Anastazego Pankiewicza,school,19.48138,51.788047
,,19.4242173,51.7522315
,,19.4358651,51.7949289
,,19.4693646,51.7756751
,,19.462993,51.7634498
Szkoła Europejska,school,19.468224,51.7300318
,,19.4421295,51.7706384
,,19.468241,51.8075483
,,19.4685391,51.80753
,,19.467424,51.8075986
,,19.4614852,51.7897394
,,19.4753807,51.7356532
PROEUROPA - Szkoła języków obcych,school,19.4482065,51.7327701
,,19.3883929,51.8001302
,,19.545668,51.7608067
,,19.545507,51.7604614
,,19.537139,51.7560582
,,19.429164,51.7271037
,,19.4159732,51.7554567
,,19.4931543,51.7314424
,,19.4841683,51.7289878
,,19.4857802,51.731723
,,19.4674416,51.7335905
,,19.4661556,51.7330904
,,19.5449854,51.7570718
,,19.5457519,51.7563659
,,19.5021864,51.7355982
,,19.4905689,51.7356211
,,19.4915382,51.73438
,,19.4931169,51.730603
,,19.4919101,51.7307537
,,19.49629,51.7303974
,,19.4963814,51.7301227
,,19.4848633,51.7340578
,,19.4859112,51.7341056
,,19.4858336,51.7346942
,,19.4848212,51.7343912
,,19.4845305,51.7346191
,,19.4835915,51.7343591
,,19.4856939,51.7357742
,,19.4842064,51.7289926
,,19.4826246,51.7316453
,,19.4832169,51.7322153
,,19.4903718,51.7611185
,,19.5036466,51.7405834
,,19.5028165,51.7414093
,,19.4989061,51.7391528
,,19.5011703,51.7446463
,,19.5003215,51.7447785
,,19.4974884,51.7435295
,,19.4977968,51.7426992
,,19.4911739,51.7422396
,,19.4344895,51.7844764
,,19.3905281,51.7952979
,,19.3878815,51.7949156
,,19.3874691,51.7949172
,,19.3880794,51.7947862
,,19.3735735,51.7927483
,,19.3785736,51.794904
,,19.4270051,51.8178749
,,19.4223036,51.8199283
,,19.4238802,51.8207177
,,19.4245722,51.820094
,,19.4233865,51.8198127
,,19.4238944,51.8206917
,,19.4572934,51.7392649
,,19.4632266,51.7575499
,,19.4121292,51.7749548
,,19.4123012,51.774955
