name,amenity,longitude,latitude
Przedszkole Sukces,kindergarten,19.4274735,51.8293041
Niepubliczne Przedszkole dla Dzieci o Specjalnych Potrzebach Rozwojowych,kindergarten,19.4548675,51.7825558
Niepubliczne Przedszkole Integracyjne dla Dzieci z Wadami Słuchu,kindergarten,19.433713,51.8010955
Niepubliczne Przedszkole Rybna 7,kindergarten,19.44683,51.7852881
Przedszkole,kindergarten,19.5453054,51.710973
Przedszkole Miejskie Nr 163,kindergarten,19.527007,51.757093
Przedszkole Miejskie Nr 164,kindergarten,19.5412026,51.7526783
Przedszkole Miejskie nr 18,kindergarten,19.4592153,51.7812325
Przedszkole Miejskie Nr 192,kindergarten,19.4901868,51.7146383
Przedszkole Miejskie nr 20,kindergarten,19.4729392,51.7062626
Przedszkole Miejskie Nr 207,kindergarten,19.4612658,51.7478653
Przedszkole Miejskie Nr 215,kindergarten,19.4807454,51.7168589
Przedszkole Miejskie nr 218,kindergarten,19.5454481,51.7605052
Przedszkole Miejskie Nr 223,kindergarten,19.4620706,51.7647719
Przedszkole Miejskie nr 227,kindergarten,19.5207712,51.7560661
Przedszkole Miejskie nr 235,kindergarten,19.426345,51.8176676
Przedszkole Miejskie nr 35,kindergarten,19.4514177,51.7837807
Przedszkole Miejskie nr 71,kindergarten,19.4589647,51.7747506
Przedszkole Miejskie nr 224,kindergarten,19.4846429,51.7659201
Przedszkole Misiowo,kindergarten,19.3868251,51.7831721
Przedszkole Miejskie nr 94,kindergarten,19.5234028,51.7919017
Przedszkole Sióstr Honoratek im. Anieli Róży Godeckiej,kindergarten,19.4720986,51.7303893
Katolickie Przedszkole Zgromadzenia Sióstr Karmelitanek Dzieciątka Jezus,kindergarten,19.4260288,51.815639
Przedszkole Miejskie nr 39,kindergarten,19.4786732,51.7796579
Przedszkole Lingwistyczne,kindergarten,19.4425456,51.8194395
Tęczowy Świat Dziecka. Międzynarodowe Przedszkole Edukacji Innowacyjnej,kindergarten,19.471522,51.7747429
Przedszkole Żywioły,kindergarten,19.447557,51.736679
Przedszkole Lokomotywa,kindergarten,19.4358613,51.8084428
Przedszkole British International School of the University of Łódź,kindergarten,19.4719271,51.7565453
Przedszkole bł. Marii i Alojzego Beltrame Quattrocchi,kindergarten,19.4487541,51.7780113
Przedzkole miejsce nr 13,kindergarten,19.4611154,51.7742822
Przedszkole Pomarańczowe,kindergarten,19.4270267,51.7483321
Przedszkole Miejskie 57,kindergarten,19.4615968,51.7712313
Przedszkole Miejskie nr 183,kindergarten,19.5263439,51.7619102
Przedszkole Miejskie Nr 171,kindergarten,19.5416489,51.7587125
Przedszkole Uniwersytetu Łódzkiego,kindergarten,19.4975915,51.7799742
Przedszkole Miejskie nr 204,kindergarten,19.4320314,51.8246103
Przedszkole Miejskie Integracyjne nr 36,kindergarten,19.45267074519028,51.72936863971341
Przedszkole Miejskie nr 128,kindergarten,19.392504175254736,51.794990153633634
Przedszkole Publiczne Sióstr Służebniczek NMP NP im. Edmunda Bojanowskiego,kindergarten,19.463105569281357,51.76074864126685
Przedszkole nr 14,kindergarten,19.488328018842477,51.78185819039994
Przedszkole Miejskie nr 185,kindergarten,19.50427960279449,51.76382137928205
Przedszkole Miejskie nr 160,kindergarten,19.46331456726773,51.79864400551317
Przedszkole Prywatne Elżbiety Raczyńskiej,kindergarten,19.49180027651676,51.73900859463072
Przedszkole nr 99,kindergarten,19.465314940609073,51.75235907991437
Przedszkole Miejskie Nr 208,kindergarten,19.450103854237614,51.76576852504087
Przedszkole Miejskie nr 160,kindergarten,19.463297342182532,51.798469569869106
Przedszkole Miejskie nr 140,kindergarten,19.41780284795564,51.78887658942313
Przedszkole Miejskie nr 49,kindergarten,19.46582963453752,51.790381064998286
Przedszkole Miejskie nr 122,kindergarten,19.45059151281522,51.726763438513395
Przedszkole im. św. Franciszka z Asyżu Sióstr Bernardynek,kindergarten,19.437814690925777,51.701173666406135
Przedszkole Miejskie nr 174,kindergarten,19.38725613900856,51.747058636978856
Przedszkole nr 115,kindergarten,19.399633858543726,51.79131524125272
NAVICULA CENTRUM - Przedszkole Specjalne,kindergarten,19.381733265984543,51.70874001290008
Słoneczne Przedszkole nr 42,kindergarten,19.440181576685053,51.785890635538046
Przedszkole Miejskie nr 117,kindergarten,19.502282695298504,51.73044671901048
Przedszkole Miejskie nr 118,kindergarten,19.4951856637014,51.73081702863326
Przedszkole Miejskie Nr 138,kindergarten,19.481608895709616,51.76223599585637
Przedszkole Miejskie nr 16,kindergarten,19.423394847872345,51.82107567595441
Przedszkole Miejskie nr 202,kindergarten,19.44470998310511,51.794172816385476
Przedszkole Miejskie nr 12,kindergarten,19.41589198619205,51.774364910025
Przedszkole Miejskie nr 74,kindergarten,19.424805319376446,51.77606654398712
Przedszkole Miejskie nr 56,kindergarten,19.442917333108582,51.76515240670586
Przedszkole Miejskie nr 200,kindergarten,19.491534673867697,51.719126035280524
Przedszkole Miejskie nr 9,kindergarten,19.483123920569998,51.79287134131253
Przedszkole Miejskie nr 156,kindergarten,19.49137485694288,51.74461019376181
Integracyjne Przedszkole Miejskie nr 221,kindergarten,19.491339451790545,51.74520700681222
Przedszkole Miejskie nr 231,kindergarten,19.44439248392081,51.8234499238543
Przedszkole Miejskie nr 149,kindergarten,19.452122548632776,51.79840958123192
Przedszkole Miejskie nr 115,kindergarten,19.39963071703443,51.791104948675226
Przedszkole Miejskie nr 120,kindergarten,19.398794246922602,51.794724547116935
Przedszkole Miejskie nr 123,kindergarten,19.38653986347095,51.79303305496137
Przedszkole Miejskie nr 141,kindergarten,19.389427443772227,51.79401901689631
Przedszkole Miejskie nr 48,kindergarten,19.380149392176733,51.79422360256971
Przedszkole Prywatne PLAYSCHOOL,kindergarten,19.37370314124947,51.79836903337472
Przedszkole Miejskie nr 139,kindergarten,19.37810068681547,51.79842961468788
Przedszkole Miejskie nr 148,kindergarten,19.3733770186776,51.79775845896479
Przedszkole Miejskie nr 30,kindergarten,19.37266087163447,51.79637508810166
Przedszkole Miejskie nr 110,kindergarten,19.418937609173252,51.79101663376257
Przedszkole Miejskie nr 105,kindergarten,19.423688735205126,51.786841966023374
Przedszkole Miejskie nr 112,kindergarten,19.425529449124348,51.75087567718576
Przedszkole Miejskie nr 38,kindergarten,19.472175435672543,51.737588861338224
Przedszkole Miejskie nr 26,kindergarten,19.485086470976725,51.71522386485035
Przedszkole Miejskie nr 137,kindergarten,19.49640052174205,51.74426464177664
Przedszkole Miejskie nr 125,kindergarten,19.486524698911385,51.770279082584125
Przedszkole Miejskie nr 220,kindergarten,19.472191330102355,51.77444399965535
Przedszkole Miejskie Nr 50,kindergarten,19.459037455525152,51.783595271921634
Przedszkole Miejskie nr 52,kindergarten,19.476924724218534,51.77725717318551
Przedszkole Miejskie nr 138 w Łodzi,kindergarten,19.481807904009564,51.762197041352835
Przedszkole Miejskie nr 15,kindergarten,19.47895124891647,51.76486771806418
Przedszkole Miejskie nr 10,kindergarten,19.484075674741106,51.75589525221287
Przedszkole Miejskie nr 170,kindergarten,19.38934654304916,51.73985052389176
Przedszkole Miejskie Nr 119,kindergarten,19.496472948982703,51.73502750164881
Przedszkole Miejskie nr 126,kindergarten,19.500487827548056,51.73289783211595
Przedszkole Miejskie nr 81,kindergarten,19.457793464935197,51.788901020381346
Przedszkole Miejskie nr 53 Pod Modrzewiami,kindergarten,19.427992542650994,51.77985498654814
Przedszkole Niepubliczne im. Dzieci Dobrego Ojca,kindergarten,19.483230669371583,51.81849953619846
Przedszkole Miejskie nr 153,kindergarten,19.43841251099201,51.79403896322055
Przedszkole Miejskie nr 44,kindergarten,19.440938208176213,51.79255982077714
"Family School - Szkoła Języków Obcych, Przedszkole Montessori",school,19.471022542965212,51.74660368101135
Przedszkole Miejskie nr 101,kindergarten,19.44433278441934,51.738351814325114
Przedszkole Miejskie nr 34,kindergarten,19.468568518791287,51.74264710178933
Przedszkole Miejskie nr 86,kindergarten,19.44645007495913,51.71057615909587
Przedszkole Miejskie nr 124,kindergarten,19.445682797031846,51.733806545132
Przedszkole Miejskie nr 107,kindergarten,19.50671882496126,51.76604073165513
Przedszkole Miejskie nr 76,kindergarten,19.49155639526416,51.73006536386554
Katolickie Przedszkole Parafialne im. bł. Edmunda Bojanowskiego,kindergarten,19.487865093105178,51.7124119127802
Przedszkole Zgromadzenia Sióstr Urszulanek SJK im. św. Urszuli Ledóchowskiej,kindergarten,19.4436234002277,51.7360492724764
Przedszkole Miejskie nr 151,kindergarten,19.422621839403035,51.74642848356179
