name,amenity,leisure,tourism,longitude,latitude
Marabut,,,artwork,16.9073128,52.4083273
,,,,16.9258359,52.4202863
Kino Muza,cinema,,,16.9265909,52.4065954
Ośrodek Kultury Wierzbak,arts_centre,,,16.9089705,52.4246343
D,,,,16.8916434,52.3980753
A,,,,16.8921757,52.3981578
B,,,,16.8926577,52.3974347
F,,,,16.8921671,52.3972658
Teatr Ósmego Dnia,theatre,,,16.9253898,52.4082052
Pręgierz,,,attraction,16.9342987,52.408389
Galeria Miejska Arsenał,,,gallery,16.933301,52.4079984
Filharmonia Poznańska,theatre,,,16.9159902,52.4078848
Van Diesel,nightclub,,,16.9332879,52.4089306
Club Havana,nightclub,,,16.9332229,52.4074772
Czekolada,nightclub,,,16.9326987,52.406101
Cuba Libre,nightclub,,,16.9331346,52.406398
Pracownia Portret,arts_centre,,,16.9214556,52.4087622
Balzac,nightclub,,,16.9180052,52.4078207
Blueberry Bar,nightclub,,,16.9242015,52.4068917
Blue Note,nightclub,,,16.9193975,52.4081069
Rozbrat,arts_centre,,,16.91858,52.4174816
,,,,16.9218415,52.4173485
Climbing Spot,,sports_centre,,16.9245281,52.4181957
,,,,16.99431,52.4005323
Multikino,cinema,,,16.9600588,52.4017726
Tama,nightclub,,,16.9223458,52.4025325
Charlie Monroe Kino Malta,cinema,,,16.9318235,52.4026658
Blok Line,,sports_centre,,16.9807459,52.3738941
Cinema City,cinema,,,16.9189495,52.4420945
,,,,16.8591631,52.3962566
,,,,16.8527037,52.3966353
,,,,16.8613743,52.3975739
,,,,16.8617467,52.398736
,,,,16.8611744,52.3989092
,,,,16.8591343,52.399774
,,,,16.8583335,52.4001148
,,,,16.8528002,52.4009031
,,,,16.8536266,52.4015632
,,,,16.854101,52.4329736
,,,,16.8787962,52.4190684
Siłownia Słodkiewicz,,sports_centre,,16.9444461,52.3947307
Planet VR,,amusement_arcade,,16.9421862,52.4086754
Pole Dance School,,sports_centre,,16.942979,52.370435
Dom Kultury Stokrotka,arts_centre,,,16.8211735,52.3833534
Climbing Spot Widłakowa,,sports_centre,,16.9464659,52.4726126
Poznańska Wenecja,,,artwork,16.940172,52.4078643
,,,,16.7994081,52.4146047
MiG-21,,,attraction,17.0378171,52.4344761
,,,,16.9139562,52.3869282
,,,,16.8813559,52.4189955
,,,,16.8811789,52.4188469
,,,,16.9811154,52.3737653
K,,,,16.8927605,52.3978814
Bułgarska 19,cinema,,,16.8622564,52.3992108
FitSwim,,sports_centre,,16.9249217,52.3959925
,,,,16.9291616,52.3994873
,,,,16.9268248,52.394221
Puchatek,,sports_centre,,16.9871617,52.3996202
,,,,16.9325096,52.3950541
,,,,16.7975836,52.4175337
,,,,16.8131119,52.414427
,,,,16.8144263,52.4201094
Mój Teatr,theatre,,,16.8931406,52.409509
Centrum treningowe Ankos MMA Poznań,,sports_centre,,16.8794933,52.3500796
"Piątkowskie Centrum Kultury ""Dąbrówka""",arts_centre,,,16.9167935,52.4496196
,,,,16.9140372,52.3869218
,,,,16.9918785,52.4483219
,,,,16.9914246,52.4484119
Stacja Podolany,,sports_centre,,16.8938265,52.447708
,,,,16.9454636,52.4260799
SU-22M4,,,attraction,16.9505305,52.4015039
,,,,16.9288085,52.4186903
,,,,16.9748623,52.4055069
Muzeum Powstania Poznańskiego – Czerwiec 1956,,,museum,16.9189184,52.4076825
,,,,16.9130866,52.386044
Niebieskookie kobiety,,,artwork,16.937238,52.4100755
,,,,16.9367883,52.4101363
,,,,16.9057207,52.4086648
,,,,16.9030673,52.4089387
,,,,16.9053608,52.4075654
,,,,16.9025355,52.4077597
,,,,16.9326506,52.3983728
,,,,16.9250417,52.4180371
