name,power,man_made,longitude,latitude
,,,17.0233021,52.4130481
,substation,,16.9824642,52.4883358
,,,16.9330005,52.3921456
,,,16.8960951,52.3851971
,,,16.9098656,52.4536422
,,,16.9047163,52.4417935
,,,16.8652844,52.4032397
,,,16.86499,52.4027264
,,,16.9243248,52.4203792
,,,16.9650445,52.4208737
,,,16.9655986,52.4213285
,,,16.9848169,52.4370261
,,,16.9848126,52.4357225
,tower,,16.9846249,52.4364289
,,,16.9851507,52.4357214
,,,16.9855161,52.4357203
,,,16.9851737,52.4370253
,,,16.9816707,52.4476708
,,,16.9776388,52.4736993
,,,16.9782149,52.4747903
,,,16.938295,52.3742543
,,,16.9716749,52.3989493
,,,16.9789839,52.4167924
,,,16.9780766,52.4168295
,,,16.9063477,52.3772131
,,,16.894734,52.3849615
,,,16.865487,52.3742571
,,,16.8655069,52.3746083
,,,16.8612774,52.3825279
,,,16.9707139,52.398512
,,,16.8338071,52.497748
,,,16.837858,52.3768761
,,,16.9494294,52.4406102
,,,16.9156888,52.4115673
,,,16.9553546,52.4336842
,substation,,16.9882779,52.3876103
,substation,,16.9875702,52.3869136
,substation,,16.9881657,52.389564
,substation,,16.986442,52.3904247
,substation,,16.9899149,52.3867024
,substation,,16.9904315,52.3879631
,substation,,16.9832586,52.3886037
,substation,,16.9903991,52.3901332
,substation,,16.9844156,52.3906983
,substation,,16.9823758,52.3895418
,substation,,16.9823806,52.3908653
,substation,,16.9434021,52.3912482
,substation,,16.9430967,52.3921493
,substation,,16.8083647,52.371649
,substation,,16.8212297,52.3694552
,substation,,16.9448399,52.3945254
,substation,,16.9444543,52.3956707
,substation,,16.9537702,52.3890377
,substation,,16.9541339,52.3878407
,substation,,16.9627978,52.3893611
,substation,,16.9624676,52.3903252
,substation,,16.9268566,52.4293725
,substation,,16.9596583,52.3776619
,substation,,16.843444,52.3823154
,substation,,16.981543,52.3845841
,substation,,16.9803532,52.3855991
,substation,,16.9562601,52.3925997
,substation,,16.9572579,52.392711
,substation,,16.9576602,52.3908859
,substation,,16.959283,52.391084
,substation,,16.9523253,52.3927113
,substation,,16.9505691,52.3938308
,substation,,16.9516802,52.393966
,substation,,16.9451624,52.3932132
,substation,,16.9602756,52.3884898
,substation,,16.9539225,52.3931527
,substation,,16.9490156,52.3988339
,substation,,16.9766058,52.3856578
,substation,,16.9774524,52.3860745
,substation,,16.9661957,52.3818061
,substation,,16.9681722,52.3836034
,substation,,16.9475508,52.3939686
,substation,,16.9459418,52.3937791
,substation,,16.975717,52.3841508
,substation,,16.9773841,52.3853629
,substation,,16.9678464,52.3856616
,substation,,16.9699064,52.3887572
,substation,,16.9734467,52.3873891
,substation,,16.8786668,52.4135573
,substation,,16.9696331,52.3903267
,substation,,16.9739412,52.391215
,substation,,16.9702036,52.3912963
,substation,,16.9715686,52.3916526
,substation,,16.9516492,52.4015339
,substation,,16.9518089,52.4023507
,substation,,16.9509527,52.4026782
,substation,,16.9598377,52.3899103
,substation,,16.9614735,52.3901056
,substation,,16.9719194,52.3813162
,substation,,16.9811442,52.3824
,substation,,16.995059,52.3662817
,substation,,16.9500047,52.3970314
,substation,,16.9631521,52.3960281
,substation,,16.976251,52.3880414
,substation,,16.9764255,52.3893289
,substation,,16.9599882,52.3795368
,substation,,16.9603735,52.3795572
,substation,,16.9626008,52.3800107
,substation,,16.9573411,52.3801131
,substation,,16.9673885,52.3825645
,substation,,16.9687975,52.384807
,substation,,16.9799504,52.3932607
,substation,,16.9550329,52.4094065
,substation,,16.8970669,52.3893477
,substation,,16.9579567,52.3874634
,,,16.9158672,52.4115446
,substation,,16.9787385,52.3837534
,substation,,16.9607299,52.3840557
,substation,,16.9569493,52.3821369
,substation,,16.958202,52.3827358
,substation,,16.961644,52.3849241
,substation,,16.9774949,52.3823469
,substation,,16.9555009,52.3893523
,substation,,16.9565649,52.3894628
,substation,,16.975366,52.3906429
,substation,,16.9779326,52.3930695
,substation,,16.9752426,52.3939751
,substation,,16.9784175,52.3941137
,substation,,16.9739481,52.3941872
,substation,,16.973956,52.3950845
,substation,,16.9760238,52.3953942
,substation,,16.9640813,52.3768315
,substation,,16.9668542,52.3772343
,substation,,16.9676819,52.3774581
,substation,,16.9611068,52.3776988
,substation,,16.9686822,52.3780896
