name,amenity,longitude,latitude
Publiczne Przedszkole nr 9 im. Ewy Szelburg-Zarembiny,kindergarten,21.1752197,51.3895918
"Przedszkole Niepubliczne ""Czas Dziecka""",kindergarten,21.1751696,51.416373
Przedszkole Publiczne nr 26,kindergarten,21.1426908,51.3949077
Przedszkole Niepubliczne Piotrówkowe Skarby,kindergarten,21.1356793,51.3986417
Publiczne Przedszkole nr 18 im. Św. Brata Alberta,kindergarten,21.156361,51.3758071
Niepubliczny Żłobek i Przedszkole Słoneczna Kraina,kindergarten,21.1852208,51.4128974
Niepubliczne Przedszkole Językowe Gąska Balbinka,kindergarten,21.1728902,51.4211769
Niepubliczne Przedszkole Kraina Radości,kindergarten,21.1264488,51.368202
Niepubliczne Przedszkole Planeta Odkrywców,kindergarten,21.1200807,51.4045206
Publiczne Przedszkole nr 21,kindergarten,21.1551977,51.383834
Publiczne Przedszkole nr 15,kindergarten,21.156988318002284,51.41015120909857
Zespół Szkolno-Przedszkolny nr 2,school,21.15528116514107,51.38370697194219
Zespół Szkolno-Przedszkolny nr 4,school,21.1427390010783,51.39458188411001
Niepubliczna Szkoła Podstawowa z Oddziałami Przedszkolnymi Realizująca Program Rehabilitacji „Nasza Szkoła”,school,21.161718979032653,51.42950379818507
Publiczne Przedszkole nr 8 im. Króla Maciusia I,kindergarten,21.156619211984705,51.42834857831684
Przedszkole Publiczne nr 24 z Oddziałami Integracyjnymi im. Janusza Korczaka,kindergarten,21.181865833678074,51.413018556389964
Publiczne Przedszkole nr 3 im. Janiny Porazińskiej,kindergarten,21.175448033843615,51.40604902457458
Publiczne Przedszkole nr 25,kindergarten,21.130004342912667,51.38835892386198
Publiczne Przedszkole,school,21.132876785418738,51.391917857117285
Publiczne Przedszkole nr 2,kindergarten,21.163142373371237,51.410471019493436
Publiczne Przedszkole nr 1 im. Marii Konopnickiej,kindergarten,21.182399977865078,51.41398959881222
Publiczne Przedszkole nr 1 im. Marii Konopnickiej,kindergarten,21.17875129172395,51.41316884598848
Publiczne Przedszkole nr 16,kindergarten,21.150820998730765,51.38590766403524
Przedszkole Publiczne nr 14,kindergarten,21.155692402606388,51.38002175154494
Publiczne Przedszkole nr 12,kindergarten,21.136630817099295,51.41096528727185
Przedszkole Publiczne nr 11,kindergarten,21.147361516883706,51.39524561220102
Publiczne Przedszkole nr 13,kindergarten,21.12261204891455,51.39987511935321
Publiczne Przedszkole nr 10 im. Jana Brzechwy,kindergarten,21.164396687146017,51.379556505010505
Publiczne Przedszkole nr 19 z Oddziałami Integracyjnymi,kindergarten,21.121501018707853,51.39035558245342
Publiczne Przedszkole nr 5 im. Tadeusza Kościuszki,kindergarten,21.129887604465985,51.37297518252293
"Przedszkole Niepubliczne ""Kraina Przygód""",kindergarten,21.12816944868827,51.37473092748035
Publiczne Przedszkole nr 23,kindergarten,21.12803378855275,51.37151559616736
Publiczne Przedszkole Samorządowe,kindergarten,21.09316883407564,51.414495964886896
Publiczne Przedszkole nr 6,kindergarten,21.165045676761792,51.42115344210958
