name,amenity,longitude,latitude
Zespół Szkół nr 6 imienia Mikołaja Reja,school,14.5402016,53.4184184
Zespół Szkół nr 3 imienia Oskara Langego,school,14.5410877,53.4183091
Technikum Informatyczne SCI,school,14.555197,53.4307091
V Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Adama Asnyka,school,14.5548429,53.4406573
,,14.5181779,53.4230853
,,14.5181596,53.4334608
,,14.5183435,53.4334874
,,14.5386554,53.4235222
,,14.5394706,53.4233927
,,14.539489,53.4234374
,,14.5394837,53.4234244
,,14.5395775,53.4236552
,,14.5389392,53.4241611
,,14.5393339,53.4240983
,,14.5396735,53.4239252
,,14.5396235,53.4237691
,,14.5396625,53.4239005
,,14.5396489,53.4238688
,,14.5396631,53.4238666
,,14.5396378,53.4238042
,,14.5396349,53.4240504
,,14.5397041,53.4239938
,,14.5391323,53.4241304
,,14.5391762,53.4241234
,,14.5392475,53.4241121
,,14.5397231,53.4240364
,,14.5370468,53.4286591
,,14.5370169,53.428676
,,14.5391428,53.4282086
,,14.5391912,53.4283183
,,14.5392933,53.4285492
,,14.5392508,53.4284529
,,14.5393045,53.4285745
,,14.5393327,53.4286382
,,14.5393443,53.4286643
,,14.5393671,53.4287161
,,14.5395902,53.428894
,,14.5395684,53.4288432
,,14.5396882,53.4288794
,,14.5396669,53.4288288
,,14.5396095,53.4289391
,,14.5366558,53.4295605
,,14.536729,53.4295966
,,14.5406857,53.4287758
,,14.5404994,53.4288056
XIV Liceum Ogólnokształcące,school,14.5424897,53.4223551
XII Liceum Ogólnokształcące,school,14.5626595,53.4279171
XI Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi,school,14.4878841,53.4529113
,,14.5544137,53.4503575
,,14.5805187,53.4573281
,,14.5814095,53.4567881
,,14.5814809,53.4567448
,,14.5807829,53.4571641
,,14.5806744,53.4574076
,,14.5806297,53.4572585
,,14.5820631,53.4570726
,,14.5806839,53.4572287
,,14.5909947,53.4662723
,,14.5909074,53.4663349
,,14.5914143,53.4666141
,,14.5915682,53.4666643
,,14.5908049,53.4661419
,,14.5907018,53.4665944
,,14.5917599,53.4666509
,,14.5908704,53.4663616
,,14.5911111,53.4664639
,,14.5912732,53.4668777
,,14.5910252,53.4662507
,,14.5909978,53.4663826
,,14.5911397,53.4668116
,,14.5916697,53.4667151
,,14.5906503,53.4662531
,,14.5908353,53.4666605
,,14.5499673,53.423019
,,14.4943374,53.4521748
,,14.4943373,53.4531181
,,14.4942892,53.452717
XVIII Liceum Ogólnokształcące im. Józefa Wybickiego,school,14.5775833,53.4623616
,,14.513681,53.4449918
,,14.5508725,53.4336908
,,14.5485431,53.4340722
,,14.5502864,53.434156
,,14.5499646,53.4342866
,,14.5496232,53.4337663
,,14.5538624,53.4406516
,,14.5393038,53.4653038
,,14.5387089,53.46583
,,14.5386874,53.4658757
,,14.5386662,53.4663965
,,14.5398378,53.4672196
EDICUS – sekretariat,school,14.5346025,53.4262709
,,14.5100735,53.4211024
,,14.5027804,53.4510647
,,14.5028968,53.4510756
,,14.5956514,53.3649492
,,14.5968564,53.3653079
,,14.6363664,53.3820336
,,14.6203635,53.3779432
Centrum Kształcenia Plejada,school,14.6320475,53.3853081
,,14.5040055,53.4336647
,,14.6256973,53.377845
,,14.471775,53.3766088
,,14.6356137,53.3812802
,,14.5376245,53.4360916
,,14.5317248,53.4392914
,,14.557679,53.4364668
,,14.5904811,53.4658395
,,14.566589,53.4394809
,,14.5713356,53.4379105
,,14.5708196,53.4380006
,,14.5711737,53.4380275
,,14.6081814,53.4931014
,,14.5632804,53.4405511
,,14.5490461,53.4220575
,,14.5485852,53.4221281
,,14.4825835,53.4806692
,,14.502444,53.4211914
,,14.503058,53.4211613
Collegium Balticum,school,14.5163661,53.4094933
,,14.5813606,53.4568174
,,14.5810834,53.4569838
,,14.5807995,53.4571541
,,14.5593279,53.4254378
,,14.5809978,53.4575284
,,14.5665331,53.4529745
,,14.5655224,53.4530907
,,14.4798754,53.4958347
,,14.5208537,53.4049021
,,14.5666566,53.4529637
,,14.5592684,53.4257475
,,14.554908,53.4496898
VIII Liceum Ogólnokształcące im. Olimpijczyków Polskich,school,14.5403707,53.4284625
Branżowa Szkoła I stopnia nr 7,school,14.6195748,53.3784154
Technikum Ogrodnicze,school,14.6194456,53.3785108
,,14.5660373,53.4395317
I Prywatne Liceum Ogólnokształcące Leonarda Piwoni,school,14.4899832,53.4504595
Szkoła Mistrzostwa Sportowego FASE,school,14.4893838,53.4503892
Cosinus,school,14.5764678,53.4403081
,,14.5659073,53.4397208
Szkoła Przysposabiająca do pracy nr 2,school,14.529803,53.4336583
Technikum Elektryczno-Elektroniczne,school,14.5628877,53.4406588
Branżowa Szkoła Stolarska I stopnia Towarzystwa Salezjańskiego im. Św. Józefa,school,14.5032123,53.4207751
Technikum Technologii Drewna Towarzystwa Salezjańskiego im. św. Józefa,school,14.50321,53.4206274
Liceum Ogólnokształcące Towarzystwa Salezjańskiego im. św. Józefa,school,14.5027401,53.4209621
Prywatne Liceum Ogólnokształcące „Maxima”,school,14.49205,53.4489974
Technikum Kreatywne,school,14.4922856,53.4491742
XIII Liceum Ogólnokształcące,school,14.5482717,53.4398627
,,14.5392232,53.4281965
,,14.5135137,53.4444551
,,14.499081,53.4392994
,,14.5978283,53.364617
,,14.5969053,53.3652741
,,14.5971371,53.3651138
,,14.5561257,53.4449897
,,14.5181694,53.4231477
Branżowa Szkoła I stopnia nr 2,school,14.5778578,53.4629781
Technikum Morskie i Politechniczne,school,14.5779633,53.4631266
Liceum Ogólnokształcące dla Dorosłych nr 2,school,14.5780689,53.4632751
,,14.5490621,53.437474
,,14.5509169,53.4374432
,,14.5663244,53.4529985
,,14.5657305,53.4530668
,,14.5463364,53.4363972
XXIV Liceum Ogólnokształcące Specjalne,school,14.6411545,53.3718905
,,14.5551074,53.4507862
,,14.5555848,53.4506579
,,14.5563079,53.4504159
Cosinus,school,14.5537173,53.4222053
Medyczna szkoła policealna,school,14.5309569,53.4374651
,,14.5490554,53.4375027
,,14.5376574,53.4360678
,,14.5237046,53.4060771
,,14.5234314,53.4075938
Niepubliczna Ogólnokształcąca Szkoła Muzyczna I stopnia „Promyk”,school,14.5605074,53.4300951
Branżowa szkoła I stopnia nr 9,school,14.5040928,53.4516761
Technikum Samochodowe,school,14.5035371,53.4516504
Branżowa Szkoła I stopnia nr 15 w Okręgowym Ośrodku Wychowawczym,school,14.4816125,53.4536474
XXVI Liceum Ogólnokształcące Specjalne dla Słabosłyszących,school,14.5813761,53.4568932
Branżowa Szkoła Specjalna II stopnia nr 2,school,14.5817537,53.4571057
Branżowa Szkoła Specjalna I stopnia nr 14,school,14.5816169,53.4571923
,,14.5044584,53.4529997
,,14.5561648,53.4449792
,,14.5668173,53.4394602
Szkoła Specjalna Przysposabiająca do pracy nr 1,school,14.5948189,53.4964295
,,14.5093486,53.4326975
,,14.508942,53.4321099
,,14.5093953,53.4321493
,,14.508907,53.4326534
,,14.5093356,53.4321441
I Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie,school,14.536668128561018,53.42931200785584
Zespół Szkół Łączności,school,14.511160215579958,53.42135552205597
Centrum Kształcenia Sportowego,school,14.55065010987811,53.43326698412512
,,14.55025779589073,53.43684911408598
VII Liceum Ogólnokształcące im. Krzysztofa Kamila Baczyńskiego,school,14.50475177307009,53.43371329866984
Zespół Szkół Ogólnokształcących nr 1,school,14.554911062061963,53.44054459276722
Wyższa Szkoła Integracji Europejskiej,school,14.529114362847897,53.43796496862987
Ogólnokształcąca Szkoła Muzyczna I stopnia im. prof. Marka Jasińskiego,school,14.536620463699354,53.431473613490404
Zespół Szkół nr 8 imienia Stanisława Staszica,school,14.549727756382326,53.423054653133434
Szczecin International School,school,14.537435337783315,53.42278747851834
Zespół Szkół Ogólnokształcących nr 2,school,14.54242889718903,53.422030515516894
,school,14.566008060495708,53.439916522674466
Zespół Szkół Sportowych im. Sportowców Ziemi Szczecińskiej,school,14.562421775251833,53.42774766814086
Zespół Szkół Ogólnokształcących nr 4,school,14.488733741859859,53.45277169254947
Zachodniopomorskie Centrum Edukacji Morskiej i Politechnicznej,school,14.579665268281904,53.46299730131889
Zespół Szkół nr 9 imienia komandora podporucznika Jana Grudzińskiego,school,14.607989591458301,53.49253421234341
,,14.481140105354395,53.48092362123571
Technikum Technologii Cyfrowych,school,14.536110703196032,53.44934358861028
6 Liceum Ogólnokształcące imienia Stefana Czarnieckiego,school,14.52752311853935,53.434563797669846
IV Liceum Ogólnokształcące imienia Bolesława Prusa,school,14.492870932782333,53.42082622451503
Szkoły Salezjańskie,school,14.50254290716679,53.420174021136695
,school,14.578073155737066,53.461802633485014
,school,14.534662417838152,53.43650649246164
Zespół Szkół Elektryczno-Elektronicznych im. prof. Maksymiliana Tytusa Hubera,school,14.561657676855209,53.44039057748561
II Liceum Ogólnokształcące im. Mieszka I,school,14.562169068268425,53.42923677864031
,school,14.471868104738277,53.37689737858005
Zespół Szkół Specjalnych nr 1,school,14.595175989185497,53.49661674143966
XVI Liceum Ogólnokształcące,school,14.529731434475615,53.41121442653065
Specjalny Ośrodek Szkolno-Wychowawczy dla Dzieci Niesłyszących,school,14.530583039569155,53.40587353629219
IX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bohaterów Monte Cassino,school,14.55710860239692,53.426859628605335
Specjalny Ośrodek Szkolno-Wychowawczy dla Dzieci Słabosłyszących im. Juliana Tuwima,school,14.58153656149204,53.45733235832731
,school,14.590663876118207,53.4664755074567
,school,14.5665562361329,53.453354658080215
Collegium Salesianum,school,14.51777015814383,53.43319746505507
Zespół Szkół Ogólnokształcących Nr 9,school,14.539905384138322,53.428503590722116
Zespół Szkół Samochodowych,school,14.50362586578987,53.452313211492445
,school,14.530311024497554,53.45239272502626
Zachodniopomorskie Centrum Kształcenia Zawodowego i ustawicznego,school,14.530333405054238,53.45383656557844
,,14.513489121549624,53.44475583549194
Państwowe Liceum Sztuk Plastycznych im. Constantina Brancusiego,school,14.559763737994967,53.425296762482056
Zespół Szkół Centrum Kształcenia Rolniczego,school,14.617508123343358,53.37895586548485
Centrum Edukacji „Zdroje”,school,14.621818400727989,53.37767897049122
,,14.54905631570402,53.43749856572074
Katolickie Liceum Ogólnokształcące im. M.M. Kolbego,school,14.537325072254507,53.435819955209325
I Liceum Ogólnokształcące im. Marii Skłodowskiej-Curie,school,14.536717669987546,53.429285031510254
Zespół Szkół Łączności,school,14.511179348422772,53.42135465228841
Centrum Kształcenia Sportowego,school,14.550656342947669,53.43327876405389
VII Liceum Ogólnokształcące im. Krzysztofa Kamila Baczyńskiego,school,14.50475512822728,53.433721914471484
Zespół Szkół Ogólnokształcących nr 1,school,14.554902694457043,53.44054717489868
Wyższa Szkoła Integracji Europejskiej,school,14.529114303241538,53.43796388669784
Ogólnokształcąca Szkoła Muzyczna I stopnia im. prof. Marka Jasińskiego,school,14.536604502421364,53.431475890881245
Zespół Szkół nr 8 imienia Stanisława Staszica,school,14.549765479263419,53.423050647816126
Szczecin International School,school,14.537435339930791,53.422787479125454
Zespół Szkół Ogólnokształcących nr 2,school,14.54242717275619,53.42202941503689
,school,14.566012639921341,53.43991590040777
Zespół Szkół Sportowych im. Sportowców Ziemi Szczecińskiej,school,14.562399216327663,53.42775834531948
Zespół Szkół Ogólnokształcących nr 4,school,14.488739100522853,53.45277745698202
Zachodniopomorskie Centrum Edukacji Morskiej i Politechnicznej,school,14.579644501690902,53.46295774285537
Zespół Szkół nr 9 imienia komandora podporucznika Jana Grudzińskiego,school,14.607969802908077,53.49251813442037
