name,highway,longitude,latitude
Studencka- uczelniana,bus_stop,17.9942911,53.1237895
Plac Kościeleckich,bus_stop,18.0042287,53.1205889
Plac Poznański,bus_stop,17.9868648,53.1227476
Rondo Grunwaldzkie,bus_stop,17.9859978,53.1266579
Grunwaldzka / Kanałowa,bus_stop,17.977999,53.1300988
Krajeńska / Koronowska,bus_stop,17.9591084,53.1410798
Wiejska / Krajeńska,bus_stop,17.9552877,53.1418203
Wiejska / Chojnicka,bus_stop,17.9567401,53.1465108
Deszczowa / Wiejska,bus_stop,17.957198,53.1501579
Deszczowa / Wichrowa,bus_stop,17.9501617,53.1485376
Czyżkówko,bus_stop,17.9493389,53.1443996
Deszczowa / Wichrowa,bus_stop,17.9506271,53.1485326
Wiejska / Deszczowa,bus_stop,17.9575998,53.1498183
Wiejska / Chojnicka,bus_stop,17.9568972,53.1476599
Krajeńska / Wiejska,bus_stop,17.9555514,53.1414142
Nad Torem / Orlicza,bus_stop,17.9627448,53.1401967
Rondo Maczka P+R,bus_stop,17.9636945,53.1379105
Grunwaldzka / Kraszewskiego,bus_stop,17.9699412,53.1329813
Grunwaldzka / Kanałowa,bus_stop,17.9790142,53.1294447
Plac Poznański,bus_stop,17.9882799,53.1215015
Nowy Rynek,bus_stop,17.9978602,53.1200214
Zbożowy Rynek,bus_stop,18.003456,53.1196882
Rondo Jagiellonów,bus_stop,18.0072591,53.1224699
Plac Kościeleckich,bus_stop,18.0051935,53.1205587
Szubińska / Żwirki i Wigury,bus_stop,17.9664979,53.1157208
Szubińska / Gnieźnieńska,bus_stop,17.9738425,53.1178129
Szubińska / Piękna,bus_stop,17.979672,53.1194638
Rondo Jagiellonów,bus_stop,18.0087132,53.1240702
Markwarta / 3 Maja,bus_stop,18.0105558,53.1267572
Rondo Ossolińskich,bus_stop,18.0162694,53.1269962
Plac Weyssenhoffa,bus_stop,18.0153769,53.1293813
UKW,bus_stop,18.0212531,53.1319586
Sułkowskiego / Czerkaska,bus_stop,18.0286931,53.1398723
Leśne,bus_stop,18.0311984,53.1434395
Myślęcinek,bus_stop,18.0393639,53.1615079
Zamczysko / Gdańska,bus_stop,18.0473572,53.1648054
Armii Krajowej / Zamczysko,bus_stop,18.0553331,53.163179
Jeździecka / Gdańska,bus_stop,18.0516496,53.1727697
Jeździecka / Ogród Botaniczny,bus_stop,18.0447956,53.17601
Jeździecka / Hipiczna,bus_stop,18.0327653,53.1757538
Jeździecka / Dżokejowa,bus_stop,18.0188584,53.176278
Jeździecka / Dżokejowa,bus_stop,18.0192031,53.1762003
Jeździecka / Hipiczna,bus_stop,18.0328494,53.1755921
Jeździecka / Ogród Botaniczny,bus_stop,18.0451835,53.175692
Gdańska / Jeździecka,bus_stop,18.0512776,53.1718897
Zamczysko / Armii Krajowej,bus_stop,18.0534299,53.1632427
Zamczysko / Gdańska,bus_stop,18.0469815,53.1650179
Modrzewiowa / Gdańska,bus_stop,18.0261084,53.1451886
Modrzewiowa / Gdańska,bus_stop,18.0257252,53.1454714
Sułkowskiego / Czerkaska,bus_stop,18.0285053,53.1400879
Sułkowskiego / Kamienna,bus_stop,18.0233501,53.1354892
UKW,bus_stop,18.0212253,53.130852
Zbożowy Rynek,bus_stop,18.0027088,53.1200273
Nowy Rynek P+R,bus_stop,17.9974994,53.1203806
Plac Poznański,bus_stop,17.9898079,53.1223045
Szubińska / Piękna,bus_stop,17.9776947,53.1192793
Szubińska / Gnieźnieńska,bus_stop,17.9715403,53.1175964
Grunwaldzka / Kraszewskiego,bus_stop,17.9691281,53.1335486
Trzciniec / Sarnia,bus_stop,17.946847,53.0874275
,bus_stop,17.8861794,53.0987704
Bielawy PKS,bus_stop,18.0368495,53.131456
Błonie,bus_stop,17.96117,53.1148222
Błonie,bus_stop,17.9607859,53.1147068
Wzgórze Wolności,bus_stop,18.015124,53.1148904
Wzgórze Wolności,bus_stop,18.0195165,53.1143682
Wojska Polskiego / Ujejskiego,bus_stop,18.0231471,53.1139151
Wojska Polskiego / Ujejskiego,bus_stop,18.0247954,53.1128121
Stadion BKS Chemik,bus_stop,18.0313594,53.1016992
Magnuszewska / Modrakowa,bus_stop,18.0326837,53.1068099
Magnuszewska / Modrakowa,bus_stop,18.0317293,53.1067774
Wojska Polskiego / Kładka,bus_stop,18.030509,53.1100602
Wojska Polskiego / Kładka,bus_stop,18.0310271,53.1095196
Glinki,bus_stop,18.0400571,53.0974273
Glinki,bus_stop,18.0397432,53.0975924
Glinki / Zajęcza,bus_stop,18.0355672,53.0996593
Glinki / Zajęcza,bus_stop,18.0346397,53.0999293
Stadion BKS Chemik,bus_stop,18.0319675,53.1015343
Glinki BFM [końcowy],bus_stop,18.0438753,53.0889553
Glinki / Eltra,bus_stop,18.0443261,53.0920375
Glinki / Polon,bus_stop,18.0449971,53.0944214
Glinki / Polon,bus_stop,18.0444162,53.0951684
Glinki BFM,bus_stop,18.0440715,53.0893891
Garbary,bus_stop,17.9906439,53.1259561
Focha / Opera,bus_stop,17.9966748,53.1254179
Plac Teatralny,bus_stop,18.0010413,53.1242443
Rondo Jagiellonów,bus_stop,18.0066593,53.1237555
Rondo Jagiellonów,bus_stop,18.0102411,53.1231011
Żeglarska / Ludwikowo,bus_stop,17.9777519,53.1377682
Dworzec Główny,bus_stop,17.9925751,53.1347577
Warszawska / Fredry,bus_stop,17.9958502,53.1331102
Garbary,bus_stop,17.9912306,53.1267572
Saperów / Zakątek,bus_stop,17.9782568,53.1432408
Saperów / Zakątek,bus_stop,17.9791941,53.14276
Saperów / Ludwikowo,bus_stop,17.983781,53.1395768
Saperów / Ludwikowo,bus_stop,17.9832432,53.1397858
Żeglarska / Ludwikowo,bus_stop,17.977529,53.138167
Saperów / Kąpielisko,bus_stop,17.9688279,53.1546781
Saperów / Komandosów,bus_stop,17.9729755,53.1476027
Saperów / Komandosów,bus_stop,17.972705,53.1476027
Saperów / Czołgistów,bus_stop,17.9767893,53.1445051
Saperów / Czołgistów,bus_stop,17.9756363,53.1452554
Piaski,bus_stop,17.9695099,53.1711316
Smukalska / Błądzimska,bus_stop,17.9718339,53.1672766
Saperów / Kąpielisko,bus_stop,17.9700066,53.1535112
Dworzec Autobusowy,bus_stop,18.0181729,53.1233062
Solskiego / Kossaka,bus_stop,17.9837916,53.1130178
Piękna / Szubińska,bus_stop,17.9791869,53.1186452
Rondo Ossolińskich,bus_stop,18.0176932,53.1261134
Skorupki,bus_stop,17.9766896,53.1082618
Skorupki,bus_stop,17.9775067,53.1083228
Skorupki / Czackiego,bus_stop,17.9805852,53.1100785
Skorupki / Czackiego,bus_stop,17.9817325,53.1109087
Solskiego / Kossaka,bus_stop,17.9841629,53.1131296
Głowackiego / Bałtycka,bus_stop,18.0470975,53.13125
Głowackiego / Bałtycka,bus_stop,18.0471252,53.1310687
Morska [końcowy],bus_stop,18.0531815,53.1297518
Morska,bus_stop,18.05544,53.1295941
Morska,bus_stop,18.055279,53.12971
Powstańców Wielkopolskich / Lelewela,bus_stop,18.0279559,53.1293982
Powstańców Wielkopolskich / Wyszyńskiego,bus_stop,18.0387101,53.1302439
Powstańców Wielkopolskich / Wyszyńskiego,bus_stop,18.0400613,53.1301083
Głowackiego / Gajowa,bus_stop,18.0437568,53.13176
Głowackiego / Gajowa,bus_stop,18.0439762,53.1315671
Ogińskiego / Moniuszki,bus_stop,18.0208385,53.1265186
Rondo Wielkopolskie,bus_stop,18.023055,53.1291005
Jagiellońska / Piotrowskiego,bus_stop,18.0145912,53.1235283
Rondo Wielkopolskie,bus_stop,18.0212752,53.12841
Powstańców Wielkopolskich / Lelewela,bus_stop,18.0297546,53.1293315
Rondo Ossolińskich,bus_stop,18.0178059,53.1257856
Podkowa,bus_stop,18.0140917,53.1761803
Nakielska / Lisia,bus_stop,17.9076713,53.1345763
Nakielska / Lisia,bus_stop,17.9051573,53.1337438
Łochowska,bus_stop,17.8990703,53.1305591
Łochowska,bus_stop,17.899096,53.1302763
Belma,bus_stop,17.8987373,53.1251252
Nakielska / Iglasta,bus_stop,17.9207063,53.1332758
Nakielska / Tarnowska,bus_stop,17.9172929,53.1338561
Nakielska / Tarnowska,bus_stop,17.9158454,53.1338904
Nakielska / Notecka,bus_stop,17.9110408,53.1346341
Nakielska / Notecka,bus_stop,17.9111462,53.1345634
Nakielska / Pijarów,bus_stop,17.9407039,53.1320779
Nakielska / Wiśniowa,bus_stop,17.9352118,53.1321703
Nakielska / Wiśniowa,bus_stop,17.9343781,53.1323361
Nakielska / Żywiecka,bus_stop,17.9246094,53.13299
Nakielska / Żywiecka,bus_stop,17.9264431,53.1326981
Nakielska / Wrzesińska,bus_stop,17.9706327,53.1270052
Nakielska / Wrzesińska,bus_stop,17.9694966,53.1272259
Nakielska / Widok,bus_stop,17.9485716,53.1308241
Nakielska / Widok,bus_stop,17.9473713,53.1312093
Nakielska / Pijarów,bus_stop,17.9413018,53.1319456
Rondo Grunwaldzkie,bus_stop,17.9844448,53.1258763
Rondo Jagiellonów,bus_stop,18.0088363,53.124378
Skłodowskiej-Curie / Jurasza,bus_stop,18.0305538,53.1263015
Skłodowskiej-Curie / Jurasza,bus_stop,18.0306236,53.1261442
Skłodowskiej-Curie / Gajowa,bus_stop,18.0422291,53.1266681
Skłodowskiej-Curie / Gajowa,bus_stop,18.042403,53.1264809
Tor Regatowy,bus_stop,18.1282494,53.1280701
Tor Regatowy,bus_stop,18.1292535,53.1279664
Witebska / Wschodnia,bus_stop,18.1322656,53.1293367
Witebska / Wschodnia,bus_stop,18.1329801,53.1297626
Fordońska / Wiślana,bus_stop,18.1118454,53.1325015
Łowicka / Szkoła,bus_stop,18.1250145,53.1310674
Łowicka / Szkoła,bus_stop,18.1252373,53.1306508
