name,amenity,longitude,latitude
Szkoła Podstawowa nr 33 im. Stefana Banacha w Gdańsku,school,18.4790736,54.4209492
Szkoła Podstawowa nr 5 im. Jana Pawła II,school,18.6045206,54.4023481
Morska  Szkoła Podstawowa im.Aleksandra Doby w Gdańsku,school,18.5971177,54.3324116
Katolicka Szkoła Podstawowa im. Św. Wojciecha,school,18.5915156,54.3565313
Szkoła Podstawowa Mistrzostwa Sportowego nr 94,school,18.6738275,54.3525221
Szkoła Podstawowa nr 42 w Gdańsku,school,18.6028627,54.3535085
Szkoła Podstawowa nr 3 w Gdańsku,school,18.6222678,54.3403776
Szkoła Podstawowa nr 70 z Oddziałami Sportowymi,school,18.5743712,54.3879163
"Niepubliczna Szkoła Podstawowa ""Sokrates""",school,18.6256426,54.3503372
Szkoła Podstawowa nr 67 im. kapitana żeglugi wielkiej Tadeusza Ziółkowskiego,school,18.650370680200492,54.3446059058091
Szkoła Podstawowa nr 8,school,18.607652191756287,54.33914186541718
Szkoła Podstawowa nr 55,school,18.671316414748375,54.39927749331725
Szkoła Podstawowa nr 57 im. gen. Władysława Andersa,school,18.652791625328586,54.35776686138305
Szkoła Podstawowa nr 14 im. ks. Grzegorza Piramowicza,school,18.618811629391875,54.34818207483447
Szkoła Podstawowa nr 17,school,18.613210043787607,54.37755579727413
Szkoła Podstawowa nr 20 im. Jana Grudzińskiego,school,18.630637276577865,54.40955152039417
Szkoła Podstawowa nr 72 im. Obrońców Westerplatte,school,18.72003197365215,54.360811427096806
Szkoła Podstawowa Specjalna nr 26,school,18.65903294842174,54.35523620281023
Szkoła Podstawowa nr 50 im. Emilii Plater,school,18.65545479843375,54.352836385760654
Szkoła Podstawowa nr 86 im. prof. Jerzego Sampa,school,18.58918728722339,54.31638980221249
Szkoła Podstawowa nr 12,school,18.58430843202831,54.324785387185784
Szkoła Podstawowa nr 43,school,18.61468607561588,54.356764270448764
Szkoła Podstawowa nr 58 im. Kazimierza Sołtysika w Gdańsku,school,18.62738406729714,54.35196395292145
Szkoła Podstawowa im. Adama Mickiewicza w Chwaszczynie,school,18.417517885567747,54.44007596748143
Szkoła Podstawowa nr 19 im. Zasłużonych Ludzi Morza w Gdańsku,school,18.625772064273587,54.326617628203145
Szkoła Podstawowa Nr 69 im. generała Stanisława Sosabowskiego,school,18.62990492758795,54.37854694577482
Szkoła Podstawowa nr 46,school,18.579256679432007,54.40371750538728
Szkoła Podstawowa nr 48 w Gdańsku,school,18.609264855114432,54.395538523335695
Szkoła Podstawowa Nr 24,school,18.617304860683717,54.384773339083495
Szkoła Podstawowa nr 85 im. Zrzeszenia Kaszubsko-Pomorskiego,school,18.561170395622955,54.34357423548205
Szkoła Podstawowa Nr 81,school,18.467360870076384,54.43044561645653
Szkoła Podstawowa nr 59,school,18.669495187045417,54.341009253004394
Szkoła Podstawowa Nr 44 im. Adama Mickiewicza,school,18.59797877538087,54.41085500432996
Szkoła Podstawowa nr 35 z Oddziałami Sportowymi im. Jana Parandowskiego,school,18.5679531009802,54.40435746205766
Szkoła Podstawowa nr 52 im. Tadeusza Kościuszki,school,18.625269147929558,54.38699785682051
Szkoła Podstawowa nr 23,school,18.55533176254117,54.412002859408254
Szkoła Podstawowa Mistrzostwa GKS Gedania 2012,school,18.6270760756468,54.38893145252561
Szkoła Podstawowa nr 79,school,18.593467835575215,54.406407800280576
Szkoła Podstawowa nr 10 w Gdańsku,school,18.563541440366762,54.395164105984904
Szkoła Podstawowa nr 61 im. Józefa Wybickiego,school,18.691021728431302,54.3585516501646
Szkoła Podstawowa nr 1 im. Mariusza Zaruskiego w Gdańsku,school,18.593393012083116,54.35876314472098
Szkoła Podstawowa nr 82,school,18.483943199897126,54.388299289887385
Szkoła Podstawowa nr 83 w Gdańsku,school,18.480275611274667,54.35345827262342
Szkoła Podstawowa nr 84,school,18.509195442596674,54.33975866196071
Szkoła Podstawowa nr 47,school,18.631428053342102,54.342001279558154
Szkoła Podstawowa nr 65 imienia Alfa Liczmańskiego,school,18.657941293630376,54.34230457749231
Szkoła Podstawowa nr 40,school,18.636916954787207,54.28381894864571
Szkoła Podstawowa nr 29,school,18.69603723898445,54.34822533363663
Publiczna Szkoła Podstawowa Hevelius,school,18.645200953758383,54.39374378968967
"Szkoła Podstawowa i Przedszkole ""Olimpijczyk""",school,18.583699337436006,54.319614971361446
Szkoła Podstawowa im. ks. prałata Józefa Bigusa,school,18.399616218265454,54.39571736422035
Szkoła Podstawowa nr 39,school,18.59448940484884,54.38046257884329
Szkoła Podstawowa w Kowalach,school,18.571105715006667,54.30750678422473
Szkoła Podstawowa Specjalna nr 37 w Gdańsku,school,18.57439208359968,54.41335894148965
Szkoła Podstawowa nr 89 w Gdańsku im. Tadeusza Mazowieckiego,school,18.57603637464092,54.42208854345764
Szkoła Podstawowa nr 15,school,18.626271310492232,54.367604770551566
Szkoła Podstawowa nr 18,school,18.6445744041683,54.40474492510973
Szkoła Podstawowa nr 38 im. gen. Stanisława Maczka,school,18.56128950607024,54.376423198983716
Szkoła Podstawowa nr 80 im. Budowniczych Portu Północnego,school,18.60068052062463,54.40240065686104
Szkoła Podstawowa nr 7 im. mjra Mieczysława Słabego w Gdańsku,school,18.52417980811044,54.37142015420662
Szkoła Podstawowa nr 60,school,18.587396800146145,54.418173808788694
"Niepubliczna Szkoła Podstawowa ""Fregata""",school,18.557712460614592,54.4097216079719
Szkoła Podstawowa nr 77,school,18.584639485435105,54.4240573775353
Szkoła Podstawowa nr 27 im. Dzieci Zjednoczonej Europy,school,18.581047935848506,54.37754434508382
Szkoła Podstawowa z Oddziałami Integracyjnymi nr 1 im. Armii Krajowej w Sopocie,school,18.559261687999516,54.43646614046928
Szkoła podstawowa nr 20,school,18.630547092360132,54.40976875163542
Szkoła Podstawowa nr 49 im. Księdza Bronisława Komorowskiego,school,18.61210884520405,54.386647913900696
I Społeczna Szkoła Podstawowa,school,18.56025529864822,54.40607718097057
Szkoła Podstawowa z Oddziałami Integracyjnymi nr 8 im. Jana Matejki,school,18.570737479902903,54.43554028478774
Szkoła Podstawowa Nr 2,school,18.57391449469213,54.358436203539405
Szkoła Podstawowa w Przejazdowie,school,18.742521239351465,54.32404384691125
"Szkoła Podstawowa im. Danuty Siedzikówny ""Inki"" w Wiślinie",school,18.720223952110967,54.29333683254131
Szkoła Podstawowa nr 45 im. Bohaterów Westerplatte,school,18.602502391528795,54.377321408002494
Niepubliczna Szkoła Podstawowa Lokomotywa,school,18.563763158526243,54.430573949173116
"Niepubliczna Szkoła Podstawowa ""Nasza Szkoła""",school,18.61269940061393,54.39115908378491
Morska Szkoła Podstawowa nr 2,school,18.601552385178444,54.313351474977445
Szkoła Podstawowa im. Jana Pawła II,school,18.43295218663323,54.34667474163573
Szkoła Podstawowa nr 62,school,18.73730282235113,54.36088334203021
Szkoła Podstawowa w Niestępowie,school,18.4340268924952,54.31523252438878
Szkoła Podstawowa i Przedszkole Sokrates,school,18.62555791594845,54.35015788712136
