name,leisure,landuse,natural,longitude,latitude
,,,,22.6068103,51.2246804
,,,,22.6077934,51.2243244
,,,,22.6075839,51.2240974
,,,,22.6066007,51.2244534
,,,,22.6038471,51.2232051
,,,,22.4573936,51.2562177
,,,,22.5940409,51.2467556
,,,,22.4850436,51.2053292
,,,,22.5516967,51.1852574
,,,,22.5277781,51.1952712
,,,,22.5137766,51.2293646
,,,,22.5766936,51.2415505
,,,,22.5769769,51.2416076
,,,,22.5772342,51.2416688
,,,,22.5775112,51.241692
,,,,22.5765183,51.2414903
,,,,22.5783323,51.2416546
,,,,22.5779511,51.2416937
,,,,22.502456,51.2260139
,,,,22.5207325,51.2327084
,,,,22.5154724,51.2329705
,,,,22.5963493,51.225807
,,,,22.6132732,51.2477304
,,,,22.5532546,51.2018047
,,,,22.6153482,51.2524419
,,,,22.4618308,51.2682522
,,,,22.5247514,51.1871693
,,,,22.5258571,51.1883604
,,,,22.527201,51.1890794
,,,,22.5272417,51.1890368
,,,,22.5420485,51.1882643
,,,,22.5431432,51.1873177
,,,,22.542841,51.1870766
,,,,22.5433089,51.1863431
,,,,22.5433946,51.1853691
,,,,22.5428691,51.1839522
,,,,22.5430598,51.1832325
,,,,22.541708,51.1822276
,,,,22.5427889,51.1827474
,,,,22.5404044,51.1819679
,,,,22.5410457,51.1821595
,,,,22.5381165,51.1823585
,,,,22.5316389,51.1893935
,,,,22.531114,51.1894829
,,,,22.5427474,51.1892435
,,,,22.530979,51.1895079
,,,,22.5292665,51.1896125
,,,,22.5284747,51.1896091
,,,,22.5309062,51.1715464
,,,,22.5328366,51.1723725
,,,,22.5345084,51.1748371
,,,,22.5345425,51.1749877
,,,,22.5343783,51.1737657
,,,,22.534635,51.1745468
,,,,22.5339046,51.1733672
,,,,22.5343204,51.1736716
,,,,22.5354293,51.1763842
,,,,22.5354767,51.1759437
,,,,22.535519,51.1765676
,,,,22.5349067,51.1751853
,,,,22.5352772,51.1755301
,,,,22.5359672,51.1778185
,,,,22.5354981,51.1781347
,,,,22.5351411,51.1782691
,,,,22.5347608,51.1783735
,,,,22.5358954,51.1767932
,,,,22.5363875,51.1773406
,,,,22.5363395,51.1774277
,,,,22.5362731,51.179283
,,,,22.5360996,51.1799624
,,,,22.5361791,51.1796748
,,,,22.5353396,51.1785152
,,,,22.534771,51.1785287
,,,,22.5361335,51.1785918
,,,,22.5357285,51.1785135
,,,,22.5368656,51.180085
,,,,22.5369813,51.1801841
,,,,22.5361579,51.1800186
,,,,22.5363917,51.180023
,,,,22.5374512,51.1820625
,,,,22.537548,51.1822315
,,,,22.5372291,51.18084
,,,,22.5375016,51.1817749
,,,,22.5518434,51.1865961
,,,,22.5455944,51.1885234
,,,,22.5452092,51.1891034
,,,,22.5450028,51.1884679
,,,,22.5437742,51.1892556
,,,,22.5866338,51.2451051
,,,,22.5899137,51.2467537
,,,,22.5902827,51.2472801
,,,,22.590843,51.2477132
,,,,22.4505479,51.2102647
,,,,22.4498457,51.210189
,,,,22.4495896,51.2069558
,,,,22.4504732,51.2088484
,,,,22.4448371,51.1982878
,,,,22.4445748,51.2099739
,,,,22.5746382,51.2377195
,,,,22.5764007,51.2367756
,,,,22.5759239,51.2388141
,,,,22.5777843,51.2377267
,,,,22.5350821,51.1785219
,,,,22.5477213,51.2480901
,,,,22.6055451,51.2666493
,,,,22.5965574,51.2594483
,,,,22.6236233,51.2691672
,,,,22.6294525,51.2732221
,,,,22.6234217,51.2688043
,,,,22.5454603,51.187903
,,,,22.5511519,51.1875903
,,,,22.5068698,51.2260448
,,,,22.5344555,51.2313128
,,,,22.5346998,51.2313288
,,,,22.5345797,51.2312091
,,,,22.5428366,51.1874809
,,,,22.5431195,51.1846467
,,,,22.540023,51.1819194
,,,,22.534756,51.1788461
,,,,22.5346595,51.1788887
,,,,22.5345923,51.178865
,,,,22.5345734,51.1785265
,,,,22.5431166,51.1850462
,,,,22.5193962,51.1673054
,,,,22.5314221,51.1717682
,,,,22.5264609,51.1682779
,,,,22.5264701,51.1681471
,,,,22.5236615,51.1681052
,,,,22.5221815,51.1681438
,,,,22.5215956,51.1682317
,,,,22.5210237,51.167969
,,,,22.5202105,51.1678214
,,,,22.5197159,51.167673
,,,,22.51943,51.1674786
,,,,22.5199603,51.1670681
,,,,22.5205182,51.1669504
,,,,22.5205664,51.1668125
,,,,22.5203733,51.1666914
,,,,22.5198637,51.1667418
,,,,22.5194828,51.1669033
,,,,22.51904,51.1668546
,,,,22.5263821,51.1680072
,,,,22.5257365,51.1679314
,,,,22.5516511,51.187553
,,,,22.486067,51.2316461
,,,,22.5316181,51.2267348
,,,,22.4659376,51.2315474
,,,,22.5035821,51.2258525
,,,,22.5454783,51.1893979
,,,,22.5447082,51.1891726
,,,,22.5044024,51.2634319
,,,,22.5998575,51.1797708
,,,,22.6230936,51.1882291
,,,,22.6210503,51.1879361
,,,,22.542582,51.2497732
,,,,22.5428396,51.2505069
,,,,22.5451622,51.1997797
,,,,22.5276171,51.1949493
,,,,22.5690918,51.2445244
,,,,22.4597168,51.2675711
,,,,22.4613225,51.2682903
,,,,22.4442799,51.1980042
,,,,22.4428071,51.1980178
,,,,22.4432028,51.1980685
,,,,22.4438522,51.1981786
,,,,22.4435372,51.198162
,,,,22.4510896,51.2101997
,,,,22.6241354,51.1882264
,,,,22.4445767,51.1979707
,,,,22.4436537,51.1981814
,,,,22.6412001,51.2224049
,,,,22.6422376,51.2229768
,,,,22.4503561,51.253684
,,,,22.4515622,51.2540047
,,,tree,22.4657203,51.24814
,,,tree,22.4759556,51.2399261
,,,tree,22.4759891,51.2397291
,,,tree,22.4627774,51.2216103
,,,,22.51672,51.20158
,,,,22.5999253,51.1799987
,,,,22.5545799,51.1654696
,,,,22.5554264,51.1655625
,,,,22.5587477,51.1656908
,,,,22.5555912,51.1658452
,,,,22.5590302,51.1729211
,,,,22.5543934,51.1729999
,,,,22.5542368,51.176491
,,,,22.5766307,51.1769778
,,,,22.5773787,51.1792324
,,,,22.5630112,51.1820532
,,,,22.5754831,51.1824632
,,,,22.562946,51.182462
,,,,22.5585046,51.1824938
,,,,22.5713127,51.1825597
,,,,22.5584394,51.1827481
,,,,22.5631033,51.1827972
,,,,22.5710873,51.1827909
,,,,22.5779204,51.1829578
,,,,22.5629977,51.1831282
,,,,22.5620519,51.183068
,,,,22.5751417,51.1830233
,,,,22.5582727,51.1830524
,,,,22.561855,51.1833178
,,,,22.5567962,51.1843196
,,,,22.5547233,51.1844654
,,,,22.5540657,51.1845247
,,,,22.5540459,51.1847668
,,,,22.5297333,51.1694124
,,,,22.5323345,51.172158
,,,,22.5292783,51.1691206
,,,,22.5430949,51.1894617
,,,,22.5390209,51.1820455
,,,,22.5187264,51.1656413
,,,,22.542934,51.1867458
,,,,22.5180964,51.1660251
,,,,22.5284046,51.1691738
,,,,22.5191883,51.1643194
,,,,22.5193702,51.1655993
,,,,22.518989,51.1667251
,,,,22.543094,51.1872321
,,,,22.5295306,51.1707222
,,,,22.5189241,51.1660927
,,,,22.5194265,51.1644774
,,,,22.5178416,51.1701237
,,,,22.5094895,51.166213
,,,,22.5128591,51.1681917
,,,,22.5075654,51.1652074
,,,,22.5191067,51.1694623
,,,,22.517127,51.1702371
,,,,22.5163134,51.1711506
,,,,22.5153513,51.1712133
,,,,22.5059218,51.1647455
,,,,22.6178366,51.1875497
,,,,22.6190104,51.1877396
,,,,22.6196637,51.1877694
,,,,22.6151985,51.188147
,,,,22.6145233,51.1883844
,,,,22.6119759,51.1885056
,,,,22.5182789,51.1683395
,,,,22.5166799,51.1709053
,,,,22.5147818,51.1710655
,,,,22.4444703,51.2066274
,,,,22.4441062,51.2080645
,,,,22.444042,51.2082456
,,,,22.4442916,51.2090711
,,,,22.4444283,51.2095271
,,,,22.4442805,51.2096417
,,,,22.4443305,51.2099519
,,,,22.4448949,51.2100351
,,,,22.4455104,51.2100565
,,,,22.4484556,51.2101263
,,,,22.4491235,51.2101623
,,,,22.5924868,51.2524575
,,,,22.4504294,51.2087425
,,,,22.4510482,51.2100462
,,,,22.4508671,51.2102317
,,,,22.5881531,51.2459455
,,,tree,22.4782101,51.1809503
,,,,22.5253303,51.1878988
,,,tree,22.474015,51.2547491
,,,tree,22.4829213,51.2550182
,,,,22.4621361,51.2318318
,,,tree,22.4564732,51.2174736
,,,tree,22.4565574,51.2175284
,,,tree,22.4624601,51.2213967
,,,tree,22.4625662,51.2214681
,,,tree,22.4626704,51.2215382
,,,,22.5167198,51.2656974
,,,,22.5037176,51.2605294
,,,,22.473453,51.2338895
,,,,22.4723401,51.2375806
,,,,22.5182509,51.2269785
,,,,22.5065532,51.2622412
,,,,22.4833059,51.2320771
,,,,22.4835191,51.2406807
,,,,22.4877093,51.2424484
,,,,22.4888415,51.2430322
,,,,22.4886851,51.2440185
,,,,22.4924299,51.2440607
,,,,22.4908131,51.2451424
,,,,22.4910864,51.2453137
,,,,22.4709983,51.2570272
