name,highway,longitude,latitude
Przystanek Tesco,bus_stop,22.0128131,50.0190587
,bus_stop,22.0995697,50.0309856
,,21.9683989,50.0354838
,bus_stop,21.9714462,50.0302179
,,22.0099129,50.0372111
,,22.0096257,50.0372396
,bus_stop,22.0697415,49.9654867
Kielanówka I Stara Droga,bus_stop,22.060353,49.9654618
Tyczyn Kościuszki,bus_stop,22.0456639,49.9654988
Tyczyn,bus_stop,22.0324675,49.9655279
Tyczyn,bus_stop,22.0312784,49.9657973
,bus_stop,22.0924487,49.9611962
,bus_stop,22.0916221,49.9615688
,,22.0046338,50.0422675
Kielnarowa Obszary,bus_stop,22.0881821,49.9735817
Kielnarowa Obszary,bus_stop,22.0885647,49.9736546
Kielnarowa Obszary Rondo,bus_stop,22.099994,49.9767275
,bus_stop,22.0789824,49.969835
Strażacka / Urocza 03,bus_stop,22.0061529,50.006186
Bardowskiego 04,bus_stop,22.0090604,50.0416679
Mochnackiego 02,bus_stop,21.9943798,50.035253
Wincentego Pola Politechnika 02,bus_stop,21.9851806,50.0272136
,bus_stop,22.0785725,49.9697398
,,21.9682577,50.0353726
Wita Stwosza pętla 01,bus_stop,21.9800375,50.0313211
Matuszczaka / Rymanowska 02,bus_stop,21.9759922,50.015722
Jarowa kościół 02,bus_stop,21.9612745,50.0051456
Jarowa / Starowiejska 03,bus_stop,21.9680177,50.0027808
Jarowa / Starowiejska 04,bus_stop,21.9685126,50.0026859
Jarowa / Brzegowa 06,bus_stop,21.9743198,50.000827
Jarowa / Brzegowa 05,bus_stop,21.9746215,50.0008908
Zwięczycka / Podkarpacka 02,bus_stop,21.9588174,49.9945275
Zwięczycka staw 04,bus_stop,21.9624179,49.9944353
Zwięczycka staw 03,bus_stop,21.9617999,49.9941112
Boya Żeleńskiego 01,bus_stop,21.9819428,50.0296346
Wincentego Pola Politechnika 01,bus_stop,21.9869024,50.0266587
Cienista / Lwowska 02,bus_stop,22.0457416,50.038974
Olbrachta / Św. Kingi 08,bus_stop,22.0625897,50.031996
Olbrachta domki 06,bus_stop,22.0577772,50.0334808
Olbrachta domki 05,bus_stop,22.0554518,50.0345066
Olbrachta / Zygmunta I Starego 04,bus_stop,22.0536645,50.0351622
Olbrachta / Kr. Marysieńki 03,bus_stop,22.0522517,50.0360905
Paderewskiego / Armii Krajowej 04,bus_stop,22.0328898,50.0270779
Kiepury / Herberta 02,bus_stop,22.0381379,50.0038158
Podleśna / Podlesie 01,bus_stop,21.9829884,49.9572132
Podleśna / Podlesie 02,bus_stop,21.9823292,49.9562885
Podleśna / Liliowa 04,bus_stop,21.982078,49.9512747
,bus_stop,22.0894102,50.0409599
,bus_stop,22.0887856,50.0411498
stanowisko 1,bus_stop,21.994131,50.0429807
stanowisko 2,bus_stop,21.9944479,50.043031
stanowisko 3,bus_stop,21.9947057,50.0428387
stanowisko 4,bus_stop,21.994666,50.0426197
stanowsko 5,bus_stop,21.9943247,50.0424149
stanowisko 6,bus_stop,21.9941344,50.0424737
stanowisko 7,bus_stop,21.9939118,50.0425475
stanowisko 8,bus_stop,21.9938273,50.0428007
Wieniawskiego / Sulikowskiego 02,bus_stop,22.0455576,50.0233166
Wieniawskiego / Sulikowskiego 01,bus_stop,22.0456944,50.0237009
Wieniawskiego / Niemaszków 04,bus_stop,22.045472,50.0206503
Wieniawskiego / Niemaszków 03,bus_stop,22.0455766,50.0204142
Wieniawskiego / Karpa 06,bus_stop,22.0435247,50.017394
