name,amenity,longitude,latitude
Szkoła Podstawowa nr 112 Przymierza Rodzin im. Jana Pawła II,school,21.0557007,52.1515045
Szkoła Podstawowa z Oddziałami Integracyjnymi nr 301 im. Janusza Korczaka,school,20.9131882,52.2258774
Szkoła Podstawowa nr 260 im. Jana Matejki,school,21.0399605,52.2048649
Prywatna Szkoła Podstawowa nr 6 Sióstr Niepokalanek im. Bł. M. Marceliny Darowskiej,school,21.075872,52.1281635
Szkoła Podstawowa Nr 4 im. Stefana Grota-Roweckiego w Markach,school,21.1255731,52.3326464
Szkoła Podstawowa nr 371 im. Sandro Pertiniego,school,21.0557102,52.1849713
Szkoła Podstawowa nr 2 Przymierza Rodzin im. Księdza Jana Twardowskiego,school,21.0197007,52.1994859
"Niepubliczna Szkoła Podstawowa ""Inspiracja""",school,20.9639921,52.3362566
Szkoła Podstawowa Specjalna nr 155,school,20.9763212,52.2742302
Szkoła Podstawowa Niepubliczna nr 49,school,21.031695,52.1724084
Szkoła Podstawowa nr 370,school,20.9322197,52.2836689
Szkoła Podstawowa nr 236 z Oddziałami Integracyjnymi im. Ireny Sendlerowej,school,20.947472,52.2340803
Szkoła Podstawowa Specjalna nr 331,school,20.9371059,52.2419315
Szkoła Podstawowa nr 359,school,20.9039022,52.2100325
Szkoła Podstawowa Specjalna Nr 302 w Ośrodku Terapii Dziecka w Środowisku,school,21.0394438,52.1961443
Publiczna Szkoła Podstawowa Sióstr Zmartwychwstanek,school,20.976889,52.2658654
Szkoła Podstawowa nr 24 Społecznego Towarzystwa Oświatowego,school,20.9114594,52.2344615
Prywatna Szkoła Podstawowa nr 83,school,21.0411843,52.1577505
Społeczna Szkoła Podstawowa,school,21.0375829,52.2537796
Katolicka Szkoła Podstawowa im. Heleny Kmieć,school,21.0654714,52.1368994
Prywatna Szkoła Podstawowa im. Ks. Jerzego Popiełuszki w Ząbkach,school,21.114433,52.2791673
Szkoła Podstawowa nr 9 STO,school,21.0276357,52.160569
Szkoła Podstawowa przy Społecznym Liceum Ogólnokształcącym nr 4 im. Batalionu AK „Parasol”,school,21.0411196,52.1509053
Niepubliczna Szkoła Podstawowa nr 47 im. Roberta Schumana,school,21.061566,52.1326705
Szkoła Podstawowa Specjalna nr 131,school,21.1324069,52.2594606
Szkoła Podstawowa nr 254 im. Gen Franciszka Żymirskiego,school,21.1359001,52.2468891
Szkoła Podstawowa Specjalna nr 346 w Szpitalu Bielańskim im. ks. Jerzego Popiełuszki w SPZOZ,school,20.9504709,52.287287
"""Wonderful Years School"" Prywatna Szkoła Podstawowa",school,21.0679836,52.2255044
Szkoła Podstawowa Sióstr Nazaretanek z Oddziałami Dwujęzycznymi,school,21.0467514,52.2108998
Szkoła Podstawowa z Oddziałami Integracyjnymi nr 344 im. Powstania Warszawskiego,school,20.9485748,52.3218652
Dwujęzyczne Przedszkole i Dwujęzyczna Szkoła Podstawowa PWN,school,20.9971648,52.2071998
Szkoła Podstawowa nr 375,school,21.087391,52.2274545
Prywatna Szkoła Podstawowa nr 41 Edu Bene,school,20.9994516,52.2495948
Szkoła Podstawowa nr 316 im. Astrid Lindgren,school,20.901424,52.2360351
Szkoła Podstawowa z Oddziałami Integracyjnymi nr 342 im. Jana Marcina Szancera,school,20.9438306,52.3310972
Szkoła Podstawowa nr 366 im. Jana Pawła II,school,20.9447264,52.3304579
Szkoła Podstawowa nr 104 im. Macieja Rataja,school,21.1019596,52.1206118
Szkoła Podstawowa Specjalna nr 393,school,21.1691549,52.2167281
Szkoła Podstawowa Specjalna nr 106,school,21.1918676,52.2053675
Szkoła Podstawowa Towarzystwa Edukacyjnego Vizja,school,21.1922007,52.1817821
Waldorfska Szkoła Podstawowa im. Augusta Cieszkowskiego,school,21.1688082,52.2178224
Chrześcijańska Szkoła Podstawowa Samuel,school,21.1786351,52.2102504
"""Żagle"" Szkoła Podstawowa",school,21.1769806,52.2068359
"Niepubliczna Specjalna Szkoła Podstawowa dla Dzieci z Autyzmem ""W kontakcie""",school,20.9759194,52.2380301
Prymus Szkoła Podstawowa dla Dorosłych w Warszawie,school,21.0142033,52.1134378
Szkoła Podstawowa nr 96 im. Ireny Kosmowskiej,school,21.0146638,52.1132168
Edulider Szkoła Podstawowa dla Dorosłych w Warszawie,school,21.0142021,52.1132022
Szkoła Podstawowa Heliantus,school,21.0335736,52.108805
Szkoła Podstawowa Montessori,school,21.0194546,52.1344838
Chrześcijańska Szkoła Podstawowa Daniel,school,21.0567705,52.1541002
Szkoła Podstawowa im. Samuela Bogumiła Lindego,school,21.0761055,52.1341393
Prywatna Szkoła Podstawowa Active School,school,21.0644905,52.1320295
Amerykańska Szkoła Podstawowa Niepubliczna Nr 44,school,21.0732516,52.1327976
Szkoła Podstawowa nr 224 dla Dorosłych,school,21.055998,52.2479764
Korczak. Szkoła Podstawowa Montessori,school,21.0598829,52.248898
Szkoła Podstawowa Specjalna nr 282,school,21.0625064,52.2346432
Szkoła Podstawowa Specjalna nr 348,school,21.093855,52.2465112
Szkoła Podstawowa Specjalna nr 5,school,21.0970728,52.2446201
Akademicka Szkoła Podstawowa Wyższej Szkoły Menedżerskiej w Warszawie,school,21.0569034,52.2574087
Szkoła Podstawowa Specjalna nr 6,school,21.0479842,52.2559303
Niepubliczna Szkoła Podstawowa EduArt im. Leonarda da Vinci,school,20.9675843,52.2467133
Szkoła Podstawowa Towarzystwa Edukacyjnego Vizja,school,20.9789006,52.2506633
Szkoła Podstawowa,school,20.9849679,52.241083
Niepubliczna Szkoła Podstawowa Promitis,school,21.0459129,52.2598586
Niepubliczna Integracyjna Szkoła Podstawowa,school,21.0682602,52.2661767
Szkoła Podstawowa nr 360 im. Polskich Noblistek,school,20.8999141,52.1971835
Prywatna Szkoła Podstawowa nr 108,school,21.0791711,52.2909253
Społeczna Szkoła Podstawowa nr 26 STO im. prof. Jigoro Kano,school,21.0026871,52.2076633
Szkoła Podstawowa nr 379 im. Szarych Szeregów,school,21.0306733,52.2968983
Szkoła Podstawowa nr 380 im. Jana Pawła II,school,21.0470113,52.2942508
Szkoła Podstawowa Zielona Szkoła w Folwarku,school,21.0510664,52.2881537
"Niepubliczna Terapeutyczna Szkoła Podstawowa ""Dobry Start""Z Oddziałami Przedszkolnymi",school,20.9376869,52.3243104
Szkoła Podstawowa nr 314 im. Przyjaciół Ziemi,school,20.9598692,52.314869
Szkoła Podstawowa dla Dorosłych,school,21.0090166,52.3338471
"Szkoła Podstawowa ""Szkoła w Chmurze""",school,20.9625368,52.2590162
Niepubliczna Szkoła Podstawowa,school,20.927765,52.2707127
Katolicka Szkoła Podstawowa nr 109 Fundacji Na Rzecz Rodziny,school,20.9211125,52.3124999
Społeczna Szkoła Podstawowa nr 13 z Oddziałami Dwujęzycznymi,school,20.9194384,52.3131272
Społeczna Szkoła Podstawowa Integracyjna nr 100 Społecznego Towarzystwa Oświatowego,school,20.9393676,52.2843837
Szkoła Podstawowa nr 86 Stowarzyszenia Kultury i Edukacji,school,20.9684678,52.2755351
Szkoła Podstawowa Niepubliczna nr 74,school,20.9629435,52.2798608
Niepubliczna Szkoła Podstawowa Fundacji Scolar,school,20.9442445,52.2793891
Szkoła Podstawowa Specjalna nr 347,school,20.9391401,52.27591
Szkoła Podstawowa Specjalna nr 291,school,20.9750414,52.274764
Niepubliczna Szkoła Podstawowa Gaudeamus,school,20.8953487,52.228821
"Społeczna Szkoła Podstawowa Fundacji ""Alteredu""",school,20.9899393,52.2507795
"Prywatna Szkoła Podstawowa nr 98 ""Didasko""",school,21.0697931,52.2500599
Szkoła Podstawowa Specjalna nr 243,school,20.997463,52.2411276
Szkoła Podstawowa Specjalna nr 213,school,20.9976928,52.2411914
Szkoła Podstawowa Specjalna nr 196,school,21.0003959,52.2350335
Szkoła Podstawowa nr 34,school,21.0280902,52.236198
Szkoła Podstawowa nr 9 STO,school,21.0277426,52.1591344
Prywatna Żeńska Szkoła Podstawowa z Oddziałami Dwujęzycznymi,school,21.0180567,52.2238514
Prywatna Męska Szkoła Podstawowa,school,21.0178669,52.2238126
Szkoła Podstawowa Specjalna nr 226,school,21.0238628,52.2286281
Szkoła Podstawowa nr 389 im. Stefana Starzyńskiego,school,20.9839521,52.2473158
Szkoła Podstawowa Specjalna nr 51,school,21.0369617,52.2249132
Szkoła Podstawowa Montessori im. św. Urszuli Ledóchowskiej,school,21.0463426,52.2182307
