name,amenity,longitude,latitude
Bajeczne Przedszkola,kindergarten,18.5506838,54.3427686
Przedszkole Niepubliczne Bajkoland,kindergarten,18.5732062,54.3517583
Morskie Przedszkole Niepubliczne,kindergarten,18.5972842,54.3326083
Przedszkole de La Salle,kindergarten,18.5932657,54.3798944
Przedszkole,kindergarten,18.5902802,54.3962371
Chrześcijańskie Przedszkole Montessori nr 2,kindergarten,18.6007855,54.3257583
Przedszkole Tygryskowa Kraina,kindergarten,18.5586746,54.3488274
"Przedszkole niepubliczne ""Little Harvard""",kindergarten,18.575979,54.4048997
Przedszkolandia,kindergarten,18.4062521,54.391269
Przedszkole Niepubliczne Językowo – Muzyczne Calineczka,kindergarten,18.605303,54.3768597
Niepubliczne Przedszkole Lew Leon,kindergarten,18.620545,54.3760001
Przedszkole Specjalne Nr 72 o Profilu Terapeutycznym,kindergarten,18.5933336,54.4116454
Publiczne Pozytywne Przedszkole nr 7,kindergarten,18.5423759,54.333834
Przedszkole nr 73 w Gdańsku,kindergarten,18.6028627,54.3534451
Punkt Przedszkolny Słowiańska Wieża,kindergarten,18.6007285,54.4106215
Przedszkole Niepubliczne Marchewka,kindergarten,18.5508003,54.3511601
Przedszkole MoreLove,kindergarten,18.5973682,54.4098118
Przedszkole publiczne Octopus,kindergarten,18.4784506,54.430966
Przedszkole Martolandia,kindergarten,18.5821252,54.3491467
Marchewka Zdrowe Przedszkole i Żłobek,kindergarten,18.5392637,54.3501132
Leśny Żłobek i Przedszkole,kindergarten,18.5824706,54.3638556
"Przedszkole Niepubliczne ""Sokrates""",school,18.6253598,54.3503047
Nadmorskie Przedszkole Montessori,kindergarten,18.589851,54.422224
Publiczne Przedszkole Bursztynowy Kompas w Gdańsku,kindergarten,18.6422418,54.3899408
Przedszkole nr 76 Radosny Zakątek,kindergarten,18.62126134245957,54.341954722868344
Przedszkole nr 85 Wesoły Ul,kindergarten,18.622897530596187,54.340732404176784
Przedszkole Nr 7,kindergarten,18.61105127831911,54.37885797921162
Publiczne Pozytywne Przedszkole nr 1,kindergarten,18.609219564572353,54.3828826368323
Przedszkole Nr 1,kindergarten,18.675089272147588,54.398319144085164
"Przedszkole nr 1 ""Tęczowa Jedyneczka""",kindergarten,18.675136328024553,54.39819348965166
Przedszkole nr 84,kindergarten,18.58247385017207,54.355010206305586
Przedszkole nr 87,kindergarten,18.468311934149412,54.434510081074386
Przedszkole Niepubliczne Sióstr Benedyktynek Misjonarek,kindergarten,18.62956004456932,54.409102749345834
Przedszkole Nr 32,kindergarten,18.65600199109738,54.351381528550306
Przedszkole Horyzoncik,kindergarten,18.576767570964464,54.301537781238764
Przedszkole nr 75,kindergarten,18.59095169745483,54.36196446431407
Zespół Szkolno - Przedszkolny nr 2 w Gdańsku,school,18.602972364461746,54.35332822189747
Przedszkole,kindergarten,18.581481395373523,54.32492349807108
Przedszkole Fantazja,kindergarten,18.563042262227885,54.330240191263634
Zespół Szkolno-Przedszkolny nr 1 w Gdańsku,school,18.59361581621958,54.41144181996005
"Przedszkole ""Leśny Domek""",kindergarten,18.555560764321186,54.41588930714379
Przedszkole Niepubliczne w Oliwie,kindergarten,18.556591919498786,54.41024327619698
Przedszkole nr 33,kindergarten,18.626346206195183,54.38341237550112
Przedszkole nr 62,kindergarten,18.59524152632772,54.402030456570884
Zespół Szkolno - Przedszkolny w Borkowie,school,18.595699991892744,54.298032545087885
Przedszkole nr 39,kindergarten,18.562387122769707,54.41185107996626
"Szkoła Podstawowa i Przedszkole ""Olimpijczyk""",school,18.583699337436006,54.319614971361446
Przedszkole nr 34 im. Marii Konopnickiej,kindergarten,18.593441252884006,54.412053937655955
"Przedszkole nr 51 ""Jacek i Agatka""",kindergarten,18.593244444408974,54.41636894524478
"Przedszkole nr 54 ""Fantazja""",kindergarten,18.590369025128304,54.41455915798942
Zespół Szkolno-Przedszkolny nr 6,kindergarten,18.568718749581677,54.3282770133867
Zespół Szkolno-Przedszkolny nr 6,school,18.567675254738578,54.326651308668126
Publiczne Pozytywne Przedszkole nr 3,kindergarten,18.63248111222041,54.32393084516877
Przedszkole nr 59,kindergarten,18.59343948291882,54.4074112240123
Przedszkole nr 48 z oddziałami integracyjnymi w Gdańsku,kindergarten,18.58903380464146,54.418280296196585
Przedszkole nr 4 „Gwarny Dworek”,kindergarten,18.610329407072687,54.36757389442491
Przedszkole nr 49 Miś,kindergarten,18.5860178419721,54.40797703763945
Przedszkole niepubliczne Stokrotka,kindergarten,18.579949197902916,54.40299452780787
Przedszkole nr 23,kindergarten,18.66604687724492,54.3998717627393
"Przedszkole nr 5 ""Róża Wiatrów""",kindergarten,18.607609362567292,54.396190301095054
Publiczne Pozytywne Przedszkole nr 12 w Gdańsku,kindergarten,18.59402933644438,54.39027184132687
Przedszkole nr 35,kindergarten,18.651623198677942,54.358144211671835
Chrześcijańska Szkoła Podstawowa i Przedszkole Montessori,kindergarten,18.59070023498782,54.41338471432178
Publiczne Pozytywne Przedszkole nr 11,kindergarten,18.56642662143236,54.40431601556543
Przedszkole,kindergarten,18.578352198380795,54.40096861396128
Przedszkole Kasztanowe,kindergarten,18.59092501156036,54.30157733732441
Przedszkole nr 60 im. Jana Brzechwy,kindergarten,18.583278102508554,54.423137488591586
"Przedszkole nr 64 ""Kubuś Puchatek""",kindergarten,18.576769920092232,54.42390132259873
Przedszkole nr 10,kindergarten,18.56646221860096,54.439397034591046
Przedszkole nr 15 Niezapominajka,kindergarten,18.61187864287903,54.38069697418238
Przedszkole nr 88,kindergarten,18.606394481179716,54.400551913502014
Przedszkole nr 11,kindergarten,18.631975269204915,54.3291186738685
"Przedszkole Niepubliczne ""Radosny Zakątek""",kindergarten,18.579204947781303,54.33215705125007
Niepubliczne Przedszkole Gedania 1922,kindergarten,18.62332610122052,54.3971232750142
Szkoła Podstawowa i Przedszkole Sokrates,school,18.62555791594845,54.35015788712136
"Niepubliczne Przedszkole ""Zielona Dolina""",kindergarten,18.554166901225148,54.34563483667089
"Niepubliczne Przedszkole ""Dobry Port""",kindergarten,18.61496000129452,54.336656491007915
"Przedszkole Niepubliczne ""Parkowe Wzgórze""",kindergarten,18.618978474721974,54.322700656395405
Pozytywne Przedszkole nr 8,kindergarten,18.644956049868412,54.34137472418296
Przedszkole nr 57,kindergarten,18.600739298908675,54.40795940026216
Publiczne Pozytywne Przedszkole nr 5,kindergarten,18.58834529941333,54.363977551773104
Przedszkole nr 14,kindergarten,18.602635830424056,54.32963994916716
Publiczne Pozytywne Przedszkole nr 4,kindergarten,18.602433357705852,54.32198179193257
"Niepubliczne Przedszkole ""Krasnal""",kindergarten,18.63701834906987,54.32363845588606
"Przedszkole Zgromadzenia Sióstr Najświętszej Duszy Chrystusa Pana ""Solaris""",kindergarten,18.65205451312192,54.35490113158657
Przedszkole nr 24,kindergarten,18.630084374687826,54.30218098533398
Chrześcijańska Szkoła i Przedszkole Montessori nr 2,school,18.600710651491106,54.32556391485814
Przedszkole nr 76 Radosny Zakątek,kindergarten,18.621336989597836,54.34199141245889
Przedszkole nr 85 Wesoły Ul,kindergarten,18.622880413282157,54.34073541409105
Przedszkole Nr 7,kindergarten,18.611051622651566,54.37885663322086
Publiczne Pozytywne Przedszkole nr 1,kindergarten,18.60922041085405,54.38288292086153
Przedszkole Nr 1,kindergarten,18.675090771253235,54.39832211030341
"Przedszkole nr 1 ""Tęczowa Jedyneczka""",kindergarten,18.675138139229922,54.39819369430953
Przedszkole nr 84,kindergarten,18.58248362109306,54.355017723339415
Przedszkole nr 87,kindergarten,18.468314430659138,54.43451158294308
Przedszkole Niepubliczne Sióstr Benedyktynek Misjonarek,kindergarten,18.62963426330615,54.409094019403774
Przedszkole Nr 32,kindergarten,18.65600369322279,54.35137851964322
Przedszkole Horyzoncik,kindergarten,18.57678196523549,54.3015399490386
Przedszkole nr 75,kindergarten,18.590977970366183,54.36195240184032
Zespół Szkolno - Przedszkolny nr 2 w Gdańsku,school,18.60296523864955,54.353322123539
Przedszkole,kindergarten,18.58148107021496,54.3249230500131
Przedszkole Fantazja,kindergarten,18.563035400424706,54.33024139890219
Zespół Szkolno-Przedszkolny nr 1 w Gdańsku,school,18.59359018832005,54.4114524785352
"Przedszkole ""Leśny Domek""",kindergarten,18.555559246500028,54.415892221270774
Przedszkole Niepubliczne w Oliwie,kindergarten,18.55659786202514,54.41024019573268
Przedszkole nr 33,kindergarten,18.626347668331718,54.38341253126313
Przedszkole nr 62,kindergarten,18.595245790086203,54.40201695567413
Zespół Szkolno - Przedszkolny w Borkowie,school,18.595858575848737,54.29804874937843
Przedszkole nr 39,kindergarten,18.562346073329486,54.41185533012229
"Szkoła Podstawowa i Przedszkole ""Olimpijczyk""",school,18.583659234436126,54.319626594688046
Przedszkole nr 34 im. Marii Konopnickiej,kindergarten,18.593430095158585,54.41205979345128
"Przedszkole nr 51 ""Jacek i Agatka""",kindergarten,18.593238898275732,54.4163746713847
"Przedszkole nr 54 ""Fantazja""",kindergarten,18.590374824103023,54.414550767094916
Zespół Szkolno-Przedszkolny nr 6,kindergarten,18.568718116654384,54.32827122140591
