name,amenity,longitude,latitude
Szkoła Podstawowa nr 37,school,18.4213202,54.4921665
Szkoła Podstawowa nr 42,school,18.4970667,54.4723417
Szkoła Podstawowa nr 9 im. kpt. ż. w. K. O. Borchardta w Rumi,school,18.417462,54.5646793
Szkoła Podstawowa nr 48,school,18.453656224860378,54.50138308394693
Szkoła Podstawowa nr 29,school,18.484313862711918,54.532111126218275
Szkoła Podstawowa nr 40 im. kapitana żeglugi wielkiej Karola Olgierda Borchardta,school,18.459065407211206,54.54450813779904
Szkoła Podstawowa nr 40 w Gdyni im. kpt.ż.w. K.O.Borchardta,school,18.463628918573765,54.53952382691017
Szkoła Podstawowa nr 10 w Gdyni im. Eugeniusza Kwiatkowskiego,school,18.475411767409764,54.53782561168607
Szkoła Podstawowa nr 12 im. gen. Mariusza Zaruskiego,school,18.509912273873887,54.494309905711305
"Szkoła Podstawowa nr 11 im. ""Bohaterów Załogi ORP GROM""",school,18.536151249871757,54.482263049001936
Szkoła Podstawowa nr 43 im. admirała Kazimierza Porębskiego,school,18.491860227927404,54.560272557337264
Samorządowa Szkoła Podstawowa nr 28 im. Lotników Polskich,school,18.53725899362177,54.57836195154293
Szkoła Podstawowa nr 50,school,18.511033494190055,54.55874100199676
Szkoła Podstawowa nr 44 im. Obrońców Wybrzeża,school,18.504790994957997,54.55806073086948
Szkoła Podstawowa nr 33,school,18.537903539478037,54.55120811962061
Szkoła Podstawowa nr 6,school,18.51581590386768,54.553252493827465
Szkoła Podstawowa nr 9,school,18.531969619731044,54.45663452654482
Szkoła Podstawowa nr 23 w Gdyni,school,18.545494845036007,54.50305774044352
Szkoła Podstawowa nr 31 w Gdyni,school,18.44618075848606,54.548075302168215
Szkoła Podstawowa nr 34,school,18.5526878907167,54.49357410497257
Szkoła Podstawowa nr 35,school,18.504168438769263,54.49985306175154
Szkoła Podstawowa nr 52 im. błogosławionego księdza komandora podporucznika Władysława Miegonia,school,18.502462001334678,54.53069539636297
Szkoła Podstawowa nr 20,school,18.495049841535717,54.464479221377296
Szkoła Podstawowa nr 13,school,18.53124812721716,54.488503481221336
Szkoła Podstawowa nr 8 im. Obrońców Helu,school,18.559182652622503,54.47934938568652
Szkoła Podstawowa nr 18 im. Kornela Makuszyńskiego,school,18.544435333496093,54.50973423192108
Szkoła Podstawowa nr 51 im. Polskich Noblistów,school,18.543080393114383,54.511922717410734
Sportowa Szkoła Podstawowa nr 14,school,18.53681396375616,54.51281616494717
Szkoła Podstawowa nr 26 im. Żołnierzy Armii Krajowej,school,18.522936643104316,54.51434288856043
Szkoła podstawowa nr 17 im. wiceadmirała Józefa Unruga,school,18.50656927570786,54.52419589348086
Szkoła Podstawowa Nr 45,school,18.468311390365827,54.47272304048483
Szkoła Podstawowa nr 39,school,18.502586383937295,54.5535951058617
Szkoła Podstawowa nr 53,school,18.54515305825055,54.49861009177145
Katolicka Szkoła Podstawowa im. Świętej Rodziny w Gdyni,school,18.550365833819836,54.499509480285674
Szkoła Podstawowa Nr 1 im. Józefa Wybickiego w Rumi,school,18.40182228673641,54.57961949612779
Szkoła Podstawowa Nr 4 im. Janusza Korczaka w Rumi,school,18.40543048193177,54.56421845311726
Amerykańska Szkoła Podstawowa,school,18.526439852320667,54.48438388509761
Szkoła Podstawowa im. kontradmirała Xawerego Czernickiego w Pogórzu,school,18.479754788834757,54.565659125208896
Szkoła Podstawowa w Kosakowie,school,18.491344282939384,54.580998331420105
Szkoła Podstawowa nr 48,school,18.453676431339563,54.501372091482466
Szkoła Podstawowa nr 29,school,18.48426748728057,54.53210182191066
Szkoła Podstawowa nr 40 im. kapitana żeglugi wielkiej Karola Olgierda Borchardta,school,18.459076797787045,54.54449401035445
Szkoła Podstawowa nr 40 w Gdyni im. kpt.ż.w. K.O.Borchardta,school,18.46368144999818,54.539530425781955
Szkoła Podstawowa nr 10 w Gdyni im. Eugeniusza Kwiatkowskiego,school,18.47543402187091,54.537845604787734
Szkoła Podstawowa nr 12 im. gen. Mariusza Zaruskiego,school,18.509913614292824,54.49431620158005
"Szkoła Podstawowa nr 11 im. ""Bohaterów Załogi ORP GROM""",school,18.53615104707197,54.48226400692491
Szkoła Podstawowa nr 43 im. admirała Kazimierza Porębskiego,school,18.49189009593117,54.560241984943744
Samorządowa Szkoła Podstawowa nr 28 im. Lotników Polskich,school,18.537270307495167,54.57837552210872
Szkoła Podstawowa nr 50,school,18.51099461754429,54.55873807167195
Szkoła Podstawowa nr 44 im. Obrońców Wybrzeża,school,18.504686373484258,54.558017762534696
Szkoła Podstawowa nr 33,school,18.53790340502972,54.55120863047267
Szkoła Podstawowa nr 6,school,18.51581058703953,54.5532518870752
Szkoła Podstawowa nr 9,school,18.531900629556777,54.45664007029208
Szkoła Podstawowa nr 23 w Gdyni,school,18.545468171892765,54.5030960593678
Szkoła Podstawowa nr 31 w Gdyni,school,18.446177453783275,54.54808910095766
Szkoła Podstawowa nr 34,school,18.552678843754077,54.49357823589896
Szkoła Podstawowa nr 35,school,18.50416213903571,54.499845603945744
Szkoła Podstawowa nr 52 im. błogosławionego księdza komandora podporucznika Władysława Miegonia,school,18.502474573979402,54.53069923792686
Szkoła Podstawowa nr 20,school,18.49513186794713,54.46446611976502
Szkoła Podstawowa nr 13,school,18.531304246044684,54.4884766812431
Szkoła Podstawowa nr 8 im. Obrońców Helu,school,18.55918915629565,54.47934217815097
Szkoła Podstawowa nr 18 im. Kornela Makuszyńskiego,school,18.544419175108718,54.50974711550465
Szkoła Podstawowa nr 51 im. Polskich Noblistów,school,18.543028375629923,54.51192061031325
Sportowa Szkoła Podstawowa nr 14,school,18.536812136572006,54.51281139505747
Szkoła Podstawowa nr 26 im. Żołnierzy Armii Krajowej,school,18.52300179909276,54.51432793751737
Szkoła podstawowa nr 17 im. wiceadmirała Józefa Unruga,school,18.506591928004443,54.52420933032852
Szkoła Podstawowa Nr 45,school,18.468316149380044,54.47269472567499
Szkoła Podstawowa nr 39,school,18.502586115944503,54.553587936502296
Szkoła Podstawowa nr 53,school,18.545102946494968,54.498574820441426
Katolicka Szkoła Podstawowa im. Świętej Rodziny w Gdyni,school,18.550420005853105,54.49946089569372
Szkoła Podstawowa Nr 1 im. Józefa Wybickiego w Rumi,school,18.401782603212705,54.57959255874543
Szkoła Podstawowa Nr 4 im. Janusza Korczaka w Rumi,school,18.40530425612476,54.564167262197145
Amerykańska Szkoła Podstawowa,school,18.52643212623231,54.484394669503956
Szkoła Podstawowa nr 16 im. Orła Białego,school,18.445697646813297,54.53353399367043
Szkoła Podstawowa im. kontradmirała Xawerego Czernickiego w Pogórzu,school,18.47978466137203,54.56566543215072
Szkoła Podstawowa w Kosakowie,school,18.491340874001665,54.58078614739253
