name,shop,amenity,longitude,latitude
,,,22.5518976,51.2451394
,,,22.5495475,51.2453256
,,,22.548766,51.244865
,,,22.5520582,51.2447367
Vipsat,mall,,22.5697261,51.241432
Biedronka,supermarket,,22.5132448,51.2493961
Biedronka,supermarket,,22.5710405,51.2402797
Żabka,convenience,,22.5304929,51.227051
,convenience,,22.5379272,51.195522
,,,22.5714909,51.2459462
,,,22.5723667,51.2454695
Żabka,convenience,,22.5530328,51.2482976
,convenience,,22.5171057,51.2410235
Bankomat PlanetCash,,atm,22.5556132,51.2666078
Banan,convenience,,22.54303,51.2480619
Żabka,convenience,,22.5503644,51.2457229
Biedronka,supermarket,,22.5743882,51.2644533
,convenience,,22.534513,51.2224533
,convenience,,22.5352426,51.2233708
,convenience,,22.5337996,51.223663
,convenience,,22.5283493,51.2235723
,convenience,,22.5262878,51.2239452
Żabka,convenience,,22.5445742,51.244635
Stokrotka,supermarket,,22.6294653,51.2202255
Żabka,convenience,,22.5723091,51.2146026
Żabka,convenience,,22.5480533,51.2370642
Delikatesy Lewiatan,convenience,,22.5053573,51.2244258
,convenience,,22.5844598,51.1921043
Stokrotka,supermarket,,22.5298692,51.2232221
Społem,convenience,,22.5856599,51.2329247
Groszek,convenience,,22.5806318,51.2044054
Żabka,convenience,,22.5432009,51.2005587
Groszek,convenience,,22.5438831,51.2005425
Leroy Merlin,supermarket,,22.5705766,51.2648373
,convenience,,22.5156506,51.2332134
Stokrotka,supermarket,,22.519302,51.2300391
Biedronka,supermarket,,22.5240975,51.2383085
Stokrotka,supermarket,,22.5369719,51.232054
Żabka,convenience,,22.5102326,51.2243683
Żabka,convenience,,22.5392283,51.2323671
,convenience,,22.458123,51.2187615
Lewiatan,convenience,,22.454284,51.2556273
,convenience,,22.4829456,51.2470839
Lewiatan,convenience,,22.5509726,51.2387422
Groszek,convenience,,22.4786982,51.2310591
,,parking_entrance,22.5699597,51.2644734
Auchan,supermarket,,22.55985,51.2659682
,,,22.5204712,51.2406986
,,,22.5192432,51.2410272
,,parking_entrance,22.520451,51.2393246
,,parking_entrance,22.520545,51.2394467
,,parking_entrance,22.5195989,51.2395137
,,parking_entrance,22.5206535,51.2395864
,,parking_entrance,22.5207489,51.2397106
,,parking_entrance,22.5187238,51.2397739
,,parking_entrance,22.5208482,51.2398396
Kropka,convenience,,22.5336701,51.243426
Mini Lewiatan,convenience,,22.5291076,51.2436226
Biedronka,supermarket,,22.5594398,51.2700034
,convenience,,22.5685874,51.273179
Żabka,convenience,,22.518911,51.2267075
,convenience,,22.5216039,51.2257534
Carrefour,supermarket,,22.6045734,51.2367339
,,marketplace,22.5995884,51.2432352
Lewiatan,convenience,,22.4827625,51.2547195
,,,22.5728006,51.2471542
,,,22.5724697,51.2471787
,,,22.5726826,51.2474206
Biedronka,supermarket,,22.5796671,51.255637
Żabka,convenience,,22.5608194,51.2509313
Żabka,convenience,,22.552092,51.2479621
Żabka,convenience,,22.6353553,51.2202748
Żabka,convenience,,22.569618,51.2546867
Targ na Ruskiej,,marketplace,22.5704759,51.2534207
Żabka,convenience,,22.5929316,51.2348593
E. Leclerc,supermarket,,22.5192049,51.2399646
,convenience,,22.4525916,51.2703089
,convenience,,22.4501883,51.2780276
Olinex,convenience,,22.4657945,51.2561421
,,,22.5885996,51.2406687
,,,22.5877743,51.2408135
,,,22.587805,51.2408361
,convenience,,22.6456718,51.2604427
Biedronka,supermarket,,22.5985246,51.2325669
Żabka,convenience,,22.5266075,51.2400487
,convenience,,22.5706413,51.21402
"LSS Społem ''Grześ""",supermarket,,22.5714113,51.2141561
Żabka,convenience,,22.5460057,51.2637093
Stokrotka,supermarket,,22.5104037,51.222315
Voltmax Center,mall,,22.5083066,51.2514497
Stokrotka,supermarket,,22.5236096,51.2528325
,,,22.5519496,51.2449789
,,,22.5109139,51.2500342
,,,22.5716592,51.2656548
,,,22.5716703,51.2657297
,,,22.5716884,51.2659347
Biedronka,supermarket,,22.5149545,51.2291922
,convenience,,22.5537175,51.2402632
Stokrotka,supermarket,,22.5492199,51.2450361
Stokrotka,convenience,,22.5465546,51.2135558
Żabka,convenience,,22.5351246,51.2463254
"Sklep Odido ""Rzepka""",convenience,,22.5439822,51.2110995
Żabka,convenience,,22.5438917,51.2097222
Max s.c.,convenience,,22.5115576,51.2227626
Lewiatan,convenience,,22.58582,51.2074484
Stokrotka,supermarket,,22.534752,51.2465949
Żabka,convenience,,22.5492109,51.2402174
,convenience,,22.5489181,51.2402918
Stokrotka Express,convenience,,22.5496703,51.2396609
Stokrotka,supermarket,,22.5908576,51.2321284
,,atm,22.5699081,51.2518464
Kaufland,supermarket,,22.4929138,51.2352042
"LSS Społem ""Merkury""",supermarket,,22.5737972,51.2115726
Biedronka,supermarket,,22.5866534,51.2003416
Biedronka,supermarket,,22.4992421,51.2338948
Biedronka,supermarket,,22.51343,51.2342792
Biedronka,supermarket,,22.5077709,51.2769432
Stokrotka,supermarket,,22.5842525,51.1944658
Stokrotka,supermarket,,22.5357236,51.24883
Stokrotka,supermarket,,22.5211644,51.2651694
Stokrotka,supermarket,,22.5771019,51.2690548
Stokrotka,supermarket,,22.5550412,51.2733403
Sklep spożywczy,convenience,,22.5248797,51.2423453
"LUX MINI ""ŚWITEŹ""",convenience,,22.5274394,51.2433414
,,marketplace,22.5293399,51.2437355
,convenience,,22.5578927,51.2495286
,convenience,,22.5578765,51.2494183
,,parking_entrance,22.6161125,51.2320822
Żabka,convenience,,22.5104647,51.2348316
Żabka,convenience,,22.5194929,51.2304416
Auchan,supermarket,,22.611818,51.2323187
Groszek,convenience,,22.5816346,51.2774378
"""AGA""",convenience,,22.5758414,51.2167537
"LSS Społem ""Bazar""",convenience,,22.5687559,51.252173
,,,22.5919414,51.2328295
,,,22.5917652,51.2326318
ABC,convenience,,22.5146895,51.238369
Stokrotka,supermarket,,22.5149282,51.2385688
Stokrotka,supermarket,,22.5799698,51.2166469
Top Market,convenience,,22.5611973,51.2249109
Na Winklu,convenience,,22.5050753,51.2748577
Lewiatan,convenience,,22.5665909,51.2602808
Top Market,supermarket,,22.5827107,51.2286801
Żabka,convenience,,22.5049212,51.2358333
B,,,22.6131745,51.2316921
,,parking_entrance,22.6123448,51.2332078
Stokrotka,supermarket,,22.5483646,51.2372382
"Sklep Wielobranżowy ""Mateusz""",convenience,,22.5421277,51.2362465
Stokrotka,supermarket,,22.5712494,51.2673201
Żabka,convenience,,22.5728369,51.2262577
Żabka,convenience,,22.5724915,51.2293492
Lewiatan,convenience,,22.5823369,51.20896
Żabka,convenience,,22.5823619,51.2086883
Żabka,convenience,,22.557548,51.2567465
,,,22.5224482,51.2241903
ABC,convenience,,22.6397141,51.2079409
Lewiatan,convenience,,22.5844487,51.2120357
