name,shop,amenity,longitude,latitude
Zelmer sklep firmowy,mall,,21.9871573,50.0315041
FRAC,supermarket,,21.980623,50.0351183
Nasz Sklep,convenience,,21.9809842,50.0349996
Żabka,convenience,,21.9908223,50.0418861
Alton-hurtowniaGSM,mall,,21.9894537,50.0471375
FRAC,supermarket,,22.0225107,50.0371278
Delikatesy Centrum,supermarket,,22.0289074,50.0035794
Eurospar,supermarket,,22.0149642,50.0267685
"Delikatesy GS ""SCH"" w Tyczynie",convenience,,22.0665169,49.9652252
Biedronka,supermarket,,22.0036186,50.0183496
Delikatesy Passa,supermarket,,22.0107295,50.0214694
FRAC,supermarket,,21.9732097,50.0432138
Biedronka,supermarket,,22.0033982,50.0412058
,,parking_entrance,22.0129356,50.0267828
,,parking_entrance,21.9958133,50.0427676
,,parking_entrance,21.9960797,50.043014
Delikatesy,convenience,,21.9949442,50.0263877
SPOŁEM,convenience,,21.9942727,50.0188588
Społem,convenience,,21.9907082,50.0417115
Delikatesy Centrum,supermarket,,22.0076494,50.0259454
,,parking_entrance,21.9957281,50.0428035
,,,21.9767476,50.0489757
,,,21.9766163,50.049531
,,,22.0192166,50.0209172
,,,22.0192033,50.0212627
,,,21.9866858,50.0477342
Orlen,convenience,fuel,22.0263273,49.9709541
Delikatesy Premium,convenience,,21.9877002,50.0408359
FRAC,supermarket,,22.0015836,50.0447982
,,,22.0141472,50.019007
MarketVita Express,convenience,,21.9849109,50.0232068
Pod Arkadami,convenience,,21.9871233,50.0228068
Społem,convenience,,21.9867582,50.0230618
Słoneczko,convenience,,21.9847541,50.0237745
,convenience,,21.9854261,50.0234546
,,,22.0213143,50.0422273
Biedronka,supermarket,,21.9552631,50.0447833
Eko,convenience,,22.017671,50.0249125
,,,21.9698524,50.0366428
Żabka,convenience,,22.0042801,50.0384917
Sklep Siedliska Koniec,convenience,,21.9531747,49.9555464
Moya,convenience,fuel,22.0210345,49.9812643
BP Tulipan,convenience,fuel,22.0147858,50.0183706
Watkem,convenience,fuel,21.9688567,50.0129364
