name,highway,longitude,latitude
PKP Ursus 15,bus_stop,20.8830159,52.194507
Spichrzowa 01,bus_stop,21.0539099,52.3351065
Krokwi 01,bus_stop,20.971456,52.3345267
Ursynów Północny 06,bus_stop,21.0369755,52.1619841
Langiewicza,bus_stop,21.1249107,52.2940116
Kołłątaja 01,bus_stop,21.1110576,52.2886274
Rozbrat 06,bus_stop,21.036804,52.2219488
Marysin 03,bus_stop,21.1560007,52.2404454
Magiera 01,bus_stop,20.950257,52.2712854
Metro Kabaty 03,bus_stop,21.0673388,52.1311301
Bełdan 03,bus_stop,21.0118249,52.1735574
Parowcowa 01,bus_stop,20.9135842,52.2118633
Wałowicka 01,bus_stop,20.9138192,52.2087419
PKP Włochy 01,bus_stop,20.9156136,52.2053783
Ryżowa 03,bus_stop,20.9147912,52.1995236
Łopuszańska 03,bus_stop,20.9295817,52.1954302
Przedpole 01,bus_stop,20.944485,52.1927482
Radarowa 01,bus_stop,20.9640989,52.1880598
Astronautów 01,bus_stop,20.9749048,52.184514
PKP Służewiec 02,bus_stop,20.9870333,52.1817214
Radarowa 02,bus_stop,20.9632057,52.1887647
Orzechowa 02,bus_stop,20.9494116,52.1921277
Przedpole 02,bus_stop,20.9423064,52.193428
Popularna 04,bus_stop,20.934884,52.2017068
Mikołajska 02,bus_stop,20.9285593,52.2030072
Parowcowa 02,bus_stop,20.9139569,52.2122524
Wiatraczna 10,bus_stop,21.0846652,52.2433055
Wiatraczna 09,bus_stop,21.0840677,52.2434855
Wspólna Droga 01,bus_stop,21.0942982,52.2441219
Wspólna Droga 02,bus_stop,21.095996,52.2434635
Kinowa 06,bus_stop,21.0717342,52.2417324
Uniwersytet 01,bus_stop,21.0165446,52.2400695
Uniwersytet 02,bus_stop,21.0174092,52.2391898
Terminal Autokarowy 02,bus_stop,20.9751147,52.1680622
Lotnisko Chopina-Odloty 01,bus_stop,20.9732429,52.1721446
Ośrodek Wojskowy 02,bus_stop,20.9795667,52.1751751
Ośrodek Wojskowy 01,bus_stop,20.9790969,52.1748696
Komitetu Obrony Robotników 01,bus_stop,20.9780445,52.1789617
Komitetu Obrony Robotników 02,bus_stop,20.9782899,52.1805269
Sasanki 02,bus_stop,20.9792888,52.1840522
Sasanki 04,bus_stop,20.9778556,52.1840832
Sasanki 03,bus_stop,20.97986,52.1829537
Novotel 01,bus_stop,20.9809032,52.1907341
Rakowiec 01,bus_stop,20.983356,52.1979812
Rakowiec 02,bus_stop,20.9843591,52.1988088
Rakowiec 03,bus_stop,20.9848002,52.1981526
Uniwersytet Medyczny 01,bus_stop,20.9857041,52.2047806
Uniwersytet Medyczny 02,bus_stop,20.9863533,52.2046709
Poleczki 03,bus_stop,21.0191847,52.152335
Poleczki 01,bus_stop,21.0172835,52.1519805
Mandarynki 01,bus_stop,21.0637021,52.1447218
Mandarynki 02,bus_stop,21.0631652,52.1458368
Tarniny 02,bus_stop,21.0114598,52.1721558
Orzycka 02,bus_stop,21.0089248,52.171082
Orzycka 01,bus_stop,21.0085778,52.171238
Gotarda 01,bus_stop,21.0056662,52.1712421
Aleja Lotników 01,bus_stop,21.0194734,52.1723745
Bełdan 04,bus_stop,21.0127626,52.1746879
Gotarda 02,bus_stop,21.004654,52.1722113
Łopuszańska 04,bus_stop,20.9271813,52.1962336
Wałowicka 02,bus_stop,20.9144011,52.2086016
Rozbrat 02,bus_stop,21.0372337,52.2224786
Rozbrat 01,bus_stop,21.0375464,52.2222408
Torwar 01,bus_stop,21.043984,52.2241545
Torwar 02,bus_stop,21.0436508,52.2243964
Szaserów-Szpital 01,bus_stop,21.0877883,52.2502652
Dobra 01,bus_stop,21.0220838,52.2435875
Muzeum Narodowe 02,bus_stop,21.0223238,52.2322953
Telewizja Polska 02,bus_stop,21.0127982,52.1891603
Kino Femina 07,bus_stop,20.9938012,52.2412361
Muzeum Narodowe 01,bus_stop,21.023382,52.2321113
Och-Teatr 02,bus_stop,20.9798223,52.2151761
Foksal 02,bus_stop,21.019676,52.2331015
Norblin 06,bus_stop,20.9923939,52.2323327
Szczęśliwicka 01,bus_stop,20.9689422,52.2136046
Umińskiego 02,bus_stop,21.0943988,52.2279578
Brazylijska 02,bus_stop,21.06527,52.2309921
Metro Świętokrzyska 01,bus_stop,21.007511,52.2364902
Bukowskiego 02,bus_stop,21.0954664,52.2301765
Koszykowa 01,bus_stop,21.0034058,52.2230103
Grenadierów 02,bus_stop,21.0787145,52.2435017
Sienna 02,bus_stop,20.9934347,52.2306263
Żupnicza 02,bus_stop,21.0602092,52.2507059
Lindleya 01,bus_stop,20.9963789,52.223386
Al. 3 Maja 01,bus_stop,21.0332883,52.2348051
Rondo Waszyngtona 03,bus_stop,21.0510082,52.2393426
Pl. Grzybowski 01,bus_stop,21.0032481,52.2364393
Madalińskiego 03,bus_stop,21.0094807,52.2031005
Pomnik Lotnika 03,bus_stop,20.9912955,52.2162166
Umińskiego 04,bus_stop,21.0931998,52.2278117
Chłopickiego 01,bus_stop,21.1047827,52.2457817
