name,highway,longitude,latitude
Palki - Wojska Polskiego,bus_stop,19.4866304,51.7899755
Zielona - pl. Hallera,bus_stop,19.4395376,51.7689226
Paderewskiego - Karpacka,bus_stop,19.4621734,51.7269418
Rojna - Wiernej Rzeki,bus_stop,19.3797721,51.7936863
Kolumny - Kolumny 118 NŻ,bus_stop,19.5122791,51.7081129
Felińskiego - Gojawiczyńskiej,bus_stop,19.5038668,51.7323543
Narutowicza - Radiostacja,bus_stop,19.4948941,51.7740891
Żeromskiego - Żwirki NŻ,bus_stop,19.4491128,51.7546402
Telefoniczna - Telefoniczna 27 NŻ,bus_stop,19.5041424,51.7826625
Strykowska - Rogowska NŻ,bus_stop,19.5061282,51.8189627
Brzezińska - CH M1,bus_stop,19.5108917,51.7963184
Kasprzaka - Srebrzyńska,bus_stop,19.4273178,51.7740499
Kasprzaka - Srebrzyńska,bus_stop,19.4272485,51.7746916
Kasprzaka - Legionów,bus_stop,19.4289681,51.7704819
Kasprzaka - Drewnowska,bus_stop,19.4268871,51.7806327
Radogoszcz Wschód,bus_stop,19.438279,51.8246985
Świtezianki - Syrenki,bus_stop,19.4478758,51.8223157
Świtezianki - Sikorskiego,bus_stop,19.4487638,51.8199759
Pienista - Komandorska,bus_stop,19.4084412,51.7363233
Retkińska - Dw. Łódź Retkinia,bus_stop,19.4053257,51.7421035
Retkińska - Zagrodniki,bus_stop,19.4055983,51.7457083
Retkińska - Wyszyńskiego,bus_stop,19.4074139,51.7490745
Zgierska - Dolna,bus_stop,19.4489967,51.7898877
Mickiewicza - Łąkowa NŻ,bus_stop,19.4416566,51.7564653
Bandurskiego - Dw. Łódź Kaliska,bus_stop,19.4318302,51.755871
Retkinia Kusocińskiego,bus_stop,19.3835711,51.7479089
Wólczańska - Czerwona,bus_stop,19.4569471,51.7461085
Traktorowa - Sierpowa,bus_stop,19.3945223,51.7990065
Traktorowa - Duńska NŻ,bus_stop,19.3949045,51.8011459
Traktorowa - Ludowa NŻ,bus_stop,19.3953906,51.8040045
Traktorowa - Ludowa NŻ,bus_stop,19.3958105,51.8062434
Traktorowa - św. Teresy NŻ,bus_stop,19.3960757,51.8076123
Liściasta - Czereśniowa NŻ,bus_stop,19.4343441,51.8073061
Palki - Wojska Polskiego,bus_stop,19.4866582,51.7903041
Liściasta - cm. Radogoszcz,bus_stop,19.4378959,51.8066139
Liściasta - cm. Radogoszcz,bus_stop,19.438891,51.8064054
Liściasta - Czereśniowa NŻ,bus_stop,19.4352787,51.8071301
Kilińskiego - Fabryczna,bus_stop,19.4708896,51.7558667
Tymienieckiego - ŁSSE,bus_stop,19.4773337,51.7526748
Sikorskiego - Nastrojowa,bus_stop,19.443617,51.8174237
Sikorskiego - Herlinga-Grudzińskiego,bus_stop,19.4392767,51.8162746
Sikorskiego - Zgierska,bus_stop,19.4357963,51.8156312
Świtezianki - Sikorskiego,bus_stop,19.4484377,51.8188706
Sikorskiego - Nastrojowa,bus_stop,19.4449576,51.8176245
Pojezierska - Brukowa,bus_stop,19.411826,51.8004925
św. Teresy - Włókniarzy NŻ,bus_stop,19.4242427,51.8045059
Św. Teresy - św. Teresy 91 NŻ,bus_stop,19.420261,51.8046745
Włókniarzy - Liściasta NŻ,bus_stop,19.4256186,51.809684
Włókniarzy - Liściasta NŻ,bus_stop,19.4252343,51.8100831
Liściasta - Liściasta 72 NŻ,bus_stop,19.4289018,51.808382
Liściasta - Liściasta 72 NŻ,bus_stop,19.428846,51.8083935
Kniaziewicza - Brzóski,bus_stop,19.4386341,51.7998226
Kniaziewicza - Brzóski,bus_stop,19.4400836,51.799978
Pojezierska - Grunwaldzka,bus_stop,19.4315558,51.7984199
Kniaziewicza - Kalinowa NŻ,bus_stop,19.4361093,51.7995588
Kniaziewicza - Kalinowa NŻ,bus_stop,19.4351657,51.7994594
Pojezierska - Włókniarzy,bus_stop,19.4256317,51.7990696
Pojezierska - Włókniarzy,bus_stop,19.4264222,51.7989828
Pojezierska - Grunwaldzka,bus_stop,19.4300903,51.7985819
Pojezierska - Zgierska,bus_stop,19.4433011,51.797318
Zgierska - Julianowska,bus_stop,19.4439817,51.7982794
Julianowska - Zgierska,bus_stop,19.4455119,51.7977438
Julianowska - Żarnowcowa,bus_stop,19.4513185,51.7995762
Łagiewnicka - Sowińskiego,bus_stop,19.4552904,51.8121748
Łagiewnicka - Sowińskiego,bus_stop,19.4554524,51.8123101
Łagiewnicka - Morelowa NŻ,bus_stop,19.4582409,51.8075905
Łagiewnicka - Morelowa NŻ,bus_stop,19.4576987,51.8084342
Łagiewnicka - Litewska NŻ,bus_stop,19.4589648,51.8045418
Łagiewnicka - Litewska NŻ,bus_stop,19.4591154,51.8045934
Łagiewnicka - r. Powstańców 1863r.,bus_stop,19.4572407,51.8003276
Warszawska - Irysowa NŻ,bus_stop,19.46376,51.8035474
Warszawska - Irysowa NŻ,bus_stop,19.463443,51.8034142
Warszawska - Deczyńskiego NŻ,bus_stop,19.4682626,51.805497
Warszawska - Deczyńskiego NŻ,bus_stop,19.4685901,51.8056385
Matek Polskich - Przednia,bus_stop,19.4788091,51.7041851
Matek Polskich - Przednia,bus_stop,19.4783206,51.7043801
Rzgowska - ICZMP szpital,bus_stop,19.4818653,51.7031406
Paradna - Rzgowska,bus_stop,19.4869815,51.7094212
Paradna - Rzgowska,bus_stop,19.4856743,51.7093669
Rzgowska - Paradna,bus_stop,19.4876191,51.7086997
Pabianicka - Rudzka,bus_stop,19.4286226,51.7116102
Próchnika - Piotrkowska,bus_stop,19.4545337,51.7746616
Zachodnia - Legionów,bus_stop,19.452466,51.7755801
Ogrodowa - Nowomiejska,bus_stop,19.4537309,51.7788186
Paderewskiego - Rzgowska,bus_stop,19.473815,51.7302462
Paderewskiego - Tuszyńska,bus_stop,19.4691696,51.7285113
Rzgowska - Bankowa,bus_stop,19.4763916,51.7292241
Paderewskiego - Tuszyńska,bus_stop,19.4706236,51.7289002
Rzgowska - Dachowa,bus_stop,19.4808878,51.7248935
Rzgowska - Dachowa,bus_stop,19.4810929,51.7243386
Rzgowska - Kurczaki,bus_stop,19.4850149,51.7185991
Wojska Polskiego - Palki,bus_stop,19.4859953,51.7909029
Sporna - Wojska Polskiego,bus_stop,19.4788749,51.7897417
Wojska Polskiego - Sporna,bus_stop,19.4798587,51.7893195
Rzgowska - cm. Rzgowska,bus_stop,19.4840067,51.721183
Rzgowska - św. Wojciecha,bus_stop,19.4864077,51.7141298
Rzgowska - Kurczaki,bus_stop,19.4851543,51.7172225
Rzgowska - cm. Rzgowska,bus_stop,19.4840974,51.7204685
Kusocińskiego - Popiełuszki,bus_stop,19.3851688,51.7481058
Rzgowska - św. Wojciecha,bus_stop,19.4867215,51.7140355
Fabryczna - Kilińskiego NŻ,bus_stop,19.4718445,51.7557848
Felińskiego - Kadłubka,bus_stop,19.5004617,51.7322967
Kusocińskiego - Armii Krajowej,bus_stop,19.3923593,51.7502076
Kusocińskiego - Armii Krajowej,bus_stop,19.3914284,51.7499453
Kilińskiego - Dąbrowskiego,bus_stop,19.478695,51.7394175
Piastów Kurak,bus_stop,19.4643735,51.7261099
Telefoniczna - Pieniny,bus_stop,19.5251525,51.782913
Telefoniczna - Pieniny,bus_stop,19.5250324,51.7829236
Woronicza - Dw. Łódź Żabieniec,bus_stop,19.4085946,51.7930472
Janosika - Wyżynna,bus_stop,19.5235591,51.7878385
Janosika - Wyżynna,bus_stop,19.5237569,51.7876896
Wojska Polskiego - Palki,bus_stop,19.4863826,51.7910826
Żeromskiego - Mickiewicza NŻ,bus_stop,19.4482317,51.7592564
Politechniki - Wróblewskiego (kampus PŁ),bus_stop,19.4515703,51.7437096
Kilińskiego - Broniewskiego,bus_stop,19.4790629,51.731292
Włókniarzy - św. Teresy NŻ,bus_stop,19.4255932,51.8038425
Włókniarzy - św. Teresy NŻ,bus_stop,19.4260026,51.8053065
11 Listopada - Jantarowa,bus_stop,19.4224702,51.8156872
11 Listopada - Jantarowa,bus_stop,19.4229458,51.8153392
Radogoszcz Zachód,bus_stop,19.4194013,51.8175233
Wólczańska - Skrzywana,bus_stop,19.4573947,51.7441155
Wólczańska - Czerwona,bus_stop,19.4568881,51.7463751
Piłsudskiego - Sarnia,bus_stop,19.4922251,51.7622441
Retkińska - Wyszyńskiego,bus_stop,19.405706,51.7471122
Rzgowska - Bartoszewskiego NŻ,bus_stop,19.480063,51.700669
Hipoteczna - Pojezierska,bus_stop,19.4327401,51.7971682
