name,amenity,longitude,latitude
,,21.1582689,51.3746467
,,21.1595454,51.3751376
,,21.1593506,51.375349
,,21.1583332,51.3762175
,,21.1561911,51.4285597
,,21.1612722,51.4297556
,,21.1563389,51.4020031
,,21.1292214,51.3651839
,,21.1474101,51.3956886
,,21.1482494,51.3967312
,,21.1528897,51.3967565
,,21.1840579,51.4145064
,,21.1836186,51.4141834
,,21.1746328,51.4195596
,,21.1749126,51.4200576
,,21.1744511,51.420631
,,21.1730891,51.4208745
"Szkoła Językowa ""Filadelfia""",school,21.1669223,51.4205203
,,21.165174,51.4050312
,,21.1558691,51.4278132
Nova - Centrum Edukacyjne,school,21.1548769,51.4032696
,,21.1738627,51.3753899
,,21.1572915,51.4145533
,,21.1469643,51.404332
,,21.1648882,51.404442
,,21.1224412,51.389426
,,21.1211931,51.3897501
,,21.1624093,51.3782041
,,21.1650934,51.3784571
,,21.1320735,51.3708525
,,21.1306648,51.3720299
,,21.1320818,51.3714644
,,21.1285244,51.3778385
,,21.1296051,51.3789188
,,21.1288266,51.3771881
,,21.1286843,51.3783103
Sukces Edukacja,school,21.1465693,51.402498
,,21.1752865,51.4172768
,,21.1757163,51.4174349
,,21.1554667,51.4132914
,,21.155804,51.412195
,,21.1518974,51.4105556
,,21.149586,51.4109065
,,21.1493628,51.4076152
,,21.1471436,51.4045031
"Szkoła Policealna ""Żak""",school,21.1544683,51.3948147
Cosinus - szkoły policealne,school,21.1485033,51.4020515
,,21.1484751,51.4015658
,,21.1485349,51.4006254
English College,school,21.1531823,51.4014502
,,21.1507837,51.3982485
,,21.1505447,51.398412
City College,school,21.153513,51.401404
,,21.1559149,51.4020503
ZSSiH - Stołówka Szkolna,school,21.1545165,51.3983014
Szkoła Partnerstwa Międzynarodowego z oddziałami dwujęzycznymi im. Unii Europejskiej,school,21.1532082,51.3968906
,,21.1135073,51.4126845
,,21.1631222,51.3946646
,,21.1667076,51.4376782
,,21.1317354,51.4098618
,,21.1646262,51.4039147
,,21.1724143,51.4010886
,,21.0543923,51.4095234
,,21.1473935,51.4047018
,,21.1374996,51.4016201
,,21.1207297,51.4063304
Szkoła Języka i Kultury Francuskiej,school,21.1594496,51.4029215
,,21.1757739,51.3933211
,,21.1396618,51.3989174
,,21.1395802,51.4002213
,,21.171509,51.3771748
,,21.1740822,51.376522
,,21.1731028,51.3754689
,,21.1568917,51.4097762
,,21.1572029,51.4097041
,,21.1374401,51.4109269
,,21.1379289,51.4067123
,,21.1368164,51.4069019
,,21.1374467,51.4068091
English College - filia Michałów,school,21.1637432,51.4284187
,,21.1588587,51.4317667
,,21.1238082,51.4030049
,,21.1503674,51.3958412
,,21.1506145,51.3964492
Mural 100-lecie ZSB,,21.1506623,51.3965457
,,21.1501903,51.395091
,,21.1495924,51.3968867
,,21.1484739,51.3945844
Ośrodek Doskonalenia Nauczycieli,school,21.1490262,51.3949077
,,21.1493735,51.3944132
,,21.1529164,51.3950182
,,21.1396265,51.3997568
Pamięci 10 Żołnierzy Armii Ludowej,,21.138845,51.3990923
,,21.1418836,51.3958404
,,21.1616257,51.4125427
,,21.1620737,51.4124585
,,21.1593892,51.3968238
,,21.1594691,51.396809
,,21.141899,51.3951437
,,21.1420256,51.3947101
,,21.1433949,51.3947375
,,21.143128,51.3968916
,,21.1621752,51.4092059
,,21.1611286,51.4093204
,,21.1655683,51.4015535
,,21.1624313,51.4053942
,,21.1643777,51.4050664
,,21.1583531,51.4278506
,,21.1584972,51.4281937
,,21.1574992,51.4284568
,,21.1579663,51.428356
,,21.1732412,51.4208473
,,21.1553416,51.3893383
,,21.0800684,51.3942791
,,21.092702,51.3646163
,,21.1649582,51.4013021
SpeakUp,school,21.1650565,51.3997131
English School,school,21.1652894,51.3996182
,,21.1227572,51.4026448
,,21.1227182,51.4023522
,,21.1376936,51.3995478
,,21.1376708,51.4009165
,,21.1333304,51.3916853
,,21.1296837,51.3813406
,,21.1841088,51.3502433
,,21.1580268,51.414429
,,21.1885312,51.4390525
,,21.0855035,51.3798489
Zespół Niepublicznych Placówek Oświatowych Specjalnych,school,21.0872993,51.3790241
,,21.148418,51.4441097
,,21.1487126,51.4443484
,,21.1287166,51.3769025
,,21.1503391,51.4088965
,,21.1283644,51.3649175
,,21.1289914,51.366642
,,21.1271214,51.3663319
,,21.1294023,51.3759858
,,21.0595388,51.3662738
,,21.1524345,51.3885145
,,21.1719319,51.4011759
,,21.054562,51.4088036
,,21.1883465,51.4386652
,,21.1535613,51.3813932
,,21.1810058,51.4144795
,,21.1502376,51.3879067
,,21.1530237,51.3881808
,,21.1798206,51.4063197
,,21.0556955,51.4083306
,,21.0551496,51.4082831
,,21.1477837,51.3762098
,,21.1498272,51.4429417
,,21.1809631,51.4068956
,,21.1813687,51.406822
,,21.1812092,51.406851
,school,21.156567887709915,51.403989221668304
,,21.15843070088553,51.37498482200495
XII Liceum Ogólnokształcące,school,21.1637222518847,51.37845816682307
III Liceum Ogólnokształcące im. płk. Dionizego Czachowskiego,school,21.151081027778936,51.398985931147465
V Liceum Ogólnokształcące im. Romualda Traugutta,school,21.15025993637293,51.40018902213354
Zespół Szkół Budowlanych im. Kazimierza Wielkiego,school,21.149273962885676,51.39604532894407
,,21.158916498943206,51.37582639904669
Zespół Szkół Ekonomicznych,school,21.1380455926926,51.41065660377983
Zespół Szkół Technicznych im. Tadeusza Kościuszki,school,21.138514570203817,51.40034292107995
Zespół Szkół Specjalnych i Placówek Oświatowych,school,21.15631560268801,51.3757896194191
Zespół Szkół Samochodowych im. rotmistrza Witolda Pileckiego,school,21.164620387299482,51.40178959092498
Zespół Szkół Muzycznych im. Oskara Kolberga,school,21.165426821303537,51.40441549790079
XIII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Polskich Noblistów w Radomiu,school,21.16337039622542,51.40517690473524
Zespół Szkół Elektronicznych im. Bohaterów Westerplatte,school,21.181993190269964,51.407352723826016
