name,amenity,leisure,tourism,longitude,latitude
,,,,21.0082866,52.1670768
,,,attraction,21.0468175,52.1204939
,,,,20.987679,52.2005327
,,,,21.0454244,52.1572266
Atlantic,cinema,,,21.0125319,52.2315835
Muranów,cinema,,,20.9996291,52.2449411
Multikino,cinema,,,21.0469367,52.1497516
,,,,21.0124831,52.2129039
,,,,21.0113559,52.2135572
,,,,21.0103957,52.2129515
,,,,21.0116089,52.2122527
Brama 2,,,,21.0498106,52.2385383
Remont,nightclub,,,21.0166229,52.2167318
,,,,21.0419631,52.1899444
,,,,21.0433216,52.1876619
,,,,21.015861,52.1652501
,,,,21.0158637,52.1651356
,,,,21.0118241,52.1655082
,,,,21.0161077,52.261277
,,,,21.0238563,52.2544048
,,sports_centre,,21.069523,52.1732184
Współczesny,theatre,,,21.0171498,52.2189944
Ateneum,theatre,,,21.032906,52.2371963
Studio Buffo,theatre,,,21.0265631,52.2280534
Teatr Kwadrat,theatre,,,21.0086898,52.2358793
Teatr Dramatyczny im. Gustawa Holoubka,theatre,,,21.0074971,52.2313293
Hybrydy,nightclub,,,21.0116281,52.2327432
"Teatr Muzyczny ""Roma""",theatre,,,21.0078118,52.2274112
,,,,21.1145615,52.1151045
,,sports_centre,,21.0008289,52.2549119
,,,,21.0685431,52.1920118
,,,,21.0435062,52.2562033
Wejście VII,,,,21.0441683,52.2545505
,,,,21.0452068,52.2257584
Klub Medyka,nightclub,,,21.000968,52.2242426
Luna,cinema,,,21.0191508,52.2187259
Muzeum Etnograficzne,arts_centre,,museum,21.0121665,52.2381491
Syrena,theatre,,,21.0220793,52.2164477
TR Warszawa,theatre,,,21.0210451,52.2150311
Kopalnia,nightclub,,,21.0034635,52.2435332
Teatr Capitol,theatre,,,21.0029871,52.2411374
Teatr Sabat,theatre,,,21.0206517,52.2337872
Pomnik Geodezji Europejskiej,,,attraction,21.0091784,52.243967
Cinema City,cinema,,,21.0616152,52.1870541
Złota Kaczka,fountain,,attraction,21.0240045,52.236672
Multikino,cinema,,,21.0577228,52.3023121
,,,,21.0075088,52.1551371
Gniazdo,community_centre,,,21.0186497,52.2257586
Bungee Jumping Mario,,sports_centre,,20.9537196,52.2346908
,,,,20.9383489,52.2516777
Ośrodek Kultury Jelonki,community_centre,,,20.9123699,52.2279412
Galeria Promocyjna,,,gallery,21.0129897,52.2497777
Klub Demokratyczny,,,,21.0114488,52.2498124
Scena Letnia w Lapidarium,theatre,,,21.011213,52.2502051
Pomnik Małego Powstańca,,,attraction,21.0096187,52.2492766
,,,,20.9901137,52.2157961
Baj,theatre,,,21.0346245,52.2524956
Instytut Słowacki,arts_centre,,,21.0114906,52.2507884
,,,,21.0215963,52.2591028
Dominikanskie Duszpasterstwo Akademickie Freta,community_centre,,,21.0098868,52.2521463
Sala Kongresowa,theatre,,,21.0049699,52.2314997
Studio,theatre,,,21.0067376,52.2326368
Multikino,cinema,,,21.0018301,52.2293815
Kino Kultura,cinema,,,21.014189,52.2433382
Lalka,theatre,,,21.0065368,52.232917
,,,,21.0450786,52.1570938
Laboratorium Dramatu (scena Przodownik),theatre,,,21.0193928,52.2041402
Hulakula,,sports_centre,,21.0168872,52.2735044
Brama Wjazdowa do pałacu w Wilanowie,,,attraction,21.0882945,52.1651066
PZL Mi-2URN,,,attraction,21.0665976,52.181818
PZL Mi-2R,,,attraction,21.0667844,52.1818504
PZL Mi-2R,,,attraction,21.0667019,52.181818
,,,attraction,21.066996,52.1818094
,,,,21.1127083,52.2430445
kasa ogrodu botanicznego,,,,21.0942699,52.1095732
Nowy Berlin,nightclub,,,21.0189532,52.232779
U-jazdowski,cinema,,,21.0309023,52.2193386
,,,,20.8901791,52.2535659
,,,,20.8938058,52.2537956
MIMS galeria,arts_centre,,,21.0356247,52.2352261
Organizacje Kombatanckie Dzielnicy Żoliborz,community_centre,,,20.9908495,52.2628241
Teatr Akt,theatre,,,21.1116869,52.2554333
,theatre,,,21.0343426,52.257229
Indeks,nightclub,,,21.0173416,52.2396601
Akademia Karate Tradycyjnego,,sports_centre,,21.0952661,52.2469622
Centrum Społeczności Żydowskiej,community_centre,,,21.0174964,52.2324857
,,,,20.890676,52.1868255
,,,,20.8904883,52.1866516
,,,,20.8905406,52.1870808
,,,,20.886914,52.1861582
,,,,21.0347563,52.2668449
Wodozbiór Wisły,,,attraction,20.9617606,52.2965938
,,,,21.0272401,52.1944358
,,,,21.0311249,52.1958861
,,,,21.0299933,52.1977068
,,,,21.0303006,52.1978715
,,,,21.0313378,52.1978972
Mieszko I,,,attraction,21.0703976,52.1410917
,,,,21.0173208,52.1971985
,,,,21.0138577,52.1963806
,,,,20.8905789,52.2518793
,,,,20.8940255,52.2519758
,,,,20.8941718,52.2507305
,,sports_centre,,21.027729,52.1796802
Artystyczny Dom Animacji Kino ADA,arts_centre,,,20.9078284,52.2074645
,,,,21.01435,52.1966706
,,,,21.0304775,52.2192851
,,,,21.0303463,52.2194047
,,,,21.0303537,52.2195262
,,,,21.0317547,52.1646583
Sosna Kandelabrowa,,,attraction,20.8531904,52.3130049
,,,attraction,21.0212746,52.2395739
Reduta Bank Polski,,,,21.0062057,52.2446652
Głazy narzutowe,,,attraction,21.024364,52.1981683
,,,,21.0047758,52.1573533
Mur Getta Warszawskiego,,,attraction,20.9988509,52.2307885
,,,,20.9966913,52.1691802
,,,,21.04593,52.2548283
"Centrum Kultury ""Saska Kępa""",arts_centre,,,21.0601131,52.2255656
Eko-punkt Zielonka,,,attraction,21.143967,52.2884855
Eko-punkt Ząbki,,,attraction,21.1223783,52.2970854
,,,,21.0129495,52.2470299
,,,,20.9363929,52.2590495
,,,,20.9399318,52.2600225
,,,,21.0336645,52.2980019
Ikar,arts_centre,,,20.9478708,52.1793482
,,,,20.9426618,52.2982807
,,,,21.0437723,52.24226
Brama 3,,,,21.0473139,52.2377673
Brama 1,,,,21.0483631,52.2404244
Brama 11,,,,21.0471642,52.2422345
Brama 6,,,,21.0424863,52.2392037
Brama 4,,,,21.0437102,52.2379253
Brama 7,,,,21.0417393,52.2401769
,,,,20.9965399,52.2979372
IMKA,theatre,,,21.0261134,52.2281693
Polonia,theatre,,,21.0159249,52.2236311
,post_box,,,21.0122104,52.2492584
Towarzystwo Opieki Nad Zabytkami Przeszłości,,,,21.0118597,52.2501862
Łukasz Smuglewicz i Szymon Czechowicz,,,,21.0122299,52.2502469
W Hołdzie Księgarzom Polskim,,,,21.0121696,52.2502932
Jan Zachwatowicz,,,,21.0131343,52.2476962
Explosion,nightclub,,,21.0848236,52.2216011
Px48-1778,,,attraction,21.1080213,52.3270545
Białołęcki Ośrodek Kultury,arts_centre,,,20.9532725,52.3135966
Brama 10,,,,21.0432378,52.2412738
Wgórę,,sports_centre,,21.0262555,52.1965578
,,,attraction,21.0278061,52.241388
Centrum sportowe,,sports_centre,,20.9609342,52.1879536
ADA Puławska,community_centre,,,21.0227835,52.2076804
Spatif,nightclub,,,21.0231138,52.2267422
Kibitka,,,attraction,21.0003656,52.2662809
Armaty carskie,,,attraction,21.0017156,52.2663587
Kinoteka,cinema,,,21.0064611,52.2313226
Dziekanat 161,nightclub,,,21.039606,52.1625408
Druga Strefa,theatre,,,21.0055722,52.1861752
Kino Świt,cinema,,,21.0215986,52.2847966
,,,,21.0117564,52.2393696
,,,,21.0146077,52.205064
Poradnia Psychologiczno-Pedagogiczna,community_centre,,,20.9150229,52.2266202
,,,,21.0142306,52.1961691
,,,,21.036371,52.2605511
,,,,21.0524358,52.2264139
147 Break,pub,sports_centre,,20.9905374,52.224449
,,,,21.0104344,52.2114176
,,,,21.0620447,52.2589478
Teatr Academia,theatre,,,21.0366908,52.2591509
Teatr Remus,theatre,,,21.0339653,52.2562428
TuPraga,arts_centre,,,21.0338395,52.25922
Centrum Sztuki Destrukcyjnej,community_centre,,,20.9960408,52.2413306
Teatr Kamienica,theatre,,,20.9985792,52.2432284
,,,,20.9315605,52.2580373
,,,,20.9314877,52.2571884
,,,,21.0294094,52.2653284
,,,,21.0303127,52.2656257
,,,,21.0307137,52.2660243
,,,,21.0141254,52.1961571
,,,,21.032189,52.1636083
Kino Akademickie,cinema,,,20.895534,52.254997
,,,,20.9469559,52.3219278
,,,,21.0414218,52.2231025
,,amusement_arcade,,20.9174449,52.2238818
,,,,21.0146323,52.1962186
,,,,21.0177497,52.196595
Pałac Młodzieży,community_centre,,,21.005865,52.2322993
Klub Komediowy,theatre,,,21.0170469,52.2197709
Nastula Club,,sports_centre,,20.9632421,52.2725563
,,,,20.9590189,52.2533518
,,,,20.9546518,52.2551112
,,,,20.9982707,52.1957969
Klub Tenisowy Marki,,sports_centre,,21.111783,52.3353934
Club Mirage,nightclub,,,21.0047774,52.2312319
,,,,20.9852526,52.1989526
,,,,20.9962982,52.2130481
,,,,20.9961621,52.2164653
,,,,20.9944564,52.2161015
,,,,20.9956568,52.2143048
,,,,20.9902947,52.2112931
,,,,20.9924051,52.21164
,,,,20.9889348,52.2140427
Biennale Warszawa,arts_centre,,,21.0185237,52.2215263
Faktyczny Dom Kultury,community_centre,,,21.0196639,52.2352583
Cinema City,cinema,,,20.9847275,52.2570333
Multikino,cinema,,,20.9327746,52.2417033
Teatr Żydowski,theatre,,,21.0053653,52.2426951
,,,,21.0425553,52.2195144
,,,,21.0427009,52.2211432
,parking_entrance,,,21.0420474,52.2213302
,,,,21.0362446,52.2213428
,parking_entrance,,,21.0398544,52.2214516
,,,,20.9856261,52.2776441
I LOVE FITNESS,,sports_centre,,20.9421054,52.3318087
Siłownia Plenerowa,,sports_centre,,20.9171655,52.2769987
SkyStudio Klub Fitness,,sports_centre,,20.9210962,52.2755683
,,sports_centre,,21.1220101,52.2906514
Skład butelek,nightclub,,,21.0370317,52.2590956
Brama 5,,,,21.0432803,52.2386018
Brama 8,,,,21.0420161,52.2403987
Brama 9,,,,21.0428012,52.2410091
ZanziBar,nightclub,,,21.0137508,52.2287584
,,,,21.0213073,52.2621247
Maszt Wolności,,,attraction,20.9821756,52.2547713
Akademia Walki,,sports_centre,,21.070583,52.2424132
,,,,21.058651,52.2380096
Cinema City,cinema,,,21.0040401,52.1790541
Dzielnicowy Ośrodek Kultury Wola im. S. Żeromskiego,arts_centre,,,20.9478685,52.2465446
Bielańska Scena Kameralna,theatre,,,20.9478341,52.2762314
Fundacja Dziecko i Sztuka,arts_centre,,,20.9888723,52.2678781
Fundacja Jeden Drugiemu,community_centre,,,20.9575025,52.2442512
,,,,21.0101975,52.2505386
,,,,21.0102855,52.2506416
Mig-21,,,attraction,21.0135617,52.2104357
,,,,20.9533571,52.2475941
,,,,20.9532466,52.2483338
,,,,20.9532391,52.2483824
,,,,20.9534436,52.2485307
,,,,20.9540918,52.24794
,,,,21.0190281,52.2050381
,,,,21.019247,52.2050758
,,,,21.0184157,52.2056323
,,,,20.9543507,52.2396602
,,,,21.0278879,52.1850019
,,,,20.9545181,52.2392166
Cassiopeia-Art.pl,,sports_centre,,20.9448723,52.2421315
Studio Zdrowia,,sports_centre,,20.9569537,52.2468071
,,,,20.9717594,52.2920369
,,,,20.9542264,52.248013
Tygmont,nightclub,,,21.0133254,52.236993
Centrum Wspinaczkowe On Sight,,sports_centre,,20.9538627,52.2480282
Słup powodziowy,,,attraction,21.0917947,52.1663675
,,,,21.1457912,52.2367222
,,,,21.1455965,52.2370733
"Młodzieżowy Dom Kultury ""Mokotów""",arts_centre,,,21.0128422,52.1957644
,,amusement_arcade,,20.9325023,52.2659144
,,,,21.0239823,52.1592456
,,,,21.0248387,52.1593719
,,,,21.023871,52.1595457
,,,,21.0247336,52.1596682
,,,,21.0308841,52.1636425
,,,,21.0303811,52.163694
,,,,20.9537409,52.2479563
,,,,20.9540437,52.2479715
Lus Blus,nightclub,,,20.9547178,52.2372455
,,,,21.0175634,52.2160135
,,,,21.07018,52.1919053
Atomowa Kwatera Dowodzenia,,,attraction,20.8634308,52.3201874
,,,,21.0315463,52.163255
,,,,21.0320823,52.1635319
,,,,21.0712016,52.283707
Klub Osiedlowy Relax,community_centre,,,21.1053393,52.2367
Sanus Fitness,,sports_centre,,20.9534369,52.2052191
Cinema City,cinema,,,20.8919144,52.1363037
Warsztatownia,arts_centre,,,21.0179248,52.2330785
Relax,nightclub,,,20.9580712,52.2859281
Rumuński Instytut Kultury Warszawa,community_centre,,,21.0217171,52.2228935
