name,amenity,longitude,latitude
Niepubliczne Przedszkole Rodzinne,kindergarten,23.1203057,53.1453082
Niepubliczne Przedszkole nr 2 Zgromadzenia Sióstr Miłosierdzia św. Wincentego à Paulo,kindergarten,23.161802,53.1320382
ToTu przedszkole,kindergarten,23.1288755,53.1495206
Przedszkole Samorządowe nr 85 w Białymstoku,kindergarten,23.1839437,53.1292253
Przedszkole Samorządowe nr 20,kindergarten,23.2095781,53.1174359
Niepubliczny Żłobek i Przedszkole Samo Dobro,kindergarten,23.1331611,53.1126173
Przedszkole Nasze Szkraby,kindergarten,23.1783363,53.1411663
Mali podróżnicy Przedszkole,kindergarten,23.0843869,53.1488093
Przedszkole Puchatek,kindergarten,23.0891572,53.150432
Przedszkole Mali Podróżnicy,kindergarten,23.1280535,53.113478
Przedszkole Samorządowe nr 43,kindergarten,23.138645243385316,53.14240231236617
Przedszkole Sokolnik,kindergarten,23.185536573554494,53.110943816541266
Przedszkole Samorządowe Nr 4,kindergarten,23.152297698864466,53.15023427324327
Przedszkole niepubliczne Paprotka,kindergarten,23.174851029158475,53.12638269425124
"Przedszkole Samorządowe Nr 32 z Oddziałami Integracyjnymi ""Bajkowe Miasteczko""",kindergarten,23.12740417592118,53.109204304155355
Piotruś Pan przedszkole,kindergarten,23.131498512781995,53.109132762067865
Przedszkole Samorządowe Nr 55 z Oddziałami Integracyjnymi,kindergarten,23.15157590843521,53.14257782480279
Zespół Szkolno-Przedszkolny nr 5,school,23.09645151533367,53.1192300413323
"Niepubliczne Przedszkole nr 7 Muzyczno-Taneczne ""Wesołe Nutki""",kindergarten,23.18626669251407,53.140743854736904
Zespół Szkolno-Przedszkolny nr 4,school,23.119517783389238,53.15051704155889
Przedszkole Samorządowe Nr 71,kindergarten,23.133564979848686,53.152657788716425
Jeżykowe Przedszkole,kindergarten,23.218755599999994,53.09417710000001
Przedszkole Samorządowe nr 22,kindergarten,23.17179587775637,53.138246654084774
"Przedszkole Samorządowe nr 76 ""Na Zielonych Wzgórzach""",kindergarten,23.101693181607853,53.12234753419236
Zespół Szkolno-Przedszkolny nr 1,school,23.103751214044745,53.15289805460617
Przedszkole Wesoła Niezapominajka,kindergarten,23.083500375083155,53.13536809315735
Przedszkole Przyjazny Domek,kindergarten,23.083629958730157,53.135026437626934
"Przedszkole Samorządowe nr 30 im. Jana Pawła II ""Radosne""",kindergarten,23.1824039231114,53.127932398986175
"Przedszkole Samorządowe nr 52 ""Kubusia Puchatka""",kindergarten,23.156363213279395,53.12664932828337
Przedszkole Promyczek,kindergarten,23.13832846921183,53.11128171365995
Zespół Szkolno-Przedszkolny nr 2,school,23.138239027561756,53.10890040672268
Przedszkole Samorządowe nr 47 „Z Uśmiechem”,kindergarten,23.180684984404408,53.129809041905496
Przedszkole Samorządowe nr 46,kindergarten,23.187631896614928,53.13353622971519
Przedszkole Samorządowe nr 68 im. Janusza Korczaka,kindergarten,23.19196712280463,53.13402556452692
Przedszkole Samorządowe Nr 73,kindergarten,23.122557313478428,53.15369901480818
Przedszkole Samorządowe nr 58 Integracyjne im. Jana Wilkowskiego,kindergarten,23.124408154180355,53.154595430341445
Przedszkole Samorządowe Nr 78,kindergarten,23.119525957079475,53.15178474865777
Przedszkole Samorządowe nr 27 im. Marszałka Józefa Piłsudskiego,kindergarten,23.14984809231545,53.134849984584235
Przedszkole Samorządowe nr 10,kindergarten,23.16096770347312,53.135122483680576
Przedszkole Samorządowe Nr 26 Integracyjne im. Joanny Strzałkowskiej-Kuczyńskiej,kindergarten,23.166289262569286,53.14104838458555
Przedszkole Samorządowe nr 23,kindergarten,23.174789223766343,53.124625880410875
Przedszkole Samorządowe nr 41,kindergarten,23.172307520659345,53.12632451968061
Przedszkole Samorządowe Nr 44,kindergarten,23.135928768146083,53.139465282831615
"Przedszkole Samorządowe nr 29 ""Fantazja""",kindergarten,23.12577947616659,53.138503426817536
Przedszkole Samorządowe Nr 28,kindergarten,23.12299079698436,53.1387619192294
