name,shop,amenity,longitude,latitude
Carrefour Express,convenience,,18.5638001,54.4395478
,convenience,,18.5017202,54.3447982
Merkus,convenience,,18.6485315,54.3457793
Lewiatan,supermarket,,18.5729975,54.439393
Kaufland,supermarket,,18.6205902,54.3368014
Lewiatan,convenience,,18.6262946,54.3351951
Merkus,supermarket,,18.6851518,54.3566199
Żabka,convenience,,18.6267838,54.3759978
Zefirek,convenience,,18.6168024,54.3800981
Kristo,convenience,,18.6262624,54.3803734
,convenience,,18.6236302,54.378741
Smakosz,convenience,,18.6236921,54.3804593
No Name,supermarket,pub,18.5979086,54.4155953
,convenience,,18.6319167,54.3581643
Żabka,convenience,,18.5947116,54.3452566
Livio,convenience,,18.5983218,54.3281092
Żabka,convenience,,18.5580386,54.4371211
,convenience,,18.563341,54.4393694
,convenience,,18.4040366,54.3356159
,convenience,,18.6183229,54.3733673
Biedronka,supermarket,,18.6503589,54.3553014
Eurospar,supermarket,,18.6074553,54.3770118
Libero,convenience,,18.6319791,54.3791958
Żabka,convenience,,18.6573657,54.3533504
,convenience,,18.5080638,54.3775847
Żabka,convenience,,18.5793828,54.3015967
,convenience,,18.5784441,54.3019656
Stokrotka,supermarket,,18.5772366,54.3021479
Carrefour,supermarket,,18.5503771,54.3219619
,convenience,,18.6120023,54.3250424
,,,18.5990936,54.3827019
Spar,supermarket,,18.6040263,54.3297313
,convenience,,18.5767338,54.3556703
Lewiatan,convenience,,18.5783887,54.3573474
Żabka,convenience,,18.5784646,54.3545129
Lidl,supermarket,,18.5529299,54.3226414
Mini Market,convenience,,18.6285989,54.3184445
,convenience,,18.4550765,54.3460859
Biedronka,supermarket,,18.6628918,54.3472388
Delikatesy Familijne,convenience,,18.6222823,54.3264254
Biedronka,supermarket,,18.6176765,54.3249917
,convenience,,18.618833,54.326111
Żabka,convenience,,18.6221723,54.3261118
Carrefour Express,convenience,,18.6621086,54.347715
,convenience,,18.6671645,54.3484283
,,parking_entrance,18.6200945,54.335947
,convenience,,18.5602629,54.4395469
Lewiatan,convenience,,18.4599581,54.4266159
Sklep spożywczy,convenience,,18.4575461,54.4397474
,convenience,,18.6627762,54.3441676
Delikatesy Mrozińscy,convenience,,18.5663606,54.444119
,convenience,,18.5301343,54.3510707
,,parking_entrance,18.5936622,54.3512485
Max & Xavier,convenience,,18.5703819,54.3139168
,convenience,,18.5674513,54.3086668
Euronet,,atm,18.5823669,54.3188322
,,,18.6197929,54.3370758
,,,18.5664212,54.3107732
,,,18.5554729,54.3510086
Biedronka,supermarket,,18.5561152,54.3510106
Żabka,convenience,,18.562632,54.3504515
,,,18.6099489,54.3926067
,,,18.6103669,54.3935842
E.Leclerc,supermarket,,18.5918995,54.4100426
Abo Udane Zakupy,convenience,,18.6337862,54.3649578
Biedronka,supermarket,,18.7467126,54.3259855
Żabka,convenience,,18.6107295,54.3705494
Netto,supermarket,,18.5676141,54.3107981
Żabka,convenience,,18.6183986,54.3831379
Market Kami,convenience,,18.5592476,54.4086826
U Piotra,convenience,,18.44472,54.31579
,supermarket,,18.40606,54.39327
Koksa,convenience,,18.6094485,54.3433251
Żabka,convenience,,18.5918655,54.3076986
,convenience,,18.5992028,54.4233568
Biedronka,supermarket,,18.5899493,54.3891766
Biedronka,supermarket,,18.6254967,54.4048196
Pszczółka,convenience,,18.5053366,54.3790584
Wjazd na parking Galerii Bałtyckiej,,parking_entrance,18.6005305,54.3833563
Wyjazd z parkingu Galerii Bałtyckiej,,parking_entrance,18.6009644,54.3832265
Żabka,convenience,,18.6131235,54.40675
Biedronka,supermarket,,18.6132579,54.4068369
Żabka,convenience,,18.6136261,54.375858
,convenience,,18.6114406,54.3776325
Biedronka,supermarket,,18.559638,54.4450078
Gosia,convenience,,18.5621777,54.4309031
Lewiatan,supermarket,,18.7116633,54.3608648
Odido,convenience,,18.7103548,54.3604895
,,,18.7192122,54.3606057
Żabka,convenience,,18.5976336,54.3818213
,,atm,18.7190192,54.360611
Biedronka,supermarket,,18.6462955,54.3547241
Agma Bis,convenience,,18.614882,54.3824071
Lidl,supermarket,,18.5625748,54.4330932
,,,18.6490364,54.3560826
,,,18.6483464,54.356549
,,parking_entrance,18.6490056,54.3568421
