name,railway,longitude,latitude
Gdynia Leszczynki,halt,18.4785096,54.5413396
Sopot Kamienny Potok,halt,18.5535799,54.4576401
Gdynia Grabówek,halt,18.4958981,54.5343531
Rumia Janowo,halt,18.4045381,54.5595683
Gdynia Wzgórze Świętego Maksymiliana,halt,18.5354871,54.507616
Gdynia Cisowa,halt,18.4471926,54.5498083
Gdynia Stocznia - Uniwersytet Morski,halt,18.5192576,54.5255488
Gdynia Główna,station,18.5274712,54.5216208
Gdynia Chylonia,station,18.4636617,54.5457503
Gdynia Orłowo,station,18.5486299,54.4766459
Gdynia Stadion,halt,18.5332216,54.4961509
Gdynia Karwiny,halt,18.5088468,54.4698814
Gdynia Orłowo SKM,halt,18.5489769,54.4767414
Gdynia Redłowo,halt,18.5383657,54.4915242
