name,amenity,leisure,tourism,longitude,latitude
Pływalnia Orka,,sports_centre,,21.1655388,51.4020303
Cenrum Organizacji Pozarządowych,community_centre,,,21.150829,51.4043075
"Ośrodek Kultury i Sztuki ""Resursa Obywatelska""",arts_centre,,,21.1504029,51.4042624
"Miejski Ośrodek Kultury ""Amfiteatr""",theatre,,,21.1492147,51.4118437
Drukarnia Trzebińskiego,,,attraction,21.1509615,51.401244
Dom Starościński,,,attraction,21.1438504,51.4021738
Multikino,cinema,,,21.1543389,51.4053242
Łaźnia Klub Środowisk Twórczych i Galeria,arts_centre,,,21.1586473,51.4002861
Hala MOSiR im. Kazimierza Paździora,,sports_centre,,21.1476666,51.3969751
Dom Jacka Malczewskiego,,,attraction,21.14869,51.4032821
Fitness Platinium,,sports_centre,,21.1476067,51.3886974
Leda,,sports_centre,,21.1474587,51.3913402
skwer Unii Radomsko-Wileńskiej,,,attraction,21.1451566,51.4017096
,,track,,21.1482341,51.3596053
Mazowieckie Centrum Sztuki Współczesnej 'Elektrownia',arts_centre,,,21.1497466,51.3980508
,,,,21.1364779,51.4017905
,,,,21.1525497,51.4174864
,,,,21.1528203,51.4165834
Piąta Klepka,nightclub,,,21.1527944,51.4018823
Explosion,nightclub,,,21.1446401,51.4091471
,,,,21.1448185,51.3965327
,,,,21.1285966,51.4016631
,,,,21.1533413,51.4008021
,,,,21.1797445,51.4087717
Park Trampolin Sky Jump,,sports_centre,,21.138993,51.3894362
Rogatka Warszawska,,,attraction,21.151495,51.4058145
Dom Ludowy Milejowice,arts_centre,,,21.0777528,51.4216374
,,,,21.1558551,51.4041605
,,,,21.1562015,51.4046856
Alibi,nightclub,,,21.1519371,51.4075433
Gmach Powiatowego Związku Samorządowego,,,attraction,21.1538702,51.3985732
Dom Wejssów,,,attraction,21.1549811,51.3994708
Gmach Banku Państwa,,,attraction,21.1557037,51.4010736
Budynek Izby Skarbowej,,,attraction,21.1551882,51.401177
"Dom Podworskich ""Narodówka""",,,attraction,21.1546363,51.4012449
Mury miejskie,,,attraction,21.1414197,51.4021958
Dom Esterki,,,attraction,21.1420458,51.4035662
Dom Glogierów,,,attraction,21.1551095,51.3977597
Budynek Stacji Pomp Wodociągu Miejskiego,,,attraction,21.1659932,51.4062733
Budynek loży wolnomularskiej,,,attraction,21.1490838,51.4040675
Dom Staniszewskich,,,attraction,21.1542458,51.400675
"Kamienica ""Pod Lwem""",,,attraction,21.1553533,51.4002672
Rogatka Lubelska,,,attraction,21.1586956,51.4003929
"Kamienica ""Komitetu Pięciu""",,,attraction,21.152249,51.3973463
Kamienica Deskurów,,,attraction,21.1433062,51.4026263
Resursa Obywatelska,,,attraction,21.1501012,51.404109
Radomska Orkiestra Kameralna,arts_centre,,,21.1580996,51.4015767
Biurowiec Zakładów Energetycznych Okręgu Wschodniego,,,attraction,21.1634637,51.4003776
Dom Rzemiosła,,,attraction,21.1540616,51.4025938
Resursa Rzemieślnicza,,,attraction,21.1537336,51.402516
Cocoon Pole Dance Academy,,sports_centre,,21.1477225,51.3883494
Budynek d. Szkoły Handlowej i Seminarium Nauczycielskiego,,,attraction,21.1612905,51.3984245
,,,,21.1431822,51.4032433
,clock,,,21.142991,51.4032788
Dom Gąski,,,attraction,21.1422195,51.4035429
Baszta,,,attraction,21.1419719,51.4020997
,,,,21.0578349,51.4062797
,,,,21.1466561,51.395406
Pamięci Nauczycieli ZNP,,,,21.16126,51.3982378
,,,,21.1611385,51.3983393
,,,,21.1616848,51.3985056
Muszla Koncertowa,theatre,,,21.1577799,51.3992234
Centrum Aktywności Seniorów,community_centre,,,21.1533401,51.3957997
American Corner,community_centre,,,21.153365,51.3958864
Mostek Zakochanych,,,attraction,21.1407155,51.4078741
Zabytkowa Altana,,,attraction,21.1577331,51.3979453
Sztuczne Ruiny,,,attraction,21.159861,51.3980692
Kamienica Hoppenów,,,attraction,21.1417165,51.4031078
,,,,21.1285097,51.4016979
Sala Kinowa,cinema,,,21.149479,51.397706
Dworek hr. Oppermana,,,attraction,21.1388832,51.4038508
Miejski Ośrodek Sportu i Rekreacji,,sports_centre,,21.1470398,51.3972812
Dawna siedziba Gestapo/NKWD,,,attraction,21.1507832,51.3942088
,,,,21.1919361,51.425144
,,,,21.1922863,51.4254801
"Centrum Młodzieżowe ""Arka""",community_centre,,,21.1601169,51.403535
Dom Pracy Towarzystwa Dobroczynności,,,attraction,21.160234,51.4033533
,,,,21.1558662,51.4041827
,,,,21.1558423,51.4041351
,,,,21.1575008,51.4289631
,,,,21.1580743,51.4290651
,,,,21.1431144,51.4035426
,,,,21.1112617,51.3904053
,,,,21.2002236,51.3962616
,,,,21.1997411,51.3963076
"Pomnik ""Trzy Kamienie"" Protestu Robotniczego]",,,attraction,21.1629483,51.3999062
Sala Sportów Walki,,sports_centre,,21.117561,51.3942581
Lexus Radom Tennis Club,,sports_centre,,21.1115286,51.3906216
Budynek Dyrekcji Zakładu,,,attraction,21.1666787,51.3934743
Remiza zakładowej straży pożarnej,,,attraction,21.1662069,51.3938762
,,,information,21.1356263,51.4008665
Klub Spółdzielni Mieszkaniowej Budowlani Igrek,community_centre,,,21.1449631,51.3940075
Dawny Szpital Starozakonnych,,,attraction,21.1395249,51.3982272
Centrum Nauki Atom,arts_centre,,,21.139708,51.3890198
,,,,21.180708,51.4099794
,,,,21.1801707,51.4098744
,,,,21.179652,51.3855543
Split,,sports_centre,,21.1388509,51.3911628
Brama Getta Radomskiego,,,attraction,21.1404335,51.4037677
Pomnik świętej trójfazy,,,attraction,21.1535898,51.4051933
Podwórko Sezam,nightclub,,,21.1547697,51.4005331
Dawna Garbarnia Chrom,,,attraction,21.1463803,51.3838462
,,,,21.1430416,51.4034094
,,,,21.1429209,51.403444
Oratorium św. Filipa Neri,arts_centre,,,21.1732289,51.4043785
Galeria św. Filipa Neri,,,gallery,21.1733345,51.4046314
,,,,21.1708855,51.4088163
,,,,21.1710386,51.4087148
,,,,21.1714657,51.4086351
,,,,21.171684,51.4086684
,,,,21.1711346,51.4086781
,,,,21.171356,51.408637
,,,,21.1720083,51.4088635
,,,,21.1720457,51.4089236
,,,,21.1720669,51.4089861
Radomskie Centrum Sportu - Hala Widowiskowo-Sportowa,,sports_centre,,21.1714112,51.4090375
Fotoplastykon,,,attraction,21.157449,51.3999005
Park Trampolin JumpWorld,,trampoline_park,,21.1746848,51.3817437
Hala Sportowa Start,,sports_centre,,21.1385444,51.4093613
,,,,21.1665669,51.4202909
Świetlica „Pod Dobrym Aniołem”,arts_centre,,,21.1626675,51.4313164
Katolickie Stowarzyszenie Centrum Młodzieżowe Arka,community_centre,,,21.1579929,51.4096482
Świetlica Kocur,community_centre,,,21.1077391,51.3837953
Świetlica Sputnik,community_centre,,,21.1538397,51.3842833
Świetlica Kubuś,community_centre,,,21.1652322,51.3795361
Pogorzelisko,,,attraction,21.0833474,51.3631659
Minimurale Radomian,,,attraction,21.1504995,51.4040568
Kamienica Deskurów,arts_centre,,,21.143578,51.4025774
Poradnia psychologiczno-pedagogiczna nr 2,community_centre,,,21.1328593,51.3917935
Waterbox,,,attraction,21.155429,51.4025671
,,,,21.1356301,51.4008949
Dom Kreatywny,community_centre,,,21.1606203,51.4053399
Miejsce Dawnego Parku Podworskiego w Dąbrówce Nagórnej,,,attraction,21.0808797,51.4496829
Helios,cinema,,,21.152000679778325,51.39051792068171
,,sports_centre,,21.151146635439535,51.398999355423875
Kościół pw. Świętego Stanisława Biskupa i Męczennika,place_of_worship,,attraction,21.153265323425625,51.400661374105695
Stadion Lekkoatletyczno-Piłkarski im. Marszałka Józefa Piłsudskiego,,stadium,,21.146381596651796,51.39655012967198
Aga Sport,,sports_centre,,21.139805400103615,51.389677898906726
Grodzisko Piotrówka,,,attraction,21.133226053612425,51.39995805109511
Miejski Ośrodek Kultury im. Lotników Polskich,community_centre,common,,21.180057643072374,51.38503336912278
Nowy Ratusz,townhall,,attraction,21.143144028183524,51.403358279733034
Hufiec ZHP Radom-Miasto,community_centre,,,21.14313646817825,51.40360988579235
Kościół pw. Świętego Wacława,place_of_worship,,attraction,21.135842070090746,51.40089058696448
Stadion im. Braci Czachorów RKS Radomiak,,stadium,,21.172498137501805,51.409881276871495
,,stadium,,21.149221978034316,51.41171259147089
,,pitch,,21.13920596394153,51.40084884494225
,,track,,21.1469595398562,51.39600503578524
,,track,,21.146828356647962,51.39609713799338
,,track,,21.146888397779527,51.39605265397825
,,track,,21.145541,51.3970075
Bulwary nad Mleczną,,track,,21.12635745599303,51.40066340825584
Klub Osiedlowy Ustronie,community_centre,,,21.156313240490125,51.38163854972837
,,,,21.08593992766562,51.378368891338795
,,track,,21.1824831,51.4150251
Dom Pomocy Społecznej Nad Potokiem im. Bohdany „Danuty” Kijewskiej,community_centre,,,21.180547962334792,51.409376932774656
,,stadium,,21.111512022687283,51.39061169476297
Siłownia na powietrzu,,sports_centre,,21.171837081384492,51.414875824439605
Radomskie Centrum Sportu - Hala Widowiskowo-Sportowa,,sports_centre,,21.171425431247698,51.40903770660703
,theatre,stadium,,21.15633166934237,51.408872028085284
Amfiteatr,theatre,,,21.079574573500942,51.36160364579654
,,,,21.106456265430243,51.374041518281174
Automobilklub radomski,,sports_centre,,21.15035228001138,51.41714188656458
Miejski Ośrodek Kultury Amfiteatr - Kuźnia Artystyczna,community_centre,,,21.166391580248536,51.42057849225391
Ośrodek Interwencji Kryzowej,community_centre,,,21.15330658242015,51.406637271401685
,,stadium,,21.14924508352703,51.41152871364665
,,track,,21.13733679985139,51.423407658474325
,,track,,21.13679140509372,51.422410591896416
,,track,,21.137681855741228,51.42173921886653
,,track,,21.137484040085,51.42278138404889
,,track,,21.137224238142377,51.42312638239298
,,track,,21.137359773516607,51.421817554314664
Hala Sportowa Start,,sports_centre,,21.138555530344735,51.40936966592145
Skatepark,,sports_centre,,21.151509344847284,51.411881138407765
Tężnia solankowa,,,attraction,21.152351504153657,51.41131784391835
,,,,21.139229930917924,51.40113123591745
,,,,21.13918394259007,51.400577588358736
,,stadium,,21.13825846144282,51.40036318794284
Młodzieżowy Dom Kultury im. Heleny Stadnickiej,community_centre,,,21.16136391630018,51.39845745871463
,,stadium,,21.172755079731743,51.41977007896157
,theatre,,,21.157550684456666,51.432421079122236
,,stadium,,21.149047262210967,51.396030133479535
,,sports_centre,,21.148318805233583,51.3941559681092
Dom Pomocy Społecznej,community_centre,,,21.191901111797645,51.425587824409476
,,,,21.156404355819014,51.40462006779367
Gospoda Jaskółeczka - Firma Społeczna,community_centre,,,21.158058302587058,51.428764111904464
AG Tenis Chorzowska,,sports_centre,,21.194498196760595,51.40393047202672
AG Tenis Chorzowska,,sports_centre,,21.194263343343277,51.403405053378734
,,stadium,,21.111624150005778,51.39062055008194
Radomskie Centrum Sportu - Korty Tenisowe MOSiR Radom,,sports_centre,,21.112187949075306,51.39067604632053
"Centrum Młodzieży ""Arka""",community_centre,,,21.136807629993065,51.402324428434675
Dom Kultury Borki,community_centre,,,21.123612975269584,51.38625305651333
,,stadium,,21.150225320112344,51.444089233845816
Wojskowy Ośrodek Szkolenia Sportowego „Delta”,,sports_centre,,21.199358164414846,51.39582538129064
Dom Ludowy Cerekiew,arts_centre,,,21.057779092099555,51.40636796416103
,,track,,21.13632507690653,51.422717225142044
,,track,,21.13660849808009,51.423412151246666
,,track,,21.134754271304907,51.42240039898435
,,,,21.11285362876182,51.388701210207
,,,,21.11276342416293,51.38798780574148
,,,,21.11267737849601,51.38806315029067
,,,,21.1125398726251,51.387724033108405
,,track,,21.136175041653818,51.42301579323951
Helios,cinema,,,21.1520048612135,51.390518379902666
,,sports_centre,,21.151145718562073,51.398998512380864
Kościół pw. Świętego Stanisława Biskupa i Męczennika,place_of_worship,,attraction,21.153264353123298,51.400659008188846
Stadion Lekkoatletyczno-Piłkarski im. Marszałka Józefa Piłsudskiego,,stadium,,21.146331813306197,51.3964828567055
Aga Sport,,sports_centre,,21.139805401277,51.38967789815011
Grodzisko Piotrówka,,,attraction,21.13322641073625,51.399957999341
Miejski Ośrodek Kultury im. Lotników Polskich,community_centre,common,,21.180059421360266,51.38503322958092
Nowy Ratusz,townhall,,attraction,21.143139105219362,51.40335054559531
Hufiec ZHP Radom-Miasto,community_centre,,,21.143112724826114,51.403607623673466
Kościół pw. Świętego Wacława,place_of_worship,,attraction,21.13585091981248,51.40089173308641
Stadion im. Braci Czachorów RKS Radomiak,,stadium,,21.172481755552553,51.40995221607844
