name,highway,longitude,latitude
Wolanowska / Spadzista,bus_stop,21.1094757,51.4029942
Ustronie / Radomskiego,bus_stop,21.1715179,51.3766238
Zbrowskiego / Gołębiowska (NŻ) 10,bus_stop,21.178554,51.4185679
Słowackiego / Paciaka,bus_stop,21.1937764,51.36921
Słowackiego / Idalińska 13,bus_stop,21.1829671,51.3794629
Dw. Główny PKP / Traugutta 02,bus_stop,21.1547234,51.3928282
Beliny-Prażmowskiego / Dw. PKS 01,bus_stop,21.1583924,51.3931843
Grzecznarowskiego / Świerkowa 05,bus_stop,21.1712049,51.379872
Słowackiego / Gromadzka,bus_stop,21.179256,51.3829511
Słowackiego / Gromadzka,bus_stop,21.1784877,51.383654
Kusocińskiego / Chrobrego 04,bus_stop,21.1599351,51.4101504
Chrobrego / Sowińskiego,bus_stop,21.1600422,51.4122142
Grzecznarowskiego / Osiedlowa 03,bus_stop,21.1665643,51.3814154
Grzecznarowskiego / Osiedlowa 06,bus_stop,21.1676987,51.3805692
Grzecznarowskiego / Jana Pawła II (NŻ) 04,bus_stop,21.1630504,51.3833742
Długojowska / Miedziana (NŻ),bus_stop,21.1798229,51.3869426
Warszawska / Rondo 10,bus_stop,21.1494982,51.4293583
Warszawska / Janiszewska (NŻ),bus_stop,21.1480077,51.4336323
Os. Gołębiów I 11,bus_stop,21.1844855,51.4108662
Idalin,bus_stop,21.1833922,51.3705108
Przejazd / Idalińska,bus_stop,21.1813861,51.3748026
Mazowiecka / Laskowa,bus_stop,21.1844665,51.3723069
Janiszpol,bus_stop,21.1994969,51.3644707
Jana Pawła II / Grzecznarowskiego,bus_stop,21.1594349,51.3835208
Jana Pawła II / Sandomierska,bus_stop,21.1587226,51.3806927
PCK / Grzecznarowskiego,bus_stop,21.1517912,51.3868267
PCK / Grzecznarowskiego,bus_stop,21.1541853,51.3870132
Kelles-Krauza / 25 Czerwca,bus_stop,21.1619133,51.4029991
Malczewskiego / Wernera,bus_stop,21.1519455,51.4068942
Wernera / Malczewskiego 02,bus_stop,21.1503072,51.4060357
Trablice,bus_stop,21.128744,51.3528714
Limanowskiego / Wałowa 02,bus_stop,21.1398723,51.4028974
1905 Roku / Tytoniowa 04,bus_stop,21.1407454,51.3909207
Grzecznarowskiego / Śląska 02,bus_stop,21.1576451,51.3862347
Grzecznarowskiego / Śląska 01,bus_stop,21.1587654,51.3858072
Limanowskiego / Maratońska 09,bus_stop,21.1297455,51.3907935
Narutowicza / Kościuszki,bus_stop,21.1497084,51.397049
Dw. Główny PKP / pl. Dworcowy 05,bus_stop,21.1547119,51.3914501
Dw. Główny PKP / Poczta 02,bus_stop,21.1559216,51.3922644
Beliny-Prażmowskiego / Dw. PKS 04,bus_stop,21.1586454,51.393132
Limanowskiego / Maratońska,bus_stop,21.1283348,51.3896312
Wernera / Mireckiego,bus_stop,21.1450629,51.4083133
Szarych Szeregów / Warszawska (NŻ),bus_stop,21.1498351,51.4137633
11 Listopada / Starowolska,bus_stop,21.159342,51.4140838
Narutowicza / Kościuszki,bus_stop,21.1500574,51.3969312
Żwirki i Wigury / Kusocińskiego 01,bus_stop,21.1655024,51.4092334
Żwirki i Wigury / Struga 02,bus_stop,21.1660422,51.4079079
Warsztatowa / Potokowa (NŻ),bus_stop,21.1209083,51.3636116
Żeromskiego / Czachowskiego 03,bus_stop,21.1680193,51.3996197
Mireckiego / Wernera 01,bus_stop,21.1422711,51.4083238
Limanowskiego / Młodzianowska 04,bus_stop,21.1386857,51.3981799
Limanowskiego / Młodzianowska 03,bus_stop,21.1388403,51.3981833
Wojska Polskiego / Słowackiego 02,bus_stop,21.1816042,51.3825041
Chrobrego / Rapackiego,bus_stop,21.1628413,51.4212098
Chrobrego / Mierzejewskiego,bus_stop,21.1624501,51.4175373
Chrobrego / Mierzejewskiego,bus_stop,21.1632053,51.4185963
Aleksandrowicza / Warszawska (NŻ) 06,bus_stop,21.1478556,51.4391708
Maratońska / Dębowa,bus_stop,21.1242168,51.3928243
Maratońska / Limanowskiego,bus_stop,21.1275942,51.3909169
Kielecka / Przytycka,bus_stop,21.1212734,51.4061423
Kielecka / Wolanowska,bus_stop,21.1161899,51.4025479
Malczewskiej / Langiewicza,bus_stop,21.1213784,51.4077602
Malczewskiej / Langiewicza,bus_stop,21.1214146,51.4077541
Okulickiego / Przeskok,bus_stop,21.1260148,51.4065379
Czarnieckiego / Zielona,bus_stop,21.1271572,51.4103703
Kozienicka / Żółkiewskiego,bus_stop,21.199312,51.4138131
Os. Gołębiów I 16,bus_stop,21.184949,51.4109583
Kozienicka / Gryczana (NŻ),bus_stop,21.1929752,51.4125509
11 Listopada / Zbrowskiego (NŻ),bus_stop,21.1765823,51.4111888
11 Listopada / Sportowa 06,bus_stop,21.171397,51.4120435
Kilińskiego / Focha,bus_stop,21.1524426,51.4025383
Słowackiego / Żeromskiego,bus_stop,21.1592412,51.3998601
Lekarska / Szpital 01,bus_stop,21.1457914,51.4004851
Żeromskiego / Traugutta 02,bus_stop,21.1473222,51.4020618
Traugutta / Piłsudskiego,bus_stop,21.1508086,51.3980331
Kaszubska / Lubelska (NŻ),bus_stop,21.1771946,51.3979626
Kusocińskiego / Żwirki i Wigury 03,bus_stop,21.1641182,51.4096306
Godów,bus_stop,21.1477565,51.360685
Struga / Szklana 09,bus_stop,21.1768747,51.409409
Struga / Szklana 14,bus_stop,21.1794407,51.4098705
Szklana / Olsztyńska,bus_stop,21.1763787,51.4048756
Zbrowskiego / Leśniczówka 02,bus_stop,21.1707707,51.4023663
Wierzbicka / Czarnoleska,bus_stop,21.1270256,51.3742789
,bus_stop,21.1408084,51.3510862
Cymerysa-Kwiatkowskiego / Placowa,bus_stop,21.163183,51.3854105
Cymerysa-Kwiatkowskiego / Błotnia,bus_stop,21.1654247,51.3885567
Młodzianowska / Gazowa 02,bus_stop,21.1480806,51.3835365
25 Czerwca / Struga 05,bus_stop,21.1657875,51.4065899
Halinów,bus_stop,21.1101655,51.3900279
Witkacego / Sołtykowska (NŻ),bus_stop,21.1668317,51.3631564
Brata Alberta / Ostrowiecka,bus_stop,21.1584161,51.3740266
Gajowa / Łączna,bus_stop,21.1402944,51.3774011
Południowa / Wiejska,bus_stop,21.1473805,51.3774468
Południowa / Wiejska,bus_stop,21.1503848,51.3787363
Skaryszewska / Inspektowa (NŻ) 04,bus_stop,21.1899265,51.3799934
Skaryszewska / Inspektowa (NŻ) 01,bus_stop,21.1897281,51.3800363
Długojów Górny 08,bus_stop,21.2060618,51.38331
Długojowska / Odrodzenia,bus_stop,21.1809254,51.3899422
Malenicka I,bus_stop,21.2071315,51.3731038
Trablice - Stara Wieś,bus_stop,21.1372147,51.3508918
