name,amenity,longitude,latitude
Szkoła Podstawowa Nr 27,school,22.0214183,50.0257968
Szkoła Podstawowa Nr 7,school,21.95895,50.00581
Publiczna Szkoła Podstawowa Sióstr Pijarek,school,21.9600075,50.044097
Publiczna Szkoła Podstawowa,school,21.9974466,50.0395501
Szkoła Podstawowa Mistrzostwa Sportowego Resovia,school,21.9861972,50.039128
"Niepubliczna Szkoła Podstawowa ""Kraina Uśmiechu"" w Rzeszowie",school,21.9973359,50.0491431
Szkoła Podstawowa dla Dorosłych,school,21.979818,50.0473643
Szkoła Podstawowa Nr 19,school,22.010258,50.0452329
Szkoła Podstawowa Nr 8,school,21.9831105,50.0496716
Szkoła Podstawowa Nr 12,school,22.0267026,50.0383053
Szkoła Podstawowa Mistrzostwa Sportowego Stal w Rzeszowie,school,22.005917,50.037816
Szkoła Podstawowa Z Oddziałami Dwujęzycznymi Promar w Rzeszowie,school,21.9813667,50.0372379
Szkoła Podstawowa Nr 36 im.marii Grzegorzewskiej Przy Szpitalu Wojewódzkim Nr 2,school,22.0354603,50.0360213
Społeczna Szkoła Podstawowa Nr 1,school,21.9781718,50.0341332
Szkoła Podstawowa Nr 14 im. Orląt Lwowskich,school,21.9665018,50.0293844
Szkoła Podstawowa Nr 30 Z Oddziałami Integracyjnymi,school,22.0123634,50.0257283
Szkoła Podstawowa Sportowa Nr 33,school,21.9943312,50.0229504
Szkoła Podstawowa Nr 26,school,21.9811668,50.0223335
Szkoła Podstawowa Montessori,school,22.0123225,50.0208488
Szkoła Podstawowa Nr 23,school,22.008305,50.0202597
Niepubliczna Specjalna Szkoła Podstawowa Solis Radius w Rzeszowie,school,22.0246326,50.0019877
Szkoła Podstawowa Nr 15,school,21.9875089,49.9692798
Szkoła Podstawowa Nr 5,school,22.047804261928988,50.02494707492168
Szkoła Podstawowa nr 9,school,22.00373618919613,49.99593714641971
Szkoła Podstawowa Nr 24,school,22.03142287799061,50.005122636900055
Szkoła podstawowa nr 10,school,21.989180423702795,50.02166259905625
Szkoła Podstawowa Sióstr Prezentek,school,21.998038281004693,50.03466296135539
Szkoła Podstawowa Nr 31,school,21.99170306554244,50.0382226529456
Szkoła Podstawowa nr 17,school,21.999960156374613,50.02756499078141
Szkoła Podstawowa nr 3,school,21.994234424211125,50.03349076658464
Szkoła Podstawowa nr 11,school,22.004439269814707,50.022864778442695
Szkoła Podstawowa Nr 21,school,22.02269847315478,50.03243002435136
Szkoła Podstawowa nr 29,school,22.006719833265716,50.04956055811773
Szkoła Podstawowa nr 2,school,21.99186676130973,50.04506142519125
Szkoła Podstawowa nr 16,school,21.983361735547557,50.03783975246347
Szkoła Podstawowa nr 28,school,21.975519610388446,50.04459963387407
Szkoła Podstawowa nr 1,school,22.0019381521615,50.03924851615935
Szkoła Podstawowa w Kielnarowej,school,22.065316653067587,49.96627974642612
Szkoła Podstawowa im. Stanisława Staszica,school,22.028338573427106,49.96539503571316
Szkoła Podstawowa Nr 18,school,21.951716877145188,50.04341087072862
Szkoła Podstawowa Specjalna Nr 32 w Rzeszowie,school,22.006717466067723,49.96564663583974
Publiczna Szkoła Podstawowa Zakonu Pijarów,school,22.05176634091355,50.045538084524615
Szkoła Podstawowa Nr 34,school,22.056676370592754,49.99898649745756
Niepubliczna Szkoła Podstawowa Montessori w Rzeszowie,school,22.02975198840766,50.045601975811365
Szkoła Podstawowa nr 37 im. Tadeusza Ferenca,school,21.991834268469127,49.99877158160392
Szkoła Podstawowa Nr 5,school,22.047851290812797,50.02499329861728
Szkoła Podstawowa nr 9,school,22.003754671574914,49.99592051739426
Szkoła Podstawowa Nr 24,school,22.031500613952712,50.00509223801922
Szkoła podstawowa nr 10,school,21.989200106665507,50.021668096627316
Szkoła Podstawowa Sióstr Prezentek,school,21.99804411065097,50.034665017103634
Szkoła Podstawowa Nr 31,school,21.99172149304187,50.03822699971405
Szkoła Podstawowa nr 17,school,21.999954975544686,50.027548924174276
Szkoła Podstawowa nr 3,school,21.99422175838891,50.03349406458733
Szkoła Podstawowa nr 11,school,22.00441708183882,50.02286737124695
Szkoła Podstawowa Nr 21,school,22.022704188907166,50.03243513211593
Szkoła Podstawowa nr 29,school,22.006713776214067,50.049557000828536
Szkoła Podstawowa nr 2,school,21.991860328167654,50.04505748056751
Szkoła Podstawowa nr 16,school,21.983340279703178,50.03784101087597
Szkoła Podstawowa nr 28,school,21.975406707478186,50.04459669627735
Szkoła Podstawowa nr 1,school,22.001943687692055,50.039255377797154
Szkoła Podstawowa w Kielnarowej,school,22.06532998058979,49.96629479386234
Szkoła Podstawowa im. Stanisława Staszica,school,22.028346309999495,49.96538677080775
Szkoła Podstawowa Nr 18,school,21.951703883874554,50.043387231776244
Szkoła Podstawowa Specjalna Nr 32 w Rzeszowie,school,22.006718022062486,49.96564649601306
Publiczna Szkoła Podstawowa Zakonu Pijarów,school,22.05178483707649,50.04553857134105
Szkoła Podstawowa Nr 34,school,22.056682151423043,49.99899352353153
Niepubliczna Szkoła Podstawowa Montessori w Rzeszowie,school,22.02978962227187,50.045622949982665
Szkoła Podstawowa nr 37 im. Tadeusza Ferenca,school,21.99179072396114,49.9987510696691
