name,amenity,longitude,latitude
Punkt Przedszkolny Niziołki,kindergarten,17.093599,51.1078271
Przedszkole Nr 24,kindergarten,16.8876697,51.1347826
Przedszkole nr 64,kindergarten,16.9554336,51.1376214
Przedszkole nr 16,kindergarten,16.9890481,51.0744476
Przedszkole nr 131,kindergarten,16.9658739,51.0786288
Przedszkole Bajkowe Nutki,kindergarten,16.991097,51.1118866
Przedszkole nr 8,kindergarten,16.9285052,51.1543536
Przedszkole nr 7,kindergarten,16.9904041,51.1424753
Przedszkole nr 70,kindergarten,17.073484,51.1469343
Przedszkole Wysepka,kindergarten,17.0668241,51.1348416
Przedszkole nr 35 - Filia Komuny Paryskiej,kindergarten,17.0462735,51.1023337
Przedszkole nr 63,kindergarten,16.9728715,51.1246903
Przedszkole nr 113,kindergarten,16.9723685,51.1286187
Przedszkole Zaczarowany Ołówek,kindergarten,17.0404551,51.0744291
Przedszkole nr 84,kindergarten,16.970429,51.1230158
Przedszkole nr 19,kindergarten,17.0100489,51.0793681
Przedszkole Familjadek,kindergarten,17.0236909,51.1043301
Przedszkole nr 32,kindergarten,17.0422719,51.0721937
Przedszkole Salezjańskie,kindergarten,17.0458536,51.118686
Przedszkole nr 20,kindergarten,16.9061632,51.1621355
Przedszkole International Playschool,kindergarten,17.0213804,51.0874338
"Przedszkole ""Zdrój""",kindergarten,17.0993644,51.10024
Przedszkole Promyk Słońca,kindergarten,17.031725,51.0971427
Przedszkole Lokomotywka,kindergarten,17.0481871,51.1211503
Przedszkole Nr 30 Bajlandia,kindergarten,17.0240576,51.1036603
Artystyczne Przedszkole Niepubliczne „MALUSZKOWO”,kindergarten,17.0281435,51.1857945
Przedszkole Berek,kindergarten,17.0090251,51.0922193
Przedszkole Misia Yogiego,kindergarten,17.0015563,51.1759189
Przedszkole Zielona Baza,kindergarten,16.9987605,51.1778008
Przedszkole Duszek,kindergarten,17.0502485,51.0839323
Przedszkole Marco Polo,kindergarten,17.1268561,51.1607583
Przedszkole nr 21,kindergarten,17.0346423,51.1300813
Przedszkole Łobuziaki,kindergarten,16.9349635,51.156278
Przedszkole FSA,kindergarten,16.95541,51.1311748
Przedszkole i Żlobek Kids & Co.,kindergarten,17.0352991,51.0976007
