name,amenity,longitude,latitude
II Liceum Ogólnokształcące im. księżnej Anny z Sapiehów Jabłonowskiej,school,23.1362441,53.1447378
,,23.1892698,53.1329801
,,23.0928183,53.1515375
,,23.1362192,53.1457818
,,23.1544714,53.1525113
,,23.1572272,53.1279792
,,23.1821706,53.1359944
,,23.1528988,53.1496784
,,23.2152152,53.1480807
,,23.1891002,53.1324127
,,23.187134,53.1350628
,,23.1858651,53.1355613
,,23.185701,53.1290322
,,23.1538479,53.1537703
,,23.2018823,53.1095541
,,23.0932753,53.1514874
,,23.1468075,53.1322481
,,23.1402123,53.1388377
,,23.1277249,53.1394691
,,23.1824763,53.1360739
,,23.1800514,53.136667
,,23.1835576,53.1288714
,,23.1620808,53.1426454
,,23.1883041,53.1352776
,,23.1670951,53.1377112
,,23.1741726,53.1255118
,,23.0916078,53.1238748
,,23.0913561,53.1242884
,,23.0911662,53.1246003
,,23.1097827,53.1461248
,,23.1763557,53.1359066
,,23.1119839,53.1452926
,,23.177815,53.1287415
,,23.1752669,53.12889
,,23.1902896,53.1320229
,,23.1892969,53.132993
,,23.1569117,53.1277968
,,23.1713921,53.1340449
,,23.1284799,53.1453129
,,23.1492906,53.1435791
,,23.1682446,53.1379135
,,23.1853158,53.1281115
,,23.1849803,53.1284212
,,23.1847963,53.128584
,,23.1356108,53.1445849
,,23.1820758,53.13488
,,23.1819376,53.1357217
,,23.1667979,53.1341633
,,23.1394491,53.1386614
,,23.1295097,53.1490961
,,23.1303052,53.1494086
,,23.1307047,53.1494892
,,23.1359616,53.1171138
,,23.1360663,53.1177527
,,23.1382933,53.1182441
,,23.1364436,53.1184728
,,23.1390427,53.11869
,,23.137653,53.1187889
,,23.1374245,53.1190261
,,23.1296471,53.1449646
,,23.1269668,53.1454452
,,23.1253731,53.1457655
,,23.1668534,53.1378382
,,23.1658741,53.1403222
,,23.1616931,53.1424726
,,23.1739219,53.1213982
,,23.1813813,53.13584
,,23.1410437,53.1306283
,,23.1414488,53.1313789
,,23.1461312,53.1315262
,,23.1450129,53.1318883
,,23.1654857,53.1335539
,,23.1525893,53.1342843
,,23.152406,53.1343187
,,23.1522655,53.1347245
,,23.152831,53.1350579
,,23.1525594,53.1350621
,,23.1267584,53.1367118
,,23.1269391,53.1381464
,,23.0905493,53.1502216
,,23.0902468,53.1508431
,,23.0902112,53.1508664
,,23.0901298,53.1510914
,,23.0906777,53.1512651
,,23.0912109,53.1513596
,,23.0937375,53.1513988
,,23.0919418,53.1515087
,,23.0929811,53.1515301
,,23.1099311,53.1461547
,,23.1104424,53.146385
,,23.1039838,53.1210459
,,23.1041432,53.1214133
,,23.1885912,53.1457273
,,23.1879944,53.1458943
,,23.1077141,53.1281993
,,23.1070993,53.1293605
,,23.1073086,53.129725
,,23.106729,53.1308068
,,23.2151437,53.1479079
,,23.1868145,53.136096
,,23.1968895,53.1248
,,23.1962266,53.1248235
,,23.1973839,53.1254033
,,23.1556759,53.1289042
,,23.149998,53.1212109
,,23.1484729,53.1215556
,,23.1785902,53.1385849
,,23.1789486,53.1387217
,,23.1673877,53.1344494
,,23.1841489,53.1294245
,,23.182579,53.1294269
,,23.1843768,53.1292165
,,23.1843392,53.1292522
,,23.1262841,53.1409828
,,23.1250336,53.1406548
,,23.1341994,53.1406214
,,23.1710791,53.1224342
,,23.1544966,53.1216451
,,23.1195712,53.1102174
,,23.1524815,53.149423
,,23.1264931,53.1458331
,,23.1482894,53.1321939
,,23.1484147,53.1322191
,,23.1763295,53.135927
,,23.171454,53.1335988
,,23.1810881,53.1355542
,,23.1816964,53.1356741
,,23.1652599,53.1334511
,,23.1650916,53.1333726
,,23.1574732,53.1281152
XVII Liceum Ogólnokształcące Zespołu Szkół Rolniczych,school,23.2014916,53.1105843
XIII Liceum Ogólnokształcące Zespołu Szkół Ogólnokształcących Mistrzostwa Sportowego im. Marii Konopnickiej w Białymstoku,school,23.1750807,53.1250246
IX Liceum Ogólnokształcące im. Generała Ludwika Kmicica-Skrzyńskiego,school,23.1273593,53.1446482
,,23.1824898,53.1367322
,,23.1827891,53.1364868
,,23.1572581,53.1279963
,,23.1240104,53.0980016
,,23.0955521,53.1198059
,,23.1254007,53.138889
,,23.1749559,53.128749
,,23.1567505,53.1287967
,,23.1391998,53.1190404
