name,highway,longitude,latitude
Kmicica (NŻ),,18.415854,54.4990118
Wzgórze Św. Maksymiliana SKM 06,,18.536675,54.507606
Hutnicza - Działki (NŻ),,18.4305279,54.5558428
Chylonia Centrum,,18.4600912,54.5409297
Obłuże Centrum 03,,18.5076266,54.5507717
Obłuże Centrum 01,,18.508394,54.5507041
Cisowa SKM,,18.4449413,54.5495813
Płyta Redłowska 04,,18.5523493,54.4918249
Leszczynki SKM,,18.4778247,54.5404383
Brzechwy,,18.4896054,54.4736785
Terminal Kontenerowy 01,,18.5010642,54.547197
Wiczlino - Działki I,,18.4372719,54.4818119
Wiczlino Niemotowo 02,,18.4049513,54.5062649
Płyta Redłowska 02,,18.55299,54.4916556
Wiczlino - Skrzyżowanie 02,,18.4238533,54.4906745
Bieszczadzka 02 (ŃŻ),,18.4534094,54.452402
Sobieskiego FUO - 01 (NŻ),bus_stop,18.4006383,54.5609348
Wzgórze Św. Maksymiliana SKM 04,,18.5366835,54.5081027
Pogórze Górne 06,,18.4817493,54.5635689
Wiklinowa,,18.4445669,54.534469
Węzeł Franciszki Cegielskiej 10,,18.5342145,54.5089692
Gdynia Dworzec Gł. PKP - Morska,,18.5295551,54.5199597
Zakopiańska,,18.5295691,54.5165116
Grabowo 01,,18.5082543,54.5239593
Owsiana,,18.4404095,54.5465895
Kordeckiego,,18.4873717,54.5305907
Czwartaków NŻ,,18.5418878,54.5498039
Zbożowa,,18.4485953,54.5447708
Chylonia Dworzec PKP 02,,18.4604531,54.5452208
Suchy Dwór - Gombrowicza 01,bus_stop,18.4694986,54.572938
Suchy Dwór - Necla 02,bus_stop,18.463502,54.5760036
Suchy Dwór - Borchardta 01,bus_stop,18.463966,54.573157
Suchy Dwór - Kochanowskiego 02,bus_stop,18.4662866,54.5761493
Raduńska,,18.4583604,54.5379601
Chylonia Dworzec PKP 04,,18.4616393,54.5451983
Jaskółcza 02,,18.4538221,54.5341612
3 Maja - Hala 01,,18.5369603,54.5222177
Ogród Botaniczny Marszewo 01,,18.4152158,54.5200174
Anyżowa 02,,18.4686485,54.4745951
Bławatna,bus_stop,18.4483593,54.5333401
,,18.453459,54.4558781
Szafranowa 01,bus_stop,18.4615938,54.4657929
Myśliwska 02,,18.4885439,54.4711974
Rdestowa Kolonia 02 (NŻ),bus_stop,18.4513064,54.4601727
Centrum Handlowe Batory,,18.5400103,54.5194772
Przystań Żeglugi,,18.5559487,54.5188562
3 Maja 02,,18.5346961,54.5197318
Bpa Okoniewskiego,,18.5217607,54.5231646
Plac Kaszubski - Świętojańska 02,,18.5431742,54.5209735
Plac Kaszubski 03,,18.5406104,54.522374
,,18.5430398,54.5209603
Plac Kaszubski 03,bus_stop,18.5404623,54.5222975
Uniwersytet Morski,,18.5089582,54.5278252
Stocznia SKM - Morska,,18.5170676,54.524875
,,18.5171122,54.5249708
,,18.5089972,54.5279252
Węzeł Żołnierzy Wyklętych,,18.482241,54.5347908
Morska - Estakada,,18.4908152,54.532585
Zamenhofa,,18.4779344,54.5363232
,,18.4823999,54.5348716
,,18.482347,54.5348884
,,18.4778756,54.5364215
,,18.4778569,54.5364334
Chylonia Centrum 02,,18.4599193,54.5421189
Morska - Kcyńska,,18.4511026,54.54432
Jęczmienna,,18.4419374,54.5475577
Wiejska,,18.4705184,54.5388624
Zbożowa,,18.4469382,54.5452867
,,18.4601093,54.5421748
,,18.4600889,54.5421836
,,18.451207,54.5443846
,,18.4511719,54.5444015
,,18.4418032,54.5476791
,,18.4442703,54.5499423
Owsiana,,18.4421666,54.5461399
Uniwersytet Morski,,18.5111392,54.5269628
Bpa Okoniewskiego,,18.5225536,54.5227691
Chylonia Centrum 01,,18.4613777,54.5415643
Węzeł Żołnierzy Wyklętych,,18.4805312,54.535271
Gdynia Dworzec Gł. PKP - Morska,,18.5282088,54.5205396
Morska - Kcyńska,,18.4513201,54.5441555
Kalksztajnów,,18.4971266,54.5307956
Mireckiego 03,,18.5041715,54.5289543
Morska - Estakada,,18.4899215,54.5324762
Plac Kaszubski - Świętojańska 01,,18.5432038,54.5225395
Stocznia SKM - Morska,,18.5168983,54.5248343
Wiejska,,18.4719959,54.5382256
Plac Kaszubski - Świętojańska 01,bus_stop,18.5433815,54.5225452
,,18.5225083,54.5226856
,,18.5167616,54.5247752
,,18.4969353,54.5307469
,,18.4804732,54.5351596
Plac Kaszubski - Jana z Kolna 02,,18.5422516,54.5233909
Plac Kaszubski - Jana z Kolna 02,bus_stop,18.5421307,54.5234623
Chwarzno Apollina,,18.457755,54.5003279
Mireckiego 02,,18.5027328,54.529523
Spokojna - Cmentarz,,18.5220157,54.4710342
Harcerska 01,,18.5363564,54.50339
Centrum Nauki Experyment 01,,18.5381471,54.4975407
Redłowo SKM - Park Technologiczny 02,,18.5407656,54.4920872
Redłowo SKM - Park Technologiczny 01,,18.5404721,54.4927745
Skwer Kościuszki - Infobox 01,,18.5419411,54.5180294
Traugutta 01,,18.5394703,54.5122574
