name,highway,longitude,latitude
Bratysławska 03,bus_stop,19.9346265,50.0828124
Plac Wolnica 02,bus_stop,19.9435781,50.048011
Mazowiecka 01,bus_stop,19.9176657,50.0778386
Łobzów SKA 01,bus_stop,19.9164263,50.0816562
Cmentarz Rakowicki Zachód 01,bus_stop,19.9467529,50.0761606
Torfowa 02,bus_stop,19.9063861,50.018913
Torfowa 01,bus_stop,19.9051402,50.0179419
Rybitwy Sklep 01,bus_stop,20.0283178,50.0415341
Rybitwy Dom Kultury 01,bus_stop,20.0350867,50.042677
Malczewskiego 03,bus_stop,19.9041371,50.0489996
Prądnik Biały 02,bus_stop,19.9302484,50.0962001
Bieżanowska 09,bus_stop,19.9804782,50.0233268
Bieżanowska 10,bus_stop,19.9820552,50.0228125
Dworcowa 04,bus_stop,19.9699996,50.0336561
Zesławice 01,bus_stop,20.0438592,50.1063224
Mistrzejowice 05,bus_stop,19.9962342,50.0959614
Zajezdnia Bieńczyce 01,bus_stop,20.0328945,50.0912224
Wzgórza Krzesławickie 02,bus_stop,20.0647295,50.0947159
Petőfiego 02,bus_stop,20.0355065,50.0941143
Zesławice Ogródki Działkowe 02,bus_stop,20.0496656,50.1056397
Kantorowice 01,bus_stop,20.0616863,50.1042347
Morcinka 03,bus_stop,20.071203,50.1041242
Jubileuszowa 01,bus_stop,20.0690159,50.1009989
UR Balicka 02,bus_stop,19.86552,50.0808229
Jerzmanowskiego 02,bus_stop,20.0080885,50.0106261
Jerzmanowskiego 01,bus_stop,20.0092457,50.0096842
Malborska 03,bus_stop,19.9748117,50.0260022
Jubilat 04,bus_stop,19.9266847,50.0560621
Nowy Kleparz 04,bus_stop,19.9350288,50.0737935
Nowy Kleparz 08,bus_stop,19.9350056,50.0747836
AGH / UR 01,bus_stop,19.9244122,50.0642847
Radio Kraków 02,bus_stop,19.9293048,50.0717751
AGH / UR 02,bus_stop,19.9230763,50.0627427
Nowy Kleparz 07,bus_stop,19.9363818,50.0742044
Radio Kraków 01,bus_stop,19.930435,50.0717814
Kawiory 04,bus_stop,19.9139822,50.0687523
Kawiory 01,bus_stop,19.9137865,50.0687842
Miasteczko Studenckie AGH 03,bus_stop,19.9042906,50.0703567
Kurdwanów P+R 04,bus_stop,19.9502348,50.0147596
Kurdwanów Szkoła 02,bus_stop,19.9654764,50.0050771
Kurdwanów Szkoła 01,bus_stop,19.9664078,50.0056998
Wieliczka Kopalnia Soli,bus_stop,20.0555165,49.9845901
Wieliczka Kopalnia Soli,bus_stop,20.0570696,49.9841692
Wieliczka Mediateka,bus_stop,20.0646823,49.9842058
Wieliczka Mediateka,bus_stop,20.0635003,49.9843006
Wieliczka Cmentarz,bus_stop,20.0651093,49.9873837
Wieliczka Cmentarz,bus_stop,20.0643847,49.9872569
Wieliczka Park,bus_stop,20.050526,49.9869355
Wieliczka Park,bus_stop,20.0496318,49.9872396
Wieliczka Park,bus_stop,20.0475391,49.9900516
Wieliczka Stacja Paliw,bus_stop,20.0427603,49.9932576
Wieliczka Stacja Paliw,bus_stop,20.0429716,49.9929893
Wieliczka Klasztor,bus_stop,20.0535694,49.9886675
Wieliczka Klasztor,bus_stop,20.0555831,49.9884923
Wieliczka Miasto,bus_stop,20.074984,49.9862754
Wieliczka Os. Asnyka,bus_stop,20.0699313,49.9827669
Wieliczka Gdowska,bus_stop,20.0704134,49.9815119
Wielicka Granica Miasta 04,bus_stop,20.0280886,49.9998466
Wielicka Granica Miasta,bus_stop,20.0269902,49.9992138
Koszykarska 02,bus_stop,19.9889136,50.052521
M1 Nowohucka 01,bus_stop,20.0040776,50.0639787
Elektrociepłownia Kraków 02,bus_stop,20.0004362,50.0564809
Koszykarska 01,bus_stop,19.9899641,50.0525624
Elektrociepłownia Kraków 01,bus_stop,20.0017375,50.0569833
M1 Nowohucka 02,bus_stop,20.0034863,50.0630774
Góra Borkowska 03,bus_stop,19.9245343,50.006713
Clepardia 02,bus_stop,19.9447801,50.0932166
Mackiewicza 01,bus_stop,19.9439665,50.0895801
Clepardia 01,bus_stop,19.9453147,50.0940672
Lekarska 02,bus_stop,19.9382058,50.0864941
Siewna Wiadukt 06,bus_stop,19.9464122,50.0957764
Mackiewicza 03,bus_stop,19.9440802,50.0906755
Zielińskiego 03,bus_stop,19.9119094,50.0462355
Zielińskiego 04,bus_stop,19.9112135,50.047187
Malczewskiego 01,bus_stop,19.9015729,50.0488771
Malczewskiego 02,bus_stop,19.9035471,50.0487174
Instytut Reumatologii 02,bus_stop,19.913698,50.0577493
Przegon 01,bus_stop,19.9053927,50.0564338
Przegon 02,bus_stop,19.9046557,50.0564618
Instytut Reumatologii 01,bus_stop,19.9142837,50.0577042
Cichy Kącik 03,bus_stop,19.9026636,50.0627441
Zawodzie 02,bus_stop,19.9531227,50.0932674
Os. Dywizjonu 303 02,bus_stop,20.0006175,50.0847476
Os. Dywizjonu 303 01,bus_stop,19.999559,50.0843255
Stella-Sawickiego 06,bus_stop,20.0037637,50.0748427
Stella-Sawickiego 08,bus_stop,20.0035639,50.0765729
Medweckiego 02,bus_stop,20.0074086,50.076343
Stella-Sawickiego 05,bus_stop,20.00338,50.0735888
Medweckiego 01,bus_stop,20.0072856,50.0759982
Mehoffera 01,bus_stop,19.9137492,50.0892788
Mehoffera 02,bus_stop,19.9126454,50.0896177
Os. Kliny 02,bus_stop,19.9125812,50.0005214
Ks. Meiera 02,bus_stop,19.9620339,50.0975813
Ks. Meiera 01,bus_stop,19.9626747,50.0980757
Czarnowiejska 01,bus_stop,19.9222418,50.0665903
Zabierzów Kmity,bus_stop,19.8168416,50.1082746
Dworzec Płaszów,bus_stop,19.973124,50.0345505
Jasieńskiego 02,bus_stop,20.0572902,50.0172323
Piaski Wielkie 02,bus_stop,19.9819728,50.0060693
Kosocice 01,bus_stop,19.989277,49.9943316
Piaski Wielkie 04,bus_stop,19.9830422,50.0058452
Piaski Wielkie 01,bus_stop,19.9821957,50.0061828
Zajezdnia Płaszów 02,bus_stop,20.0115169,50.0355425
Zajezdnia Płaszów 01,bus_stop,20.0117254,50.0352629
Płk. Dąbka 01,bus_stop,20.0063845,50.0364961
Obrońców Modlina,bus_stop,20.0095061,50.0371184
Płk. Dąbka 02,bus_stop,20.0070373,50.0361349
Obrońców Modlina,bus_stop,20.009306,50.0369465
Kantorowice 02,bus_stop,20.0620707,50.1041268
Jubileuszowa 02,bus_stop,20.0696002,50.1013728
Rondo 308. Dywizjonu 04,bus_stop,20.0040727,50.0681475
Stella-Sawickiego 04,bus_stop,20.0053198,50.0740641
Miśnieńska 03,bus_stop,20.0001078,50.0946451
Skawina Podlipki,bus_stop,19.8446255,49.9885583
Wrony 01,bus_stop,19.8526224,49.9954162
Gaik 01,bus_stop,19.879073,50.1087297
Bieżanowska 08,bus_stop,19.9826627,50.0242554
Prokocim Rynek 01,bus_stop,19.9966298,50.023739
Prosta 01,bus_stop,19.9925865,50.0251375
Prosta 02,bus_stop,19.9911969,50.0252791
Cmentarz Prokocim 01,bus_stop,20.0072665,50.0218478
Bieżanowska 07,bus_stop,19.9831601,50.0245836
Prokocim Rynek 02,bus_stop,19.9978333,50.023196
Węzeł Wielicki 04,bus_stop,20.0178078,50.0067899
Węzeł Wielicki 06,bus_stop,20.015607,50.0058741
