name,amenity,longitude,latitude
"Przedszkole Prywatne ""Martynka""",kindergarten,22.5323597,51.228028
Przedszkole Publiczne nr 53,kindergarten,22.5457322,51.2372499
Przedszkole nr 67,kindergarten,22.5461291,51.2352515
Przedszkole nr 81,kindergarten,22.5279633,51.223653
"Niepubliczne Przedszkole Artystyczne ""Fortepiano"" w Lublinie",kindergarten,22.5409578,51.2329704
Przedszkole nr 32 w Lublinie,kindergarten,22.5896639,51.230854
Przedszkole nr 84 w Lublinie,kindergarten,22.6306342,51.2178353
Przedszkole nr 59 w Lublinie,kindergarten,22.5913514,51.2580573
Przedszkole nr 54 w Lublinie,kindergarten,22.5813516,51.2573418
Przedszkole nr 13 w Lublinie,kindergarten,22.5827807,51.2548998
Przedszkole Skrzacik,kindergarten,22.5891507,51.1813253
"Przedszkole Niepubliczne ""Mali Giganci"" w Lublinie",kindergarten,22.5867997,51.2767917
Przedszkole Niepubliczne z Oddziałami Integracyjnymi im. Bł. Bolesławy Lament,kindergarten,22.5833851,51.2160976
"Niepubliczne Przedszkole ""Jeżyk"" w Lublinie",kindergarten,22.5825746,51.2286188
"Prywatne Przedszkole ""Strumyk"" 3 w Lublinie",kindergarten,22.545408,51.2595842
"Niepubliczne Przedszkole ""Akademia Małych Artystów""",kindergarten,22.5248788,51.266036
"Niepubliczne Przedszkole Artystyczne ""Słonecznik"" w Lublinie",kindergarten,22.5225519,51.2377043
"""Martynka Bis"" Przedszkole Prywatne",kindergarten,22.5440665,51.2005273
Przedszkole,kindergarten,22.6351221,51.2167846
"Przedszkole Niepubliczne ""Świat Marzeń"" w Lublinie",kindergarten,22.5427579,51.2694259
"Przedszkole Prywatne ""Entliczek-Pentliczek 2""",kindergarten,22.5835983,51.277793
"Przedszkole Niepubliczne ""Bajninio""",kindergarten,22.5190252,51.2681095
"Niepubliczne Przedszkole ""Pozwalamy Dzieciom"" w Lublinie",kindergarten,22.5049984,51.2229906
"Niepubliczne Przedszkole Językowe ""Bursztynek"" w Lublinie",kindergarten,22.5063356,51.2236263
Przedszkole Kolorowe Kredki,kindergarten,22.5484432,51.2392001
"Przedszkole Prywatne ""Pszczółka"" w Lublinie",kindergarten,22.5963516,51.2336378
"Przedszkole Niepubliczne ""Mali Giganci III""",kindergarten,22.4859388,51.2233969
"Przedszkole Niepubliczne ""Koralik"" w Lublinie",kindergarten,22.4850743,51.2240611
"Przedszkole Niepubliczne ""Hulajnoga"" w Lublinie",kindergarten,22.4852083,51.2233374
Niepubliczne Przedszkole Dwujęzyczne Abc w Lublinie,kindergarten,22.4846796,51.2244494
"Niepubliczny Punkt Przedszkolny ""Leon"" w Lublinie",kindergarten,22.4813703,51.226217
"Prywatne Przedszkole ""Strumyk"" 1 w Lublinie",kindergarten,22.5214967,51.2384946
Przedszkole Specjalne Tajemniczy Ogród,kindergarten,22.5874313,51.2528807
