name,leisure,landuse,natural,longitude,latitude
Złotniki,,,,16.8450812,52.4937835
,,,,17.0184838,52.4012887
Marabut,,,,16.9073128,52.4083273
Żywiczna Nastawnia n/ż,,,,17.0378194,52.3950105
,,,,16.9258359,52.4202863
,,,,16.8403169,52.3947101
,,,,17.0375218,52.4640629
,,,,17.0371774,52.463988
,,,,17.0412351,52.4621933
,,,,17.0446431,52.4087235
,,,,17.004988,52.4048968
,,,,16.8961234,52.4243837
,,,,17.0301634,52.4089447
,,,,17.0233021,52.4130481
,,,,16.8034438,52.4970394
,,,,16.9189738,52.3949959
Browarna Młyn n/ż,,,,17.0182685,52.3992265
Sobiesława n/ż,,,,17.0228649,52.4053231
Sobiesława n/ż,,,,17.0231715,52.4055997
Ziemowita n/ż,,,,17.0200596,52.4030059
Ziemowita n/ż,,,,17.0203317,52.4031686
,,,,16.99431,52.4005323
,,,,16.8476778,52.3886403
,,,,16.9313934,52.409666
,,,,16.930381,52.4144429
PKO BP,,,,16.9966981,52.4491696
,,,,16.8888024,52.4055072
,,,,16.9273802,52.3779857
,,,,16.9280266,52.3796443
,,,,16.9232469,52.3847547
,,,,16.9243058,52.3873766
,,,,16.9579135,52.4293171
,,,,16.9570396,52.4302243
,,,,16.9475845,52.3699827
,,,,17.0447993,52.4086326
,,,,17.0432895,52.4056914
,,,,16.8652844,52.4032397
,,,,16.9659104,52.3816233
,,,,16.9737171,52.3795316
,,,,16.9424295,52.4318416
,,,,16.8585079,52.3914457
,,,,17.0150576,52.3950757
,,,,16.8787962,52.4190684
,,,tree,16.9236286,52.4557745
Jezus Chrystus,,,,16.9320472,52.4134828
,,,,16.9306925,52.4137675
,,,,16.9054362,52.3646752
,,,,16.9054491,52.3645319
,,,,16.9054613,52.3643972
,,,,16.9054737,52.3642607
,,,,16.7994081,52.4146047
,,,,16.8983729,52.4433467
,,,,16.8986709,52.4428721
,,,,16.9962873,52.4001059
,,,,16.8948573,52.4028208
,,,,16.8813559,52.4189955
,,,,16.9715231,52.378724
,,,,16.8811789,52.4188469
,,,,16.8440178,52.4947277
,,,,16.8417496,52.496726
,,,,16.9471278,52.3690595
,,,,16.9478192,52.3701807
,,,,16.9492155,52.4315861
,,,,16.9946146,52.3898255
,,,,17.0183543,52.3993627
,,,,17.0201853,52.403082
,,,,17.0214126,52.4040173
,,,,17.0336364,52.3903091
Żywiczna Nastawnia n/ż,,,,17.038055,52.3951464
,,,,17.0448113,52.4084915
,,,,17.0460248,52.4090506
,,,,16.863543,52.4062372
,,,,16.8614565,52.4076496
,,,,16.9289096,52.3839854
,,,,17.0066518,52.398149
,,,,16.8144263,52.4201094
Browarna Młyn n/ż,,,,17.0184069,52.3994483
,,,,16.9332737,52.3981214
,,,,16.9338568,52.3975372
,,,,16.9985262,52.4414404
,,,,16.8951787,52.426785
,,,,16.9683078,52.3798441
,,,,16.9985524,52.4532662
,,,,16.9343212,52.3988854
,,,,16.9914246,52.4484119
,,,,16.9186163,52.3949414
,,,,16.9187527,52.3940614
,,,,16.919146,52.3940095
,,,,16.9176804,52.4037482
,,,,16.9338444,52.4041958
,,,,16.9156974,52.4652458
,,,,16.9726779,52.423148
,,,,16.9726545,52.4231722
,,,,16.9454636,52.4260799
,,,,16.9457519,52.4279519
,,,,16.9447875,52.4056612
,,,,16.9148683,52.4149971
,,,,17.0298121,52.4090647
,,,,16.8766806,52.3803449
