name,amenity,longitude,latitude
Przedszkole Niepubliczne Literackie,kindergarten,14.5510975,53.4353715
Niepubliczne Przedszkole Artystyczno-Językowe TUPTUŚ,kindergarten,14.6335892,53.3812834
Niepubliczne Przedszkole Artystyczno-Językowe TUPTUŚ,kindergarten,14.6329309,53.3819629
Przedszkole Montessori BONA VENTURA w Szczecinie,kindergarten,14.5324914,53.4550242
Przedszkole EKPERCIK,kindergarten,14.5250181,53.4639925
"Przedszkole Publiczne nr 37 ""Na Górce""",kindergarten,14.5277954,53.4340234
Przedszkole Przyjaciele,kindergarten,14.550535,53.4507651
Integracyjne Przedszkole Zdrowia – Oddział Specjalny RPP,kindergarten,14.5625809,53.4262781
Przedszkole Niepubliczne „Promyk”,kindergarten,14.5603364,53.430051
Hipciowe przedszkole,kindergarten,14.4816602,53.4399178
Niepubliczne Przedszkole Misiowe,kindergarten,14.591606,53.3636665
"Niepubliczne Przedszkole Językowe ""Promyk""",kindergarten,14.558440063255428,53.4245643049421
"Przedszkole Publiczne nr 41 ""Źródełko""",kindergarten,14.555378164122606,53.43646222873855
Przedszkole Publiczne nr 3 Pentliczek,kindergarten,14.547302309750261,53.42421622479748
Przedszkole Publiczne nr 30,kindergarten,14.535377589919365,53.44086494350004
Przedszkole „Zaczarowany Ogród” z Oddziałami Integracyjnymi,kindergarten,14.53704291813915,53.44083200613167
Niepubliczne Przedszkole Jutrzenka,kindergarten,14.552724791754475,53.430650893661124
Przedszkole Publiczne Nr 65,kindergarten,14.565891211839975,53.43818321967546
"Przedszkole Publiczne Nr 1 ""Radosne""",kindergarten,14.565663523268219,53.44048519736794
Przedszkole Publiczne Nr 73,kindergarten,14.57100061575188,53.44099641731141
Przedszkole Publiczne nr 75 „Zaczarowane Przedszkole”,kindergarten,14.492023520247077,53.454842923132986
Katolickie Przedszkole „Wojtuś”,kindergarten,14.523039202498655,53.405066700346666
Niepubliczne przedszkole „Niezapominajka”,kindergarten,14.493395397918722,53.425629771424774
Przedszkole Niepubliczne „Calineczka”,kindergarten,14.541217771722252,53.43531730345076
Szkoła Podstawowa z Punktem Przedszkolnym w Przecławiu,school,14.471926772151818,53.377698892485114
Uśmiech. Przedszkole Niepubliczne,kindergarten,14.649849878988542,53.37706539224735
Przedszkole Publiczne nr 62 „Baśniowe”,kindergarten,14.6479433931357,53.37882752656988
Przedszkole Niepubliczne NUTKA,kindergarten,14.649959645271295,53.378682671024436
Europejskie Przedszkole Niepubliczne „Twórczej Aktywności Dziecka”,kindergarten,14.510875282058072,53.43136621200886
