name,shop,amenity,longitude,latitude
Żabka,convenience,,14.5539635,53.4323582
Netto,supermarket,,14.5520719,53.4255242
Żabka,convenience,,14.5474559,53.4317982
Auchan,supermarket,,14.5556785,53.4341416
Carrefour,supermarket,,14.5231485,53.4107323
Żabka,convenience,,14.5452376,53.431433
Żabka,convenience,,14.5419136,53.4537905
Żabka,convenience,,14.5490349,53.445569
Żabka,convenience,,14.5502668,53.4404751
Żabka,convenience,,14.5478548,53.4500001
Żabka,convenience,,14.5435055,53.4465338
MOL,convenience,fuel,14.5605949,53.4539312
Stokrotka,supermarket,,14.5226247,53.4553211
Żabka,convenience,,14.5455843,53.4386948
Żabka,convenience,,14.5131736,53.4410247
Żabka,convenience,,14.5321757,53.4331637
Biedronka,supermarket,,14.531444,53.4292451
Żabka,convenience,,14.5339709,53.4274911
Carrefour,supermarket,,14.5288514,53.426406
Żabka,convenience,,14.5491593,53.426206
Żabka,convenience,,14.5539343,53.4242579
Żabka,convenience,,14.5490941,53.4530527
Żabka,convenience,,14.5422462,53.4332061
Żabka,convenience,,14.544102,53.432436
Żabka,convenience,,14.5405856,53.4314536
Żabka,convenience,,14.5921287,53.3641842
Żabka,convenience,,14.5425356,53.4373499
Żabka,convenience,,14.5356574,53.4669748
Biedronka,supermarket,,14.6325417,53.3834152
,convenience,,14.5484003,53.4653648
Stokrotka,supermarket,,14.5523897,53.4263964
Biedronka,supermarket,,14.4996127,53.4042137
,convenience,,14.5980172,53.3582284
Żabka,convenience,,14.5981173,53.3673418
Żabka,convenience,,14.4814882,53.4978721
Żabka,convenience,,14.6487672,53.367955
Żabka,convenience,,14.4658138,53.4294376
,convenience,,14.4581039,53.4255555
Netto,supermarket,,14.541794,53.4269753
D&M,convenience,,14.4591162,53.4343469
Społem,supermarket,,14.5157823,53.4210002
Stokrotka,supermarket,,14.5013773,53.4283914
Społem,convenience,,14.5514508,53.4245169
Biedronka,supermarket,,14.5695767,53.4567725
Żabka,convenience,,14.5390502,53.4251993
Żabka,convenience,,14.5507083,53.4289452
Delikatesy Społem,supermarket,,14.5535467,53.4336689
Żabka,convenience,,14.5744433,53.3519111
,convenience,,14.5812209,53.3555584
Żabka,convenience,,14.6375629,53.3832899
Turkus,supermarket,,14.6492741,53.3792081
Biedronka,supermarket,,14.5116931,53.4324025
Żabka,convenience,,14.5147054,53.4318289
,,,14.5152064,53.4332849
abc,convenience,,14.5173869,53.432412
,,,14.5165231,53.4334025
Stokrotka,supermarket,,14.5598385,53.4551979
Pod Jaworem,convenience,,14.5578652,53.4366697
Społem,supermarket,,14.5409598,53.4316412
Netto,supermarket,,14.4965765,53.455402
Żabka,convenience,,14.5000137,53.4548961
Eko Spiżarnia,supermarket,,14.5428942,53.4311485
Żabka,convenience,,14.648572,53.3785199
Hala Piastowska,,marketplace,14.5496103,53.4436696
Netto,supermarket,,14.5536192,53.4435286
Stokrotka,supermarket,,14.5534315,53.4448555
,,,14.5049021,53.4315472
,,,14.505081,53.4315304
,,,14.5049725,53.4318133
,,,14.5051558,53.431798
,,,14.5038146,53.4322662
,,,14.5038359,53.4326118
,,,14.5042612,53.4326112
,,,14.51407,53.4330689
,,,14.5141607,53.4328506
,,,14.515101,53.4329893
,,,14.5150803,53.4330391
,,,14.5150104,53.4332073
,,,14.5071432,53.4306452
,,,14.5071349,53.4306454
,,,14.5073301,53.4308361
,,,14.5073314,53.4308566
,,,14.5072611,53.4308333
,,,14.5072613,53.4308376
,,,14.5071529,53.4308082
,,,14.5074042,53.4308339
,,,14.5074054,53.4308549
,,,14.507145,53.4308084
,,,14.5093421,53.4277001
,,,14.5093387,53.4276642
,,,14.5093327,53.4276024
,,,14.5096662,53.427591
,,,14.5093733,53.4280227
,,,14.509713,53.4280752
,,,14.5096224,53.4280142
,,,14.5096286,53.4280781
,,,14.507838,53.4305953
,,,14.5078433,53.4306811
,,,14.5078468,53.4307365
,,,14.5078509,53.4308223
,,,14.5279997,53.4256759
,,,14.5280289,53.4256579
,,,14.5279754,53.4257707
,,,14.5279665,53.4257481
,,,14.5279646,53.4257249
,,,14.5279749,53.4256986
,,,14.5279933,53.4257914
,,,14.5280187,53.4258091
,,,14.5280651,53.4256453
,,,14.5282345,53.4256096
,,,14.5281936,53.4257149
,,,14.5281973,53.4257196
,,,14.5282863,53.4257028
,,,14.528293,53.4257147
,,,14.5282657,53.4256625
,,,14.5281302,53.4256927
,,,14.5281586,53.425697
,,,14.5281857,53.4257088
,,,14.5282933,53.4257512
,,,14.5282957,53.4257273
,,,14.5283567,53.4256626
,,,14.5283652,53.4257491
,,,14.5281026,53.4258591
,,,14.5281156,53.4259835
,,,14.528386,53.4259743
,,,14.5284209,53.4263435
,,,14.5281338,53.4258352
,,,14.5280724,53.4258282
,,,14.5281367,53.4258585
,,,14.5282804,53.4263483
,,,14.5282892,53.4264434
,,,14.5283653,53.4264408
,,,14.5298142,53.4256138
,,,14.5299042,53.4256108
,,,14.5298205,53.4256709
,,,14.5299101,53.4256677
