name,highway,longitude,latitude
Osów,bus_stop,14.5179697,53.4801648
Osiedle Arkońskie,bus_stop,14.5316706,53.4593518
Komuny Paryskiej,bus_stop,14.5654224,53.453774
Komuny Paryskiej,bus_stop,14.56394,53.4524834
Wilcza Wiadukt,bus_stop,14.5653595,53.4463149
Wilcza Wiadukt,bus_stop,14.5649699,53.4460945
Ogrody „Przyjaźń” nż,bus_stop,14.5787491,53.4674591
Hoża,bus_stop,14.5773064,53.4637379
Hoża,bus_stop,14.577454,53.46342
Jana z Czarnolasu,bus_stop,14.573761,53.4600253
Jana z Czarnolasu,bus_stop,14.5719753,53.4586241
Pokoju,bus_stop,14.5898027,53.4756483
Pokoju,bus_stop,14.5887081,53.4763721
Bogumińska nż,bus_stop,14.5848224,53.472634
Bogumińska nż,bus_stop,14.5832731,53.4719464
Ogrody „Przyjaźń” nż,bus_stop,14.5793924,53.4682556
Zagórskiego,bus_stop,14.5838931,53.493643
Kolonistów,bus_stop,14.5854412,53.4881333
Kolonistów,bus_stop,14.5853802,53.4874796
Nehringa,bus_stop,14.5875282,53.4799327
Nehringa,bus_stop,14.5878498,53.4795318
Ogrody „Neptun” nż,bus_stop,14.5805856,53.4986238
Ogrody „Neptun” nż,bus_stop,14.5810641,53.4979682
Zagórskiego,bus_stop,14.5835372,53.4941226
Teatr Letni,bus_stop,14.5295998,53.446787
Jaworowa,bus_stop,14.485553,53.4768953
Jaworowa,bus_stop,14.4852237,53.477417
Cukrowa,bus_stop,14.4928196,53.3969339
Kwiatkowskiego,bus_stop,14.4909213,53.3950745
Ogrody „Górki Ustowskie” nż,bus_stop,14.5022726,53.3950603
Cukrowa Uniwersytet,bus_stop,14.4992406,53.4022906
Krakowska Uniwersytet,bus_stop,14.4955843,53.4053068
Reda,bus_stop,14.5027234,53.4041564
Zielona,bus_stop,14.4954039,53.4075145
Krakowska Uniwersytet,bus_stop,14.4972908,53.4048849
Reda,bus_stop,14.5016016,53.4045899
