name,amenity,longitude,latitude
XXXIV Liceum Ogólnokształcące im. Miguela de Cervantesa,school,21.040723,52.2048871
,,21.0493592,52.1777011
,,20.9487157,52.274236
,,21.0234256,52.2285637
,,20.9181235,52.2265008
,,20.9180156,52.2266411
,,21.0801495,52.2291405
,,20.96989,52.2284245
,,20.90188,52.2240672
,,21.0114923,52.1906122
,,20.9695622,52.2664003
,,21.0496906,52.1387941
,,21.0494598,52.1401941
,,21.0886292,52.1672662
,,21.0873961,52.167762
,,20.9524109,52.3147393
,,21.0416071,52.1484608
,,20.9482396,52.3212998
,,20.9304388,52.2719731
,,20.9303459,52.272911
,,21.0366188,52.2502512
,,21.0367942,52.2501075
LX Liceum Ogólnokształcące im. Wojciecha Górskiego,school,20.9328195,52.283689
Wielokulturowe Liceum Humanistyczne,school,21.0356824,52.2522344
,,20.9686895,52.2159468
,,20.9789597,52.2451921
,,21.0545256,52.1484647
,,21.1160595,52.1120134
,,21.0388245,52.201959
,,20.9667459,52.1922459
Prywatne Liceum Ogólnokształcące Sióstr Nazaretanek z Oddziałami Międzynarodowymi,school,21.0469266,52.2109737
,,21.1563106,52.3102569
,,21.0148923,52.1997354
,,21.0154234,52.1998317
,,20.8697191,52.2014826
,,20.8680979,52.2011778
,,20.8547392,52.1830404
,,21.0747723,52.1279777
,,21.0395063,52.2541449
Mur Getta Warszawskiego,,20.9988509,52.2307885
CXXV Liceum Ogólnokształcące im. Waldemara Milewicza,school,20.9858686,52.2367612
,,21.0361659,52.2506169
,,20.981951,52.3052435
,,21.0537008,52.2719108
,,21.0445657,52.2740605
Autorska Szkoła Muzyczna,school,21.0606364,52.1862342
CX Liceum Ogólnokształcące im. Roberta Schumana,school,21.0560595,52.1847658
,,21.0536211,52.1007381
,,21.0531081,52.1007631
,,21.0539127,52.101676
,,21.051477,52.1020898
,,20.9955126,52.2447529
,,20.9952431,52.2455886
,,20.9807431,52.2480291
,,20.9835167,52.2507465
,,20.9842125,52.2508878
,,20.9845693,52.2515898
,,20.9876639,52.2518488
,,20.9870436,52.2526098
,,20.9796119,52.2434163
,,20.9953469,52.245118
,,21.0538045,52.1013107
,,21.0387649,52.285507
,,21.0463327,52.3262635
,,21.0479924,52.3273259
,,21.0477919,52.3277646
,,20.9740597,52.3115571
,,20.977823,52.2092045
,,20.9785983,52.2102883
,,20.9728877,52.326235
,,21.1483403,52.3081387
,,20.980386,52.2437882
Kolegium Świętej Rodziny,school,20.89885,52.33678
,,20.9332997,52.2847419
,,21.0154013,52.205778
,,21.0153798,52.2058223
,,21.0147309,52.2059709
,,21.0179838,52.2048447
Technikum Łączności,school,21.0668447,52.2290471
XCVI Liceum Ogólnokształcące,school,21.0679298,52.2293258
Branżowa Szkoła I Stopnia nr 55,school,21.0673698,52.2291738
Ogólnokształcąca Szkoła Baletowa im. Romana Turczynowicza,school,21.011834,52.2439573
Technikum nr 3 im. Ludwika Krzywickiego,school,20.9863928,52.2368223
Branżowa Szkoła I Stopnia Specjalna nr 67,school,20.9373671,52.2415707
Szkoła Policealna nr 48 dla dorosłych,school,20.9381256,52.2444595
Technikum Budowlane nr 22 dla dorosłych,school,20.9390524,52.2451167
Technikum Budowlane nr 5,school,20.9395652,52.2444224
LXXXIV Liceum Ogólnokształcące im. Bohaterów Narwiku,school,20.960182,52.1876185
Technikum nr 9 Lotnicze im. Bohaterów Narwiku,school,20.9599503,52.1873272
LVIII Liceum Ogólnokształcące im. Krzysztofa Kamila Baczyńskiego,school,21.0342,52.2246404
Technikum Budownictwa i Architektury nr 1 im. Prof. Zdzisława Mączeńskiego,school,21.0336716,52.2246089
CXIV Liceum Ogólnokształcące im. Jana Kilińskiego,school,20.9879859,52.2612044
Technikum Mechaniczne nr 7 im. Jana Kilińskiego,school,20.9880859,52.2608891
Branżowa Szkoła Rzemiosł Artystycznych I Stopnia nr 65,school,20.9874231,52.2608548
"LXXIII Liceum Ogólnokształcące im. Zawiszaków Proporca ""Victoria""",school,20.9041342,52.2100034
British School Szkoła Języków Obcych,school,21.0502519,52.3177535
,,21.0227699,52.1900749
,,21.0329198,52.2581045
,,21.0733169,52.1327039
,,21.057014,52.2596555
,,21.0535983,52.2566897
,,21.0539822,52.2568031
,,21.0543398,52.2569073
,,21.0104953,52.1907104
,,21.0616687,52.2574745
,,21.0613863,52.2579052
,,21.0391804,52.2617855
,,21.0269851,52.2621918
,,21.0249747,52.2627703
,,21.0307388,52.2639621
,,21.031185,52.2641456
,,21.0314277,52.2657423
,,20.9739742,52.2405292
,,21.0351166,52.2627881
,,20.9550842,52.248391
,,20.9952381,52.2639487
,,20.99584,52.2630118
,,21.157401,52.2966688
,,21.0395156,52.1460283
,,21.1932541,52.1857665
,,21.1936541,52.1857783
,,21.1931514,52.1862998
,,20.9186291,52.2265657
,,20.918584,52.2267044
,,20.918473,52.2272632
,,20.9133847,52.2253635
,,20.9065825,52.223178
,,20.9064166,52.2234242
,,21.0093242,52.1931041
,,21.0114931,52.190587
,,21.0099418,52.1907036
,,21.0104608,52.1899598
,,21.0114628,52.1899727
,,21.0402189,52.1581217
,,21.0096671,52.192398
,,21.0056089,52.1924869
,,21.0033896,52.1973454
,,21.0050448,52.1967104
,,21.0047037,52.1975524
,,21.0100656,52.1984625
,,21.0054739,52.1908633
,,21.0181002,52.1995721
,,21.0411008,52.1436937
,,21.0406384,52.1455266
,,21.0490069,52.2326021
,,20.9180754,52.2266478
,,20.9495882,52.2774467
,,21.0281552,52.2057491
,,20.9610639,52.2737007
,,21.0370705,52.2498805
,,20.9591854,52.2312898
,,20.9952923,52.2639533
,,20.9478371,52.2431212
,,21.0619468,52.1406798
,,21.0626043,52.1408725
,,20.9491088,52.2455866
,,20.9490451,52.2462169
Technikum nr 23 im. Fryderyka Skarbka,school,20.9491377,52.2460713
XCII Liceum Ogólnokształcące z Oddziałami Integracyjnymi,school,20.9491362,52.2461033
Zasadnicza Szkoła Zawodowa nr 39,school,20.9491452,52.2460401
,,20.9499145,52.2462624
,,20.9503469,52.2461978
,,20.9509041,52.2462766
,,20.9546847,52.2475191
,,20.9540918,52.24794
,,20.9543857,52.2487775
,,21.0216186,52.1942096
,,20.9911747,52.2678169
Animus,school,21.1990301,52.3378869
,,20.9543565,52.2487557
Liceum Pedagogiczne im. Filipiny Płaskowickiej,,20.9551737,52.2482218
,,20.9551471,52.2482738
,,20.955113,52.2483405
,,20.9542264,52.248013
,,21.0752499,52.1340268
,,21.02576,52.2285299
,,21.0065363,52.1926526
,,21.0058826,52.1925358
Academy of Language,school,20.9779573,52.2605484
,,20.9479462,52.2428339
,,21.057176,52.1892128
,,21.0554936,52.1896442
,,21.0551567,52.1897205
,,20.9483915,52.2419852
,,20.9479981,52.2427493
,,20.9483787,52.2420109
,,20.9480112,52.2427242
,,21.0312265,52.1631512
,,21.0294681,52.1636204
,,21.1053933,52.2356778
,,20.9796257,52.2170827
,,20.9843668,52.2214832
,,21.0668071,52.3124991
,,21.1242849,52.1000434
,,20.9775561,52.2509145
,,21.1512135,52.314166
,,21.1514765,52.3141677
LII Liceum Ogólnokształcące im. Władysława Stanisława Reymonta,school,20.9395737,52.2774585
Technikum Księgarskie im. Stefana Żeromskiego,school,20.9394866,52.2771544
,,20.976859,52.2275989
,,21.1041171,52.2945812
,,21.0479037,52.2344968
,,20.9478963,52.234023
,,20.9469212,52.2345109
,,20.9472259,52.2345479
,,20.9705958,52.2164252
,,20.9864678,52.2514608
,,20.9541755,52.2281163
,,20.9541407,52.2285948
,,20.9157794,52.2594153
,,20.9170935,52.2595755
,,20.9593337,52.2434376
,,21.1234944,52.3357137
,,21.1238534,52.3355938
,,21.1243969,52.3355566
,,21.1134125,52.3397134
,,21.1137835,52.3404919
,,21.1137501,52.3398939
,,21.0984186,52.324314
,,21.0980438,52.3238714
,,21.0984379,52.3243379
,,21.0143025,52.2196174
,,21.127358,52.2771567
,,21.1274352,52.2774459
,,20.9955962,52.2446141
,,21.0009884,52.2354074
,,20.9981345,52.2378209
,,20.9983544,52.2378549
,,21.0608934,52.1332785
,,21.000437,52.2348118
,,21.0006672,52.2348953
,,20.9472463,52.2417683
,,20.946716,52.2435248
,,21.0532738,52.2487551
,,21.0000863,52.234793
,,21.0525606,52.2315367
,,21.0524545,52.2330055
Sukces. Szkolenia Językowe,school,21.1303086,52.2788232
,,20.9748074,52.2809571
,,20.9750188,52.2805391
,,20.9736808,52.2801773
,,21.0235423,52.2284093
,,21.0573306,52.2289895
,,20.973572,52.2803643
,,20.9773228,52.2274586
,,20.9784551,52.2280055
,,20.9774212,52.2289131
,,20.9833075,52.2405422
,,21.1048393,52.3223641
Liceum Ogólnokształcące Społeczne nr 17,school,21.0177668,52.2207441
,,20.96139,52.2629096
,,21.0552537,52.1366733
,,21.05975,52.2741811
,,21.1431013,52.2190832
,,20.9955213,52.2443961
,,21.061166,52.1443727
,,20.9714118,52.2303711
,,20.971472,52.2300538
,,20.9988071,52.2312434
,,20.959938,52.3209055
,,20.9625362,52.3215307
,,20.9614642,52.3197107
,,20.9616425,52.321909
,,21.0659142,52.32667
,,21.0657423,52.3280334
,,21.0656804,52.3276688
