name,amenity,leisure,tourism,longitude,latitude
Święty Jan Nepomucen,,,attraction,17.0437212,51.1146228
Madonna z Dzieciątkiem,,,attraction,17.0456361,51.1141637
,,,,17.0882459,51.0824046
,,,,17.0799937,51.1093455
,,,,17.0745741,51.1024391
,,,,17.0729082,51.1068976
Galeria M,,,gallery,17.0313299,51.104746
Helios,cinema,,,16.9874595,51.118709
Teatr Muzyczny Capitol,theatre,,,17.030342,51.1008129
,,,,16.9979129,51.0955339
,,,,17.0442099,51.1155484
,,,,17.0464199,51.1152817
,,,,17.0467773,51.1169482
Żyrafa,,,attraction,17.0754498,51.1052072
Struś,,,attraction,17.075997,51.1050185
Zebra,,,attraction,17.0765214,51.1047863
Lew angolski,,,attraction,17.077168,51.1046625
Dzieciniec,,,attraction,17.0739946,51.1050109
,,,,17.0013326,51.0591754
Dolnośląskie Centrum Filmowe,cinema,,,17.030301,51.1017174
Teatr Lalek,theatre,,,17.033054,51.105053
,,,,17.0705933,51.1078827
Brama Japońska,,,,17.0707045,51.1037007
,,,,16.9977157,51.0950683
Centrum Sztuki WRO,arts_centre,,,17.0328486,51.106077
Zoo Team,,,zoo,17.0427682,51.1186432
Towarzystwo Przyjaciół Dzieci,community_centre,,,17.0584187,51.1166075
Cinema City,cinema,,,17.0894232,51.1424469
Multikino Pasaż Grunwaldzki,cinema,,,17.0590682,51.1125634
Instytut im. Jerzego Grotowskiego,theatre,,,17.0325738,51.109978
Eiger,,sports_centre,,16.9922444,51.1104422
,,,,17.0640801,51.0975075
Arui libijskie,,,attraction,17.0791003,51.1043587
Garna,,,attraction,17.0778709,51.1042993
Gnu białobrode,,,attraction,17.0786295,51.1042875
Kob Singsing,,,attraction,17.0774597,51.1040432
Kotik afrykański,,,attraction,17.075222,51.1038856
Magot,,,attraction,17.077881,51.1015091
Muflon,,,attraction,17.0779163,51.1017737
Niedźwiedź brunatny,,,attraction,17.0785009,51.1016737
Nilgau,,,attraction,17.0777086,51.1042374
Oryks szablorogi,,,attraction,17.0784479,51.1047078
Osioł Domowy,,,attraction,17.0778135,51.1049038
Sitatunga,,,attraction,17.0773532,51.1039061
Watusi,,,attraction,17.0770017,51.1035748
Wielbłąd jednogarbny,,,attraction,17.0774613,51.1051282
Żubr,,,attraction,17.0756473,51.1031447
Łabędź trąbiący,,,attraction,17.0756415,51.1024655
Zebra,,,attraction,17.073794,51.1053988
Fenek,,,attraction,17.0782172,51.1047396
Likaon,,,attraction,17.0767175,51.104203
Aguti złociste,,,attraction,17.0728256,51.1037581
Alpaka,,,attraction,17.0728319,51.1034744
Okapi,,,attraction,17.0750735,51.1032748
Gwanako,,,attraction,17.0731295,51.1040646
Kuc szetlandzki,,,attraction,17.0729268,51.1039169
Mara patagońska,,,attraction,17.0726617,51.1035765
Marabut afrykański,,,attraction,17.0766332,51.1035167
Ryś,,,attraction,17.0771623,51.1019258
Żbik,,,attraction,17.0771516,51.1016967
Skrzydłoszpon obrożny,,,attraction,17.0725676,51.1034212
Czerwonak kubański,,,attraction,17.0702581,51.107049
Czerwonak różowy,,,attraction,17.0702596,51.1068641
Daniel mezopotamski,,,attraction,17.0706544,51.1040605
Hipopotam karłowaty,,,attraction,17.0722136,51.1063553
Jeleń aksis,,,attraction,17.0696709,51.1050439
Jeleń milu,,,attraction,17.0695383,51.1053321
Pekari Chaco,,,attraction,17.0727065,51.1053988
Lemur katta,,,attraction,17.0717151,51.1043066
Makak czubaty,,,attraction,17.0720066,51.1051486
Makak czubaty,,,attraction,17.0723794,51.1068418
Makak rezus,,,attraction,17.0722911,51.106908
Mangaba czarna,,,attraction,17.072448,51.1066934
Mangaba rudoczelna,,,attraction,17.0724229,51.1067633
Niedźwiedź brunatny,,,attraction,17.0736321,51.106436
