name,leisure,landuse,natural,longitude,latitude
,,,,17.0882891,51.1266658
,,,,16.9603963,51.0990496
,,,,17.0221832,51.1095243
,,,,17.0221706,51.1096003
,,,,17.0148997,51.0854349
,,,,17.0309113,51.0861758
,,,,17.031295,51.0858395
,,,,17.0947889,51.1826429
,,,,17.09399,51.181626
,,,,17.0919579,51.181963
,,,,17.093182,51.1900329
,,,,17.09411,51.1920039
,,,,17.069935,51.1079381
,,,,17.0384004,51.114174
,,,,17.0799937,51.1093455
,,,,16.9744293,51.0859568
,,,,17.111424,51.1512481
,,,,17.0442099,51.1155484
,,,,17.0464199,51.1152817
,,,,17.0467773,51.1169482
,,,,17.0007032,51.059603
,,,,16.9627263,51.0992653
,,,,17.0427478,51.1069614
,,,,17.0419748,51.1070425
,,,,17.0862462,51.1087534
,,,,17.0481715,51.1110455
,,,,16.8688641,51.1253019
,,,,16.9540368,51.1109208
,,,,16.9598964,51.1004049
,,,,16.929953,51.0869751
,,,,16.9932787,51.0854615
,,,,17.0507696,51.1216016
,,,,17.0506888,51.1214012
,,,,16.9022923,51.151118
,,,,16.9504241,51.1487259
,,,,16.9529335,51.1503388
,,,,17.0316341,51.1248315
,,,,17.0331439,51.1243974
,,,,17.0359113,51.1205133
,,,,17.0358682,51.1193227
,,,,17.0354695,51.1199383
,,,,17.0000471,51.1289155
,,,,16.9976339,51.129624
,,,,16.9628213,51.132194
,,,,16.9477434,51.1072533
,,,,16.9477652,51.1070823
,,,,17.0291601,51.1071969
,,,,17.059204,51.0996498
,,,,16.9670624,51.0972223
,,,,17.0151251,51.089994
,,,,16.9656948,51.1313878
,,,,16.9710439,51.1365034
,,,,17.0169165,51.0936629
,,,,17.0375523,51.087515
,,,,17.0377416,51.0876689
,,,,17.0399188,51.0887828
,,,,17.0398866,51.0887019
,,,,17.0373965,51.078384
,,,,16.8862293,51.1781798
,,,,17.0596989,51.0937374
,,,,16.8591039,51.1002567
,,,,16.9605113,51.14324
,,,,17.0537312,51.1729231
,,,,16.934525,51.183699
,,,,17.0682406,51.1011176
,,,,17.0790139,51.1096881
,,,,17.0310952,51.1228791
,,,,17.0800273,51.1481082
,,,,17.0408668,51.1821093
,,,,16.9580042,51.1025117
,,,,17.0230116,51.1082229
,,,,17.0389829,51.104752
,,,,17.0333587,51.1052476
,,,,17.0580491,51.0962444
,,,,16.8759802,51.110863
,,,,16.8761805,51.1111197
,,,,17.1201163,51.1720002
,,,,17.0362521,51.1135309
,,,,17.0732032,51.116681
,,,,17.0735814,51.1179342
,,,,17.0616939,51.1160168
,,,,17.1242828,51.1053334
,,,,17.0228753,51.1086453
,,,,16.9577588,51.1165874
,,,,17.0138879,51.1030578
,,,,17.0228391,51.1088635
,,,,17.0418824,51.1038315
,,,,17.0826844,51.1248601
,,,,17.0452132,51.1016807
,,,,17.0420188,51.1157229
,,,,17.042213,51.1158411
,,,,17.0400456,51.1137008
,,,,16.9971864,51.1128538
,,,,17.082844,51.1250196
,,,tree,17.0147224,51.0818099
,,,,16.9337883,51.1027929
,,,,17.0371651,51.1244062
,,,,17.0448672,51.1167715
,,,,16.9569324,51.1157541
,,,,16.9567114,51.1163699
,,,,17.0491772,51.1153969
,,,,17.0815338,51.1015773
,,,,17.0655651,51.1067392
,,,,17.06565,51.118541
,,,,17.0994423,51.1189008
,,,,17.0527979,51.1730109
,,,,16.9725782,51.1025088
,,,,16.9985769,51.0816038
,,,,17.0263122,51.0987692
,,,,17.0995218,51.1101263
,,,,17.0996675,51.1101363
,,,,17.0627362,51.1380378
,,,,17.0420803,51.115745
,,,,17.041732,51.1160349
,,,,17.0417862,51.116054
,,,,17.0788844,51.129469
,,,,16.9731067,51.1636075
,,,,17.0748519,51.1171879
,,,,17.0741334,51.1184304
,,,,17.0281125,51.0900398
,,,,17.0935143,51.1593375
,,,,16.9002557,51.1520229
,,,,16.9454414,51.1395784
,,,,16.9622199,51.1440623
,,,,16.9340595,51.1358633
,,,,17.0087797,51.0609448
,,,,16.9100965,51.1433617
,,,,17.1135304,51.1724701
Brama 2,,,,16.9862172,51.1431622
Brama 3,,,,16.9867104,51.1432323
,,,,17.0730528,51.0621245
,,,,16.9966783,51.1123586
,,,,16.9644094,51.1454743
,,,,17.0585243,51.1069278
,,,,16.9664141,51.1311592
,,,,17.1041868,51.1143458
,,,,17.1044479,51.115476
,,,,17.0500316,51.1180332
,,,,17.0551227,51.1166687
,,,,17.0457844,51.1170254
,,,,16.9971759,51.0710672
,,,,17.0656353,51.1186056
,,,,17.1209045,51.1371489
,,,,16.9889646,51.1431051
,,,,17.0788435,51.1102457
,,,,17.0367966,51.1132361
,,,,17.0369186,51.1134439
,,,,17.0473535,51.1066341
,,,,16.964016,51.0520143
,,,,17.0568235,51.0767573
,,,,17.0562035,51.0767778
,,,,17.055433,51.0768042
,,,,17.0537298,51.0768626
,,,,17.0708285,51.1164623
,,,,16.9768574,51.0932099
,,,,16.9771608,51.0938517
,,,,17.0729747,51.0615269
,,,,17.0422903,51.1002283
,,,,16.9915393,51.0951754
,,,,17.0420085,51.1158711
,,,,17.0419637,51.1159587
,,,,17.0420578,51.1159038
,,,,17.0419959,51.1159788
,,,,17.0421491,51.1157715
,,,,17.0421333,51.1157895
,,,,17.0421131,51.1157577
,,,,17.0501969,51.1180206
,,,,17.0499549,51.117666
,,,,17.0423072,51.1002539
,,,,17.0428339,51.1034025
,,,,17.0427997,51.1034114
