name,amenity,leisure,tourism,latitude,longitude
Kino Forum,cinema,,,53.1297451,23.1582957
Praczki,,,artwork,53.1278462,23.1688571
Muzeum Podlaskie w Białymstoku - Ratusz,,,museum,53.1323898,23.1587714
Klub Rokoko 2.0 Białystok,nightclub,,,53.1304596,23.1589159
,,sports_centre,,53.1271822,23.0766656
Fikoland Sp. z o. o.,,,theme_park,53.118067,23.1246551
Pomnik Ludwika Zamenhofa,,,attraction,53.1334564,23.1570715
,,,viewpoint,53.1587473,23.1736498
Maska,,,artwork,53.1311518,23.1560135
Centrum Kultury Prawosławnej,arts_centre,,,53.1319943,23.1540194
Pan&Pani Fit,,fitness_centre,,53.1449249,23.1319382
Mural dla Ireny Sendlerowej,,,artwork,53.1265934,23.1174843
Tropikana. Park wodny hotelu Gołębiewski,,water_park,,53.1325011,23.1704377
The ROOF,nightclub,,,53.1288635,23.1536252
Skatepark,,sports_centre,,53.1539379,23.0821731
"Klub Osiedlowy ""Stoczek""",arts_centre,,,53.1448385,23.1181599
Wielki Wybuch,,,artwork,53.1084005,23.154229
Magic Gym fitness,,sports_centre,,53.150272,23.1568306
rzeźba św. Jana Nepomucena,,,artwork,53.1281924,23.1737557
Herakles walczący z Ladonem,,,artwork,53.1310185,23.1661054
Herakles porywający Cerbera,,,artwork,53.1310762,23.166033
Podróż,,,artwork,53.133487,23.152674
Legenda o wielkoludach,,,artwork,53.1364624,23.1539305
,,,artwork,53.1349669,23.1514854
Calypso,,fitness_centre,,53.1366535,23.1629398
Helios,cinema,,,53.1368413,23.1625642
Kula Hula,,bowling_alley,,53.1403181,23.1580844
Siłownia pod chmurką,,sports_centre,,53.1237292,23.173093
Chłopczyk z wędką,,,artwork,53.142603,23.1354704
Mowa Miłości,,,artwork,53.1364295,23.1568723
Wycięte z natury,,,artwork,53.1204691,23.1490561
Zofia Nałkowska,,,artwork,53.153321,23.124562
Colosseum,,fitness_centre,,53.1214853,23.1438521
Muzeum Historyczne,,,museum,53.1320518,23.1720216
,,,gallery,53.1318007,23.1628447
,,,gallery,53.1368441,23.1536105
