name,amenity,latitude,longitude
Katolickie Przedszkole im ks. Franciszka Blachnickiego,kindergarten,53.1412758,23.1476445
Niepubliczne Przedszkole Rodzinne,kindergarten,53.1453082,23.1203057
Niepubliczne Przedszkole nr 2 Zgromadzenia Sióstr Miłosierdzia św. Wincentego à Paulo,kindergarten,53.1320382,23.161802
ToTu przedszkole,kindergarten,53.1495206,23.1288755
Przedszkole Samorządowe nr 85 w Białymstoku,kindergarten,53.1292253,23.1839437
Przedszkole Samorządowe nr 20,kindergarten,53.1174359,23.2095781
Niepubliczny Żłobek i Przedszkole Samo Dobro,kindergarten,53.1126173,23.1331611
Przedszkole Nasze Szkraby,kindergarten,53.1411663,23.1783363
Mali podróżnicy Przedszkole,kindergarten,53.1488093,23.0843869
Przedszkole Puchatek,kindergarten,53.150432,23.0891572
Przedszkole Mali Podróżnicy,kindergarten,53.11343,23.1281628
Przedszkole Niepubliczne Poziomka z Oddziałami Integracyjnymi,kindergarten,53.1409717,23.2264436
Przedszkole Niepubliczne Poziomka,kindergarten,53.1421929,23.2230267
Tęczowy Promyk przedszkole terapeutyczne,kindergarten,53.1043664,23.1321131
Przedszkole Samorządowe nr 43,kindergarten,53.14239919543526,23.1386495395777
Przedszkole Sokolnik,kindergarten,53.11094080246008,23.18553342540676
Przedszkole Samorządowe Nr 4,kindergarten,53.15022647509014,23.152295826705874
Przedszkole niepubliczne Paprotka,kindergarten,53.1263739150973,23.174865957441167
"Przedszkole Samorządowe Nr 32 z Oddziałami Integracyjnymi ""Bajkowe Miasteczko""",kindergarten,53.10922124622079,23.127382321010867
Przedszkole Samorządowe Nr 55 z Oddziałami Integracyjnymi,kindergarten,53.14257392869684,23.151583045014355
Zespół Szkolno-Przedszkolny nr 5,school,53.11923044395695,23.096428829059192
"Niepubliczne Przedszkole nr 7 Muzyczno-Taneczne ""Wesołe Nutki""",kindergarten,53.14074391915842,23.186264819065684
Zespół Szkolno-Przedszkolny nr 4,school,53.15054036064463,23.119523194072183
Przedszkole Samorządowe Nr 71,kindergarten,53.15265886036786,23.13358263162854
Jeżykowe Przedszkole,kindergarten,53.094177099999996,23.218755599999998
"Przedszkole Samorządowe nr 76 ""Na Zielonych Wzgórzach""",kindergarten,53.122341037025215,23.101697752252736
Zespół Szkolno-Przedszkolny nr 1,school,53.15289787318662,23.103750952051435
Przedszkole Wesoła Niezapominajka,kindergarten,53.135367527607784,23.08349718711312
Przedszkole Przyjazny Domek,kindergarten,53.135025789228195,23.083627419524237
"Przedszkole Samorządowe nr 30 im. Jana Pawła II ""Radosne""",kindergarten,53.12793272894213,23.18241427597799
"Przedszkole Samorządowe nr 52 ""Kubusia Puchatka""",kindergarten,53.12664202869602,23.156374096498446
Przedszkole Promyczek,kindergarten,53.11127765149623,23.138336225039723
Zespół Szkolno-Przedszkolny nr 2,school,53.10890789015616,23.138240358819097
Przedszkole Samorządowe nr 47 „Z Uśmiechem”,kindergarten,53.129813828286586,23.18067012112715
Przedszkole Samorządowe nr 46,kindergarten,53.13353561653556,23.187625069635907
Przedszkole Samorządowe nr 68 im. Janusza Korczaka,kindergarten,53.13402536761817,23.191957523835846
Przedszkole Samorządowe Nr 73,kindergarten,53.15369827546426,23.122534190556017
Przedszkole Samorządowe nr 58 Integracyjne im. Jana Wilkowskiego,kindergarten,53.15461167182392,23.124399932003307
Przedszkole Samorządowe Nr 78,kindergarten,53.15176453315478,23.119534297486776
Przedszkole Samorządowe nr 27 im. Marszałka Józefa Piłsudskiego,kindergarten,53.134851303474925,23.149853926955167
Przedszkole Samorządowe nr 10,kindergarten,53.13511916357773,23.16096540744509
Przedszkole Samorządowe Nr 26 Integracyjne im. Joanny Strzałkowskiej-Kuczyńskiej,kindergarten,53.14104233945408,23.166288654341237
Przedszkole Samorządowe nr 23,kindergarten,53.12462743821449,23.17478195895121
Przedszkole Samorządowe nr 41,kindergarten,53.12634281090416,23.17233074985486
Przedszkole Samorządowe Nr 44,kindergarten,53.139465902865496,23.135941942089463
"Przedszkole Samorządowe nr 29 ""Fantazja""",kindergarten,53.1385034212256,23.125779483635508
