name,amenity,latitude,longitude
Szkoła Podstawowa nr 53 z Oddziałami Dwujęzycznymi,school,53.1453349,23.1363609
Szkoła Podstawowa nr 33 w Białymstoku,school,53.1290059,23.1833884
Szkoła Podstawowa nr 30 przy Pogotowiu Opiekuńczym im. Błogosławionego Edmunda Bojanowskiego,school,53.1356929,23.1741839
Szkoła Podstawowa Nr 48 im. króla Stefana Batorego,school,53.1197532,23.0962652
Szkoła Podstawowa Nr 38 im. Wiesław Kazaneckiego,school,53.1506461,23.120002
Szkoła Podstawowa Nr 35 Specjalna,school,53.1320464,23.1480183
Szkoła Podstawowa Nr 22 z Oddziałami Mistrzostwa Sportowego,school,53.1253398,23.1747242
Szkoła Podstawowa Nr 16 im. Tadeusza Kościuszki,school,53.1533363,23.1035581
Niepubliczna Szkoła Podstawowa,school,53.1432924,23.1788743
Szkoła Podstawowa Inowacyjnej Edukacji,school,53.1408442,23.1682132
Szkoła Podstawowa z Oddziałami Integracyjnymi LOGOS w Białymstoku,school,53.1349183,23.1453026
Szkoła Podstawowa nr 50 z Oddziałami Integracyjnymi im. Świętej Jadwigi Królowej Polski,school,53.10939021331961,23.118602206685495
Szkoła Podstawowa nr 19 im. Mieszka I,school,53.132723868562245,23.189897348847357
Szkoła Podstawowa nr 10 im. Izabeli Branickiej,school,53.13587854160666,23.185596637425263
Szkoła Podstawowa nr 26 im. Stanisława Staszica,school,53.14345933553813,23.150254009707243
Niepubliczna Szkoła Podstawowa św. św. Cyryla i Metodego w Białymstoku,school,53.13756021746337,23.15517854173397
Szkoła Podstawowa nr 49 z Oddziałami Integracyjnymi im. Stefana Kardynała Wyszyńskiego - Prymasa Tysiąclecia,school,53.132863614830434,23.092630190558566
Szkoła Podstawowa nr 12 im. Zygmunta Glogera,school,53.15093711027701,23.092219236083583
Społeczna Szkoła Podstawowa nr 2,school,53.1454373452885,23.137045222002577
Szkoła Podstawowa nr 2 im. Księdza Jana Twardowskiego,school,53.1276881565414,23.139637523600687
Szkoła Podstawowa nr 47 im. Jana Klemensa Branickiego,school,53.15638019126143,23.124014956194983
Szkoła Podstawowa Nr 45 z Oddziałami Integracyjnymi im. Świętego Jana Pawła II,school,53.145250496401104,23.110653171473917
Szkoła Podstawowa nr 42 im. Błogosławionego ks. Michała Sopoćki,school,53.148644185900785,23.153365369636823
Szkoła Podstawowa nr 29 im. Synów Pułku,school,53.131138251024794,23.121333490040392
Szkoła Podstawowa nr 44 im. Stanisława Moniuszki,school,53.1215808998095,23.104991931567014
Szkoła Podstawowa nr 43 im. Simony Kossak,school,53.13117486662966,23.107932488353146
Szkoła Podstawowa nr 15 im. M. Skłodowskiej-Curie,school,53.14016633481421,23.13423479587629
Szkoła Podstawowa nr 4 im. Sybiraków,school,53.13471276755395,23.152885727139033
Szkoła Podstawowa nr 3 im. Adama Mickiewicza,school,53.117952415466895,23.181588666684377
Prywatna Szkoła Podstawowa nr 6,school,53.12695924844246,23.085260043829713
Szkoła Podstawowa nr 21 im. Marszałka Józefa Piłsudskiego,school,53.121244557151684,23.08126638652313
Szkoła Podstawowa nr 28 im. K.I. Gałczyńskiego,school,53.12521762705806,23.19641068239884
Szkoła Podstawowa Nr 24 z Oddziałami Dwujęzycznymi im. 2 Korpusu Polskich Sił Zbrojnych na Zachodzie,school,53.145390996224236,23.125820591294335
Szkoła Podstawowa nr 52 im. dr Ireny Białówny,school,53.09666272152049,23.209147880769066
Szkoła Podstawowa nr 51 im. Ludwika Zamenhofa,school,53.14876325188102,23.215141819200227
Szkoła Podstawowa Nr 46 Specjalna,school,53.13538187337793,23.18169304884921
Szkoła Podstawowa nr 20 im. gen. Władysława Sikorskiego,school,53.119882539033,23.207792583510937
Szkoła Podstawowa nr 1 im. Juliusza Słowackiego,school,53.1226229962558,23.170689807862058
Szkoła Podstawowa nr 11 z Oddziałami Integracyjnymi im. Kornela Makuszyńskiego,school,53.14200777888182,23.162030740903404
Szkoła Podstawowa nr 31 im. Janusza Korczaka,school,53.11104294766557,23.18994761228418
Szkoła Podstawowa nr 5 im. Władysława Broniewskiego,school,53.13638191514769,23.176595299136455
Szkoła Podstawowa nr 7 im. Hugona Kołątaja,school,53.140412597971014,23.142149809080315
Społeczna Szkoła Podstawowa nr 4,school,53.113087154331055,23.13520905365742
Szkoła Podstawowa nr 9 im. 42 Pułku Piechoty,school,53.12827919079494,23.15622274711671
Szkoła Podstawowa nr 37 im. Kazimierza Górskiego,school,53.14923375626071,23.130706689693316
Szkoła Podstawowa nr 34 im. gen. Józefa Zachariasza Bema,school,53.11876934006114,23.13987655936389
Szkoła Podstawowa Sióstr Misjonarek Świętej Rodziny im. Błogosławionej Bolesławy Lament,school,53.12172042518817,23.17465154838787
Szkoła Podstawowa nr 30 przy Pogotowiu Opiekuńczym im. Błogosławionego Edmunda Bojanowskiego,school,53.13539861304495,23.1740794286136
Szkoła Podstawowa nr 8 im. św. Kazimierza Królewicza,school,53.14593480707277,23.188331165736944
"Szkoła Podstawowa nr 32 im. mjr Henryka Dobrzańskiego ps. ""Hubal""",school,53.156413218686126,23.181683644877623
Prywatna Szkoła Podstawowa Informatyczno-Językowa,school,53.13873324990886,23.178567345732407
Szkoła Podstawowa nr 17 Specjalna,school,53.14501250993307,23.12124577465628
Szkoła Podstawowa nr 6 im. Jarosława Iwaszkiewicza,school,53.122196454419644,23.15442166958913
