name,shop,amenity,latitude,longitude
Aga,convenience,,53.1419261,23.1398478
PSS Społem,convenience,,53.1432782,23.136816
Chorten,convenience,,53.1204982,23.0841444
GJM,convenience,,53.1240817,23.0747062
Carrefour,supermarket,,53.1234842,23.0986311
,supermarket,,53.1272054,23.0767151
Biedronka,supermarket,,53.1165132,23.1406251
Mini Delikatesy,convenience,,53.1135464,23.1397496
Żabka,convenience,,53.1132615,23.1384418
Owoce i warzywa,convenience,,53.1140797,23.1401167
Minimarket,convenience,,53.1085536,23.1299041
Top Market,supermarket,,53.1080201,23.1247649
bi1,supermarket,,53.1227441,23.1766003
Rarytas,convenience,,53.1253312,23.1718592
Kąsek,convenience,,53.1250863,23.1712534
,convenience,,53.1249898,23.1767498
,convenience,,53.117242,23.1790981
,convenience,,53.1273761,23.0769163
,convenience,,53.1269494,23.0776461
,convenience,,53.1412665,23.1709378
"Sklep Mięsno-Spożywczy ""U Kaśki""",convenience,,53.1372057,23.186656
Chorten,convenience,,53.1360655,23.1880526
Galeria Ciesielska,mall,,53.1211071,23.2015666
Biedronka,supermarket,,53.1406759,23.1750264
Żak,convenience,,53.1202704,23.1515392
Stokrotka,supermarket,,53.1434273,23.1065216
,convenience,,53.1121811,23.1435848
Lewiatan,convenience,,53.1364101,23.1570065
Chorten,convenience,,53.1201922,23.1524426
Lewiatan,supermarket,,53.1175238,23.2095775
Sklep Tefal,supermarket,,53.161373,23.0972586
Arhelan,supermarket,,53.130388,23.1838772
Lewiatan,convenience,,53.1263631,23.1560114
Żabka,convenience,,53.1351773,23.1353728
Karolinka,convenience,,53.1249322,23.0960464
PSS Społem Białystok - Delikatesy,supermarket,,53.131529,23.1576003
Biedronka,supermarket,,53.145137,23.1320772
Arhelan,convenience,,53.1240431,23.1513456
Chorten,convenience,,53.1222031,23.1495708
"PSS Społem ""Wars""",supermarket,,53.128028,23.1807341
abc,convenience,,53.1445034,23.1135328
Top Market,supermarket,,53.1463705,23.1090485
Żabka,convenience,,53.1452171,23.11975
Chorten - Pod Słońcem. Delikatesy,convenience,,53.1460311,23.1146433
Biedronka,supermarket,,53.1343086,23.1541054
Biedronka,supermarket,,53.1381617,23.1322369
Biedronka,supermarket,,53.1266915,23.1045054
Stokrotka,supermarket,,53.130459,23.1036277
Żabka,convenience,,53.1551687,23.1018328
Biedronka,supermarket,,53.1497542,23.1563762
Lewiatan,supermarket,,53.132569,23.1023834
Stokrotka,supermarket,,53.1457263,23.15197
abc,convenience,,53.1429262,23.111323
Stokrotka,supermarket,,53.1091012,23.123374
Livio,convenience,,53.1457424,23.1172724
TOPI Market,convenience,,53.1542407,23.1213536
TOPI Market,convenience,,53.1503332,23.1158841
Żabka,convenience,,53.1492767,23.1151883
Chorten,convenience,,53.1510974,23.122754
abc,convenience,,53.1510029,23.1219568
Lewiatan,convenience,,53.1331267,23.1984442
Top Market,convenience,,53.1335024,23.1905173
Konkurencja - Piwa Regionalne,convenience,,53.1480201,23.1089215
Lewiatan,convenience,,53.1316863,23.1392417
Spożywczy,convenience,,53.1516004,23.1268149
Spożywczy,convenience,,53.1423742,23.1190917
Groszek,convenience,,53.1348428,23.1823587
Podlaska Chata,convenience,,53.1505383,23.0839857
Żabka,convenience,,53.1526189,23.0846042
Swojak,convenience,,53.1456171,23.1244429
Żabka,convenience,,53.1304411,23.1782113
Top Market,convenience,,53.1378328,23.1822249
,convenience,,53.1373007,23.1756799
Auchan,supermarket,,53.1612225,23.0976259
Auchan,supermarket,,53.1358482,23.1179346
"Chorten ""Rarytas""",convenience,,53.1473616,23.1086449
Żabka,convenience,,53.1448344,23.1063458
Żabka,convenience,,53.1282969,23.1541859
Chorten,convenience,,53.1404191,23.1016675
Biedronka,supermarket,,53.1368458,23.1524025
Lewiatan,convenience,,53.1547878,23.1533487
U sąsiada,convenience,,53.1492116,23.0861158
Społem,supermarket,,53.1354781,23.1472252
Żabka,convenience,,53.1362467,23.1648805
,convenience,,53.137478,23.1686256
Delikatesy u Chłopców,convenience,,53.1406286,23.1733601
U Andrzeja,convenience,,53.143958,23.1776746
Żabka,convenience,,53.1337768,23.1733336
Żabka,convenience,,53.1336535,23.1577188
Stokrotka,supermarket,,53.1367689,23.1622266
Perfect Body,convenience,,53.1366269,23.1628409
Vinci,convenience,,53.1364224,23.162512
Społem,convenience,,53.1447462,23.1239172
Żabka,convenience,,53.1384847,23.1659441
Carrefour,supermarket,,53.1625733,23.1854764
Stokrotka,supermarket,,53.1243742,23.1510278
,convenience,,53.154903,23.1250858
