name,highway,latitude,longitude
Żeromskiego/Transportowa,bus_stop,53.1131059,23.1299327
Gajowa/Zagórna,bus_stop,53.1530615,23.1220228
Gajowa/Jarzębinowa,bus_stop,53.1550691,23.1160894
Popiełuszki/Boboli,bus_stop,53.1286706,23.084629
Armii Krajowej/Szkoła,bus_stop,53.1321484,23.0895803
Wysockiego/Cmentarz Miejski,bus_stop,53.1592188,23.185929
Kopernika/Osiedle Bema,bus_stop,53.1224053,23.143059
Kopernika/Depowa,bus_stop,53.1247508,23.1385286
Pułaskiego/Wspólna,bus_stop,53.1095161,23.1346317
Pułaskiego/Wspólna,bus_stop,53.1096739,23.1336198
Dubois/Pawilon,bus_stop,53.1074723,23.1248154
Pułaskiego/Przedszkole,bus_stop,53.1094079,23.1254286
Pułaskiego/Szkoła,bus_stop,53.1094979,23.138404
Kawaleryjska/Uniwersytet Muzyczny,bus_stop,53.1102717,23.1470278
Poleska/Czysta,bus_stop,53.139952,23.1510823
Mickiewicza/Grottgera,bus_stop,53.1237953,23.172178
Mickiewicza/Uniwersytet Medyczny,bus_stop,53.1297873,23.1676021
Popiełuszki/al. Niepodległości,bus_stop,53.1284923,23.086848
Boboli/Cmentarz,bus_stop,53.1323948,23.0839786
Wyszyńskiego/Stołeczna,bus_stop,53.1310725,23.1400127
Wyszyńskiego/Bema,bus_stop,53.1253383,23.1456936
Wyszyńskiego/Młynowa,bus_stop,53.127614,23.1440901
Wyszyńskiego/Urząd Marszałkowski,bus_stop,53.1316638,23.138557
Poleska/Szkoła,bus_stop,53.1425313,23.1614365
Jurowiecka/Sklep Łowiecki,bus_stop,53.1405155,23.1588989
Jagienki/Ciepła,bus_stop,53.1412765,23.1686903
Jagienki/Wąska,bus_stop,53.141622,23.1684521
Jurowiecka/Ciepła,bus_stop,53.1383127,23.1614044
1000-lecia PP/Zakłady Graficzne,bus_stop,53.1437046,23.1576735
Poleska/Jurowiecka,bus_stop,53.1411868,23.1573359
Towarowa/Dworzec Fabryczny,bus_stop,53.1383875,23.187154
Towarowa/Kraszewskiego,bus_stop,53.1404741,23.1817216
Raginisa/Wysockiego,bus_stop,53.1498033,23.1867345
Włościańska/Brzostowskiego,bus_stop,53.1339938,23.2088333
Piasta/Przejazd,bus_stop,53.1332387,23.2045711
Wysockiego/Raginisa,bus_stop,53.1503905,23.1860027
Kalinowskiego/Teatr Lalek,bus_stop,53.1312647,23.152331
Częstochowska/Piłsudskiego,bus_stop,53.135457,23.151799
Traugutta/Dworzec Fabryczny,bus_stop,53.1411744,23.1841888
Traugutta/Wasilkowska,bus_stop,53.142349,23.180678
Traugutta/Wasilkowska,bus_stop,53.1429691,23.1796977
Kapralska/Pionierska,bus_stop,53.1425639,23.1858859
Gajowa/Zagórna,bus_stop,53.15405,23.1206943
Kazimierza Wielkiego/Gen. Sulika,bus_stop,53.1412618,23.2019321
Piasta/Andrukiewicza,bus_stop,53.1346537,23.198909
Raginisa/Trawiasta,bus_stop,53.1556791,23.1943786
Raginisa/Trawiasta,bus_stop,53.1563044,23.1952909
Kazimierza Wielkiego/Trawiasta,bus_stop,53.1546833,23.2022133
Branickiego/Teatr,bus_stop,53.1315336,23.1692892
al. Piłsudskiego/Waryńskiego,bus_stop,53.1362509,23.1535767
Dolistowska/Ogródki Działkowe Pieczurki,bus_stop,53.1383386,23.2117819
Sopoćki/Świętokrzyska,bus_stop,53.1467384,23.1375831
Ciołkowskiego/Wielkopolska,bus_stop,53.1220642,23.2017127
Sosnowskiego/Grunwaldzka,bus_stop,53.1299231,23.145181
Transportowa/Pętla,bus_stop,53.1089362,23.1151707
Baranowicka/Sowlańska,bus_stop,53.122367,23.208851
Baranowicka/Ciołkowskiego,bus_stop,53.1220669,23.204431
Kuronia/Mickiewicza,bus_stop,53.1055498,23.1860062
Ciołkowskiego/Śląska,bus_stop,53.1144416,23.1794099
Swobodna/Wysoki Stoczek,bus_stop,53.144036,23.1066335
Kawaleryjska/Pułaskiego,bus_stop,53.1093146,23.1461302
Wiejska/Kręta,bus_stop,53.113302,23.1466885
Poleska/Pogotowie,bus_stop,53.1382511,23.1438103
Kaczorowskiego/Opera Podlaska,bus_stop,53.1273715,23.1517161
Waszyngtona/Szpital DSK,bus_stop,53.124851,23.1554871
Kopernika/Lokomotywownia,bus_stop,53.1254357,23.1290579
Produkcyjna/PEUiM,bus_stop,53.1614314,23.0921957
Radzymińska/Sitarska,bus_stop,53.1427764,23.1486118
Mickiewicza/Ogródki Działkowe (C),bus_stop,53.101433,23.1878288
Mickiewicza/Ogródki Działkowe,bus_stop,53.1001159,23.1885758
Brzoskwiniowa/Mickiewicza,bus_stop,53.0859096,23.2008409
Brzoskwiniowa/Mickiewicza,bus_stop,53.0861441,23.2014003
Brzoskwiniowa/Daliowa,bus_stop,53.0867236,23.2075893
Brzoskwiniowa/Daliowa (D),bus_stop,53.0866356,23.2078955
Dojlidy Górne/Brzoskwiniowa (C),bus_stop,53.087773,23.210355
Dojlidy Górne/Brzoskwiniowa,bus_stop,53.0880406,23.2105423
Dojlidy Górne/Grabowa (D),bus_stop,53.0925664,23.2112459
Dojlidy Górne/Grabowa (C),bus_stop,53.0919529,23.2110679
Piasta/Andrukiewicza,bus_stop,53.1348133,23.1983649
1000-lecia PP/Wileńska,bus_stop,53.1554592,23.152523
Radzymińska/Szkoła,bus_stop,53.1440204,23.1497173
Towarowa/Daleka,bus_stop,53.1391876,23.1853989
Wysockiego/Cmentarz Miejski,bus_stop,53.1603749,23.1863397
Kopernika/Stacja Paliw,bus_stop,53.1257004,23.1347013
Raginisa/Kolbego,bus_stop,53.1599474,23.1982768
Kolbego/Gen. Grota-Roweckiego,bus_stop,53.1605283,23.193782
Kolbego/Kościół,bus_stop,53.1605703,23.1905114
Herberta/Pętla,bus_stop,53.1482965,23.088685
Piasta/Włościańska,bus_stop,53.1329548,23.2049507
Proroka Eliasza/Kuronia,bus_stop,53.1056064,23.2098419
Mickiewicza/Sąd Rejonowy,bus_stop,53.1060489,23.1848286
,bus_stop,53.0904649,23.243707
,bus_stop,53.0964084,23.2334126
Żurawia/Borsucza,bus_stop,53.1076762,23.192288
Suchowolca/Myśliwska,bus_stop,53.1128315,23.2028432
Dojlidy Fabryczne/Suchowolca,bus_stop,53.1139942,23.2018695
Chełmońskiego/Matejki,bus_stop,53.1478355,23.2107747
Chełmońskiego/Rubinowicza,bus_stop,53.1480003,23.2101899
Chełmońskiego/Janickiego,bus_stop,53.1483022,23.205716
