name,amenity,leisure,tourism,latitude,longitude
Śluza Prądy,,,viewpoint,53.1440118,17.8944321
WSG,ferry_terminal,,attraction,53.1279427,17.9947059
Poker Club,casino,,,53.1323169,18.010414
Dworzec Autobusowy,ferry_terminal,,attraction,53.1213241,18.0185814
Kinoteatr,cinema,,,53.1402445,18.0207172
Dom Leona Wyczółkowskiego,,,museum,53.1221373,17.9951292
"Muzeum Farmacji Apteki ""Pod Łabędziem""",,,museum,53.1248206,18.0025739
Muzeum Dyplomacji i Uchodźstwa Polskiego,,,museum,53.1266872,18.0194112
Muzeum Oświaty,,,museum,53.1250548,18.0253498
Rybi Rynek,ferry_terminal,,attraction,53.1228736,18.0027273
Wyspa Młyńska,ferry_terminal,,attraction,53.1234512,17.9963239
Astoria,ferry_terminal,,attraction,53.1306182,17.9917671
Cafe Kino,cinema,,,53.1210025,17.9989927
Tramwaj na Długiej,,,attraction,53.1208424,18.0008606
Sens Club,nightclub,,,53.1205888,18.001497
Łuczniczka,,,artwork,53.1308744,18.0121007
Ławeczka Mariana Rejewskiego,bench,,artwork,53.1282693,18.0057713
Wieża ciśnień - Muzeum Wodociągów,,,museum,53.1197322,17.9907192
Muzeum Mydła i Historii Brudu,,,museum,53.1214762,17.9975463
Przechodzący przez rzekę,,,attraction,53.1232905,18.0016974
Kładka nad Trasą Uniwersytecką,,,viewpoint,53.1170856,18.0169357
,,,viewpoint,53.1198094,17.9907214
Izba Tradycji Bydgoskich Dróg Żelaznych,,,museum,53.1341478,17.9884394
Siłownia Pure Fitness by Jatomi,,sports_centre,,53.1249043,18.0038461
,,,viewpoint,53.1623241,18.0706455
,,,viewpoint,53.1634442,18.0577611
"Centrum Wspinaczkowe ""Spider""",,sports_centre,,53.1368675,18.004952
,,,viewpoint,53.1378418,18.0524312
Wieżyczka czołgu,,,attraction,53.1369106,17.9670803
,,,viewpoint,53.1146628,18.0326582
,,,viewpoint,53.1675917,18.0350718
,,,viewpoint,53.1731048,18.0318622
Let Me Out,,escape_game,,53.1250386,18.0086529
,,,viewpoint,53.2078042,17.9724674
,,,viewpoint,53.1402768,18.1534853
,,,viewpoint,53.1561703,18.1910554
,,,viewpoint,53.1574263,18.1924042
,,,viewpoint,53.158844,18.1934783
,,,viewpoint,53.1650096,18.1486998
Taras na dworcu Głównym,,,viewpoint,53.1346631,17.9918988
,,,viewpoint,53.1789968,18.1957021
Słoneczny Młyn,ferry_terminal,,attraction,53.1200593,18.0328346
Łuczniczka,ferry_terminal,,attraction,53.1206046,18.0227287
Parowóz TKp1-46,,,attraction,53.1340653,17.9881703
Ławka prof. Zygmunta Mackiewicza,,,artwork,53.1264359,18.006135
Kino Orzeł,cinema,,,53.1273149,17.997584
Cinema City,cinema,,,53.1253022,18.0181101
Śluza miejska,,,attraction,53.1267325,17.995909
Muzeum Ziemi,,,museum,53.1523962,18.0261337
Park Linowy,,sports_centre,,53.1534137,18.0262595
,,,viewpoint,53.0948,18.1134991
,,,attraction,53.1113624,18.1202983
,,,attraction,53.1231642,17.9951117
,,,attraction,53.1234748,18.002004
,,,attraction,53.1235509,17.9986841
,,,attraction,53.1262475,18.1320036
,,,attraction,53.1266495,17.9958234
,,,attraction,53.1326496,17.9851697
,,,attraction,53.1482091,18.1727119
,,,attraction,53.1482112,18.17271
,,,attraction,53.1482131,18.1727083
,,,attraction,53.1482149,18.1727066
Fitness 24 Seven,,sports_centre,,53.1264369,18.0526428
Twenty Club Bydgoszcz,nightclub,,,53.1215644,18.0002263
Głaz narzutowy,,,attraction,53.098905,18.0405007
SPORTWAY Klub Fitness,,fitness_centre,,53.1277582,18.0471721
FIT-MAX Klub Fitness,,fitness_centre,,53.1272134,18.0451578
Park 17 - park trampolin,,,theme_park,53.1339842,18.0182637
Wyjście Awaryjne Escape Room Bydgoszcz,cafe,escape_game,,53.1238714,18.0021275
Wyjście Awaryjne Escape Room,,escape_game,,53.122742,18.0240865
Studio Szarkowska & Genderka,,fitness_centre,,53.1392289,18.0298741
,,,artwork,53.147742,18.1124744
Bella line wellness centrum,,fitness_centre,,53.1321388,17.9471721
Indigostudio Pilates & More,,fitness_centre,,53.132428,17.9474263
Bailamos - Szkoła Tańca,,dance,,53.1194878,18.0560526
