name,amenity,latitude,longitude
Bydgoska Szkoła Wyższa,school,53.1327034,17.99116
Kujawsko-Pomorskie Centrum Edukacji Ekologicznej,school,53.1672702,18.0197619
Zespół Szkół nr 5 Mistrzostwa Sportowego,school,53.1504635,18.131683
Szkoła Języków Obcych English School,school,53.1243237,18.0019407
TEB Edukacja,school,53.131967,17.9946015
feliks - make-up color&style academy,school,53.1260722,18.0095689
XXII Liceum Ogólnokształcące przy BZDZ w Bydgoszczy,school,53.1210024,18.064121
Technikum Kolejowe,school,53.1327038,17.9919163
Miejski Ośrodek Edukacji Nauczycieli,school,53.1339331,17.9971167
"Branżowa Szkoła I Stopnia ""Professio""",school,53.1195458,18.0558433
Technikum Menedżerskie w Bydgoszczy,school,53.1191677,18.0213788
Branżowa Szkoła I stopnia nr 1 Fryzjersko - Kosmetyczna,school,53.1256662,17.9819114
Technikum Fryzjersko - Kosmetyczne nr 1,school,53.1256767,17.9818082
Szkoła Klasyczna w Bydgoszczy,school,53.1224375,18.0539162
IX Liceum Ogólnokształcące imienia Tadeusza Nowakowskiego,school,53.11112651170155,18.040277878715173
Zespół Szkół nr 19 im. Synów Pułków,school,53.11091077184241,18.033879215388705
,school,53.11759169442852,17.961497363159655
,school,53.14898669664798,18.125791874817903
,school,53.14964256294708,18.125481654569004
,school,53.14984939434673,18.125473767148748
,school,53.149463077162984,18.12556503792117
,school,53.125299087538274,18.006428360112693
,school,53.125515623493186,18.00627284831603
,school,53.124616244312044,18.00659459660276
,school,53.12693797809448,18.009410436107128
Międzynarodowa Szkoła Sokrates,school,53.11918457621486,17.989565726300842
Zespół Szkół nr 18 im. mjra Henryka Dobrzańskiego-Hubala,school,53.10129059168661,18.106946702313195
XIII Liceum Ogólnokształcące im. gen. Józefa Hallera,school,53.13335841055665,17.997404772794557
XI Liceum Ogólnokształcące im. Bydgoskich Olimpijczyków Mistrzowstwa Sportowego,school,53.133979196448685,18.034504427644013
Warsztaty Szkolne,school,53.12429625223286,17.987256726327683
Prywatne Szkoły Przyszłość,school,53.10150441425425,18.05923783683307
Zespół Szkół Towarzystwa Salezjańskiego “COLLEGIUM SALESIANUM”,school,53.16398662858233,18.154930121327716
Zespół Szkół Elektronicznych,school,53.12336971383725,18.025123284534136
VII Liceum Ogólnokształcącego im. Janusza Kusocińskiego,school,53.141970041242324,18.02314446145022
VIII Liceum Ogólnokształcące,school,53.121690666921104,18.045151897971525
Zespół Szkół nr 25,school,53.12408245241751,17.99369880150514
Zespół Szkół nr 29,school,53.12537347392996,17.960159453626776
III Liceum Ogólnokształcące im. Adama Mickiewicza,school,53.128603393094096,17.975856354817175
Zespół Szkół Ekonomiczno-Administracyjnych,school,53.13240300115448,18.043509111168508
Zespół Szkół Spożywczych,school,53.11543309607716,18.042449179214774
Zespół Szkół nr 24 im. Mariana Rejewskiego,school,53.142091585252615,17.9184281165752
VI Liceum Ogólnokształcące im. Jana i Jędrzeja Śniadeckich,school,53.12798348469056,18.012564843698947
Zespół Szkół Ogólnokształcących Nr 2,school,53.11864454581441,17.994927982109445
Collegium Catholicum Bydgostiense. Zespół Szkół Katolickich Pomnik Jana Pawła II,school,53.11830512678579,17.996472392654677
Zespół Szkół Samochodowych,school,53.130955342714046,18.04173093572876
,school,53.15094031734209,18.160016591765334
,school,53.12783608677542,18.102646105128276
,school,53.127673393977226,18.10350436590984
,school,53.12752329474946,18.102828300248337
,school,53.1277289887336,18.10329953647107
,school,53.12764639701816,18.102270047485074
Zespół Szkół dla Dorosłych,school,53.12800289702239,18.11995813582999
Zespół Szkół nr 8 im. H. Ch. Andersena,school,53.130998409452054,17.94032303868575
,school,53.11340573598446,18.04981450009654
International School of Bydgoszcz,school,53.11625399060021,18.017736227863203
Specjalny Ośrodek Szkolno-Wychowawczy Nr 3 im. Marii Grzegorzewskiej,school,53.12879472175075,17.985835155686132
Zespół Szkół nr 15 Mistrzostwa Sportowego im. Teresy Ciepły,school,53.14010886814019,18.023778024975574
Zespół Szkół Mechanicznych nr 1,school,53.124590930929024,17.98735983210296
Zespół Szkół Nr 7 im. 16 Pułku Ułanów Wielkopolskich,school,53.120375034689275,17.974114483748636
,school,53.117611259537505,17.961593615863613
Zespół Szkół i Placówek Nr 1,school,53.11828790555649,17.960682619098982
Zespół Szkół nr 31,school,53.1216323862411,18.040495582587056
Ośrodek Szkolenia Kierowców AGORA-MIRAŻ,school,53.125140070980045,18.04095932293503
I Liceum Ogólnokształcące im. Cypriana Kamila Norwida,school,53.12728492188718,18.0071158830672
V Liceum Ogólnokształcące im. L. Kruczkowskiego,school,53.11050058581692,18.04843265695935
Ośrodek Szkolno - Wychowawczy nr 2 im. Generała Stanisława Maczka,school,53.14715471152836,18.117613935435287
Zespół Szkół Nr 33 dla Dzieci i Młodzieży Przewlekle Chorej,school,53.12492190180988,18.025710029918457
Kujawsko-Pomorskie Centrum Kształcenia Zawodowego w Bydgoszczy,school,53.192103299048895,17.96806353943824
Zespół Szkół Centrum Kształcenia Rolniczego,school,53.115614126101406,18.05107152569797
Zespół Szkół Chemicznych im. Ignacego Łukasiewicza,school,53.1069543595196,18.05770045367543
Zespół Szkół Budowlanych im. Jurija Gagarina,school,53.12474464229678,18.03326843245884
Państwowy Zespół Szkół Muzycznych im. Artura Rubinsteina,school,53.12909484118273,18.00878793725444
Zespół Szkół Gastronomicznych im. Jarosława Iwaszkiewicza,school,53.125258198057665,18.006180622357014
Specjalny Ośrodek Szkolno Wychowawczy Nr 1 dla Dzieci i Młodzieży Słabo Widzącej i Niewidomej im. Louisa Braille'a,school,53.126707599971866,18.009173317662746
Zespół Szkół Plastycznych,school,53.12495175945013,18.00682563506482
,school,53.126978020421625,18.022502611453675
Bydgoski Zakład Doskonalenia Zawodowego Stowarzyszenie Oświatowo-Techniczne,school,53.12106597548547,18.064322493670602
Zespół Szkół nr 5 Mistrzostwa Sportowego,school,53.15095516980198,18.131595833957103
,school,53.12260729585405,18.04022454577562
Sala Teleinformatyczna,school,53.12301296397131,18.026065879398693
Zespół Szkół nr 16,school,53.14711724259011,17.961093207757095
Zespół Szkół Specjalnych Nr 30,school,53.1104685289502,18.00615360731864
II Społeczne LO im. K.K. Baczyńskiego,school,53.1248836667816,17.975751061549484
"Prywatne Szkoły ""Przyszłość""",school,53.1014852945019,18.05935056584704
Technikum Kolejowe im. Mikołaja Kopernika w Bydgoszczy,school,53.132746124644136,17.991880612446266
Zespół Szkół Handlowych,school,53.13112798118387,18.0435772975683
Zespół Szkół nr 32,school,53.113584873112615,17.979569460058684
