name,amenity,latitude,longitude
Przedszkole nr 24,kindergarten,53.1134572,17.9800074
Przedszkole nr 9,school,53.1097797,18.0519255
Przedszkole Niepubliczne Kacperkowy Światek w Bydgoszczy,kindergarten,53.1626229,17.9098301
Przedszkole Biedroneczka,kindergarten,53.1278227,18.0476229
Przedszkole O to chodzi!,kindergarten,53.1558374,18.1055605
"Przedszkole Niepubliczne ""Oświata I""",kindergarten,53.1580491,18.1607842
"Przedszkole nr 26 ""Pod Tęczowym Parasolem""",kindergarten,53.1263497,18.0139492
Przedszkole nr 31,kindergarten,53.1254936,17.9605843
DOBRE PRZEDSZKOLE Adventure,kindergarten,53.1001877,18.0248896
Przedszkole nr 49,kindergarten,53.11002699917141,18.034117702264773
Przedszkole 61,kindergarten,53.104732644070886,18.04118097747435
"Przedszkole Niepubliczne ""Pinokio""",kindergarten,53.10383079809937,18.038225071523318
Przedszkole Niepubliczne Pinokio,kindergarten,53.10368635033511,18.038170312641142
Przedszkole nr 18,kindergarten,53.107192901385446,18.0527740152404
Zespół Szkolno-Przedszkolny nr 3,school,53.109640692351874,18.05127877125058
Przedszkole nr 66,kindergarten,53.111333259741464,18.001912929452356
"Przedszkole Niepubliczne ""Wesołe Serduszka""",kindergarten,53.11251508327346,17.9759239778388
"Przedszkole Niepubliczne ""Puchatek""",kindergarten,53.13686506060908,18.006021690252936
Przedszkole nr 19,kindergarten,53.126442997047384,17.984704090784437
"Przedszkole nr 80 ""Królestwo Maciusia""",kindergarten,53.134271843206804,18.007132840718413
Przedszkole Nr 39 „Sto Pociech”,kindergarten,53.14546170404736,18.15881467207567
Przedszkole Niepubliczne nr II im. Marii Montessori,kindergarten,53.13194291683766,18.01157761758186
Przedszkole nr 4 w Bydgoszczy,kindergarten,53.093388210681,18.106171160138462
Przedszkole nr 28 Angielskojęzyczne,kindergarten,53.096948017801004,18.041515931496384
"Perpetuum Mobile - Szkoła, przedszkole",school,53.13551974122037,17.948669739752688
Przedszkole Radość,kindergarten,53.12779743146309,18.05363438176248
"Przedszkole Niepubliczne ""Słoneczko""",kindergarten,53.11636440051905,17.958279940152682
"Kujawsko-Pomorskie Przedszkole Publiczne ""Kacperek""",kindergarten,53.119236725537725,17.975078475508706
Przedszkole nr 34,kindergarten,53.11715804140307,17.968618734663043
Zasadnicza Szkoła Zawodowa Rzemiosła i Przedsiębiorczości,school,53.12234463047417,18.053736459449237
Przedszkole Publiczne Nr 16,kindergarten,53.142764686793534,18.026021094169455
Przedszkole nr 59,kindergarten,53.12721744171127,18.050246388352885
Przedszkole Niepubliczne Jagódka,kindergarten,53.13065889065861,18.028377417260952
"Przedszkole Niepubliczne ""Źródełko""",kindergarten,53.12374132912901,18.047958632307765
Zespół Szkolno-Przedszkolny nr 1,school,53.16166863916937,18.176739383997084
"Przedszkole Niepubliczne ""Tęcza""",kindergarten,53.141462585842184,18.03190493964361
"Przedszkole Niepubliczne ""PROMYCZEK""",kindergarten,53.10699472933164,18.029044718911496
"Przedszkole Niepubliczne ""Sezamkowe""",kindergarten,53.106352234994205,18.04203954196022
Przedszkole nr 20,kindergarten,53.112176454324754,18.021106061236427
Przedszkole Panda,kindergarten,53.12756348556949,18.039994855112433
"Przedszkole nr 48 ""Pod Sosnami""",kindergarten,53.15014459318968,18.127921575086
"Przedszkole Akademickie Wyższej Szkoły Gospodarki ""Uniwersytet Dziecięcy""",kindergarten,53.12701307474411,17.995034324571588
"Przedszkole Niepubliczne ""Pod Akacjami""",kindergarten,53.15202603256292,18.141864558146295
Przedszkole nr 22,kindergarten,53.12961675043432,18.01330814410048
Przedszkole nr 33,kindergarten,53.125680806045985,18.035036456617988
Przedszkole Krasnal,kindergarten,53.13329780457033,18.000733224915773
"Przedszkole ""Centuś""",kindergarten,53.13519132085011,17.994462785541725
Przedszkole nr 22,kindergarten,53.15381903940893,18.13855628053882
Przedszkole Polanka,kindergarten,53.14972867171081,18.132343852970777
Przedszkole nr 70,kindergarten,53.110838924314905,17.99174504118687
"Anglojęzyczne Przedszkole Niepubliczne ""Figielek""",kindergarten,53.16070389025521,18.158190816638378
Przedszkole Społecznego Towarzystwa Edukacji Przedszkolnej,kindergarten,53.10955577193782,18.049641205806743
Przedszkole Nr 43 - U Krecika Szybownika,kindergarten,53.15618235631191,18.15181326148844
Przedszkole Niepubliczne Zaczarowany Zakątek,kindergarten,53.158261401814386,18.150330120270343
"Przedszkole niepubliczne ""Serduszko""",kindergarten,53.116978682896004,17.998206647742496
Przedszkole nr 11,kindergarten,53.115445972614005,18.00561998508891
Przedszkole Sióstr Elżbietanek,kindergarten,53.11538220680559,17.990746166271045
Przedszkole nr 68,kindergarten,53.13167064838361,17.992713137569762
Przedszkolna Chatka 2,kindergarten,53.092668050612644,18.0512681760923
Szkoła Podstawowa nr 34 Oddzial przedszkolny,kindergarten,53.18644067168988,17.96054092624458
"Przedszkole niepubliczne ""OLILudki""",kindergarten,53.15161586037396,18.170982393672784
Przedszkole nr 58,kindergarten,53.14089231126875,17.978058886861977
Niepubliczne Przedszkole Bajkolandia. Kraina Dziecięcych Marzeń,kindergarten,53.14608627798368,18.137474102995505
Przedszkole Niepubliczne Green Garden,kindergarten,53.11938404463658,18.002993407670715
Zielona Kraina. Przedszkole niepubliczne,kindergarten,53.13444661306627,17.922648660383366
"Przedszkole Niepubliczne ""Buziaczek""",kindergarten,53.106504670358575,18.036998553499085
Przedszkole Publiczne Iguś,kindergarten,53.139213337723426,17.960225681098745
Przedszkole Niepubliczne Zameczek,kindergarten,53.16728248154552,18.05928943413447
Przedszkole nr 12 w Bydgoszczy,kindergarten,53.14444639738797,17.916596265063497
Niepubliczne przedszkole Ekolaki,kindergarten,53.137862290851714,17.959437445907287
Abecadło Terapeutyczny Punkt Przedszkolny,kindergarten,53.14138808105446,17.92601683430896
