name,shop,amenity,latitude,longitude
Żabka,convenience,,53.1122843,17.9774179
AS Sklep,mall,,53.1106474,17.9839305
Żabka,convenience,,53.1111289,17.9838492
COMP-ART,mall,,53.108156,17.9895233
Sklep spożywczy,convenience,,53.10969,17.9937
Stokrotka,supermarket,,53.1094464,17.9987612
Biedronka,supermarket,,53.1117481,18.0074684
Garmin Tele-Arto,mall,,53.1314889,17.9947469
Biedronka,supermarket,,53.1329207,17.9927589
Biedronka,supermarket,,53.1279706,18.021888
Kier,mall,,53.1401819,18.028406
Delikatesy Centrum,supermarket,,53.139651,18.0297055
BBS,mall,,53.1414511,18.0275161
Auchan,supermarket,,53.1371149,18.1159876
Pawilony handlowe,mall,,53.1489923,18.1241406
"Sklep ""Bartek""",convenience,,53.1905919,17.9636106
Delikatesy Trojańskie,convenience,,53.1956568,17.969225
Delikatesy Centrum,supermarket,,53.1179019,17.9657832
Netto,supermarket,,53.1211566,17.9695158
BSS Społem,convenience,,53.0981652,18.0393675
Dyskont Familijny,convenience,,53.098017,18.0398985
Eurospar,supermarket,,53.1092769,18.0332208
Kaufland,supermarket,,53.1071598,18.0385579
Żabka,convenience,,53.1252902,18.0401532
Żabka,convenience,,53.1087785,18.0367827
Żabka,convenience,,53.159203,18.1744445
Żabka,convenience,,53.1216076,17.9998971
,convenience,,53.1005151,18.0407708
Żabka,convenience,,53.1005924,18.0399232
Slowianoczka,supermarket,,53.1269239,18.0006273
Żabka,convenience,,53.1255214,18.0032024
Twój Market,supermarket,,53.165747,18.1609885
Dom Handlowy Rywal,supermarket,,53.1291224,18.0061172
Żabka,convenience,,53.1271423,18.0005362
Żabka,convenience,,53.129337,17.996959
,supermarket,,53.1317893,17.9952599
Biedronka,supermarket,,53.1070988,18.0397222
Żabka,convenience,,53.1209541,18.0022671
Auchan,supermarket,,53.1240362,17.9845811
Lewiatan,convenience,,53.1702667,18.1603011
Żabka,convenience,,53.1549473,18.1024219
Żabka,convenience,,53.1005157,18.0259044
,convenience,,53.1281364,18.0055634
Żabka,convenience,,53.153578,18.1233981
,convenience,,53.1431428,18.152576
Biedronka,supermarket,,53.1480628,18.1701673
Biedronka,supermarket,,53.1578795,18.1626574
Zetka,convenience,,53.129189,18.0077657
Żabka,convenience,,53.112381,18.0033405
Żabka,convenience,,53.1080295,18.0518755
Delikatesy Centrum,supermarket,,53.1126966,17.997638
Netto,supermarket,,53.1129371,17.9922496
Hermes,mall,,53.1074018,18.0491831
Żabka,convenience,,53.1078202,18.0488705
Stokrotka,supermarket,,53.1071868,18.0492939
Żabka,convenience,,53.1119552,17.9969029
SAM Spożywczy,convenience,,53.1709799,17.9693652
,convenience,,53.1492432,18.1291997
Żabka,convenience,,53.1284223,17.9889608
Żabka,convenience,,53.1260395,17.9872672
Społem,convenience,,53.1292725,17.9347933
Żabka,convenience,,53.1294997,17.9784933
Odido,convenience,,53.1470957,18.1373326
Stokrotka,supermarket,,53.1175241,17.9969746
SAM,supermarket,,53.1180344,17.9938018
Biedronka,supermarket,,53.1222453,18.0008503
Czerwona Torebka,supermarket,,53.1048528,18.0283351
Żabka,convenience,,53.1689433,18.1637017
Żabka,convenience,,53.116716,17.9796441
Żabka,convenience,,53.141205,18.0267157
Sklep spożywczo-monopolowy,convenience,,53.1264959,18.0335357
abc,convenience,,53.1268015,18.0035456
,convenience,,53.1303109,18.0041016
Żabka,convenience,,53.1299714,18.0036329
Żabka,convenience,,53.1608471,18.1555797
,supermarket,,53.1304055,17.9498652
Żabka,convenience,,53.1627456,18.157563
Sklep spożywczy,convenience,,53.1630095,18.1562656
POLOmarket,supermarket,,53.1263478,18.0533856
Żabka,convenience,,53.1306796,18.0001674
Żabka,convenience,,53.1310255,18.0013044
Żabka,convenience,,53.1353067,17.9995947
,convenience,,53.1366807,18.0001558
Żabka,convenience,,53.1336067,17.9929899
Biedronka,supermarket,,53.1267867,18.0450072
BSS Społem,convenience,,53.1254047,18.0503374
Żabka,convenience,,53.1328408,18.0081712
Odido,convenience,,53.1334708,18.0029179
Delikatesy Bydgoskie,convenience,,53.1201076,17.9949592
Grześkowiak,convenience,,53.1173087,18.0015863
Żabka,convenience,,53.1195485,18.0039156
Witojcie,convenience,,53.1198261,18.0041639
Żabka,convenience,,53.1317369,17.9945515
Sklep spożywczy  Delikatesy,supermarket,,53.1093761,17.9866834
,convenience,,53.1223668,17.9880123
Odido,convenience,,53.1135074,18.0144775
Żabka,convenience,,53.1252041,18.0542582
Odido,convenience,,53.1516261,18.1291995
Odido,convenience,,53.1490214,18.1239562
Żabka,convenience,,53.1488906,18.1244491
Zagłoba,convenience,,53.1487127,18.1280974
Bakoma,convenience,,53.110652,18.009278
abc,convenience,,53.1225713,18.0219949
,convenience,,53.1220052,18.022892
p. bezglutenowe,convenience,,53.1286283,18.0066805
Żabka,convenience,,53.1291792,18.0072343
