name,highway,latitude,longitude
Plac Kościeleckich [stanowisko 2],bus_stop,53.1205889,18.0042287
Plac Poznański,bus_stop,53.1227476,17.9868648
Rondo Grunwaldzkie,bus_stop,53.1266579,17.9859978
Grunwaldzka / Kanałowa,bus_stop,53.1300988,17.977999
Wiejska / Krajeńska,bus_stop,53.1418203,17.9552877
Wiejska / Chojnicka,bus_stop,53.1465108,17.9567401
Czyżkówko,bus_stop,53.1443932,17.9492946
Deszczowa / Wichrowa,bus_stop,53.1485326,17.9506271
Wiejska / Deszczowa,bus_stop,53.1497704,17.9575871
Wiejska / Chojnicka,bus_stop,53.1476599,17.9568972
Krajeńska / Wiejska,bus_stop,53.1414142,17.9555514
Nad Torem / Orlicza,bus_stop,53.1401967,17.9627448
Rondo Maczka P+R,bus_stop,53.1379105,17.9636945
Grunwaldzka / Kraszewskiego,bus_stop,53.1329813,17.9699412
Grunwaldzka / Kanałowa,bus_stop,53.1294447,17.9790142
Plac Poznański,bus_stop,53.1215015,17.9882799
Nowy Rynek,bus_stop,53.1200214,17.9978602
Zbożowy Rynek,bus_stop,53.1196882,18.003456
Rondo Jagiellonów,bus_stop,53.1224699,18.0072591
Plac Kościeleckich [dla wysiadających],bus_stop,53.1205587,18.0051935
Szubińska / Żwirki i Wigury,bus_stop,53.115778,17.9666193
Szubińska / Gnieźnieńska,bus_stop,53.1178129,17.9738425
Szubińska / Piękna,bus_stop,53.1194638,17.979672
Rondo Jagiellonów,bus_stop,53.1240702,18.0087132
Markwarta / 3 Maja,bus_stop,53.1267572,18.0105558
Rondo Ossolińskich,bus_stop,53.1269962,18.0162694
Plac Weyssenhoffa,bus_stop,53.1293813,18.0153769
UKW,bus_stop,53.1320115,18.0212554
Sułkowskiego / Czerkaska,bus_stop,53.1398723,18.0286931
Leśne,bus_stop,53.1434395,18.0311984
Myślęcinek,bus_stop,53.1615079,18.0393639
Zamczysko / Gdańska,bus_stop,53.1648693,18.047207
Armii Krajowej / Zamczysko,bus_stop,53.163179,18.0553331
Jeździecka / Gdańska,bus_stop,53.1728067,18.0516597
Jeździecka / Ogród Botaniczny,bus_stop,53.1757825,18.0452288
Jeździecka / Hipiczna,bus_stop,53.1757538,18.0327653
Jeździecka / Dżokejowa,bus_stop,53.1762732,18.0194056
Jeździecka / Dżokejowa,bus_stop,53.176189,18.0197154
Jeździecka / Hipiczna,bus_stop,53.1755921,18.0328494
Jeździecka / Ogród Botaniczny,bus_stop,53.1759508,18.0446336
Gdańska / Jeździecka,bus_stop,53.1718897,18.0512776
Zamczysko / Armii Krajowej,bus_stop,53.1632427,18.0534299
Zamczysko / Gdańska,bus_stop,53.1650179,18.0469815
Modrzewiowa / Gdańska,bus_stop,53.1451886,18.0261084
Modrzewiowa / Gdańska,bus_stop,53.1454714,18.0257252
Sułkowskiego / Czerkaska,bus_stop,53.1400879,18.0285053
Sułkowskiego / Kamienna,bus_stop,53.1354892,18.0233501
UKW,bus_stop,53.130852,18.0212253
Zbożowy Rynek,bus_stop,53.1200273,18.0027088
Nowy Rynek P+R,bus_stop,53.1203806,17.9974994
Plac Poznański,bus_stop,53.1223045,17.9898079
Szubińska / Piękna,bus_stop,53.1192793,17.9776947
Szubińska / Gnieźnieńska,bus_stop,53.1175964,17.9715403
Grunwaldzka / Kraszewskiego,bus_stop,53.1335486,17.9691281
Wyszyńskiego / Głowackiego,bus_stop,53.1318462,18.0366845
Błonie,bus_stop,53.1148222,17.96117
Błonie,bus_stop,53.1147068,17.9607859
Wzgórze Wolności,bus_stop,53.1148861,18.0150776
Wzgórze Wolności,bus_stop,53.1143682,18.0195165
Woj.Polskiego / Ujejskiego,bus_stop,53.1139151,18.0231471
Woj.Polskiego / Ujejskiego,bus_stop,53.1128121,18.0247954
Stadion BKS Chemik,bus_stop,53.1016992,18.0313594
Magnuszewska / Modrakowa,bus_stop,53.1068099,18.0326837
Magnuszewska / Modrakowa,bus_stop,53.1067774,18.0317293
Wojska Polskiego / Boya-Żeleńskiego,bus_stop,53.1095196,18.0310271
Glinki,bus_stop,53.0974273,18.0400571
Glinki,bus_stop,53.0975924,18.0397432
Glinki / Zajęcza,bus_stop,53.0996593,18.0355672
Glinki / Zajęcza,bus_stop,53.0999293,18.0346397
Stadion BKS Chemik,bus_stop,53.1015343,18.0319675
Glinki BFM [końcowy],bus_stop,53.0889553,18.0438753
Glinki / Eltra,bus_stop,53.0919433,18.0443502
Glinki / Polon,bus_stop,53.0944214,18.0449971
Glinki / Polon,bus_stop,53.0951684,18.0444162
Glinki BFM,bus_stop,53.0893891,18.0440715
Garbary,bus_stop,53.1259561,17.9906439
Focha / Opera,bus_stop,53.1254179,17.9966748
Plac Teatralny,bus_stop,53.1242443,18.0010413
Rondo Jagiellonów,bus_stop,53.1237519,18.0066557
