name,amenity,leisure,tourism,latitude,longitude
Rzeźba Dziewczyny,,,artwork,50.810687,19.1024374
,,bowling_alley,,50.8123688,19.1178182
Cinema City Wolność w Częstochowie,cinema,,,50.8130775,19.1179783
,,,artwork,50.8118202,19.1267836
TKt48-151,,,attraction,50.8091677,19.1204055
Scout Centrum sportowo - rekreacyjne,,sports_centre,,50.8203633,19.143512
Muzeum Monet i Medali Jana Pawła II,cafe,,museum,50.7845297,19.125856
Pomnik Matki Bożej Niepokalanej,,,artwork,50.8123261,19.0997069
Pani Kowalska,,,artwork,50.8096362,19.1130548
Kolubryna,,,attraction,50.8110612,19.0974187
Pływalnia kryta,,sports_centre,,50.7897534,19.1312411
Muzeum Archidiecezji Częstochowskiej,,,museum,50.8059245,19.0956965
Schron obserwacyjny,,,attraction,50.8315434,19.052047
Schron bojowy na 1 CKM,,,attraction,50.8311578,19.0489404
Pomnik Jana Pawła II - Papieża Pielgrzyma,,,artwork,50.8118038,19.1270049
Schron bojowy na 1 CKM,,,attraction,50.7687157,19.0845296
Schron bojowy na 1 CKM,,,attraction,50.7755914,19.0767826
Schron bojowy na 1 CKM,,,attraction,50.829072,19.0472683
"Schron obserwacyjny pozycji obronnej ""Częstochowa""",,,attraction,50.8327639,19.1035932
Jaskinia na Kamieniu,,,attraction,50.8291335,19.1465834
,,,viewpoint,50.7958666,19.1243374
,nightclub,,,50.7802391,19.15302
Bastion królewski (bastion Potockich),,,viewpoint,50.8119992,19.0982362
Bastion św. Barbary (bastion Lubomirskich),,,viewpoint,50.8119362,19.0958529
Bastion św. Trójcy (bastion Szaniawskich),,,viewpoint,50.8132161,19.0983036
Bastion Morsztynów (bastion św. Rocha),,,viewpoint,50.8133366,19.0959644
Rezerwat archeologiczny,,,museum,50.7872902,19.1524233
Muzeum IV LO w Częstochowie,,,museum,50.8128837,19.1083964
Balansująca rzeźba,,,artwork,50.8097787,19.1156433
Matka z dzieckiem,,,artwork,50.8336174,19.118619
DON Kichot,nightclub,,,50.8126597,19.105768
Smoki,,,artwork,50.8412274,19.1306333
Nauczycielka,,,artwork,50.8249952,19.109541
Fitness World,,fitness_centre,,50.7829003,19.1411172
,,,artwork,50.8192679,19.0917608
,,,artwork,50.8136988,19.122434
,,,artwork,50.8122066,19.0969525
Wieża Babel,,,artwork,50.8123728,19.1122046
,,,artwork,50.811288,19.1141939
In state we trust,,,artwork,50.8082073,19.1142972
,,,artwork,50.8079846,19.1119064
,,,artwork,50.8027723,19.118151
,,,artwork,50.8123985,19.1220406
,,,artwork,50.8124387,19.1219952
,,,artwork,50.8124387,19.1221371
,,,artwork,50.8143977,19.1220667
,,,artwork,50.8144542,19.1221487
,,,artwork,50.8145732,19.1220433
,,,artwork,50.8076254,19.1118965
Złote Arkady,,bowling_alley,,50.8044958,19.1145222
Dancing Club Remis,nightclub,,,50.8125313,19.1285652
Dzwonnik,,,artwork,50.8120161,19.1296377
,,,artwork,50.8125762,19.1295791
Nad ostatnim płotkiem,,,artwork,50.8125885,19.1290916
,,,artwork,50.8122631,19.1295898
,,,artwork,50.8122514,19.1294657
Szczudlarze,,,artwork,50.8121029,19.1291218
Galeria Dobrej Sztuki,,,museum,50.8118493,19.1121236
ZPAP,,,gallery,50.8118969,19.1099745
,,,artwork,50.8120725,19.0961261
,,,artwork,50.8107724,19.0981809
Royal Casino,casino,,,50.8134796,19.1046328
Świtezianka,,,artwork,50.7999751,19.1103594
,,,viewpoint,50.8119922,19.1543605
,,,viewpoint,50.8185686,19.1956456
Strażnik czasu,,,artwork,50.8090242,19.1189203
,,,artwork,50.8115108,19.0974352
,,,artwork,50.8115661,19.0974723
,,,artwork,50.8115496,19.097463
,,,artwork,50.8115264,19.0974467
Rura,nightclub,,,50.8129538,19.1153042
Światowit,,,artwork,50.8125943,19.1057372
Muzeum Wyobrazni,,,artwork,50.811341,19.1104975
,,,artwork,50.8107437,19.104501
,,,artwork,50.8144732,19.0981398
,,,artwork,50.813215,19.1142186
,,,artwork,50.8139591,19.115713
Miejski Ośrodek Pomocy Społecznej,community_centre,,,50.8158132,19.1158089
,,,artwork,50.814219,19.112245
,,,artwork,50.8144591,19.1076587
,,,artwork,50.8157975,19.0976399
Muzeum Żydów Częstochowian,,,museum,50.8103861,19.1253817
Stary Ratusz,,,museum,50.8121378,19.1294536
Multicentrum Zodiak,community_centre,,,50.8113178,19.1014495
Jura Club,,fitness_centre,,50.820917,19.1000417
,,,artwork,50.8379219,19.1334699
Częstoch,,,artwork,50.8125726,19.1293161
Na głęboką wodę,,,artwork,50.8123977,19.1291543
Ośrodek Promocji Kultury Gaude Mater,community_centre,,,50.8125438,19.1121984
Cinema City,cinema,,,50.8073615,19.1316755
Figura św. Jana Nepomucena,,,artwork,50.8108706,19.0970133
Marek Papszun,,,artwork,50.8102327,19.1121967
Teatr Nowy,theatre,,,50.7654882,19.1441413
,,sports_centre,,50.8186335,19.1153947
Pawilon Wystawowy Muzeum Częstochowskiego,,,museum,50.811047143476166,19.10020369507521
Muzeum Etnograficzne,,,museum,50.81076424279623,19.10017848873777
Arena zielona-energia.com,,stadium,,50.8027339492407,19.153729118112263
Muzeum 600-lecia Jasnej Góry,,,museum,50.81270393369088,19.096271237933415
Squash Częstochowa,,sports_centre,,50.815534023576014,19.136600224877316
Ratusz,,,museum,50.81131721499296,19.11315284072227
,,sports_centre,,50.81661073069762,19.107360673748385
Klub POLITECHNIK,community_centre,,,50.82408502713355,19.116358156114735
Teatr im. Adama Mickiewicza,theatre,,,50.81491372191162,19.113611336898995
,,sports_centre,,50.81326689764442,19.10765367265922
,,sports_centre,,50.81311640377864,19.109752150809886
Hala sportowa POLITECHNIK,,sports_centre,,50.82452074828597,19.116352876232693
Kryta bieżnia,,sports_centre,,50.81303549729106,19.108118918436347
Miejski Stadion Lekkoatletyczny,,stadium,,50.82134105638598,19.11252343782797
,,sports_hall,,50.81538819239806,19.10739243229146
,,sports_centre,,50.84072158229583,19.12277477924688
Hala Sportowa Częstochowa,,sports_centre,,50.80462570772576,19.152219970960843
Speedrower,,track,,50.84424113064825,19.134262424721634
Miejski Dom Kultury,community_centre,,,50.782019268541255,19.153387069972467
Konduktorownia,,,gallery,50.808086292860104,19.122069769553647
,,,museum,50.810523486207465,19.100226696221522
Muzeum Historii Kolei,,,museum,50.79764166489918,19.107111634216064
Regionalny Ośrodek Kultury,arts_centre,,,50.80467223265243,19.108689011224904
Filharmonia Częstochowska im. Bronisława Hubermana,theatre,,,50.814007852815244,19.12257523121501
Muzeum Produkcji Zapałek,,,museum,50.803703360231204,19.122479425607235
,,track,,50.84492514999999,19.134853349999982
,,track,,50.84484134999999,19.13496590000002
Orkan,,stadium,,50.795280957900054,19.05109511033245
RKS Raków Częstochowa,,sports_centre,,50.77685883855213,19.15966829161521
Mini tor żużlowy,,track,,50.794776302660765,19.1714409293586
OKF - Kino studyjne,cinema,,,50.812808015313564,19.106202370612667
Cepelia,cinema,,,50.81272247058097,19.105537679232892
,,track,,50.77887753458908,19.131159999061946
