name,amenity,latitude,longitude
Przedszkole Niepubliczne Czerwony Kapturek,kindergarten,50.7843147,19.0985664
Królestwo Przedszkolaka,kindergarten,50.8399696,19.1638624
Przedszkole malego odkrywcy,kindergarten,50.8343878,19.1240477
Miejskie Przedszkole nr 38,kindergarten,50.82262192059471,19.097082176590895
Przedszkole Niepubliczne Zgromadzenia Sióstr Urszulanek SJK,kindergarten,50.80861626549192,19.104670755169114
Miejskie Przedszkole nr 26 im. Krasnala Hałabały,kindergarten,50.80366660519535,19.110193136401694
Miejskie Przedszkole nr 27,kindergarten,50.80081437684208,19.110175614331833
Przedszkole Miejskie nr 25,kindergarten,50.83643434297274,19.15840247922837
Miejskie Przedszkole Integracyjne nr 35,kindergarten,50.801420900876415,19.119434730951617
Miejskie Przedszkole nr 16,kindergarten,50.84430659757126,19.13194945726035
Miejskie Przedszkole nr 7,kindergarten,50.77934756310418,19.151903822349652
Miejskie Przedszkole nr 13 im. Krecika,kindergarten,50.82407208271159,19.119841198584485
Miejskie Przedszkole nr 15 im. Jana Pawła II,kindergarten,50.84316991563278,19.12410715964736
Miejskie Przedszkole nr 30,kindergarten,50.76225979225276,19.05960114988755
Miejskie Przedszkole nr 11,kindergarten,50.829738729113316,19.118162040591532
Miejskie Przedszkole nr 36,kindergarten,50.839538411364366,19.137023642929
Miejskie Przedszkole nr 12 im. Ireny Szewińskiej,kindergarten,50.82803638958147,19.11221330747706
Miejskie Przedszkole Integracyjne nr 43,kindergarten,50.83673375008806,19.12963573790157
Zespół Szkolno - Przedszkolny nr 6 w Częstochowie,school,50.787585536556286,19.063566413938332
Miejskie Przedszkole Nr 29 w Częstochowie,kindergarten,50.794798686054314,19.049481922426935
Miejskie Przedszkole nr 5 im. Jana Kilińskiego,kindergarten,50.792138741735876,19.13132623587633
Miejskie Przedszkole nr 21,kindergarten,50.808836697837314,19.12387316689911
Miejskie Przedszkole nr 14,kindergarten,50.83648972634628,19.125654490338718
