name,shop,amenity,latitude,longitude
Żabka,supermarket,,50.788469,19.0857107
Biedronka,supermarket,,50.8274666,19.1065434
Żabka,convenience,,50.8160187,19.0974969
Żabka,convenience,,50.822415,19.0785005
Żabka,convenience,,50.8315249,19.0843829
"Delikatesy ""Rarytas""",convenience,,50.8316536,19.0822533
Lewiatan,convenience,,50.8297751,19.0727039
Biedronka,supermarket,,50.8305205,19.0688952
Społem,supermarket,,50.7833023,19.1398855
Lewiatan,convenience,,50.7863168,19.137436
Żabka,convenience,,50.7833194,19.137706
,,marketplace,50.7820717,19.1393234
Lux Mini Społem,convenience,,50.7868009,19.1380248
Auchan,supermarket,,50.8374174,19.1160357
Żabka,convenience,,50.7807915,19.0982456
A&D Wafelek,supermarket,,50.7759123,19.0976662
Netto,supermarket,,50.7865192,19.1476091
Kaufland,supermarket,,50.8249787,19.099772
Biedronka,supermarket,,50.8393245,19.1266315
Żabka,convenience,,50.7605607,19.0631492
Lewiatan,convenience,,50.7638716,19.0398061
Żabka,convenience,,50.8040676,19.1111313
Żabka,convenience,,50.8119622,19.1068732
Społem,supermarket,,50.8109792,19.1188429
Delikatesy ELMAS (Czynne 24h),convenience,,50.8520347,19.1281424
Biedronka,supermarket,,50.834441,19.1239271
Żabka,convenience,,50.8249152,19.1086432
Lewiatan,convenience,,50.8263852,19.1172959
,convenience,,50.8264204,19.1223522
Żabka,convenience,,50.8278471,19.116708
Żabka,convenience,,50.8113283,19.1262295
Groszek,convenience,,50.815153,19.1178812
Gama,convenience,,50.8155472,19.1151774
Aldi,supermarket,,50.7829434,19.1390337
IWA - sklep spożywczy,convenience,,50.7839258,19.1341026
,,marketplace,50.8016251,19.1509453
Wafelek,supermarket,,50.7840022,19.1400144
Sklep spożywczy,convenience,,50.8217889,19.0914513
Żabka,convenience,,50.8101977,19.1121442
Biedronka,supermarket,,50.8073015,19.133047
Żabka,convenience,,50.8024642,19.1059134
Lewiatan,convenience,,50.7813661,19.1567077
Biedronka,supermarket,,50.8120452,19.0830824
Lidl,supermarket,,50.8058614,19.141701
Żabka,convenience,,50.832075,19.1151412
Paśnik,convenience,,50.8081257,19.1069448
