name,highway,latitude,longitude
Jesienna,bus_stop,50.7701967,19.141818
I Urząd Skarbowy,bus_stop,50.7985754,19.1137542
Pusta,bus_stop,50.7894473,19.1397485
Michałowskiego,bus_stop,50.8449652,19.125964
Fieldorfa-Nila,bus_stop,50.8401103,19.1323235
Fieldorfa-Nila,bus_stop,50.8398749,19.1328187
Wręczycka,bus_stop,50.8223241,19.0805935
Wręczycka,bus_stop,50.8221238,19.0824021
Dobrzyńska,bus_stop,50.821277,19.0544943
Dobrzyńska,bus_stop,50.8215543,19.053304
Łęczycka,bus_stop,50.8204057,19.0644119
Łęczycka,bus_stop,50.8206479,19.0644532
Kaszubska 01,bus_stop,50.821161,19.071716
III Aleja Najświętszej Maryi Panny,bus_stop,50.8115736,19.1039981
Łódzka,bus_stop,50.8239391,19.099939
Parkitka - Osiedle,bus_stop,50.8241329,19.0969464
Fieldorfa-Nila,bus_stop,50.8392527,19.132526
Iwaszkiewicza,bus_stop,50.8367903,19.121008
Promenada Niemena,bus_stop,50.8326067,19.1160526
Ludowa,bus_stop,50.8442824,19.1085425
Obrońców Westerplatte,bus_stop,50.834029,19.1143144
Obrońców Westerplatte,bus_stop,50.8346387,19.1156366
Wolna,bus_stop,50.8092716,19.1418888
Wolna,bus_stop,50.8085325,19.1423005
Mirów-Pegaz 03,bus_stop,50.8207092,19.2221332
Iwaszkiewicza,bus_stop,50.8363506,19.1206585
Iwaszkiewicza,bus_stop,50.8363734,19.1217978
Plac Biegańskiego 01,bus_stop,50.811926,19.1143281
Stary Rynek,bus_stop,50.8119048,19.1284717
Tysiąclecie - Szpital 02,bus_stop,50.8308522,19.1117487
Gwintowa 02,bus_stop,50.7630166,19.0676876
Gwintowa 01,bus_stop,50.7635339,19.069053
Kmicica 01,bus_stop,50.7730008,19.0911432
Rzeczna 02,bus_stop,50.7661739,19.0738625
Sabinów 04,bus_stop,50.7744347,19.0952726
Michałowskigo,bus_stop,50.8452606,19.1266664
Kucelin 04,bus_stop,50.7906081,19.1731469
D.H. Sezam 01,bus_stop,50.7840191,19.1405129
Wawrzynowicza,bus_stop,50.827558,19.1052622
Obrońców Poczty Gdańskiej,bus_stop,50.8302036,19.1050632
Obrońców Poczty Gdańskiej,bus_stop,50.8307381,19.1055782
Kołakowskiego,bus_stop,50.8327807,19.1091461
Wawrzynowicza,bus_stop,50.8270092,19.1048129
Market OBI,bus_stop,50.824073,19.1059543
Kołakowskiego,bus_stop,50.8328184,19.1082472
Łódzka,bus_stop,50.8236661,19.1011619
Centrum Handlowe M1,bus_stop,50.8360693,19.1151231
Okrzei 01,bus_stop,50.7812283,19.145356
Plac Biegańskiego 03,bus_stop,50.8125706,19.1140509
II Al. Najświętszej Maryi Panny 03,bus_stop,50.8120833,19.1194555
Pusta,bus_stop,50.7901988,19.1391768
Komenda Miejska Policji,bus_stop,50.8174891,19.10468
Dąbrowskiego - Sądy,bus_stop,50.8171821,19.1117634
Stroma,bus_stop,50.7939485,19.1343505
Tysiąclecie - Szpital 01,bus_stop,50.8308927,19.1111402
Aleja Jana Pawła II - Uniwersytet,bus_stop,50.8173112,19.11965
Politechnika,bus_stop,50.8215128,19.117769
Politechnika,bus_stop,50.8220663,19.1178668
Broniewskiego 02,bus_stop,50.8270321,19.1108328
Broniewskiego 01,bus_stop,50.8281685,19.1107605
Hoene-Wrońskiego,bus_stop,50.7990862,19.1110082
Dąbrowskiego - Sądy,bus_stop,50.8168155,19.1134152
Market OBI,bus_stop,50.8245163,19.1052612
Raków - dworzec PKP 03,bus_stop,50.787752,19.1538361
Raków - dworzec PKP 05,bus_stop,50.7878989,19.1538759
Jesienna - Szkoła 01,bus_stop,50.7698182,19.1456472
Mirów,bus_stop,50.8196909,19.2032497
Baczyńskiego,bus_stop,50.8389107,19.1268836
Baczyńskiego,bus_stop,50.8386363,19.1272748
Bohaterów Katynia,bus_stop,50.770326,19.1498444
Orkana - Szkoła,bus_stop,50.7792884,19.1319743
Orkana - Szkoła,bus_stop,50.7795373,19.131512
Bohaterów Katynia,bus_stop,50.7709078,19.1517038
Komenda Miejska Policji,bus_stop,50.8168034,19.1054628
Dźbów 01,bus_stop,50.7606548,19.0624242
Słowackiego,bus_stop,50.8025795,19.1111121
Jagiellońska,bus_stop,50.7886901,19.1080533
Gnaszyn - Dospel,bus_stop,50.7967408,19.0519132
Berger 02,bus_stop,50.8007932,19.1921405
Berger 01,bus_stop,50.8011883,19.1914209
Cmentarz Św. Rocha,bus_stop,50.8176263,19.0861546
Faradaya,bus_stop,50.8071707,19.1445143
Gazownia,bus_stop,50.8091363,19.1714711
Hallera,bus_stop,50.8073488,19.1677313
Hallera,bus_stop,50.8075634,19.1676149
Huculska,bus_stop,50.8038995,19.081109
Huculska,bus_stop,50.8049972,19.0812809
II Al. Najświętszej Maryi Panny 04,bus_stop,50.8117594,19.1195186
Jasna Góra,bus_stop,50.8103273,19.0984718
Odlewników 02,bus_stop,50.8043411,19.182761
Odlewników 01,bus_stop,50.8048646,19.1818108
Kopernika,bus_stop,50.8076827,19.1121065
Kopernika,bus_stop,50.80891,19.1138522
Kordeckiego,bus_stop,50.8080032,19.082093
Kordeckiego,bus_stop,50.8090065,19.0826684
Legionów 01,bus_stop,50.7978211,19.196509
Plac Biegańskiego 02,bus_stop,50.8108213,19.1123223
Skwer Sokołów,bus_stop,50.8051405,19.1042623
Skwer Sokołów,bus_stop,50.8053996,19.1054296
Wspólna,bus_stop,50.8075589,19.1497564
Wspólna,bus_stop,50.8080062,19.1485529
Wyszyńskiego,bus_stop,50.8137506,19.0841813
Wyszyńskiego,bus_stop,50.8146308,19.0847779
Złota,bus_stop,50.8067143,19.1552153
Złota,bus_stop,50.8071467,19.1584916
Św. Barbary - Szpital,bus_stop,50.8058534,19.0951809
Św. Barbary - Szpital,bus_stop,50.8061172,19.0950203
Św. Kazimierza,bus_stop,50.8077348,19.1033938
Św. Kingi,bus_stop,50.8033384,19.0871743
Św. Kingi,bus_stop,50.8034405,19.0883305
Żużlowa,bus_stop,50.8071123,19.1528429
Faradaya,bus_stop,50.8066732,19.1439615
Faradaya,bus_stop,50.8070867,19.1430488
