name,amenity,leisure,tourism,latitude,longitude
,,,viewpoint,54.4116701,18.5507711
Mostownia,theatre,,,54.3762725,18.6140401
Pomnik Obrońców Wybrzeża,,,attraction,54.4067012,18.6669686
Małe Bieszczady,,,viewpoint,54.3936301,18.5406404
Ezo Night Club,nightclub,,,54.3495849,18.6503243
Muzeum Archeologiczne,,,museum,54.3548344,18.6596937
Szaniec Jezuicki,,,attraction,54.3363059,18.6321898
,,,viewpoint,54.3556466,18.8027893
,,,viewpoint,54.3601948,18.7949892
Wychowani na Traugutta,,,artwork,54.3684268,18.6259827
Obrońcy Poczty,,,artwork,54.355132,18.655256
Kamienne serce Gdańska,,,artwork,54.3503366,18.6541819
Izba Pamięci Wincentego Pola,,,museum,54.3444414,18.8289436
,,,artwork,54.4040688,18.6307754
Zdrofit,,fitness_centre,,54.322531,18.5530604
Muzeum Narodowe w Gdańsku o/Zielona Brama,,,museum,54.3478678,18.6557171
Aikido - Shoshin Dojo Gdańsk,,sports_centre,,54.3925274,18.5970315
Wzgórze Następcy Tronu,,,viewpoint,54.3731395,18.6075964
Góra Gradowa,,,viewpoint,54.357641,18.6402587
Teatr Leśny,theatre,,,54.3723948,18.5952211
,,,viewpoint,54.3486197,18.6034478
100 lat Marek,,,artwork,54.3734404,18.5642408
Siłownia,,sports_centre,,54.3272175,18.6253614
Stefan Michalak,,,artwork,54.3661901,18.6270195
Ekspozycja Zewnętrzna,,,attraction,54.3860121,18.6369585
,,,viewpoint,54.3237475,18.5972348
Drzewko Milenijne,,,artwork,54.3501739,18.6481461
Historyczna brama nr 2 Stoczni Gdańskiej,,,attraction,54.3605933,18.6498296
Diabelski Kamień,,,attraction,54.3931388,18.5099776
Prawe stanowisko baterii leśnej 1911,,,attraction,54.3696128,18.7421699
Punkt kierowania ogniem baterii wydmowej 1919,,,attraction,54.3556827,18.780261
Punkt obserwacyjny 25 BAS,,,attraction,54.3693673,18.7632091
Schron baterii leśnej 1911,,,attraction,54.3703941,18.7383632
Schron obserwacyjny baterii wydmowej 1919,,,attraction,54.3682021,18.7700352
