name,leisure,landuse,natural,latitude,longitude,area_m2,score
Skwer im. Anny Walentynowicz,park,,,54.377238022639375,18.61146892769085,3788.916634120156,3788.916634120156
,,grass,,54.31750672678992,18.57676442152009,5657.694515051376,3960.3861605359625
,,grass,,54.31728509743291,18.579318591680643,6212.270764797356,4348.589535358149
,,,wood,54.347474225626904,18.599448828228944,106072.2752358428,74250.59266508995
,,forest,,54.28115046213869,18.604110563946534,213970.37817448704,171176.30253958964
,,,wood,54.36349610182123,18.50673576733425,345705.1486827422,241993.60407791953
,,,wood,54.36518726442185,18.59161491597945,294482.74547581736,206137.92183307215
Park Jordanowski,park,,,54.3966697148284,18.671617154236596,39054.13216272748,39054.13216272748
Park Westerplatte,park,,,54.4064984200719,18.673948567775085,553797.6208794025,553797.6208794025
,,,wood,54.394649904843725,18.6813151383742,104158.86988218663,72911.20891753063
,,forest,coastline,54.39332430703557,18.681408180956748,10029.739391199002,8023.791512959202
Twierdza Wisłoujście,park,,coastline,54.39568124225401,18.679456809145023,47856.015496851775,47856.015496851775
,,grass,,54.35881315268362,18.643195186984535,1950.9083984072329,1365.635878885063
,park,,,54.33892188130636,18.64926429846443,60047.067720738836,60047.067720738836
,,forest,,54.35759384895812,18.773703992865514,1053390.2577207254,842712.2061765804
Park im. Józefa Wybickiego,park,,,54.38454864229979,18.61015546277175,19286.88829375077,19286.88829375077
Skwer Ignacego Daszyńskiego,park,,,54.34569154821698,18.646086374402252,15773.45032753698,15773.45032753698
,,,wood,54.4177900593813,18.60007326132411,117132.03582886595,81992.42508020616
,,,wood,54.405177300939314,18.621165328487105,258710.14863012722,181097.10404108904
,,,wood,54.41476521960916,18.6158721863699,1579867.1553807058,1105907.008766494
Park Chirona,park,,,54.42626687227945,18.46534398268827,83831.38382045375,83831.38382045375
Park de Gaulle'a,park,,,54.379240286895346,18.602361426115813,28349.85828603179,28349.85828603179
,park,,,54.379207429024376,18.623013169225654,45329.92840834884,45329.92840834884
Park Kuźniczki,park,,,54.38201120695022,18.60750742832084,16875.02379180865,16875.02379180865
Park nad Strzyżą,park,,,54.38045260709725,18.618310487776867,38681.60433701684,38681.60433701684
Park Akademicki,park,,,54.371399385162626,18.623673569437436,168248.89919892652,168248.89919892652
Park Millenium,park,,,54.39684230106755,18.61402342094754,320637.77722474723,320637.77722474723
Park na Wroniej Górce,park,,,54.36082001912356,18.63340185890184,402588.1755879307,402588.1755879307
,,,wood,54.35730281588695,18.62512922851346,32782.76942862312,22947.93860003618
Park Uphagena,park,,,54.375991328264654,18.617207295010193,30236.092624147233,30236.092624147233
Plac Biskupa Edwarda O’Rourke,park,,,54.382970652906025,18.626052571898466,12673.728551301425,12673.728551301425
Park im. Daniela Gralatha,park,,,54.36728709288387,18.629855519134857,81266.40135594113,81266.40135594113
,,,wood,54.36882081888161,18.596427395353455,63693.09075366836,44585.16352756785
,,grass,,54.345684361391044,18.65313455835429,6944.980230048519,4861.486161033963
,,grass,,54.35106341760963,18.66898673408574,6900.327908846948,4830.229536192864
Park Siennicki,park,,,54.3497843047083,18.670886949777657,38794.40037308096,38794.40037308096
,,,wood,54.36724653912553,18.616829254732593,187956.45180372245,131569.5162626057
,,,wood,54.36355954130569,18.623548541777748,378266.36768724263,264786.45738106983
Skwer im. Polskich Harcerzy w byłym Wolnym Mieście Gdańsku,park,,,54.35123871527679,18.645196350911316,25695.69406711458,25695.69406711458
Skwer Czesława Niemena,park,,,54.352219683668885,18.644467725357085,13605.771584400867,13605.771584400867
,park,,,54.416951821368656,18.579660880812348,256718.7530399545,256718.7530399545
Park Przymorze,park,,,54.41965014914299,18.590097866050485,141572.57870086544,141572.57870086544
Park Jelitkowski,park,,,54.42571961790852,18.595436991217976,190252.86882042247,190252.86882042247
Skwer Marszałka Józefa Piłsudskiego,park,,,54.386190777621266,18.591129788642135,35410.840952925304,35410.840952925304
,,,wood,54.36724560257023,18.58089214182038,101741.09494470464,71218.76646129324
Park Generała Józefa Bema,park,,,54.352285855117216,18.632078810418722,114036.65438443278,114036.65438443278
,,,wood,54.34232381138396,18.637985298662766,390473.99392314395,273331.7957462008
,,,wood,54.32424159346563,18.597879540530332,383419.06032846234,268393.34222992364
Park Oruński im. Emilii Hoene,park,,,54.321958014416325,18.626325478135023,241484.102095493,241484.102095493
,,,wood,54.35583559325284,18.59018064987304,50594.1153478798,35415.88074351586
Park im. ks. Bronisława Kabata,park,,,54.34315220920674,18.554859473472295,30040.35227335801,30040.35227335801
,,,wood,54.35529236943762,18.56733899499308,416941.34930006124,291858.94451004284
,,,wood,54.35573944368578,18.537511829411923,73811.55496333285,51668.08847433299
,,,wood,54.35452735001975,18.57096959984581,60298.50067433455,42208.95047203419
,,grass,,54.39363711232419,18.515320102185687,418174.5341983992,292722.17393887945
,,,grassland,54.42036594999986,18.540657329486333,37831.698901355034,26482.189230948523
,,,wood,54.423947508738976,18.46831156471372,52725.36112407258,36907.752786850804
,,,wood,54.423518949560325,18.46507662549106,10482.455262842215,7337.71868398955
,,grass,,54.368098001308844,18.50450499433448,74288.175873888,52001.7231117216
,,,wood,54.36657116050622,18.493789148276846,125834.11441358694,88083.88008951086
,,,wood,54.36476664001293,18.492713416003966,25881.902167745375,18117.33151742176
,,meadow,,54.36366947453775,18.44873280789975,65756.84878523543,32878.424392617715
,,,grassland,54.37422928668979,18.453426612067485,168025.0042619446,117617.5029833612
,,,grassland,54.37080143852355,18.45852944989829,18594.09819413977,13015.868735897839
,,,grassland,54.36970599829493,18.4560704698593,139931.75931738527,97952.23152216968
,,grass,,54.36179378826317,18.458207116404562,80220.92536468807,56154.64775528164
,,,wood,54.41189788250187,18.460618264440317,310645.367618346,217451.7573328422
,,,grassland,54.41584098023311,18.482791434349963,54446.46249115272,38112.5237438069
,,grass,,54.41396695506628,18.498075074560724,128647.61852049798,90053.33296434858
,,grass,,54.40843936428477,18.49379062078664,220299.4445752246,154209.6112026572
,,,grassland,54.4052105517904,18.526347632175845,258717.7402360308,181102.41816522155
,,,wood,54.363358172240815,18.514546772568185,119249.93802319671,83474.95661623769
,,grass,,54.36913258284383,18.491321077302306,184604.3172214762,129223.02205503333
,,,grassland,54.36664608050979,18.476151261239835,251894.0733237144,176325.85132660007
,,,grassland,54.37207997924049,18.465676410718633,153597.65582607253,107518.35907825077
,,,wood,54.369526770793776,18.48648685647537,47627.224617366475,33339.057232156534
,,,grassland,54.36941492311736,18.484399093711275,56507.619514959566,39555.3336604717
,,,grassland,54.349064512061055,18.50105098195846,189053.80374299127,132337.66262009388
,,,wood,54.35800856913285,18.5136332363703,166442.17824673268,116509.52477271287
,,,wood,54.34801387609006,18.501473443644198,55337.102270478594,38735.971589335015
,,,wood,54.34124083579396,18.49215178552367,122490.46022434955,85743.32215704468
,,,wood,54.34367416272722,18.4937869541527,367757.9929462509,257430.5950623756
,,,wood,54.35492617325543,18.473468492744214,25402.74063988528,17781.918447919696
,,,grassland,54.320172580810926,18.555614524662573,160649.88292520537,112454.91804764375
,,,wood,54.31912864021939,18.57023790812567,134455.6702785578,94118.96919499047
,,,wood,54.29529297015055,18.63015270556636,149633.49355073657,104743.4454855156
,,,wood,54.28779551938449,18.63573246458432,154318.83199067134,108023.18239346994
,,meadow,,54.30549037051185,18.627327051291864,7575.948146309817,3787.9740731549086
,park,,,54.32165552208346,18.63475655313281,30656.362137890756,30656.362137890756
,,,grassland,54.33841086901473,18.66151868393833,309682.64385832235,216777.85070082563
