name,amenity,latitude,longitude
"Akademickie Liceum Ogólnokształcące ""Lingwista""",school,54.3607062,18.6448988
XXIV Liceum Ogólnokształcące im. Stefana Banacha,school,54.4208604,18.4791667
XIV Liceum Ogólnokształcące im. Jana Pawła II,school,54.4020343,18.6042732
Szkoła języków europejskich Universus,school,54.4221276,18.4782263
Szkoła Muzyczna 1 stopnia imienia Grażyny Bacewicz,school,54.37909,18.6060501
Chrześcijańska Szkoła Montessori nr 2,school,54.3256758,18.6006044
I Gdańskie Liceum Katolickie im. św. Wojciecha,school,54.3565722,18.5913228
VI Liceum Ogólnokształcące im. Obrońców Helu,school,54.3522575,18.6738679
Technikum nr 1 w Gdańsku,school,54.360813,18.6104576
Szkoła Branżowa I Stopnia nr 1 w Gdańsku,school,54.3607517,18.6104909
9 Miesięcy,school,54.3919074,18.6004232
Mental Arts,school,54.3686898,18.6382413
XXIII Liceum Ogólnokształcące,school,54.4049877,18.6445661
XII Sportowe Liceum Ogólnokształcące z Oddziałami Mistrzostwa Sportowego im. Janusza Kusocińskiego,school,54.4197647,18.5732553
VII Liceum Ogólnokształcące im. Józefa Wybickiego,school,54.3398368,18.6222562
Ogólnokształcąca Szkoła Baletowa im. Janiny Jarzynówny-Sobczak,school,54.3841204,18.6146271
Zespół Niepublicznych Placówek Oświatowych PSONI Koło w Gdańsku,school,54.4138899,18.5953061
Zespół Szkół Ogólnokształcących Nr 5 IV Liceum Ogólnokształcące z Oddziałami Mistrzostwa Sportowego im. Marynarzy Wojsk Ochrony Pogranicza,school,54.40237909253954,18.661915698839703
Zespół Szkół Morskich im. Bohaterskich Obrońców Westerplatte,school,54.401833441297896,18.656425952827252
VIII Liceum Ogólnokształcące im. Komisji Edukacji Narodowej,school,54.34827851719461,18.61736662104153
Specjalny Ośrodek Rewalidacyjno-Wychowawczy dla Dzieci i Młodzieży z Autyzmem w Gdańsku,school,54.40888626057296,18.60116123295026
Ogólnokształcące Liceum Programów Indywidualnych,school,54.40247468398913,18.560801328602455
Gdańskie Szkoły Autonomiczne,school,54.356360457942586,18.655080137994364
I Liceum Ogólnokształcące im. Mikołaja Kopernika,school,54.358526236497994,18.648646728680752
Zespół Szkół Łączności im. Obrońców Poczty Polskiej,school,54.35445820854653,18.65703605994399
XIX Liceum Ogólnokształcące im.Mariana Mokwy,school,54.385975063220826,18.608900747182805
II Liceum Ogólnokształcące im. dr. Władysława Pniewskiego,school,54.385402595248635,18.609304775780355
Państwowe Szkoły Budownictwa im. Mariana Osińskiego,school,54.39019804720674,18.58399682577102
IX Liceum Ogólnokształcące im. Krzysztofa Kolbergera,school,54.38786434356584,18.57839283997033
Centrum Kształcenia Zawodowego i Ustawicznego Nr 1,school,54.379683680662446,18.620796300515266
Chrześcijańskie Autorskie Liceum Ogólnokształcące Chalo,school,54.4131380991369,18.589324169194857
,school,54.36076799315846,18.720173799950413
X Liceum Ogólnokształcące Dwujęzyczne im. Lecha Bądkowskiego,school,54.38656753704116,18.604067484313546
,school,54.35184561812905,18.51182804906349
Zespół Szkół Energetycznych,school,54.38133199919643,18.631139942903097
Szkoły im. św. Jana de La Salle,school,54.37379944969834,18.56572369426689
Ogólnokształcąca Szkoła Muzyczna I i II st.,school,54.35742882031504,18.649232043509745
Uniwersyteckie Liceum Ogólnokształcące im. Pawła Adamowicza,school,54.3710957778231,18.60924670247571
Pomorskie Szkoły Rzemiosł,school,54.359984132175846,18.6105127615389
Centrum Kształcenia Zawodowego i Ustawicznego nr 1,school,54.360474623122656,18.611413776524778
TE Vizja,school,54.35226317064264,18.58558842742704
British International School Gdańsk,school,54.41908735326058,18.592796334884106
V Liceum Ogólnokształcące w Gdańsku im. Stefana Żeromskiego,school,54.40679906494709,18.55862357553231
,school,54.40783044258755,18.55527697959038
Zespół Szkół Specjalnych nr 2,school,54.40809038412781,18.584607122600286
III Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Bohaterów Westerplatte,school,54.3767465036256,18.59553726946644
,school,54.33231400492344,18.597426947911522
Szkoły Okrętowe i Techniczne Conradinum,school,54.37479319998528,18.622577632254657
Zespół Szkół Gastronomiczno-Hotelarskich,school,54.38510534982928,18.61411379282636
Szkoła Muzyczna II stopnia imienia Fryderyka Chopina,school,54.37856455199263,18.602758776269365
Zespół Szkół Architektury Krajobrazu i Handlowo-Usługowych im. Władysława Szafera,school,54.42189425971261,18.56004152893701
Gdańska Szkoła Szermierki,school,54.388121919938314,18.57463929855699
Zespół Szkół Specjalnych nr 1,school,54.37670800977235,18.600285779979227
XV Liceum Ogólnokształcące im. Zjednoczonej Europy z Oddziałami Dwujęzycznymi,school,54.392974146031975,18.593734839882675
XX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Zbigniewa Herberta,school,54.36159090845479,18.588037145526226
,school,54.39519514769809,18.595868468994777
,school,54.3465243599524,18.598791316213575
,school,54.32997787785858,18.62972440157468
Collegium Gedanense,school,54.42282356677021,18.573161422315856
Państwowa Szkoła Muzyczna I stopnia im. Henryka Wieniawskiego,school,54.32201297974607,18.63162408627639
XXI Liceum Ogólnokształcące z Oddziałami Sportowymi,school,54.40685390597214,18.603340571068347
Zespół Szkół Kreowania Wizerunku,school,54.40872563385121,18.60618567489052
Zespół Szkół Ogólnokształcących nr 2,school,54.42114822963681,18.480253633350877
Centrum Kształcenia Zawodowego i Ustawicznego Nr 2 w Gdańsku,school,54.32007189539954,18.637217441593652
