name,amenity,latitude,longitude
Bajeczne Przedszkola,kindergarten,54.3427741,18.5506999
Przedszkole Niepubliczne Bajkoland,kindergarten,54.3517583,18.5732062
Morskie Przedszkole Niepubliczne,kindergarten,54.3326083,18.5972842
Przedszkole,kindergarten,54.3962371,18.5902802
Chrześcijańskie Przedszkole Montessori nr 2,kindergarten,54.3257583,18.6007855
Przedszkole Tygryskowa Kraina,kindergarten,54.3488274,18.5586746
"Przedszkole niepubliczne ""Little Harvard""",kindergarten,54.4048997,18.575979
Przedszkole Niepubliczne Językowo – Muzyczne Calineczka,kindergarten,54.3768597,18.605303
Przedszkole ne 61,kindergarten,54.3451267,18.8298842
Niepubliczne Przedszkole Lew Leon,kindergarten,54.3760001,18.620545
Przedszkole Specjalne Nr 72 o Profilu Terapeutycznym,kindergarten,54.4116454,18.5933336
Publiczne Pozytywne Przedszkole nr 7,kindergarten,54.3338377,18.5423695
Przedszkole nr 73 w Gdańsku,kindergarten,54.3534451,18.6028627
Punkt Przedszkolny Słowiańska Wieża,kindergarten,54.4106215,18.6007285
Przedszkole Niepubliczne Marchewka,kindergarten,54.3512182,18.5506996
Przedszkole MoreLove,kindergarten,54.4098118,18.5973682
Przedszkole publiczne Octopus,kindergarten,54.4309174,18.4783906
Przedszkole Martolandia,kindergarten,54.3491467,18.5821252
Leśny Żłobek i Przedszkole,kindergarten,54.3638556,18.5824706
"Przedszkole Niepubliczne ""Sokrates""",school,54.3503047,18.6253598
Nadmorskie Przedszkole Montessori,kindergarten,54.422224,18.589851
Przedszkole Fahrenheita,kindergarten,54.3489965,18.5669532
Wymarzone Przedszkole,kindergarten,54.4004946,18.6468606
Publiczne Pozytywne Przedszkole nr 9,kindergarten,54.3575218,18.4914934
Przedszkole nr 13,kindergarten,54.3946819,18.5962835
Przedszkole Misia Wojtka,kindergarten,54.3599806,18.5905319
Przedszkole Niepubliczne Królestwo Fantazji,kindergarten,54.3670367,18.5958459
Przedszkole Mali Przyjaciele,kindergarten,54.3330518,18.5868166
Przedszkole nr 76 Radosny Zakątek,kindergarten,54.341991412458874,18.621336989597825
Przedszkole nr 85 Wesoły Ul,kindergarten,54.34073541409105,18.622880413282154
Publiczne Pozytywne Przedszkole nr 1,kindergarten,54.38288292086152,18.609220410854043
Przedszkole Nr 1,kindergarten,54.39832211030341,18.67509077125324
