name,shop,amenity,latitude,longitude
,convenience,,54.3447982,18.5017202
Merkus,convenience,,54.3457793,18.6485315
Kaufland,supermarket,,54.3368014,18.6205902
Lewiatan,convenience,,54.3351951,18.6262946
Żabka,convenience,,54.3759978,18.6267838
Zefirek,convenience,,54.3800981,18.6168024
Kristo,convenience,,54.3803734,18.6262624
Smakosz,convenience,,54.3804593,18.6236921
No Name,supermarket,pub,54.4155953,18.5979086
,convenience,,54.3581643,18.6319167
Żabka,convenience,,54.3452566,18.5947116
Livio,convenience,,54.3281092,18.5983218
Biedronka,supermarket,,54.3553014,18.6503589
Eurospar,supermarket,,54.3770118,18.6074553
Libero,convenience,,54.3791958,18.6319791
Żabka,convenience,,54.3533504,18.6573657
Anis,convenience,,54.3775847,18.5080638
Carrefour,supermarket,,54.3219619,18.5503771
,convenience,,54.3250424,18.6120023
Spar,supermarket,,54.3297313,18.6040263
,convenience,,54.3556703,18.5767338
Lewiatan,convenience,,54.3573474,18.5783887
Żabka,convenience,,54.3545129,18.5784646
Lidl,supermarket,,54.3227168,18.5527439
Odido,convenience,,54.3184445,18.6285989
Biedronka,supermarket,,54.3472388,18.6628918
Delikatesy Familijne,convenience,,54.3264254,18.6222823
Biedronka,supermarket,,54.3250123,18.617673
,convenience,,54.326111,18.618833
Żabka,convenience,,54.3261118,18.6221723
Żabka,convenience,,54.347715,18.6621086
abc,convenience,,54.3484283,18.6671645
Lewiatan,convenience,,54.4266159,18.4599581
Nasz Sklep,convenience,,54.4397474,18.4575461
,convenience,,54.3510707,18.5301343
Max & Xavier,supermarket,,54.313937,18.570369
Biedronka,supermarket,,54.3510106,18.5561152
Żabka,convenience,,54.3504515,18.562632
E.Leclerc,supermarket,,54.4100426,18.5918995
Abo Udane Zakupy,convenience,,54.3649578,18.6337862
Żabka,convenience,,54.3831379,18.6183986
Market Kami,convenience,,54.4086764,18.5592422
Koksa,convenience,,54.3433251,18.6094485
Żabka,convenience,,54.3076986,18.5918655
,convenience,,54.4233568,18.5992028
Biedronka,supermarket,,54.3891766,18.5899493
Biedronka,supermarket,,54.4048801,18.6254803
Pszczółka,convenience,,54.3790584,18.5053366
Żabka,convenience,,54.40675,18.6131235
Żabka,convenience,,54.375858,18.6136261
Lewiatan,supermarket,,54.3608648,18.7116633
Odido,convenience,,54.3604895,18.7103548
Żabka,convenience,,54.3818191,18.5975233
Biedronka,supermarket,,54.3547241,18.6462955
Żabka,convenience,,54.4073978,18.5877862
Żabka,convenience,,54.3615103,18.7136568
Po sąsiedzku,convenience,,54.3615137,18.7137493
Eurospar,supermarket,,54.4018185,18.5746007
Żabka,convenience,,54.3625881,18.5960131
Biedronka,supermarket,,54.3781194,18.6062493
Żabka,convenience,,54.3749467,18.6130252
Żabka,convenience,,54.4040661,18.6114215
abc,convenience,,54.3505809,18.6246354
Drewno Hermanowska,convenience,,54.3500197,18.6141265
Biedronka,supermarket,,54.4119539,18.6023153
Lewiatan,convenience,,54.3754358,18.6161473
Biedronka,supermarket,,54.3884604,18.6230299
Karol,convenience,,54.3692721,18.6078307
Żabka,convenience,,54.3774761,18.6052306
Żabka,convenience,,54.3640956,18.5824952
Sklep spożywczo-przemysłowy,convenience,,54.340926,18.5588181
Żabka,convenience,,54.3384502,18.564527
Żabka,convenience,,54.3385459,18.5664906
Dom Piwa,convenience,,54.3406077,18.5663629
U Gosi,convenience,,54.3387629,18.5658573
Lewiatan,convenience,,54.3573768,18.6821837
Falck,convenience,,54.3589485,18.7080313
Pod Filarami,convenience,,54.3206932,18.5761068
odido Karolinka,convenience,,54.3581968,18.6273847
Żabka,convenience,,54.3587077,18.6266406
Żabka,convenience,,54.3583994,18.4915753
