name,amenity,leisure,tourism,latitude,longitude
Góra Studencka,,,viewpoint,54.4423826,18.4646856
,,,viewpoint,54.5154852,18.5441796
Pomnik Żagle (Maszty),,,artwork,54.5186647,18.5590334
Pomnik Morświna,,,artwork,54.5189619,18.5566732
,,,viewpoint,54.5614293,18.5507254
Dom Żeromskiego,,,museum,54.4814556,18.5640668
Ławeczka Antoniego Suchanka,bench,,artwork,54.4803853,18.564114
,,,attraction,54.4537552,18.4791327
"Dąb szypułkowy ""Dewajtis""",,,attraction,54.4452972,18.4891913
"Żywotnik olbrzymi ""Kępa żywotnika""",,,attraction,54.4443844,18.4917565
Okręt podwodny ORP Jastrząb-Kobben,,,attraction,54.5430861,18.5469318
Hot Fun Cafe,,adult_gaming_centre,,54.4691124,18.5030587
U7,,sports_centre,,54.5073399,18.5379579
,,,viewpoint,54.4882225,18.5193546
Checz Gdynia,,sports_centre,,54.5360802,18.4845085
,,,viewpoint,54.5589307,18.5518333
Tor Rowerowy,,track,,54.5007505,18.5185477
,,,viewpoint,54.5375293,18.4304522
Młodzieżowy Dom Kultury,arts_centre,,,54.5269979,18.5090469
Klif Orłowski,,,viewpoint,54.4849213,18.5675819
,,,viewpoint,54.5208397,18.4264248
,,,viewpoint,54.4797173,18.566945
Aktiv Klub,,fitness_centre,,54.4676392,18.4880097
"Klub Marynarki Wojennej ""Riwiera""",arts_centre,,,54.5161039,18.5480257
Wejscie do schronu,,,attraction,54.5341842,18.4836345
Wejście do schronu,,,attraction,54.533918,18.4846737
Kładka nad Estakadą,,,viewpoint,54.5230434,18.4760157
,,,viewpoint,54.4660233,18.4897231
Activ Fitness,,sports_centre,,54.5275737,18.5086848
Okna i drzwi: od•nowa,,,gallery,54.5216638,18.5436822
Energy Club,,fitness_centre,,54.4740179,18.5141192
OKl27-27,,,attraction,54.5319283,18.5051405
Harem Club,nightclub,,,54.5191889,18.5353319
Klub Bilardowy Joker,,sports_centre,,54.5193859,18.5373779
Universal Club,nightclub,,,54.5207211,18.5411679
Deco Hobby,arts_centre,,,54.5203522,18.5417055
Świetlica socjoterapeutyczna Wyspa,community_centre,,,54.5247321,18.5432389
Trzy ryby,,,artwork,54.5143674,18.5500624
Dance Fusion - Szkoła Tańca,,dance,,54.5162522,18.5344495
Muzeum Emigracji,,,museum,54.5330528,18.5483911
,,,viewpoint,54.460521,18.4831322
,,,viewpoint,54.5197419,18.5239406
,,,viewpoint,54.5185319,18.526796
