name,shop,amenity,latitude,longitude
POLOmarket,supermarket,,54.5404174,18.4607491
Delikatesy Centrum,supermarket,,54.5421716,18.4613122
Żabka,convenience,,54.4989996,18.5417644
Odido,convenience,,54.4838483,18.5396073
Carrefour Express,convenience,,54.4843027,18.5371487
Kaufland,supermarket,,54.5486645,18.5130101
Biedronka,supermarket,,54.5482148,18.5326008
Delikatesy Justynka,convenience,,54.5533811,18.528347
Żabka,convenience,,54.4690862,18.4862101
Delikatesy ABC,supermarket,,54.5500947,18.5362206
u Beci,convenience,,54.5521409,18.5405439
Żabka,convenience,,54.548977,18.5482553
Żabka,convenience,,54.5495095,18.5238956
Sklep spożywczo-monopolowy Limonka,convenience,,54.5508161,18.5197599
,convenience,,54.5495115,18.5139697
Biedronka,supermarket,,54.5518475,18.5084583
Żabka,convenience,,54.5104573,18.5375909
Kami,convenience,,54.4995749,18.5153612
VIP,convenience,,54.5034439,18.5417046
Sklep spożywczy Smyk,convenience,,54.4761003,18.5575515
Żabka,convenience,,54.512527,18.5338559
,convenience,,54.5187794,18.5286383
Tower,convenience,,54.513116,18.5317153
Żabka,convenience,,54.5132959,18.5316549
,convenience,,54.5020379,18.5361563
Żabka,convenience,,54.4687603,18.5064625
Odido,convenience,,54.4690561,18.5039184
,convenience,,54.4845249,18.4373756
,convenience,,54.4916155,18.5130218
Żabka,convenience,,54.4957355,18.5087629
Biedronka,supermarket,,54.5547444,18.5230804
Market Kami,convenience,,54.5617731,18.4844945
U Franka,convenience,,54.5314019,18.4821845
,convenience,,54.4944565,18.5113006
Żabka,convenience,,54.5341948,18.485168
Promocja,convenience,,54.4862571,18.5275787
Żabka,convenience,,54.5620784,18.4924377
Żabka,convenience,,54.5385746,18.4705799
Minuta 8,convenience,,54.4785611,18.5487798
,convenience,,54.4817818,18.5311926
Biedronka,supermarket,,54.4692831,18.4687901
,convenience,,54.5524959,18.5333615
Misiek,convenience,,54.4939624,18.4195687
Żabka,convenience,,54.4866717,18.4277727
,convenience,,54.4788511,18.5389753
Odido,convenience,,54.5587729,18.473416
Sieć 34,convenience,,54.5814474,18.5380797
Carrefour Express,convenience,,54.5069164,18.5372128
Delikatesy Justynka,supermarket,,54.5517526,18.5156535
Monopolowy,convenience,,54.5520148,18.5038846
"Sklep Spożywczy ""Gruszka""",convenience,,54.5521305,18.503462
Na Rogu,convenience,,54.5195413,18.5278577
Biedronka,supermarket,,54.5481305,18.4431086
Biedronka,supermarket,,54.5224728,18.5436966
Biedronka,supermarket,,54.5181248,18.54138
Delikatesy Adamski,convenience,,54.5162162,18.5402158
Żabka,convenience,,54.521264,18.5340579
Żabka,convenience,,54.5062017,18.5508299
ABO,convenience,,54.5544046,18.4994342
,convenience,,54.5289149,18.4928715
Delikatesy,convenience,,54.5289966,18.4931519
Biedronka,supermarket,,54.4910864,18.5422766
Misiek,supermarket,,54.4970936,18.4395427
Żabka,convenience,,54.5122182,18.5391664
abo,convenience,,54.4716639,18.4885942
Lewiatan,convenience,,54.5214739,18.5406493
Żabka,convenience,,54.521217,18.540427
Żabka,convenience,,54.5126645,18.5397842
Żabka,convenience,,54.5478924,18.4426753
Żabka,convenience,,54.5368134,18.4854218
Żabka,convenience,,54.4833777,18.5379444
Sklep w garażu,convenience,,54.4786171,18.5221994
Żabka,convenience,,54.5211078,18.5373883
FuX,convenience,,54.5539587,18.5243452
Odido,convenience,,54.5582431,18.5141945
Sezamka,convenience,,54.5063023,18.5507276
Delikatesy Tobi 24h,convenience,,54.4966553,18.5433238
Żabka,convenience,,54.4708514,18.4882025
Żabka,convenience,,54.5487545,18.521534
Żabka,convenience,,54.549638,18.5365724
Żabka,convenience,,54.5105785,18.5429911
Żabka,convenience,,54.5156997,18.5325709
Żabka,convenience,,54.5158523,18.5380474
Żabka,convenience,,54.5175721,18.5411011
,convenience,,54.5404526,18.4773458
Żabka,convenience,,54.4939913,18.4367748
Biedronka,supermarket,,54.5367404,18.4886145
Abo,convenience,,54.5532905,18.5053032
Mini Max,convenience,,54.5365652,18.4851219
Biedronka,supermarket,,54.5407517,18.4786997
u Polaka,convenience,,54.550554,18.508115
Maja,convenience,,54.551839,18.5023418
Żabka,convenience,,54.5519029,18.5009695
Koniczynka,convenience,,54.5566004,18.5044819
Lewiatan,convenience,,54.5200004,18.5288069
Mini Market Arti,convenience,,54.5226204,18.5224233
abo,convenience,,54.5291185,18.5028536
Żabka,convenience,,54.5290728,18.5030315
Ikar,convenience,,54.5316446,18.4929187
Lewiatan,convenience,,54.5309699,18.495864
Raf,convenience,,54.5329303,18.4898415
Marcus,convenience,,54.5359304,18.478048
Odido,convenience,,54.525456,18.4630614
Ania,convenience,,54.5623144,18.4934815
Cynamon II,convenience,,54.5618339,18.4971375
Odido,convenience,,54.5618687,18.497082
Żabka,convenience,,54.50424,18.5400063
Żabka,convenience,,54.5354355,18.4793177
City Market,convenience,,54.5153787,18.5327106
Odido,convenience,,54.5799688,18.5404589
Odido,convenience,,54.5457854,18.4422289
Malinka,convenience,,54.500013,18.5061694
Odido,convenience,,54.5377239,18.4586932
U Stacha,convenience,,54.4868285,18.5275494
Odido,convenience,,54.5620453,18.4884283
Delikatesy Justynka,convenience,,54.4989762,18.4359899
Żabka,convenience,,54.5001489,18.5058934
Pieczywo-Ciastka,convenience,,54.521482,18.5313363
Żabka,convenience,,54.5219313,18.5326633
Carrefour Express,convenience,,54.5207912,18.5323808
Deshi Bazar,convenience,,54.5208889,18.5332147
Żabka,convenience,,54.5207646,18.5353122
Żabka,convenience,,54.5193333,18.5384164
Żabka,convenience,,54.5233736,18.5433361
Żabka,convenience,,54.4941506,18.5514515
Sylwia,convenience,,54.489586,18.5546656
Żabka,convenience,,54.5169784,18.5412164
Żabka,convenience,,54.514589,18.5406504
,convenience,,54.513601,18.5408583
Biedronka,supermarket,,54.5111073,18.5397902
Żabka,convenience,,54.5102737,18.5387857
Lidl,supermarket,,54.516053,18.5416554
Żabka,convenience,,54.5235418,18.5164466
Żabka,convenience,,54.5196504,18.5286006
Auchan,supermarket,,54.502415,18.5318388
Biedronka,supermarket,,54.5624859,18.4925578
Delikatesy Kama,convenience,,54.4849771,18.4360428
Żabka,convenience,,54.5405673,18.4591308
Emi,convenience,,54.5405944,18.4589022
13-tka,convenience,,54.4838253,18.537541
Żabka,convenience,,54.5081877,18.5488728
Tobi,convenience,,54.5212534,18.5434965
Żabka,convenience,,54.5218166,18.5450408
Żabka,convenience,,54.536388,18.4480059
Jessi,convenience,,54.4731735,18.4979044
,convenience,,54.5076237,18.5391188
Biedronka,supermarket,,54.5015042,18.5140247
Fresca,convenience,,54.4704683,18.5020358
Krzysztof Wandtke,convenience,,54.5292278,18.4991088
,convenience,,54.5281339,18.4950325
Żabka,convenience,,54.5189101,18.542579
Żabka,convenience,,54.5503315,18.5115112
Żabka,convenience,,54.5508716,18.5142887
Lewiatan,convenience,,54.5389657,18.4780979
Żabka,convenience,,54.5386664,18.4788216
Żabka,convenience,,54.5200644,18.5326844
Auchan,supermarket,,54.4967259,18.5404157
Żabka,convenience,,54.5542732,18.5246895
Odido,convenience,,54.5442743,18.4493165
Aldek 34,supermarket,,54.5114577,18.5407117
Żabka,convenience,,54.4711469,18.5157881
Lewiatan,convenience,,54.4679743,18.4930689
123market.pl,supermarket,,54.485833,18.4317255
,convenience,,54.4927292,18.435041
Żabka,convenience,,54.4929287,18.4331301
Żabka,convenience,,54.4990299,18.4379497
NATI naturalny sklep,supermarket,,54.5132851,18.5400414
Żabka,convenience,,54.5405455,18.4779775
Żabka,convenience,,54.5594512,18.5075088
Bazar Natury,,marketplace,54.4731812,18.5561113
Żabka,convenience,,54.4711371,18.4537129
Żabka,convenience,,54.5148749,18.5386384
Żabka,convenience,,54.5184046,18.5370013
,convenience,,54.5146686,18.5345231
Żabka,convenience,,54.5088606,18.5437416
Sieć 34,supermarket,,54.4936991,18.5496717
Max & Xavier,supermarket,,54.4725369,18.5150986
Livio,convenience,,54.5182403,18.5178524
Żabka,convenience,,54.509927,18.538211
Żabka,convenience,,54.4931193,18.5344413
Żabka,convenience,,54.5222775,18.5500073
Żabka,convenience,,54.4778025,18.503525
Żabka,convenience,,54.4748752,18.4634918
Żabka,convenience,,54.4683496,18.4641364
Delikatesy Tobi,convenience,,54.5156117,18.5406502
Żabka,convenience,,54.4979215,18.5067252
Biedronka,supermarket,,54.5027139,18.5417665
Żabka,convenience,,54.5000322,18.432182
Żabka,convenience,,54.5062599,18.5403287
Merkus,supermarket,,54.4675013,18.4876321
Żabka,convenience,,54.5203755,18.5281396
Żabka,convenience,,54.5378097,18.4628863
Żabka,convenience,,54.4808035,18.55236
Żabka,convenience,,54.4726151,18.5047272
Żabka,convenience,,54.4699804,18.4961491
Żabka,convenience,,54.4733972,18.4621333
Żabka,convenience,,54.4720193,18.465424
Żabka,convenience,,54.4852408,18.4264041
Żabka,convenience,,54.4929261,18.4444015
Żabka,convenience,,54.500769,18.4578043
Żabka,convenience,,54.4970093,18.5017299
Żabka,convenience,,54.4997155,18.50859
Żabka,convenience,,54.4987344,18.5327562
Żabka,convenience,,54.4899513,18.5444413
Żabka,convenience,,54.4913339,18.5425792
Żabka,convenience,,54.4945367,18.541399
Żabka,convenience,,54.5232493,18.5448413
Żabka,convenience,,54.5251754,18.5427564
Żabka,convenience,,54.5084366,18.531693
Żabka,convenience,,54.5278026,18.5077892
