name,railway,latitude,longitude
Gdynia Leszczynki,halt,54.5413396,18.4785096
Gdynia Grabówek,halt,54.5343531,18.4958981
Gdynia Wzgórze Świętego Maksymiliana,halt,54.507616,18.5354871
Gdynia Cisowa,halt,54.5498083,18.4471926
Gdynia Stocznia - Uniwersytet Morski,halt,54.5255488,18.5192576
Gdynia Główna,station,54.5216208,18.5274712
Gdynia Chylonia,station,54.5457503,18.4636617
Gdynia Orłowo,station,54.4766459,18.5486299
Gdynia Stadion,halt,54.4961509,18.5332216
Gdynia Karwiny,halt,54.4698814,18.5088468
Gdynia Orłowo,halt,54.4767414,18.5489769
Gdynia Redłowo,halt,54.4915242,18.5383657
