name,highway,latitude,longitude
Bławatna,bus_stop,54.5333401,18.4483593
Szafranowa 01,bus_stop,54.4657929,18.4615938
Rdestowa Kolonia 02 (NŻ),bus_stop,54.4601157,18.4513286
Plac Kaszubski 03,bus_stop,54.5222975,18.5404623
Plac Kaszubski - Świętojańska 01,bus_stop,54.5225452,18.5433815
Plac Kaszubski - Jana z Kolna 02,bus_stop,54.5234623,18.5421307
Gdynia Dworzec Gł. PKP - Wolności,bus_stop,54.5193184,18.5281311
Rybińskiego 02,bus_stop,54.5295633,18.4580819
Chabrowa 04,bus_stop,54.5323101,18.4557481
Chwarzno Sokółka 02,bus_stop,54.4976802,18.4382869
Pogórze Dolne 04,bus_stop,54.5577268,18.4780406
Nasypowa 01,bus_stop,54.5462408,18.5211208
Wiczlino - Skrzyżowanie 02,bus_stop,54.4906649,18.423976
Dom Marynarza 03,bus_stop,54.5078018,18.5489411
Stadion PKM 01,bus_stop,54.4966481,18.5330209
Marszewska 02 (NŻ),bus_stop,54.5273863,18.43137
Marszewska 01 (NŻ),bus_stop,54.5274994,18.4319574
Jałowcowa 02 (NŻ),bus_stop,54.5304814,18.4419576
Jałowcowa 01 (NŻ),bus_stop,54.5304715,18.4422296
Rdestowa - Leśny Zakątek 02,bus_stop,54.4639753,18.4572656
Leśna Polana 02 (NŻ),bus_stop,54.4622496,18.4533982
Dom Marynarza 01,bus_stop,54.507893,18.5502597
Obłuże Centrum 02,bus_stop,54.5506024,18.5068966
Łężyce Jeżynowa 01,bus_stop,54.5063277,18.3758467
Osowa Obwodnica,bus_stop,54.428887,18.4960797
Mireckiego 01,bus_stop,54.5287792,18.5044624
Mireckiego 04,bus_stop,54.5296441,18.502415
Oksywie Dickmana 01,bus_stop,54.5575717,18.546639
Oksywie Dickmana 02,bus_stop,54.5575375,18.5464407
Białowieska 90,bus_stop,54.5525404,18.5157852
Galaktyczna 01,bus_stop,54.4281337,18.4861817
Wzgórze Św. Maksymiliana SKM 01,bus_stop,54.5088866,18.5371456
Demptowska 02 (NŻ),bus_stop,54.5279809,18.4599467
Paprykowa 02,bus_stop,54.4678204,18.4653675
Racławicka 02,bus_stop,54.4726711,18.5133592
Wiczlino - Skrzyżowanie 01,bus_stop,54.4898129,18.42485
Wiczlino - Skrzyżowanie 03,bus_stop,54.4905562,18.4248941
Szafranowa 02,bus_stop,54.4653291,18.4601101
Łużycka,bus_stop,54.4942498,18.5350109
Wiczlino Niemotowo 02,bus_stop,54.5062619,18.405044
Chwarzno Polanki 01,bus_stop,54.4988333,18.4350174
Mireckiego 02,bus_stop,54.5295852,18.5027387
Witomino Leśniczówka 01,bus_stop,54.4917072,18.5112614
Witomino Leśniczówka 04,bus_stop,54.4911546,18.5124179
Armii Krajowej 02,bus_stop,54.5173134,18.5384347
Gdynia Dworzec Gł. PKP - Hala 06,bus_stop,54.5229856,18.5325591
Witomino Centrum 04,bus_stop,54.4986677,18.5077242
Witomino Centrum 01,bus_stop,54.4988402,18.5108707
Pogórze Górne 02,bus_stop,54.5631432,18.4814011
Pogórze Górne 04,bus_stop,54.5634055,18.4814687
Mireckiego 03,bus_stop,54.5289001,18.5040054
Pogórze Górne 06,bus_stop,54.5634809,18.4817709
Wzgórze Św. Maksymiliana SKM 03,bus_stop,54.5086303,18.5371774
Armii Krajowej 03,bus_stop,54.5180838,18.5390675
Wzgórze Św. Maksymiliana SKM 04,bus_stop,54.5081521,18.5365153
Urząd Miasta - Świętojańska 01,bus_stop,54.5085978,18.5381193
Piłsudskiego 02,bus_stop,54.508687,18.5441018
Chylonia Dworzec PKP 01,bus_stop,54.5444869,18.4630183
Chylonia Dworzec PKP 02,bus_stop,54.5452454,18.4607453
Chylonia Dworzec PKP 04,bus_stop,54.5452878,18.4615865
Chylonia Dworzec PKP 06,bus_stop,54.5457073,18.4623977
Chwarzno Sokółka 04,bus_stop,54.4973101,18.4375736
Jowisza 01,bus_stop,54.5004559,18.4523335
Harcerska 01,bus_stop,54.5034004,18.5365088
Gdynia Dworzec Gł. PKP - Hala 04,bus_stop,54.5230649,18.5333315
Łężyce Jeżynowa 02,bus_stop,54.5061892,18.3747028
Chwarzno Polanki 02,bus_stop,54.4989401,18.432562
3 Maja - Hala 01,bus_stop,54.5221191,18.5368608
Cisowa Granica Miasta 02,bus_stop,54.5534964,18.4165366
Dworzec Morski - Muzeum Emigracji 01,bus_stop,54.5327394,18.5472571
Chrzanowskiego (NŻ),bus_stop,54.5311456,18.5426792
Kwidzyńska I 01,bus_stop,54.5119176,18.5249556
Pustki Cisowskie 02,bus_stop,54.5392415,18.4347002
Gdynia Dworzec Gł. PKP - Hala 02,bus_stop,54.5231097,18.533715
Pogórze Dolne 01,bus_stop,54.5572094,18.4787078
Paprykowa 01,bus_stop,54.4682934,18.4669002
Meksykańska 02,bus_stop,54.548654,18.4634995
Pustki Cisowskie 01,bus_stop,54.5389878,18.4347239
Filipkowskiego 01,bus_stop,54.4870657,18.4299243
Babie Doły 02,bus_stop,54.5781351,18.5387936
Starowiejska 02,bus_stop,54.5207795,18.5353978
Pogórze Dolne 03,bus_stop,54.5576126,18.4782534
Pogórze Dolne 02,bus_stop,54.5576118,18.4781291
Baza na Pogórzu Dolnym 01,bus_stop,54.5591039,18.4762163
Terminal Kontenerowy 04,bus_stop,54.549027,18.4990196
Demptowo 01,bus_stop,54.5253127,18.4629419
Zielona - Klub Garnizonowy 02 (NŻ),bus_stop,54.5814866,18.5359115
Zielona - Klub Garnizonowy 01 (NŻ),bus_stop,54.5812311,18.5361377
Hutnicza - Stacja Paliw Lotos 02,bus_stop,54.5466931,18.4745273
Hutnicza - Stacja Paliw Lotos 01,bus_stop,54.5453408,18.4771971
Elektrociepłownia - Pucka 01,bus_stop,54.5549087,18.4704912
Złota 02,bus_stop,54.5579442,18.4745764
Plaża Śródmieście - Muzeum Miasta Gdyni 01,bus_stop,54.5165801,18.5470136
Zwinisławy 02,bus_stop,54.4687828,18.484977
Harcerska 02,bus_stop,54.5019438,18.5362725
3 Maja 01,bus_stop,54.5197978,18.5347037
3 Maja 01,bus_stop,54.5195826,18.5365636
Węzeł Franciszki Cegielskiej 03,bus_stop,54.5074747,18.5348724
Karwiny PKM 04,bus_stop,54.4702049,18.5095326
Bieszczadzka 01 (ŃŻ),bus_stop,54.4523911,18.4534725
Bieszczadzka 02 (ŃŻ),bus_stop,54.4524218,18.4533699
Podleśna 02,bus_stop,54.4670284,18.5090852
Stanowisko nr 5,bus_stop,54.5219752,18.5300635
Stanowisko nr 4,bus_stop,54.5219292,18.5300202
Przystanek końcowy,bus_stop,54.5221927,18.5295706
Stanowisko nr 3,bus_stop,54.5218767,18.5299629
Stanowisko nr 1,bus_stop,54.521994,18.5293164
Stanowisko nr 2,bus_stop,54.5218929,18.5296573
Żeglarzy 01,bus_stop,54.5431526,18.5297902
Żeglarzy 02,bus_stop,54.5429845,18.5305056
Czernickiego I 01,bus_stop,54.561223,18.4735957
Czernickiego I 02,bus_stop,54.5605212,18.4727741
Necla 02,bus_stop,54.510447,18.5461445
Necla 01,bus_stop,54.5103999,18.5462965
Korzeniowskiego 02,bus_stop,54.5106262,18.5503867
Rdestowa Kolonia 04 (NŻ),bus_stop,54.460333,18.4496162
Rdestowa Kolonia 01 (NŻ),bus_stop,54.4610367,18.4514907
Fredry 02 (nż),bus_stop,54.5087335,18.549244
Nowogrodzka 02,bus_stop,54.5137226,18.5242328
Działki Leśne - Sztumska 01,bus_stop,54.5171156,18.5170526
Łowicka - Szkoła 01,bus_stop,54.4846213,18.5267495
Łowicka - Szkoła 02,bus_stop,54.4843359,18.5273733
Karwiny Nowowiczlińska 03,bus_stop,54.4735632,18.4769802
Gdynia Dworzec Gł. PKP 04,bus_stop,54.5218099,18.530117
Kurpiowska 01 (NŻ),bus_stop,54.4850795,18.5316313
Mały Kack Sandomierska 03,bus_stop,54.4864302,18.5282883
Olkuska - Łowicka 01,bus_stop,54.4879675,18.523388
Olkuska - Radomska 01 (NŻ),bus_stop,54.4866478,18.5170986
