name,amenity,leisure,tourism,latitude,longitude
Giszowiec,,,attraction,50.2218038,19.0677859
Hałda Murcki,,,viewpoint,50.1897109,19.033136
Cinema City Silesia,cinema,,,50.2705946,19.0019739
Wieża spadochronowa,,,attraction,50.2462704,19.0077116
Teatr Bez Sceny,theatre,,,50.2598449,19.0189535
Światowid,cinema,,,50.2598477,19.0198249
Muzeum Historii Katowic Dział Etnologii Miasta,,,museum,50.2441386,19.0819996
Śląskie Centrum Wolności i Solidarności,,,museum,50.2442329,18.9901175
Pomnik górników KWK Wujek,,,attraction,50.2439107,18.9896859
Giszowieckie Centrum Kultury,arts_centre,,,50.2246402,19.0628389
Młodzieżowy Dom Kultury w Katowicach,community_centre,,,50.2753298,18.9813458
Klub Muzyczny Faust,nightclub,,,50.2721131,18.9926076
Szyb Warszawa II,,,viewpoint,50.2637153,19.0330889
Szyb Jerzy,,,attraction,50.2694129,19.0049249
Pomnik Studenta Uniwersytetu Śląskiego,,,artwork,50.2605048,19.0285617
Rodzina,,,artwork,50.2687315,19.0209452
Zbigniew Wodecki,,,artwork,50.2570728,19.0274629
Hasta la Vista,nightclub,,,50.2604814,19.0127539
replika młota kuźniczego,,,artwork,50.2516423,19.0315113
postument ze sferycznym astrolabium,,,artwork,50.2219384,19.0681588
Centrum Odnowy Biologicznej PULS,,fitness_centre,,50.2558572,19.0284849
Energy 2000 Katowice,nightclub,,,50.2558946,19.020874
Muzeum Archidiecezjalne,,,museum,50.2509984,19.0182947
Kręgielnia Galaktyka,,sports_centre,,50.2631855,19.0100923
Klub Bilardowy B8,,sports_centre,,50.2631928,19.0101524
Klub Garage,nightclub,,,50.263163,19.0101427
"Śląski Teatr Lalki i Aktora ""Ateneum""",theatre,,,50.2582493,19.0218375
Ruchoma szopka betlejemska,,,attraction,50.2270886,18.9626997
Miejski Dom Kultury Ligota,arts_centre,,,50.2280596,18.9728704
Miejski Dom Kultury,community_centre,,,50.1951963,19.0408723
Jeden z potężniejszych buków,,,attraction,50.1927934,19.0378847
Izba Śląska,,,museum,50.22242,19.0674933
Ośrodek Rehabilitacyjno-Edukacyjno-Wychowawczy im. Marii Trzcińskiej-Fajfrowskiej,community_centre,,,50.2227641,19.0664517
Pod Grubą,,,artwork,50.2496354,19.0843378
Kazimierz Kutz,,,artwork,50.260399,19.0932835
Kino „Kosmos”,cinema,,,50.2686941,19.0198787
John Baildon,,,artwork,50.2673017,18.989306
Dom Konstantego Wolnego,,,attraction,50.2549699,19.0297502
Muzeum Historii Katowic,,,museum,50.2552389,19.0286178
Cinema City IMAX,cinema,,,50.2623616,19.0061881
,,,artwork,50.2610609,19.0237475
Joga Życia,,fitness_centre,,50.2559635,19.0317822
DSO Projekt,nightclub,,,50.216113,18.9585717
cybermagia,,amusement_arcade,,50.263382,19.0034109
płaskorzeźba mleczarki,,,artwork,50.2624368,19.0965081
,,,artwork,50.2571011,19.0262538
Ptaki,,,artwork,50.257119,19.0260536
Tellas,,,artwork,50.2572564,19.026219
Paco,,sports_centre,,50.2174585,19.0731306
Bebok Ekonomik,,,artwork,50.2602791,19.0453214
Klub Pomarańcza Katowice,nightclub,,,50.2597822,19.0209742
Pozostałości biedaszybów,,,attraction,50.1946357,19.0525444
Sosny „Wejmutki”,,,attraction,50.1935116,19.0514127
Dostrzegalnia Pożarowa,,,attraction,50.1905401,19.0459373
B-Fit Klub Fitness Katowice,,sports_centre,,50.2635345,19.0099246
Miasta Ogrodów,,,gallery,50.2581988,19.0263613
Klub HAH,nightclub,,,50.2618279,19.011797
,,amusement_arcade,,50.2579906,19.0214139
Teatr Korez,theatre,,,50.2529475,19.0233814
Żaba,,,artwork,50.259788,19.0182298
Klubogaleria PlanBe,nightclub,,,50.2574758,19.0272583
,,,viewpoint,50.265806,19.0274954
CrossFit Hussars Katowice,,sports_centre,,50.2772497,19.0742177
Admiral,,adult_gaming_centre,,50.2602323,19.0155592
Cotton Club,nightclub,,,50.2593157,19.014066
Multikino,cinema,,,50.25886,19.017314
Salome,nightclub,,,50.2595465,19.0169958
,,adult_gaming_centre,,50.2605306,19.0152871
Scena w Malarni (Teatr Śląski im. Stanisława Wyspiańskiego),theatre,,,50.2600824,19.0234204
,,,viewpoint,50.1845201,19.0120881
Lodowisko Spodek,,ice_rink,,50.2671345,19.0248563
Sarenka I,,,artwork,50.2372224,19.0449632
,,,artwork,50.2475487,19.0478878
Para w tańcu,,,artwork,50.2337635,19.0276378
Ptak-pelikan,,,artwork,50.2333882,19.0294708
,,,artwork,50.2335631,19.0273965
Galeria Szyb Wilson,,,gallery,50.2506046,19.0834968
CityFit Katowice,,fitness_centre,,50.258933,19.0224644
Miejski Dom Kultury Południe filia nr 3 w Zarzeczu,community_centre,,,50.1847811,18.9519391
Klub Osiedlowy „Józefinka”,community_centre,,,50.284017,19.0132311
Centrum Rozrywki Guliwer,,,attraction,50.220678,19.057776
Przycisk,,,artwork,50.2811222,19.0145073
Muzeum Historii Komputerów i Informatyki,,,museum,50.2528281,19.0226279
,,,artwork,50.2792852,19.0139171
Henryk Kalemba,,,artwork,50.2716537,18.9971156
Tańcząca z atomami,,,artwork,50.2607727,19.0273322
Quest Cage,,escape_game,,50.2757601,19.0014167
TERPSYCHORA studio baletowe,,dance,,50.2559008,19.0286531
Babylon,nightclub,,,50.2586113,19.0238584
Złomowisko,,,artwork,50.2670355,18.9891744
Tato nie płacz,,,artwork,50.266099,18.983854
Dom Aniołów Stróżów,,,artwork,50.2673405,18.988774
Pyrlik i Żelosko,,,artwork,50.2662587,19.0882651
THINK,,,artwork,50.2543074,19.094047
,,,artwork,50.2461176,18.994998
Made You Look,,,artwork,50.2688134,18.9829857
cz. 1a,,,artwork,50.2587219,19.1125455
Calypso,,fitness_centre,,50.2711117,19.002223
Dawne stanowisko radaru FuMG-62 Würzburg,,,attraction,50.1987189,19.0531604
Bunkier wartowniczy,,,attraction,50.1982969,19.0558525
Dawne stanowisko Flak 88mm,,,attraction,50.1985744,19.0586461
,,,artwork,50.2634839,19.0928163
Roboty Ziemne,,,artwork,50.2644181,19.0872615
cz. 2b,,,artwork,50.2588189,19.1124257
Jerzy Kukuczka,,,artwork,50.2693278,19.0380878
Kula,,,artwork,50.2706168,19.0254661
,,,artwork,50.2593792,18.9689424
,theatre,,,50.264028,19.0302678
SmartGym,,fitness_centre,,50.2778931,18.981263
Sala Kameralna,theatre,,,50.2609293,19.0134387
Sala koncertowa im. Karola Stryji,theatre,,,50.260578,19.0139287
,,,artwork,50.2704827,19.0193492
Bebok,,,artwork,50.2656323,19.0261578
Dom Strachu,,,attraction,50.2724461,18.9973799
Haunted Escape Room,,escape_game,,50.2725148,18.9974546
McFit,,fitness_centre,,50.2855681,18.9698046
Papugarnia Carmen,,,zoo,50.2674329,18.969939
,,,artwork,50.2737699,19.0528479
Klub Tańca Carmen,,dance,,50.2777057,19.0057947
Smart Gym,,fitness_centre,,50.2356645,18.9824756
Muzeum Najmniejszych Książek Świata Zygmunta Szkocnego,,,museum,50.2144356,18.9691042
Dragon,,,artwork,50.2562924,19.0276219
Altus Fitness,,fitness_centre,,50.2617116,19.024501
Egurrola Dance Studio,,dance,,50.2715729,19.0027261
Jerzy Kukuczka,,,artwork,50.2621157,19.0426549
"Kobiety wiedzą, co robią - dr Jolanta Wadowska-Król",,,artwork,50.263902,19.0030504
Gravitacja,,bowling_alley,,50.2625696,19.0053488
Smart Gym Załęże,,fitness_centre,,50.2630899,18.9861083
Smart Gym,,fitness_centre,,50.2614703,19.0318751
JUMPCITY Katowice,,trampoline_park,attraction,50.2248108,18.9894378
,,,artwork,50.2639185,19.0785997
La Clave,,dance,,50.2661209,19.0184706
,,,artwork,50.2846139,18.969892
,,,artwork,50.2828951,18.9645869
,,,artwork,50.2806609,18.9653534
,,,artwork,50.2806814,18.9735235
,,,artwork,50.2671401,19.0184743
Studio Pilates Harmonia,,fitness_centre,,50.1818865,18.9382932
Savitri Yoga,,fitness_centre,,50.2604664,19.0133587
Quest Cage centrum,,escape_game,,50.2593416,19.0208352
Strzelnica Silesia Shotgun,,sports_centre,,50.2648633,19.0062406
Czas,,fitness_centre,,50.2615895,19.021445
,,,artwork,50.2572476,19.0150316
,,,artwork,50.2590552,19.0163362
Historia naszego osiedla,,,artwork,50.2602514,18.9681331
Calypso Fitness Club,,fitness_centre,,50.2625435,19.018446
Fabryka Formy,,fitness_centre,,50.2424337,19.0364575
,theatre,,,50.2717112,18.9847373
Wojciech Korfanty,,,artwork,50.258563,19.0365276
Maybe Crazy Studio Dance & Fitness,,fitness_centre,,50.2447252,18.9911593
Pamiętamy,,,artwork,50.2444312,18.9905132
Surja Joga Maria Puls,,fitness_centre,,50.255243,19.0155781
,,,artwork,50.2581662,19.0037805
Fitness World,,fitness_centre,,50.2078926,18.9821324
Dziewczyna ze smokiem,,,artwork,50.2564788,18.9693884
Laserhouse Katowice,,sports_centre,,50.2572037,19.0119192
Łysek z pokładu Idy,,,artwork,50.2665969,18.9921822
Squash Arena,,sports_centre,,50.2427446,19.0096831
,,amusement_arcade,,50.2627787,19.0056813
Karolinka,,,artwork,50.2351008,19.0261138
Rzeźba I,,,artwork,50.2333382,19.025778
Płaskorzeźba I,,,artwork,50.2331615,19.0263091
Szum wiatru,,,artwork,50.233074,19.0251933
Krokodyle,,,artwork,50.2335664,19.025314
Płaskorzeźba III,,,artwork,50.2331668,19.0272761
Spotkanie na trawie,,,artwork,50.2331772,19.0271395
Płaskorzeźba II,,,artwork,50.2331705,19.0270087
,,,artwork,50.2332661,19.0276923
Posąg kobiety,,,artwork,50.2337526,19.0246159
Metaloplastyka,,,artwork,50.2336081,19.0253282
Postać kobiety,,,artwork,50.2318805,19.0255611
,,,artwork,50.2329554,19.0350429
Żubr,,,artwork,50.2347989,19.0431837
,,,artwork,50.2379406,19.0456095
Siłownia MOSiR Katowice,,fitness_centre,,50.1800419,18.9761824
Capitol,nightclub,,,50.257202,19.028296
,,,artwork,50.244091,19.0059311
,,,artwork,50.2440511,19.0059364
,,,artwork,50.2440754,19.0058657
Jan Furtok,,,artwork,50.2569701,19.0359165
Airship,,,artwork,50.2578712,19.0374691
Krystyna Bochenek,,,artwork,50.2559483,19.0272536
"Łącząc umysły, tworzymy przyszłość",,,artwork,50.2688507,19.0292304
Szlak Śląskiego Bluesa,,,artwork,50.2689369,19.0288542
Stanisław Lem,,,artwork,50.2599101,19.093047
Harcerze Obrońcy Katowic,,,artwork,50.2258585,18.9717654
Górnicy wojownicy,,,artwork,50.260187,19.0237882
Części człowieka,,,artwork,50.2572278,19.0246468
Murem za Niepodległą,,,artwork,50.2644281,19.0406069
,,,artwork,50.2318317,18.9857555
Czarne złoto,,,artwork,50.2601687,19.0166261
,,,artwork,50.2644368,18.9977816
e-sport,,,artwork,50.2590647,19.0470152
,,,artwork,50.25283,19.0149799
,,,artwork,50.2659429,19.0872453
,,,artwork,50.2494448,19.0847221
,,,artwork,50.2500774,19.0840936
,,,artwork,50.2646845,19.0911669
,,,artwork,50.2715311,19.0244097
O Śląsku,,,artwork,50.2424774,19.0883864
Erwin Sówka,,,artwork,50.2437159,19.0854054
